Plat Number,Plat Name,Section/Township/Range,Volume,First Page,Last Page,Plat Type
553650,MILLER'S RIDGE,0162605,217,019,024,
800090,STERLING HEIGHTS ADD,0032604,055,068,000,
054010,BARNABEE PARK ADD,0192505,028,015,000,
630680,OAKLEIGH DIV I,0322205,261,098,102,
883160,UPLAKE MODERN BSP,0112604,267,081,083,
545180,MERCER MAPLE LANE ADD,0182405,060,061,000,
392820,KOPPEN ADD,0172604,064,100,000,
640760,ORILLIA GARDEN TRS,0362304,026,007,000,
889575,VERMONT AMENDED & RESTATED/PH 02 CONDO,3122604,266,011,020,C
311074,HARBOUR HOUSE AT LESCHI AMENDMENT CONDO,2032404,277,044,000,C
216158,EAST JAMES PLACE CONDO,3332504,163,072,074,C
872961,2309 BOYLSTON CONDO,2202504,118,056,058,C
421345,LAUKALA PLACE CONDO,1262006,248,059,062,C
780621,SKYCREST TERRACE DIV NO. 02,0202105,101,055,000,
520250,MATTAUSCH DEVELOPMENT,0112505,103,063,000,
951110,WOODCREST ADD,0182604,035,042,000,
430560,LIBERTY GROVE CONTIGUOUS,0142305,239,051,053,
402170,LAKE FOREST PARK REPLAT POR BLK 10,0102604,022,034,000,
666420,PARKLAND ESTATES,0032405,256,061,067,
686185,PORTAGE BAY WATERFRONT AMD CONDO,4172504,288,014,016,C
763120,SEACOMA BEACH DIV NO. 01,0262303,015,070,000,
549160,MEYDENBAUER COURT,0312505,110,038,040,
863425,312 5TH AVE CONDO,3052505,214,048,051,C
026880,ARLINGTON BUILDING THE(0005) CONDO,4312504,062,019,023,C
364030,JACKSON COURT CONDO,3292504,106,023,029,C
183450,CRESTLAND ADD,0082604,047,099,000,
127630,BUSH W P 1/4 ACRE TRS TO TUKWILA,0232304,017,026,000,
924790,WENZEL ADD,0312604,019,031,000,
666640,PARKPOINT SURVEY 1ST AMD CONDO,3022504,013,006,011,C
618710,NORTHPEAK CREST,0152205,115,009,010,
807905,SUMMERWIND DIV NO. 06,0032305,165,001,003,
792264,SPINNAKER BAY 2ND AMENDMENT CONDO,3352404,057,072,074,C
353190,HUNTOONS HALLER LAKE ADD SEC 1,0302604,036,036,000,
390050,KIRKLANE ADD,0092505,073,013,000,
274460,GERTZ ADD,0212604,045,064,000,
913610,WALLINGFORDS DIV OF GREEN LAKE ADD,0072504,003,163,000,
337721,HILLSITE NO. 02 CONDO,3162204,043,014,015,C
769814,706 16TH AVENUE CONDO,3332504,176,047,049,C
515330,MARINE VIEW FOREST,0052104,138,065,067,
344150,HOMELAND ADD,0322604,037,012,000,
026290,ARGONAUT HOUSE CONDO,2042404,282,023,025,C
546780,MERIDIAN LANE NO. 04,0072604,074,065,000,
386260,KIMBALL CREEK,0312408,176,089,092,
701535,QUEEN ANNE SQUARE CONDO,1252503,159,037,041,C
866230,TOP O YARROW ADD,0192505,059,030,000,
104350,BRAUNWOOD ESTATES,0332105,153,062,064,
247570,FALCON WEST CONDO,3132503,089,077,079,C
265250,FRONT STREET CABLE ADD,0242503,004,102,000,
932040,WESTVIEW MANOR CONDO,2242503,017,073,075,C
794175,SPRINGWOOD TOWNHOMES CONDO,2272205,128,034,046,C
154170,CHELMSFORD,0162205,213,063,065,
386144,KILLARNEY CREST,0282104,139,022,024,
011460,ALDERWOOD SOUTH,0242103,084,067,000,
418036,LANDMARC VI CONDO,1172204,098,046,050,C
640370,ORCHID LANE,0192104,220,099,104,
242300,EVERGREEN PLACE,0332605,098,017,018,
133080,CANTERBURY SHORES CONDO,2222504,014,009,015,C
360750,INVERNESS PARK,0342604,124,044,050,
363680,IVY RIDGE,0042506,168,096,100,
330630,HIGHLINE S & L ASSN 2ND ADD,0242103,066,040,000,
375450,JUANITA BEACH CAMPS ADD,0302605,032,025,000,
560500,MONTLAKE PARK ADD,0212504,018,020,000,
327595,HIDDEN VALLEY OFFICE PARK CONDO,1292505,271,082,084,C
546410,MERIDIAN CONDO,2322504,186,022,045,C
058710,BAYSHORE EAST THE CONDO,3322505,006,005,011,C
683810,POINTE AT RIVERVIEW THE PH 02 CONDO,4102204,169,025,037,C
679140,PINE LAKE SOUTH,0162106,085,055,056,
011810,ALDRICH ADD TO ENUMCLAW,0232006,108,073,000,
029420,ATHENA CONDO,4252503,209,029,041,C
077690,BERRY PROPERTY,0182605,208,019,022,
440070,LONGRIDGE ADD REPLT POR LK FOREST PK,0032604,062,076,000,
255930,FIRST AND BROAD BLDG PH 02 CONDO,2312504,173,062,066,C
682410,PLEASANT VIEW ADD,0362603,030,019,000,
681060,PIPERS P A 1ST ADD,0032304,043,010,000,
954280,WOODRIDGE PARK,0242103,101,057,061,
720240,REDMOND SCIENCE CENTER,0012505,124,070,071,
390512,KLAHANIE DIV NO. 23,0112406,168,047,054,
720581,REDONDO VISTA PH 03 CONDO,3332204,105,022,025,C
505830,MALMOS 1ST ADD,0092404,012,062,000,
666710,PARKS AT KENT PH 04 CONDO,4102204,219,084,087,C
812770,SUNSET ADD,0232503,022,093,000,
082350,BIRD STREET CONDO,1132606,242,065,066,C
387685,KINGSWOOD TOWNHOMES-BSP CONDO,2162605,112,063,065,C
258700,FLOWER COURT,0172205,230,075,078,
337930,HILLTOP VILLAGE NO. 01 AMENDMENT NO. 1 CONDO,1162406,082,070,081,C
640220,ORCHARD LANE,0062205,069,032,000,
132750,CANAL WEST (0005) CONDO,4112503,041,052,059,C
722550,RENTON FARM PLAT NO. 04,0082305,013,090,000,
980863,YARROW HILL DIV NO. 01,0172505,111,073,078,
013300,ALINE HEIGHTS ADD,0052304,023,004,000,
290921,GREENLAKE COURT CONDO,4052504,189,053,056,C
679510,PINECREST UNREC,0092406,902,214,000,
