Levy Year,County,County Code,Number of Basic Exemptions,Amount of Basic Reimbursement,Number of Enhanced Exemptions,Amount of  Enhanced Reimbursement,Total Amount of Reimbursement ,Data Preparation Date
2017,Broome,03,29805,20329247,12534,17759780,38089027,03/11/2020
2017,Cattaraugus,04,12733,6046132,5800,5105364,11151496,03/11/2020
2017,Cayuga,05,12732,6661803,5013,5448640,12110443,03/11/2020
2017,Chautauqua,06,20555,11450152,9917,10769672,22219824,03/11/2020
2017,Chemung,07,13890,7951775,5689,6726388,14678163,03/11/2020
2017,Chenango,08,8144,4199543,3685,3785153,7984696,03/11/2020
2017,Clinton,09,12696,7120255,4867,5434719,12554974,03/11/2020
2017,Columbia,10,9498,4409396,3605,3457952,7867348,03/11/2020
2017,Cortland,11,6968,3766779,2863,3235700,7002479,03/11/2020
2017,Delaware,12,7014,2749400,4178,3385300,6134700,03/11/2020
2017,Dutchess,13,45546,35183686,12611,20277398,55461084,03/11/2020
2017,Erie,14,148905,73142063,52623,54765444,127907507,03/11/2020
2017,Essex,15,6018,2135472,3022,2139551,4275023,03/11/2020
2017,Franklin,16,7291,3018455,3027,2512968,5531423,03/11/2020
2017,Fulton,17,8732,4458293,4082,4111342,8569635,03/11/2020
2017,Genesee,18,10210,6749362,3873,5205650,11955012,03/11/2020
2017,Greene,19,7068,3133522,3324,2976072,6109594,03/11/2020
2017,Hamilton,20,984,203931,622,267124,471055,03/11/2020
2017,Herkimer,21,10172,5716203,4752,5333498,11049701,03/11/2020
2017,Jefferson,22,14669,3963943,5457,3096614,7060557,03/11/2020
2017,Lewis,23,4961,1547265,1940,1253133,2800398,03/11/2020
2017,Livingston,24,10558,6488188,3832,4755564,11243752,03/11/2020
2017,Madison,25,11810,7071805,4467,5543131,12614936,03/11/2020
2017,Monroe,26,119926,80013670,38917,55554049,135567719,03/11/2020
2017,Montgomery,27,7553,4188641,3549,3987059,8175700,03/11/2020
2017,Nassau,28,234358,285911520,45080,114653953,400565473,03/11/2020
2017,Niagara,29,35610,21545358,14948,18184401,39729759,03/11/2020
2017,Oneida,30,35788,21783001,14448,17976349,39759350,03/11/2020
2017,Onondaga,31,76136,51147140,25377,35206606,86353746,03/11/2020
2017,Ontario,32,18404,10794282,6586,8123870,18918152,03/11/2020
2017,Orange,33,55518,49489023,13221,24904903,74393926,03/11/2020
2017,Orleans,34,6569,3765217,2988,3461441,7226658,03/11/2020
2017,Oswego,35,19869,12511783,7490,9397282,21909065,03/11/2020
2017,Otsego,36,9379,4321311,4532,4291664,8612975,03/11/2020
2017,Putnam,37,19087,22270248,4200,10435840,32706088,03/11/2020
2017,Rensselaer,38,25504,13685499,7969,8869090,22554589,03/11/2020
2017,Rockland,39,43888,55781950,9848,26754572,82536522,03/11/2020
2017,St. Lawrence,40,17616,9881744,7585,8169800,18051544,03/11/2020
2017,Saratoga,41,40990,25851641,10606,13712857,39564498,03/11/2020
2017,Schenectady,42,25376,14893348,7988,9676717,24570065,03/11/2020
2017,Schoharie,43,5127,2922300,2495,2779715,5702015,03/11/2020
2017,Schuyler,44,3346,1386413,1472,1256712,2643125,03/11/2020
2017,Seneca,45,5324,3134025,2398,2894049,6028074,03/11/2020
2017,Steuben,46,16656,9439250,6957,7699879,17139129,03/11/2020
2017,Suffolk,47,247180,267457313,58562,130431804,397889117,03/11/2020
2017,Sullivan,48,9757,5126098,4143,4367080,9493178,03/11/2020
2017,Tioga,49,9045,4898623,3577,3949483,8848106,03/11/2020
2017,Tompkins,50,13252,7516673,3895,4398787,11915460,03/11/2020
2017,Ulster,51,27437,17630190,10234,13235432,30865622,03/11/2020
2017,Warren,52,10638,4144645,4753,3751601,7896246,03/11/2020
2017,Washington,53,10140,4414913,4527,4108767,8523680,03/11/2020
2017,Wayne,54,16390,10849103,6458,8614034,19463137,03/11/2020
2017,Westchester,55,109603,204842395,23153,85328438,290170833,03/11/2020
2017,Wyoming,56,7197,3530288,2664,2730230,6260518,03/11/2020
2017,Yates,57,4131,1400684,1790,1261429,2662113,03/11/2020
2017,New York City,65,445003,127344772,105917,61399504,188744276,03/11/2020
2016,Albany,01,48573,27177945,13145,15471373,42649318,03/11/2020
2016,Allegany,02,8000,4415994,3713,3766807,8182801,03/11/2020
2016,Broome,03,31417,21093223,12623,17613231,38706454,03/11/2020
2016,Cattaraugus,04,13485,6462831,5822,5098108,11560939,03/11/2020
2016,Cayuga,05,13512,7071451,4981,5380292,12451743,03/11/2020
2016,Chautauqua,06,21761,12189256,10100,10914313,23103569,03/11/2020
2016,Chemung,07,14691,8390929,5791,6806490,15197419,03/11/2020
2016,Chenango,08,8592,4364491,3724,3754529,8119020,03/11/2020
2016,Clinton,09,13434,7439041,4872,5365022,12804063,03/11/2020
2016,Columbia,10,9961,4579124,3680,3475733,8054857,03/11/2020
2016,Cortland,11,7369,3968332,2893,3236309,7204641,03/11/2020
2016,Delaware,12,7325,2841349,4233,3379289,6220638,03/11/2020
2016,Dutchess,13,47880,36828875,12438,20247674,57076549,03/11/2020
2016,Erie,14,158011,79809153,53027,54586034,134395187,03/11/2020
2016,Essex,15,6299,2230800,3067,2150988,4381788,03/11/2020
2016,Franklin,16,7576,3104755,3099,2523435,5628190,03/11/2020
2016,Fulton,17,9218,4674893,4194,4162195,8837088,03/11/2020
2016,Genesee,18,10744,7210171,3918,5297915,12508086,03/11/2020
2016,Greene,19,7428,3244557,3379,2969417,6213974,03/11/2020
2016,Hamilton,20,1012,205558,649,273623,479181,03/11/2020
2016,Herkimer,21,10704,5921621,4760,5227180,11148801,03/11/2020
2016,Jefferson,22,15461,4158606,5495,3094381,7252987,03/11/2020
2016,Lewis,23,5141,1621907,2015,1311802,2933709,03/11/2020
2016,Livingston,24,11121,6815606,3833,4723563,11539169,03/11/2020
2016,Madison,25,12503,7391961,4513,5510035,12901996,03/11/2020
2016,Monroe,26,128756,85392654,38971,54838251,140230905,03/11/2020
2016,Montgomery,27,7969,4421112,3609,4085965,8507077,03/11/2020
2016,Nassau,28,245587,293291597,46826,116585828,409877425,03/11/2020
2016,Niagara,29,37747,23138942,15054,18446595,41585537,03/11/2020
2016,Oneida,30,37433,21757036,14899,19336027,41093063,03/11/2020
