InspectionID,CSNumber,CS Overall Condition,CS Litter,CS Graffiti,CS Amenities,CS Structural
59408,1,N,N,N,N,N
33967,1,A,A,A,A,A
97705,1,A,A,A,A,A
50863,1,A,A,A,A,A
101325,1,U,U/S,A,U,U
92109,1,U,U/S,A,A,U
107295,1,A,A,A,A,U
121796,1,A,A,A,A,A
96856,1,A,A,A,U,A
56255,1,A,A,A,A,A
76170,1,A,A,A,A,A
117651,1,N,A,N,A,N
120014,1,N,N,N,N,N
84935,1,A,A,A,A,A
90606,1,A,A,A,A,A
60789,1,A,A,A,A,A
44025,1,U,N,N,N,N
77155,1,U,N,N,N,N
70678,1,U,U,A,U,U
121585,1,U,N,N,N,N
85067,1,A,A,A,A,A
50613,1,A,A,A,A,A
121888,1,A,A,A,A,A
59020,2,A,A,A,A,A
97182,1,A,A,A,A,A
109571,1,A,A,A,A,A
84137,1,U,A,A,A,U/S
93685,1,A,A,A,U,A
48875,1,A,A,A,U,A
99906,1,N,N,N,N,N
117100,1,U,A,A,U/S,A
105879,1,A,A,A,A,A
52323,1,A,A,A,A,A
114232,1,A,A,A,A,A
73316,1,U,N,N,N,N
96101,1,A,A,A,A,A
72450,1,A,A,A,A,A
57561,1,A,A,A,A,A
34281,1,U,A,A,U/S,A
35740,1,U,N,N,N,N
44252,1,A,A,A,A,A
100335,1,N,N,N,N,N
98384,1,A,A,A,A,A
86455,1,A,A,A,A,A
53970,1,U,A,A,A,A
70366,1,N,N,N,N,N
121260,1,A,A,A,A,A
76074,1,U,N,N,N,N
93611,1,N,N,N,N,N
50279,1,A,A,A,U,A
98784,1,A,A,A,U,A
52490,1,A,A,A,A,A
68196,1,U,U/S,A,U,U/S
78437,1,A,A,A,A,A
44387,1,U,A,A,U,U/S
109963,1,A,A,A,U,A
89240,1,A,A,A,A,A
113724,1,A,A,A,A,A
58068,1,N,N,N,N,N
108889,1,A,A,A,U,A
34273,1,U,N,N,N,N
46075,1,A,A,A,A,A
60871,1,U,N,N,N,N
113846,1,N,N,N,N,N
110261,1,A,A,A,U,A
105334,1,A,A,A,U,A
63858,1,N,N,N,N,N
60722,1,A,A,A,A,A
42034,1,U,N,N,N,N
116566,1,A,A,A,A,A
79714,1,A,A,A,A,A
72482,1,A,A,A,U,A
111327,1,A,A,A,A,A
117857,1,A,A,A,A,A
118964,1,A,A,A,A,A
38381,1,A,A,A,U,A
57016,1,N,N,N,N,N
56325,1,A,A,A,A,A
88394,1,A,A,A,A,A
117076,1,A,A,A,A,A
79142,1,U,N,N,N,N
72455,1,A,A,A,A,A
60098,1,A,A,A,A,A
96054,1,A,A,A,U,A
101411,1,A,A,A,A,A
32695,1,U,U,U,U,U
58587,1,N,N,N,N,N
120680,1,N,N,N,N,N
104444,1,U,N,N,N,N
116690,1,U,U/S,A,A,A
70202,1,A,A,A,A,A
60095,1,U,N,N,N,N
59317,1,U,A,A,U/S,A
89755,2,N,N,N,N,N
118920,1,A,A,A,A,A
45495,1,A,A,A,A,A
119239,1,A,A,A,A,A
53224,1,A,A,A,A,A
119973,1,A,A,A,A,A
82576,1,N,N,N,N,N
120995,1,A,A,A,A,A
98376,1,A,A,A,A,A
58844,1,A,A,A,U,A
107630,1,A,A,A,A,A
92589,1,A,A,A,A,A
92020,1,A,A,A,A,A
70692,1,A,A,A,A,A
57389,2,A,A,A,A,U
106931,1,N,N,N,N,N
35476,1,A,A,A,A,A
94052,1,A,A,A,A,A
69983,1,U,A,A,U,U
67138,1,A,A,A,A,A
118061,1,A,A,A,A,A
108486,1,A,A,A,A,A
92371,1,A,A,A,A,A
84002,1,A,A,A,A,U
109926,1,A,A,A,A,A
115717,1,A,A,A,U,A
92696,1,A,A,A,U,A
