the_geom,OBJECTID,Placement,Corral,Owner,Landmark,AddressNumber,StreetName,YearInstalled,Month Installed,LocationX,LocationY,created_user,created_date,last_edited_user,last_edited_date,Rack Type,GlobalID,Status,NumberOfRacks,NumberOfSpaces
POINT (-90.075203612563 29.957333414257),133,,,,,,,,,3679235.67659688,532161.44629156997,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{9B2BEAF5-9B7A-4A30-A57F-CEF474D2A509},,,
POINT (-90.086860917304 29.964988115628),378,,,,,,,,,3675514.1308903801,534904.64224872994,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{5BB7007C-B650-44B7-A2C3-D8534EEB7001},,,
POINT (-90.096906620169 29.977703418166),101,,,,,,,,,3672283.5235064598,539493.95590472,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{D749ECCE-B127-4547-8C8B-CE8BA18A70CE},,,
POINT (-90.073627612438 29.948129412475),210,,,,,,,,,3679771.5095147202,528820.01498231001,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{381C5483-699E-45B0-91A4-6DE6282E474B},,,
POINT (-90.064716611334 29.973579418919),303,,,,,,,,,3682490.9581440501,538105.71064973006,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{D798147B-ED70-4419-9892-A372FD335FE8},,,
POINT (-90.101224619156 29.920575406007),258,,,,,,,,,3671139.8922635498,518705.33573664998,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{92DAFA73-6894-4726-8B4C-455E9782A17A},,,
POINT (-90.071998612102 29.948592412427),217,,,,,,,,,3680285.5235785502,528994.05367623002,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{ECC8DD11-C6C9-418A-935A-96C9E142F5A6},,,
POINT (-90.076786613675 29.936746409961),347,,,,,,,,,3678816.5173302102,524669.75622246996,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{E505A0EA-F8AA-4D0D-B88A-2B5B4123B630},,,
POINT (-90.066746610798 29.952262413454),72,,,,,,,,,3681933.95302446,530346.94631163997,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{19F9C13C-D166-41EE-8823-7B41AFF72366},,,
POINT (-90.042989605652 29.963909416972),238,,,,,,,,,3689409.2382707102,534666.15388056997,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{9F91C04F-34AE-4199-8CC1-AC05C58C8863},,,
POINT (-90.04818460352 29.90279240364),264,,,,,,,,,3688013.6282010502,512423.38176513999,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{4D440DC8-F25A-48B2-961D-7C95C823295A},,,
POINT (-90.078637215515 29.968125017059),385,,,,,,,,,3678105.4623218901,536073.75638030004,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{8D37AF35-8233-476C-A70D-06E071411E5E},,,
POINT (-90.068105611264 29.948745412616),18,,,,,,,,,3681517.7281351401,529063.28188421996,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{4513F6F6-6A35-4BCB-98DD-1B29003962C4},,,
POINT (-90.114978623272 29.933583408018),150,,,,,,,,,3666732.79904364,523388.94021456002,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{5924B381-8870-4AF6-9C09-0B2947B46B77},,,
POINT (-90.076630614008 29.952456413659),233,,,,,,,,,3678803.2699813801,530383.02957281005,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{AB5D8749-7B7F-4CFF-A0DC-7465AF9D91C0},,,
POINT (-90.096201619915 29.978869418582),115,,,,,,,,,3672502.1375705502,539920.36810963997,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{0D557F19-B282-4451-80A3-1CCFF2B3ED4F},,,
POINT (-90.098447618917 29.934375409011),375,,,,,,,,,3671965.4686963898,523732.98972330999,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{90E2DEE3-064F-4E93-BE71-71337539BBF0},,,
POINT (-90.055508608675 29.968924418103),320,,,,,,,,,3685425.0533257099,536445.37243496999,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{34569CF8-DD0C-4D77-84A1-60E4334C6F22},,,
POINT (-90.05775460963 29.964108416404),252,,,,,,,,,3684733.4408637998,534686.1728694,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{F0B2840C-293A-4DA8-8383-C33705A754C9},,,
POINT (-90.084912614566 29.924950407665),195,,,,,,,,,3676289.63655722,520352.17168181,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{F24E6F8D-5658-49F6-B7CD-EA0943451430},,,
POINT (-90.071085612633 29.956805414371),33,,,,,,,,,3680541.7487878799,531983.78686997003,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{2B526DEE-4E08-4E98-9AC4-BB0A31D905F4},,,
POINT (-90.096425618451 29.926172406825),242,,,,,,,,,3672638.0798839601,520756.98583280999,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{FAF9B734-994A-4DAB-B54A-DA2E75F9AEFE},,,
POINT (-90.091699615616 29.92782540724),251,,,,,,,,,3674128.5162075502,521374.26675047999,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{510A4AFA-13A7-4597-83BB-9E29343C1193},,,
POINT (-90.056230108291 29.964573317098),400,,,,,,,,,3685214.2535504699,534860.60460714996,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{0FF6E8BB-994F-44F1-9B60-A6F60D8760D0},,,
POINT (-90.050130604179 29.903797403873),265,,,,,,,,,3687393.0028018798,512781.92402705998,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{A31BD4EF-13B8-4384-9455-619F20BE7BF2},,,
POINT (-90.095902618762 29.955890413493),419,,,,,,,,,3672687.0351666398,531565.3424969,,,AKKUEMMEL,07/03/2018 02:12:52 PM +0000,Post and Loop,{109ADF1E-F94D-4168-A6ED-1B12A735A3F5},,,
POINT (-90.046346603095 29.89707540252),266,,,,,,,,,3688619.29398447,510351.02501749003,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{B3C7AB0C-CFD6-43E3-BCF2-8ECDE68B5404},,,
POINT (-90.096676620794 29.976936418604),97,,,,,,,,,3672359.34782989,539215.83080481004,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{65010908-9645-454C-8B46-21FE89D4ED0A},,,
POINT (-90.102120022213 29.978383218653),401,,,,,,,,,3670630.3863928001,539723.38589206,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{56227B44-9E15-407E-8048-5DEAB3459FE4},,,
POINT (-90.069580611986 29.953267413964),44,,,,,,,,,3681032.4961659801,530702.49251656001,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{055D25EE-ED8F-4B7F-B274-C6BC1B761DC8},,,
POINT (-90.099831619993 29.951440412409),318,,,,,,,,,3671460.32338122,529933.73946089996,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{38660F3A-6698-455C-A3FE-BA2055EC9138},,,
POINT (-90.113516723412 29.945993610894),384,,,,,,,,,3667147.7772162999,527906.68249139003,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{4F160D19-E150-4797-881B-4779088EF8E8},,,
POINT (-90.091592616298 29.926019407689),173,,,,,,,,,3674169.52465571,520717.90717081999,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{C616705A-3390-4E5C-AE2B-FAC4D7B0728A},,,
POINT (-90.07984831399 29.940075110623),386,,,,,,,,,3677833.5937711298,525869.57206430996,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{36E51DC9-09D1-4922-9D2C-B315D1264360},,,
POINT (-90.073652613494 29.953907413756),91,,,,,,,,,3679740.4938287102,530921.02160705999,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{7619B13B-966D-41B9-B5D3-6CCAB8CF0D8E},,,
POINT (-90.078351614286 29.946637412026),146,,,,,,,,,3678281.46721922,528261.05317372002,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{E2E20979-5E8F-4F0E-8C24-F9284C15E576},,,
POINT (-90.085077615325 29.922843406816),376,,,,,,,,,3676245.7189941402,519585.42124681,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{6D5D4E85-66ED-405F-83E9-E0D4A4B8A488},,,
POINT (-89.924250575838 30.039838437581),367,,,,,,,,,3726665.3720916398,562719.37434880005,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{07F81D9A-1DF3-4E97-9A03-8187A9C65586},,,
POINT (-90.062608610217 29.96538741656),289,,,,,,,,,3683191.3793153898,535134.18804947997,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{7DF444BC-E05C-4D6D-BF68-258C4F69E34A},,,
POINT (-90.05082560518 29.911644405494),249,,,,,,,,,3687140.87666573,515632.89470305998,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{C90833BA-653B-4B6D-909C-2A8CB0766CDC},,,
POINT (-90.07987241347 29.933426309392),387,,,,,,,,,3677852.40967838,523451.74323856999,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{67656B62-3832-463E-BCA3-CCEBA8BDD9DA},,,
POINT (-90.122255625535 29.933125407566),159,,,,,,,,,3664429.7521405499,523197.96060963999,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{6BB65F50-B57B-4D17-841E-D52724A6F6D1},,,
POINT (-90.088846616089 29.923225407093),301,,,,,,,,,3675050.3493376402,519711.34422331001,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{116AA5FE-353E-4239-86E6-2A0602EFF7B5},,,
POINT (-90.071661612693 29.954671414405),37,,,,,,,,,3680367.90300697,531205.77694305999,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{863A3482-0941-43F4-B941-6B391DD1BB22},,,
POINT (-90.069897612226 29.95347241381),42,,,,,,,,,3680931.29262821,530775.93101797998,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{990C2105-9690-4BF6-ADF2-AE63EBAECF16},,,
POINT (-90.076705613964 29.952537413779),344,,,,,,,,,3678779.1971948901,530412.22374014999,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{FC0D80B8-CE40-4B3F-AE37-B027743B4097},,,
POINT (-90.113937622639 29.929375407115),274,,,,,,,,,3667078.7937584701,521862.26183748001,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{A0E5B0EF-E19A-4599-8C5D-36A9F6C3103E},,,
POINT (-90.084096615144 29.925397407569),192,,,,,,,,,3676546.3332222998,520517.53388389997,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{56D6738B-42F3-4446-99BD-9914A662599D},,,
POINT (-90.064509610214 29.950406413259),9,,,,,,,,,3682649.8039549701,529679.87415497995,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{A478F928-B610-4C7C-880C-F79F48A82559},,,
POINT (-90.132929629028 29.944003409501),201,,,,,,,,,3661007.57197705,527118.04266448005,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{EF741ABB-B711-4AFC-BBBB-1030EDC04846},,,
POINT (-90.069226611625 29.946949412476),197,,,,,,,,,3681169.9401168101,528406.27269956004,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{416CBE1D-1F72-4AFA-A7CA-67103D9E1C6D},,,
POINT (-90.065090610459 29.950738413102),68,,,,,,,,,3682464.4824752202,529798.56453440001,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,,{5747F515-B9E5-4D96-8810-4CEF78B4848C},,,
POINT (-90.1261376263 29.934766407729),161,,,,,,,,,3663193.9330898798,523781.71567573003,,,AKKUEMMEL,07/03/2018 02:12:51 PM +0000,Post and Loop,{1B9AE830-9D7C-4307-A33B-8671F4B6E1DC},,,
