Reporting Area,MMWR Year,MMWR Week,"Hepatitis B, perinatal infection, Current week","Hepatitis B, perinatal infection, Current week, flag","Hepatitis B, perinatal infection, Previous 52 weeks Max†","Hepatitis B, perinatal infection, Previous 52 weeks Max† , flag","Hepatitis B, perinatal infection, Cum 2020†","Hepatitis B, perinatal infection, Cum 2020†, flag","Hepatitis B, perinatal infection, Cum 2019†","Hepatitis B, perinatal infection, Cum 2019†, flag","Hepatitis C, acute§, Confirmed, Current week","Hepatitis C, acute§, Confirmed, Current week, flag","Hepatitis C, acute§, Confirmed, Previous 52 weeks Max†","Hepatitis C, acute§, Previous 52 weeks Max† , flag","Hepatitis C, acute§, Confirmed, Cum 2020†","Hepatitis C, acute§, Confirmed, Cum 2020†, flag","Hepatitis C, acute§, Confirmed, Cum 2019†","Hepatitis C, acute§, Confirmed, Cum 2019†, flag","Hepatitis C, acute§,  Probable, Current week","Hepatitis C, acute§, Probable, Current week, flag","Hepatitis C, acute§, Probable, Previous 52 weeks Max†","Hepatitis C, acute§, Probable, Previous 52 weeks Max† , flag","Hepatitis C, acute§, Probable, Cum 2020†","Hepatitis C, acute§, Probable, Cum 2020†, flag","Hepatitis C, acute§, Probable, Cum 2019†","Hepatitis C, acute§, Probable, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
WEST SOUTH CENTRAL,2020,1,,-,1,,,-,,-,,-,19,,,-,,-,,-,14,,,-,,NP,,WEST SOUTH CENTRAL,20200143,
ILLINOIS,2020,1,,-,0,,,-,,-,,-,6,,,-,6,,,-,0,,,-,,NP,ILLINOIS,,20200115,POINT (-89.148632 40.124144)
SOUTH DAKOTA,2020,1,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,NP,SOUTH DAKOTA,,20200127,POINT (-100.230491 44.43614)
KENTUCKY,2020,1,,-,0,,,-,,-,,-,9,,,-,,-,,-,6,,,-,,NP,KENTUCKY,,20200140,POINT (-85.290484 37.526683)
NEW JERSEY,2020,1,,-,0,,,-,,-,,-,4,,,-,,-,,-,0,,,-,,NP,NEW JERSEY,,20200110,POINT (-74.655514 40.110253)
SOUTH ATLANTIC,2020,1,,-,1,,,-,,-,1,,44,,1,,10,,1,,8,,1,,,NP,,SOUTH ATLANTIC,20200128,
NEW MEXICO,2020,1,,-,0,,,-,,-,,-,3,,,-,1,,,-,1,,,-,,NP,NEW MEXICO,,20200154,POINT (-106.108388 34.421369)
GEORGIA,2020,1,,-,0,,,-,,-,,-,5,,,-,1,,,-,1,,,-,,NP,GEORGIA,,20200132,POINT (-83.426574 32.638481)
DISTRICT OF COLUMBIA,2020,1,,U,,NC,,U,,U,,-,0,,,-,,-,,-,0,,,-,,NP,DISTRICT OF COLUMBIA,,20200130,POINT (-77.016275 38.904785)
ALABAMA,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,NP,ALABAMA,,20200139,POINT (-86.844516 32.756889)
ARIZONA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,ARIZONA,,20200149,POINT (-111.664616 34.293239)
WYOMING,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,NP,WYOMING,,20200156,POINT (-107.55145000000002 42.999627)
MARYLAND,2020,1,,-,0,,,-,,-,1,,2,,1,,,-,1,,0,,1,,,NP,MARYLAND,,20200133,POINT (-76.68728200000001 38.946466)
WEST VIRGINIA,2020,1,,-,0,,,-,,-,,-,4,,,-,1,,,-,2,,,-,,NP,WEST VIRGINIA,,20200137,POINT (-80.613729 38.642579000000005)
US RESIDENTS,2020,1,1,,2,,1,,,-,3,,196,,3,,49,,9,,61,,9,,,NP,,US RESIDENTS,20200101,
NEBRASKA,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,NP,NEBRASKA,,20200125,POINT (-99.810595 41.527099)
CALIFORNIA,2020,1,,-,1,,,-,,-,,-,8,,,-,4,,,-,0,,,-,,NP,CALIFORNIA,,20200159,POINT (-119.662127 37.211164)
CONNECTICUT,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,NP,CONNECTICUT,,20200103,POINT (-72.738288 41.575155)
PENNSYLVANIA,2020,1,,-,1,,,-,,-,,-,9,,,-,2,,,-,0,,,-,,NP,PENNSYLVANIA,,20200113,POINT (-77.838886 40.896694)
KANSAS,2020,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,NP,KANSAS,,20200122,POINT (-98.38018 38.484729)
OHIO,2020,1,1,,0,,1,,,-,1,,13,,1,,5,,4,,2,,4,,,NP,OHIO,,20200118,POINT (-82.70936 40.41553400000001)
MASSACHUSETTS,2020,1,,-,1,,,-,,-,,-,6,,,-,4,,,-,0,,,-,,NP,MASSACHUSETTS,,20200105,POINT (-71.481104 42.151077)
NEVADA,2020,1,,-,0,,,-,,-,,-,2,,,-,2,,,-,2,,,-,,NP,NEVADA,,20200153,POINT (-114.916992 39.283294)
MINNESOTA,2020,4,,-,1,,,-,,-,,-,5,,,-,6,,,-,0,,,-,,NP,MINNESOTA,,20200423,POINT (-94.198308 46.349153)
MISSOURI,2020,4,,-,1,,,-,,-,,-,3,,1,,6,,,-,0,,,-,,NP,MISSOURI,,20200424,POINT (-92.477244 38.3675)
SOUTH DAKOTA,2020,4,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,NP,SOUTH DAKOTA,,20200427,POINT (-100.230491 44.43614)
