BusinessName,Address,Suite,City,State,Zip,BusinessType,OwnerName,X,Y,Location
HAUNTED HOTEL ON URSULINES,623 URSULINES AVE,,NEW ORLEANS,LA,70116,4702 - ROOMING & BOARDING HOUSES,URSULINES NEW ORLEANS LLC,3683581.0006,533548.882693,"(29.9610110683465, -90.0614281657062)"
BY H20 BEAUTY,1025 ALVAR ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,BY H20 BEAUTY B& B,3691467.57654,535150.43239,"(29.9651717001607, -90.0364666764789)"
MENTONE BED & BREAKFAST,1437 PAUGER ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,"COCO, CHARLENE D   &     KIMBRELL, RAGAN",3684011.79426,534908.55335,"(29.9647365392649, -90.0600200888747)"
INN ON URSULINES,708 URSULINES AVE,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,KFK AQUISITIONS LLC,3683316.36706,533682.225413,"(29.9613857895425, -90.06225915735)"
ALOFT NEW ORLEANS DOWNTOWN,225 BARONNE ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,225 BARONNE COMPLEX SUBTENANT,3680112.84251,530444.840962,"(29.9525814026875, -90.072487820335)"
AUDUBON COTTAGES,509 DAUPHINE ST,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,509 RUE DAUPHINE LLC.,3681564.63752,532403.911875,"(29.9579241775608, -90.0678353933293)"
FRENCHMEN OASIS,1242 FRENCHMEN ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,FRENCHMEN ASSOCIATES,3684503.75113,536971.994888,"(29.9703952477741, -90.0583940212036)"
ST. PETER GUEST HOUSE,1005 ST PETER ST,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"KFK AQUISTIONS, LLC",3681654.22882,533136.698692,"(29.9599363707562, -90.0675269276504)"
THE PELHAM HOTEL,444 COMMON ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"PELMAN HOSPITALITY, LLC",3681787.72476,529872.271553,"(29.9509562480917, -90.0672192807159)"
THE CONCIERGE CONNECTION,216 BARONNE ST,,NEW ORLEANS,LA,70112,"4704 - TRAVELER ACCOMMODATION, ALL OTH","THE CONCIERGE CONNECTION,LLC",3680226.81455,530492.369986,"(29.9527086426135, -90.072126296443)"
THE RITZ CARLTON HOTEL CO LLC,921 CANAL ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,THE RITZ CARLTON HOTEL C,3680638.96635,531414.574531,"(29.9552319133722, -90.0707928216254)"
GLADSTONE RESTAURANT HOTEL LOUNGE,3435 DRYADES ST,,NEW ORLEANS,LA,70115-5220,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,JONES BELINDA,3673440.65396,522445.607482,"(29.9307863182422, -90.0938288373345)"
