Week Ending Date,State,Observed Number,Threshold,Exceeds Threshold,Excess,Year,Total Excess in 2020,Percent Excess,Type,Outcome,Suppress
06/30/2018,Alabama,927,1109,false,0,2018,79,0.0,Predicted (weighted),All causes,
07/01/2017,Alabama,925,1055,false,0,2017,79,0.0,Predicted (weighted),All causes,
07/06/2019,Alabama,1028,1094,false,0,2019,79,0.0,Predicted (weighted),All causes,
07/07/2018,Alabama,972,1110,false,0,2018,79,0.0,Predicted (weighted),All causes,
07/08/2017,Alabama,954,1054,false,0,2017,79,0.0,Predicted (weighted),All causes,
07/13/2019,Alabama,1017,1086,false,0,2019,79,0.0,Predicted (weighted),All causes,
07/14/2018,Alabama,994,1104,false,0,2018,79,0.0,Predicted (weighted),All causes,
07/15/2017,Alabama,968,1055,false,0,2017,79,0.0,Predicted (weighted),All causes,
07/20/2019,Alabama,962,1086,false,0,2019,79,0.0,Predicted (weighted),All causes,
07/21/2018,Alabama,959,1109,false,0,2018,79,0.0,Predicted (weighted),All causes,
07/22/2017,Alabama,964,1068,false,0,2017,79,0.0,Predicted (weighted),All causes,
07/27/2019,Alabama,980,1085,false,0,2019,79,0.0,Predicted (weighted),All causes,
07/28/2018,Alabama,930,1119,false,0,2018,79,0.0,Predicted (weighted),All causes,
07/29/2017,Alabama,888,1079,false,0,2017,79,0.0,Predicted (weighted),All causes,
08/03/2019,Alabama,984,1081,false,0,2019,79,0.0,Predicted (weighted),All causes,
08/04/2018,Alabama,962,1121,false,0,2018,79,0.0,Predicted (weighted),All causes,
08/05/2017,Alabama,949,1086,false,0,2017,79,0.0,Predicted (weighted),All causes,
08/10/2019,Alabama,997,1082,false,0,2019,79,0.0,Predicted (weighted),All causes,
08/11/2018,Alabama,969,1111,false,0,2018,79,0.0,Predicted (weighted),All causes,
08/12/2017,Alabama,936,1090,false,0,2017,79,0.0,Predicted (weighted),All causes,
08/17/2019,Alabama,977,1087,false,0,2019,79,0.0,Predicted (weighted),All causes,
08/18/2018,Alabama,938,1098,false,0,2018,79,0.0,Predicted (weighted),All causes,
08/19/2017,Alabama,933,1079,false,0,2017,79,0.0,Predicted (weighted),All causes,
08/24/2019,Alabama,939,1086,false,0,2019,79,0.0,Predicted (weighted),All causes,
08/25/2018,Alabama,943,1093,false,0,2018,79,0.0,Predicted (weighted),All causes,
08/26/2017,Alabama,917,1070,false,0,2017,79,0.0,Predicted (weighted),All causes,
08/31/2019,Alabama,974,1088,false,0,2019,79,0.0,Predicted (weighted),All causes,
09/01/2018,Alabama,936,1087,false,0,2018,79,0.0,Predicted (weighted),All causes,
09/02/2017,Alabama,953,1059,false,0,2017,79,0.0,Predicted (weighted),All causes,
09/07/2019,Alabama,1008,1092,false,0,2019,79,0.0,Predicted (weighted),All causes,
09/08/2018,Alabama,944,1089,false,0,2018,79,0.0,Predicted (weighted),All causes,
09/09/2017,Alabama,960,1061,false,0,2017,79,0.0,Predicted (weighted),All causes,
09/14/2019,Alabama,999,1103,false,0,2019,79,0.0,Predicted (weighted),All causes,
09/15/2018,Alabama,912,1106,false,0,2018,79,0.0,Predicted (weighted),All causes,
09/16/2017,Alabama,968,1075,false,0,2017,79,0.0,Predicted (weighted),All causes,
09/21/2019,Alabama,883,1107,false,0,2019,79,0.0,Predicted (weighted),All causes,
09/22/2018,Alabama,998,1105,false,0,2018,79,0.0,Predicted (weighted),All causes,
09/23/2017,Alabama,995,1093,false,0,2017,79,0.0,Predicted (weighted),All causes,
09/28/2019,Alabama,987,1109,false,0,2019,79,0.0,Predicted (weighted),All causes,
09/29/2018,Alabama,972,1112,false,0,2018,79,0.0,Predicted (weighted),All causes,
09/30/2017,Alabama,1019,1105,false,0,2017,79,0.0,Predicted (weighted),All causes,
10/05/2019,Alabama,958,1103,false,0,2019,79,0.0,Predicted (weighted),All causes,
10/06/2018,Alabama,945,1108,false,0,2018,79,0.0,Predicted (weighted),All causes,
10/07/2017,Alabama,948,1111,false,0,2017,79,0.0,Predicted (weighted),All causes,
10/12/2019,Alabama,907,1090,false,0,2019,79,0.0,Predicted (weighted),All causes,
10/13/2018,Alabama,943,1102,false,0,2018,79,0.0,Predicted (weighted),All causes,
10/14/2017,Alabama,986,1122,false,0,2017,79,0.0,Predicted (weighted),All causes,
10/19/2019,Alabama,1008,1085,false,0,2019,79,0.0,Predicted (weighted),All causes,
10/20/2018,Alabama,971,1099,false,0,2018,79,0.0,Predicted (weighted),All causes,
10/21/2017,Alabama,966,1122,false,0,2017,79,0.0,Predicted (weighted),All causes,
10/26/2019,Alabama,978,1091,false,0,2019,79,0.0,Predicted (weighted),All causes,
10/27/2018,Alabama,993,1100,false,0,2018,79,0.0,Predicted (weighted),All causes,
10/28/2017,Alabama,941,1132,false,0,2017,79,0.0,Predicted (weighted),All causes,
11/02/2019,Alabama,937,1101,false,0,2019,79,0.0,Predicted (weighted),All causes,
11/03/2018,Alabama,927,1092,false,0,2018,79,0.0,Predicted (weighted),All causes,
11/04/2017,Alabama,994,1140,false,0,2017,79,0.0,Predicted (weighted),All causes,
11/09/2019,Alabama,1048,1117,false,0,2019,79,0.0,Predicted (weighted),All causes,
11/10/2018,Alabama,963,1113,false,0,2018,79,0.0,Predicted (weighted),All causes,
11/11/2017,Alabama,994,1158,false,0,2017,79,0.0,Predicted (weighted),All causes,
11/16/2019,Alabama,1078,1136,false,0,2019,79,0.0,Predicted (weighted),All causes,
11/17/2018,Alabama,1055,1141,false,0,2018,79,0.0,Predicted (weighted),All causes,
11/18/2017,Alabama,982,1173,false,0,2017,79,0.0,Predicted (weighted),All causes,
11/23/2019,Alabama,1050,1152,false,0,2019,79,0.0,Predicted (weighted),All causes,
11/24/2018,Alabama,1009,1158,false,0,2018,79,0.0,Predicted (weighted),All causes,
11/25/2017,Alabama,1004,1191,false,0,2017,79,0.0,Predicted (weighted),All causes,
11/30/2019,Alabama,1046,1165,false,0,2019,79,0.0,Predicted (weighted),All causes,
12/01/2018,Alabama,1050,1177,false,0,2018,79,0.0,Predicted (weighted),All causes,
12/02/2017,Alabama,1067,1198,false,0,2017,79,0.0,Predicted (weighted),All causes,
12/07/2019,Alabama,1081,1170,false,0,2019,79,0.0,Predicted (weighted),All causes,
12/08/2018,Alabama,1044,1192,false,0,2018,79,0.0,Predicted (weighted),All causes,
12/09/2017,Alabama,1074,1218,false,0,2017,79,0.0,Predicted (weighted),All causes,
12/14/2019,Alabama,1089,1173,false,0,2019,79,0.0,Predicted (weighted),All causes,
12/15/2018,Alabama,1053,1198,false,0,2018,79,0.0,Predicted (weighted),All causes,
12/16/2017,Alabama,1120,1231,false,0,2017,79,0.0,Predicted (weighted),All causes,
12/21/2019,Alabama,1111,1171,false,0,2019,79,0.0,Predicted (weighted),All causes,
12/22/2018,Alabama,1105,1205,false,0,2018,79,0.0,Predicted (weighted),All causes,
12/23/2017,Alabama,1098,1239,false,0,2017,79,0.0,Predicted (weighted),All causes,
12/28/2019,Alabama,1043,1178,false,0,2019,79,0.0,Predicted (weighted),All causes,
12/29/2018,Alabama,1084,1233,false,0,2018,79,0.0,Predicted (weighted),All causes,
12/30/2017,Alabama,1080,1254,false,0,2017,79,0.0,Predicted (weighted),All causes,
01/04/2020,Alaska,92,113,false,0,2020,0,0.0,Predicted (weighted),All causes,
01/05/2019,Alaska,93,108,false,0,2019,0,0.0,Predicted (weighted),All causes,
