BatchNo,WO#,CreatedDate,AssignedDate,CompletedDate,Status,NodeID,Boro,Support,SupportAction,StreetSignName,SignAction,Size,NewSign
B-1004,26,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22916,Manhattan,Light Pole,NoAction,1 Av,Remove & Install,24,Yes
B-1004,26,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22916,Manhattan,Light Pole,NoAction,E 63 St,Remove & Install,24,Yes
B-1004,27,02/26/2018,07/11/2018,12/07/2018,COMPLETED APPROVED,22915,Manhattan,Traffic Signal,NoAction,1 Av,Install,24,Yes
B-1004,27,02/26/2018,07/11/2018,12/07/2018,COMPLETED APPROVED,22915,Manhattan,Traffic Signal,NoAction,E 62 St,Install,24,Yes
B-1004,28,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22915,Manhattan,Light Pole,NoAction,1 Av,Remove & Install,24,Yes
B-1004,28,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22915,Manhattan,Light Pole,NoAction,E 62 St,Install,24,Yes
B-1004,29,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22914,Manhattan,Traffic Signal,NoAction,1 Av,Install,24,Yes
B-1004,29,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22914,Manhattan,Traffic Signal,NoAction,E 61 St,Install,24,Yes
B-1004,30,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22914,Manhattan,Light Pole,NoAction,1 Av,Remove & Install,24,Yes
B-1004,30,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22914,Manhattan,Light Pole,NoAction,E 61 St,Remove & Install,24,Yes
B-1004,31,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22831,Manhattan,Traffic Signal,NoAction,1 Av,Remove & Install,24,Yes
B-1004,31,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22831,Manhattan,Traffic Signal,NoAction,E 60 St,Remove & Install,24,Yes
B-1004,32,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22831,Manhattan,Light Pole,NoAction,1 Av,Remove & Install,24,Yes
B-1004,32,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22831,Manhattan,Light Pole,NoAction,E 60 St,Remove & Install,24,Yes
B-1004,33,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22826,Manhattan,Traffic Signal,NoAction,1 Av,Remove,24,No
B-1004,34,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22826,Manhattan,Traffic Signal,NoAction,1 Av,Remove & Install,24,Yes
B-1004,34,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22826,Manhattan,Traffic Signal,NoAction,E 59 St,Install,24,Yes
