Year,Lobbyist Name,Principal,Lobbyist’s Firm,Additional Lobbyists,Lobbying Matter,First Half (Jan1 – June 30),Second Half (July1 – DEC 31),Reference URL for First Half,Reference URL for Second Half
2017,"Nancy P. Regelin, Esquire","Lois Wheaton, LLC","Shulman, Rogers, Gandal, Pordy & Ecker, P.A.","Lawrence A. Shulman, Esquire",Glenmont Redevelopment.,585.00,62.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=860,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=860
2017,Gerard Evans,"Atlantic Recycling Group, LLC","Gerard E. Evans, Ltd.","Hayley Evans, Rachel Burch",Any and all matters affecting the scrap and metal recycling industry.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=877,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=877
2016,Robert R. Harris,Carr Properties,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",1560.00,2275.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=548,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=548
2019,Steven Silverman,Camalier Limited Partnership,SSGOVRELATIONS,,Real estate,6250.00,6250.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2223,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2223
2019,"Nancy P. Regelin, Esquire","Marriott International, Inc.","Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",,Building code regulations.,2939.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2189,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2189
2016,Robert R. Harris,"Battery Lane Enterprises I & II, LP","Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=570,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=570
2015,Jonathan Sachs,Adventist HealthCare,Adventist HealthCare,,Healthcare related issues,593.00,511.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=353,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=353
2019,Robert Zinsmeister,ABC of Metro Washington,ABC of Metro Washington,,"Procurement, Labor/Management, Prevailing Wage, Project Labor Agreements, Bi-County Agencies, Apprenticeship, Family Medical Leave, Workers' Compensation",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2165,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2165
2013,Robert Stewart,UFCW Local 1994 MCGEO,UFCW Local 1994,"Gino Renne, Yvette Cuffie, Josh Ardison, Amy Millar, Nelvin Ransome, Erin Yeagley, Lisa Blackwell",We are a labor union engaged in on-going lobbying on matters effecting our members interests before the Montgomery County Council.,0.00,1692.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=142,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=142
2015,"Robert G. Brewer, Jr.",Bernstein Management Corporation,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters",0.00,1606.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=470,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=470
2017,Stephen J. Orens,"Barnesville Oak Farms, LLC","McMillan Metro, PC",,Zoning Text Amendment 16-02 and related legislative matters.,125.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=888,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=888
2018,Barbara Zektick,City of Takoma Park,"Alexander & CLeaver, P.A.",,Any and all legislation which affects the municipality of Takoma Park.,0.00,125.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2135,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2135
2013,Ellen Coren Bogage,"Shapiro, Lifschitz & Schram PA",Chesapeake Public Strategies,,Issues related to Silver Spring Transit Center,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=87,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=87
2019,Andrew Nicklas,"Adventist HealthCare, Inc.","Adventist HealthCare, Inc.",,"Issues related to health, healthcare, business development, land use, transportation, taxes, economics, budgets, social issues and employment.",5000.00,5000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2213,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2213
2013,Ronald W. Wineholt,Apartment & Office Building Association,Apartment & Office Building Association,,"Real Estate Issues
Utility Issues",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=33,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=33
2017,Emily Hovermale,The Humane Society of the United States,The Humane Society of the United States,Paul Shapiro,Exotic animal acts prohibition,1584.00,3312.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=950,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=950
2015,"Robert G. Brewer, Jr.",CAP-Park Bethesda LLC,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",867.00,1173.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=479,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=479
2020,Robert R. Harris,Elm Street Development,"Lerch, Early & Brewer, Chtd.",,To seek revisions to the MPDU legislation.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2325,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2325
2015,Ashlie Bagwell,Montgomery County Farm Bureau,Harris Jones & Malone,,Council Bill 52-14 - Pesticides - Notice Requirement - Non-Essential Pesticides - Prohibition,4000.00,8000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=473,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=473
2017,Timothy Eden,Starr Capital LLC,Starr Capital LLC,,Bethesda Sector Plan,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2121,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2121
