Year,Lobbyist Name,Principal,Lobbyist’s Firm,Additional Lobbyists,Lobbying Matter,First Half (Jan1 – June 30),Second Half (July1 – DEC 31),Reference URL for First Half,Reference URL for Second Half
2017,Jerry Pasternak,Potomac Electric Power Company,Potomac Electric Power Company,,Any and all matters pertaining to an electric utility.,393.00,518.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=819,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=819
2020,Leonard L. Lucchi,Leonard L. Lucchi,"O'Malley, Miles, Nylen & Gilmore, P.A.",,Montgomery County Budget,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2382,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2382
2015,Barbara A. Sears,Federal Realty Investment Trust,Linowes and Blocher LLP,"Scott C. Wallace, Nathan J. Greenbaum",Mid-Pike Plaza,2878.00,2725.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=457,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=457
2016,Barbara A. Sears,Federal Realty Investment Trust,Linowes and Blocher LLP,"Scott C. Wallace, Nathan J. Greenbaum",Mid-Pike Plaza,2215.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=602,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=602
2018,Barbara Zektick,City of Gaithersburg,"Alexander & Cleaver, P.A.",,"Budget, transportation, and general legislative issues in Montgomery County.",0.00,125.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2159,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2159
2013,Steven A. Robins,Davis Family,"Lerch, Early & Brewer, Chtd.",,"Zoning Text Amendment 13-04, Zoning Ordinance Rewrite and District Map Amendment G-956",0.00,1000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=157,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=157
2015,Stephen J. Orens,"Garrett Gateway Partners, LLC","Miles & Stockbridge, PC",,Zoning Text Amendment,9137.00,1000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=405,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=405
2013,William Kominers,Lee Development Group,"Lerch, Early & Brewer, Chartered",,"Zoning Text Amendment, Subdivision Regulation Amendment, General Land Use Matters and Legislation",2500.00,14191.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=51,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=51
2015,Moira Moynihan,Dart Container Corporation,"Alexander & Cleaver, P.A.",,Regulation and laws regarding food and drink containers.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=347,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=347
2015,Robert R. Harris,Pulte Homes,"Lerch, Early & Brewer, Chtd.",,Land use approvals,2910.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=417,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=417
2019,Megan Michelle Eaves,Baltimore Gas & Electric Company,Baltimore Gas & Electric Company,,"All legislative and executive actions regarding electric and gas public utilities, energy and energy related products and services, financial investments, and real estate.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2239,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2239
2018,Melvin R. Thompson,Restaurant Association of Maryland,Restaurant Association of Maryland,,"Restaurant, Foodservice & Hospitality Issues",224.00,371.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2081,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2081
2016,Edward Krauze,Greater Capital Area Association of Realtors,Greater Capital Area Association of Realtors,"Katalin Peter, Bill Highsmith",Montgomery County Expedited Bill 15-16 and other real estate matters,207350.00,41765.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=704,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=704
2017,Ellen L. Coren,Washington Gas,Chesapeake Public Strategies,,Matters related to Washington Gas,0.00,8000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=994,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=994
2019,Jerry Pasternak,Pepco Holdings,Pepco Holdings,,All matters affecting the energy and utilities industries,0.00,177.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2168,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2168
2015,"William J. Chen, Jr.","Potomac Highlands Citizens Association, Inc., and","Chen & McCabe, LLP",,Text Amendment to the Ten-Year Water Supply and Sewerage Systems Plan:  Glen Hills Area Sanitary Study.,0.00,5700.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=524,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=524
2016,Patricia A. Harris,EYA,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,2100.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=726,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=726
2017,"Devin John Doolan, Esq.",Catholic Charities of the Archdiocese of Washingto,"Furey, Doolan & Abell, LLP",,Monitor all issues regarding mission and operations.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=772,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=772
2019,Katalin Peter,Greater Capital Area Assocation of REALTORS,GCAAR,Zac Trupp,"GCAAR is a real estate trade organization advocating on behalf of its members on any issue that effects property rights, homeownership, or any other real estate related issue.",40200.00,63972.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2243,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2243
2017,Steven A. Silverman,"A WIDER CIRCLE, INC.","SSGOVRELATIONS, LLC",,Government contracting,17000.00,20400.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=853,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=853
2016,Stephen J. Orens,"Barnesville Oak Farms, LLC","McMillan Metro, PC",,Zoning Text Amendment 16-02 and related legislative matters.,437.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=694,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=694
2014,Victoria Leonard,Mid-Atlantic Laborers-Employers' Cooperation & Edu,Mid-Atlantic LECET,,"Labor policy, prevailing, minimum, and living wage law, County contracting and procurement, health insurance, solid waste management, work force development",2685.00,2695.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=215,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=215
2016,Steven Silverman,"CCACC,INC.","SSGOVRELATIONS,LLC",,Government contracting,10000.00,6000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=657,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=657
2014,Anne M. Mead,The Bernstein Companies,Linowes and Blocher LLP,C. Robert Dalrymple,Bethesda Center-zoning.,4460.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=264,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=264
2014,Robert J. Garagiola,"AETNA Life Insurance Company, Inc.","Alexander & Cleaver, P.A.",,Developing strategy for government relations for procurement opportunities at state level.,2125.00,375.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=260,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=260
2015,"Jon Bouker, Esq.","Uber Technologies, Inc.",Arent Fox LLP,Katie Heilman,Transportation network company legislation.,38599.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=319,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=319
2016,C. Robert Dalrymple,Starr Capital LLC,Linowes and Blocher LLP,Matthew M. Gordon,Bethesda Downtown Sector Plan,0.00,2453.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=743,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=743
2017,Timothy Dugan,"Verizon Maryland, LLC","Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",,White Flint 2 Sector Plan,0.00,35625.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=971,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=971
2016,Stephen Z. Kaufman,Gables Residential,Linowes and Blocher LLP,Erin E. Girard,"Zoning Ordinance Rewrite 04709.0024,Zoning Ordinance Rewrite 04709.0024",6765.00,4890.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=664,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=664
2017,Stephen J. Orens,"Garrett Gateway Partners, LLC","McMillan Metro, PC",,Proposed amendment to 2014 Zoning Ordinance.,1700.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=887,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=887
2018,Steven A. Silverman,"VPR Companies, LLC","SSGovRelations, LLC",,Real estate,14370.00,14370.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1027,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1027
2019,William Kominers,United Therapeutics Corporation,"Lerch, Early & Brewer, Chtd.",Susan M. Reutershan,"Zoning, master plans, and general land use matters.",2736.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2182,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2182
2015,Steven A. Robins,Cassidian Communications,"Lerch, Early & Brewer, Chtd.",,Matters related to procurement of public safety communications services; land use and real estate matters.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=420,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=420
2016,C. Robert Dalrymple,"HPII, LLC",Linowes and Blocher LLP,Heather Dlhopolsky,Bethesda Downtown Sector Plan,0.00,2780.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=745,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=745
2015,Ellen Coren Bogage,Costco Wholesale,Chesapeake Public Strategies,,"Matters related to gas station siting, including ZTA 15-07",11400.00,4500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=476,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=476
2018,Patricia A. Harris,"Westfield, LLC","Lerch, Early & Brewer, Chtd.",,"Wheaton Plaza Regional Shopping Center: Zoning, master plans, and general land use matters,Montgomery Mall: Zoning, master plans, and general land use matters",0.00,910.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1050,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1050
2014,"Nancy P. Regelin, Esquire",Aldon Management Corp.,"Shulman, Rogers, Gandal, Pordy & Ecker, PA","Larry N. Gandal, Esquire, David D. Freishtat, Esquire","Battery Lane District, Sectional Map Amendments, Woodmont Triangle Sector Plan, Zoning Text Amendments, MPDU legislation, Battery Lane Rezoning",3310.00,5416.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=190,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=190
2017,Robert R. Harris,Pulte Homes,"Lerch, Early & Brewer, Chtd.",,Land use approvals.,0.00,1350.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=789,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=789
2015,Steven A. Robins,"Rock Spring Properties, LLC","Lerch, Early & Brewer, Chtd.",,"Zoning Text Amendment 14-09, and other zoning, master plan, and general land use matters.",2650.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=422,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=422
2015,Steven Silverman,VPR INC,"SSGOVRELATIONS,LLC",,General real estate matters,12499.00,12499.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=447,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=447
2013,"Devin J. Doolan, Esq.","Westfield, LLC","Furey, Doolan & Abell, LLP","Elsie R. Reid, Esq.",Represent the interests of Westfield LLC in the redevelopment of Westfield Wheaton and Westfield Montgomery before all agencies of government,17922.00,3825.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=22,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=22
2017,Heather Dlhopolsky,4918-4938 Battery Lane LLC,Linowes and Blocher LLP,,Bethesda Downtown Plan.,420.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=922,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=922
2016,Barbara A. Sears,Glenstone Foundation,Linowes and Blocher LLP,Scott C. Wallace,Glenstone,17645.00,13556.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=605,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=605
2018,Sloane Whelan,Bird Rides Incorporated,KO Public Affairs,,dockless scooter program,0.00,2000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2161,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2161
2013,"Lawrence A. Shulman, Esquire","Coalition for a Competitive Taxicab Industry, Inc.","Shulman, Rogers, Gandal, Pordy & Ecker, PA","Kristin Draper, Esquire",Taxi legislation and related laws,635.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=50,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=50
2013,Melvin R. Thompson,Restaurant Association of Maryland,Restaurant Association of Maryland,,"Restaurant, Foodservice & Hospitality Issues",0.00,3618.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=90,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=90
2019,"Robert G. Brewer, Jr.","Adventist HealthCare, Inc.","Lerch, Early & Brewer, Chtd.",,"Regulatory activities affecting Shady Grove Life Sciences Center, Washington Adventist Hospital campus in Takoma Park, Maryland, and Eastern Montgomery Count Master Plan.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2178,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2178
2018,Steven Silverman,"The Nonprofit Village,Inc.","SSGOVRELATIONS,LLC",,Assist in requesting County funding,10000.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2091,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2091
2014,Jon Bouker,"Uber Technologies, Inc.","Arent Fox, LLP","Aaron Brand, Katie Heilman","Transportation
Network Company
Legislation",0.00,45482.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=321,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=321
2018,Mike Whatley,National Restaurant Association,National Restaurant Association,,minimum wage legislation.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2095,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2095
2019,Vidal Hines,Service Employees International Union Local 32BJ,SEIU Local 32BJ,,Full time hours for janitors,66.00,132.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2267,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2267
2017,Robert J. Garagiola,Dart Container Corporation,"Alexander & Cleaver, P.A.",,Regulations and laws regarding food and drink containers.,0.00,250.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=825,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=825
2017,Patricia A. Harris,"ProMark Real Estate Services, LLC.","Lerch, Early & Brewer, Chtd",,"Zoning, master plans, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=846,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=846
2015,William Kominers,"East West, LLC","Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=493,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=493
2014,Robert R. Harris,Pulte Homes,"Lerch, Early & Brewer, Chartered",,Land use approvals.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=243,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=243
2015,Heather Dlhopolsky,F and L Associates LLLP,Linowes and Blocher LLP,,Bethesda Downtown Plan,1170.00,540.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=488,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=488
2015,Charles Washington,Potomac Electric Power Company,Potomac Electric Power Company,Jerry Pasternak,Any and all matters pertaining to an electric utility.,1000.00,100.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=367,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=367
2018,Gerard Evans,Atlantic Recycling Group,"Gerard E. Evans, Ltd.",Hayley Evans,Any and all matters affecting the scrap and or recycling industry.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2068,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2068
2013,"David D. Freishtat, Esquire","Lindsay Management, Inc.","Shulman, Rogers, Gandal, Pordy & Ecker, PA","Larry A. Gordon, Esquire",Zoning and Land Use.,514.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=65,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=65
2016,Steven A. Robins,Old Georgetown Office Park Condominium,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,788.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=588,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=588
2017,Stephen J. Orens,"Atlantic Recycling Group, LLC","McMillan Metro, PC",,Recommend legislation to clarify zoning.,1156.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=886,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=886
2013,Joel D. Rozner,"Wal-Mart Stores, Inc.","Rifkin, Livingston, Levitan & Silver",,"To preserve and protect the client regarding issues affecting retail stores, development, general business matters and similar issues",5000.00,10000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=14,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=14
2016,Patricia A. Harris,"Westfield, LLC","Lerch, Early & Brewer, Chtd.",,"Wheaton Plaza Regional Shopping Center: Zoning, master plans, and general land use matters.,Montgomery Mall: Zoning, master plans, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=567,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=567
2018,"Robert G. Brewer, Jr.",Bernstein Management Corporation,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",268.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1046,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1046
2017,Steven Silverman,Datawatch Systems Inc.,"SSGOVRELATIONS,LLC",,Incentives consulting,0.00,12500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1003,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1003
2015,Steven A. Robins,Peel Properties,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=489,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=489
2016,Robert R. Harris,Pulte Homes,"Lerch, Early & Brewer, Chtd.",,Land use approvals.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=573,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=573
2016,C. Robert Dalrymple,National Real Estate Advisors,Linowes and Blocher LLP,Matthew M. Gordon,Bethesda Downtown Sector Plan,0.00,10458.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=737,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=737
2017,Heather Dlhopolsky,"St. John's Episcopal Church, Norwood Parish",Linowes and Blocher LLP,Philip C. Dales,Downtown Bethesda Sector Plan Amendment.,2430.00,475.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=917,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=917
2017,Davion Percy,"Avaya, Inc.","Alexander & Cleaver, P.A.",,Local Procurement Matters,0.00,1625.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=986,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=986
2015,John Marshall,"Coalition for a Competitive Taxicab Industry, Inc","Mulhern, Patterson  & Marshall, LLP",,Advocacy of legislative changes to Chapter 53 of Montgomery County code and advocating on behalf of the taxicab industry,33338.00,1148.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=376,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=376
2014,Melvin R. Thompson,Restaurant Association of Maryland,Restaurant Association of Maryland,,"Restaurant, Foodservice & Hospitality Issues",0.00,5015.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=200,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=200
2017,Lenace Edwards,SEIU Local 32BJ,SEIU Local 32BJ,,Minimum wage & full-time hours for 32BJ Janitors,0.00,1701.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2100,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2100
2016,Steven Silverman,"A WIDER CIRCLE,INC.","SSGOVRELATIONS,LLC",,Government contracting,10000.00,13533.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=656,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=656
2014,Anne M. Mead,"St. John's Episcopal Church, Norwood Parish",Linowes and Blocher LLP,,Downtown Bethesda Sector Plan Amendment,3075.00,17528.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=261,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=261
2019,Ashlie Bagwell,AltaGas Services (U.S.) Inc.,Harris Jones & Malone,,Energy Matters; WGL Holdings; Acquisition,60000.00,60000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2201,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2201
2014,Bruce C. Bereano,"Safeway, Inc.",Office of Bruce C. Bereano,,"Styrofoam bill in Montgomery County Council, bill # 41-14 � Solid Waste (Trash) � Food Service Products � Packaging Materials � Requirments",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=313,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=313
2015,C. Robert Dalrymple,Siena Corporation,Linowes and Blocher LLP,Matthew M. Gordon,Bill 34-15 (Impact Taxes),0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=520,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=520
2019,Ashlie Bagwell,Montgomery County Chamber of Commerce,Harris Jones & Malone,,Any and all matters related to local policies concerning its membership,6000.00,6000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2194,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2194
