Planning Area,Total Units,Total MPDU,Total Workforce,Rental Indicator,Offering Date
PA13 - Clarksburg,284,43,,For-Sale & Rental,02/28/2009
PA19 - Germantown,104,13,,For-Sale & Rental,04/01/2014
N/A,77,8,,For-Sale & Rental,
PA30 - North Bethesda,240,12,,For-Sale & Rental,
PA36 - Silver Spring,151,23,,For-Sale & Rental,
PA23 - Olney,42,6,,For-Sale & Rental,03/01/2013
N/A,,62,,For-Sale & Rental,
PA20 - Gaithersburg & Vicinity,366,50,,For-Sale & Rental,
N/A,640,80,,For-Sale & Rental,
PA13 - Clarksburg,284,43,,For-Sale & Rental,05/31/2008
N/A,817,102,,For-Sale & Rental,
PA30 - North Bethesda,860,24,,For-Sale & Rental,
PA34 - Fairland,229,34,,For-Sale & Rental,
PA20 - Gaithersburg & Vicinity,149,19,,For-Sale & Rental,12/01/2013
PA13 - Clarksburg,1680,266,,For-Sale & Rental,12/01/2011
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,0,0,,For-Sale & Rental,
N/A,541,81,,For-Sale & Rental,
PA22 - Upper Rock Creek,118,15,,For-Sale & Rental,12/01/2015
N/A,325,41,,For-Sale & Rental,11/01/2005
PA36 - Silver Spring,210,27,,For-Sale & Rental,
PA36 - Silver Spring,210,27,,For-Sale & Rental,
PA19 - Germantown,444,56,,For-Sale & Rental,
PA20 - Gaithersburg & Vicinity,39,5,,For-Sale & Rental,08/01/2012
PA13 - Clarksburg,1680,266,,For-Sale & Rental,03/01/2015
PA36 - Silver Spring,247,31,,For-Sale & Rental,11/01/2008
N/A,32,4,,For-Sale & Rental,
PA35 - Bethesda/Chevy Chase,62,10,,For-Sale & Rental,07/01/2016
PA35 - Bethesda/Chevy Chase,34,5,,For-Sale & Rental,03/01/2017
PA24 - Darnestown,45,6,,For-Sale & Rental,
PA36 - Silver Spring,222,31,,For-Sale & Rental,09/30/2011
PA35 - Bethesda/Chevy Chase,88,13,11,For-Sale & Rental,
N/A,102,20,,For-Sale & Rental,
PA23 - Olney,54,8,,For-Sale & Rental,03/01/2017
PA19 - Germantown,28,4,,For-Sale & Rental,
PA20 - Gaithersburg & Vicinity,149,19,,For-Sale & Rental,06/01/2014
PA26 - Rockville,,6,,For-Sale & Rental,
PA36 - Silver Spring,507,64,,For-Sale & Rental,12/01/2016
PA13 - Clarksburg,844,118,,For-Sale & Rental,06/30/2010
PA20 - Gaithersburg & Vicinity,32,4,,For-Sale & Rental,02/01/2012
PA21 - Gaithersburg,,57,,For-Sale & Rental,
N/A,755,105,,For-Sale & Rental,
PA19 - Germantown,112,14,,For-Sale & Rental,
PA20 - Gaithersburg & Vicinity,148,16,9,For-Sale & Rental,07/01/2015
PA24 - Darnestown,28,4,,For-Sale & Rental,05/01/2013
PA13 - Clarksburg,486,49,,For-Sale & Rental,
N/A,216,43,,For-Sale & Rental,
N/A,0,42,,For-Sale & Rental,
N/A,292,32,,For-Sale & Rental,
N/A,172,22,,For-Sale & Rental,
N/A,143,18,,For-Sale & Rental,
PA22 - Upper Rock Creek,68,13,,For-Sale & Rental,12/01/2011
N/A,310,47,,For-Sale & Rental,
PA13 - Clarksburg,90,12,,For-Sale & Rental,07/31/2015
PA22 - Upper Rock Creek,113,20,,For-Sale & Rental,01/31/2011
PA20 - Gaithersburg & Vicinity,457,58,,For-Sale & Rental,03/01/2015
N/A,446,67,,For-Sale & Rental,
PA13 - Clarksburg,284,43,,For-Sale & Rental,08/31/2008
PA19 - Germantown,404,61,,For-Sale & Rental,
PA22 - Upper Rock Creek,68,13,,For-Sale & Rental,
PA27 - Aspen Hill,30,4,,For-Sale & Rental,
PA29 - Potomac,0,0,,For-Sale & Rental,
PA19 - Germantown,0,0,,For-Sale & Rental,
PA19 - Germantown,0,0,,For-Sale & Rental,
PA36 - Silver Spring,223,68,,For-Sale & Rental,
PA35 - Bethesda/Chevy Chase,71,11,,For-Sale & Rental,03/01/2016
N/A,205,41,,For-Sale & Rental,
N/A,143,22,,For-Sale & Rental,
N/A,0,6,,For-Sale & Rental,
PA28 - Cloverly,69,9,,For-Sale & Rental,
PA20 - Gaithersburg & Vicinity,62,8,,For-Sale & Rental,02/01/2013
PA28 - Cloverly,38,5,,For-Sale & Rental,
N/A,0,24,,For-Sale & Rental,
N/A,0,24,,For-Sale & Rental,
PA22 - Upper Rock Creek,68,13,,For-Sale & Rental,10/01/2012
N/A,240,36,,For-Sale & Rental,
PA30 - North Bethesda,970,110,,For-Sale & Rental,
PA20 - Gaithersburg & Vicinity,62,8,,For-Sale & Rental,
PA23 - Olney,37,6,,For-Sale & Rental,07/01/2012
PA30 - North Bethesda,493,62,,For-Sale & Rental,01/01/2013
PA30 - North Bethesda,152,23,,For-Sale & Rental,07/01/2015
PA35 - Bethesda/Chevy Chase,180,23,,For-Sale & Rental,
PA35 - Bethesda/Chevy Chase,60,12,,For-Sale & Rental,
N/A,283,43,,For-Sale & Rental,
PA23 - Olney,69,10,,For-Sale & Rental,12/01/2017
PA30 - North Bethesda,168,21,,For-Sale & Rental,12/01/2015
PA30 - North Bethesda,112,17,,For-Sale & Rental,01/31/2013
N/A,364,48,,For-Sale & Rental,
PA13 - Clarksburg,1206,151,,For-Sale & Rental,01/01/2018
N/A,122,16,,For-Sale & Rental,04/01/2006
N/A,,37,,For-Sale & Rental,
N/A,741,102,,For-Sale & Rental,
PA19 - Germantown,0,42,,For-Sale & Rental,
PA20 - Gaithersburg & Vicinity,62,8,,For-Sale & Rental,06/01/2011
PA31 - Kensington/Wheaton,0,0,,For-Sale & Rental,
N/A,366,55,,For-Sale & Rental,
PA19 - Germantown,282,36,,For-Sale & Rental,
PA30 - North Bethesda,168,21,,For-Sale & Rental,10/01/2018
PA29 - Potomac,150,14,,For-Sale & Rental,
PA27 - Aspen Hill,30,4,,For-Sale & Rental,04/01/2010
PA35 - Bethesda/Chevy Chase,46,9,,For-Sale & Rental,11/01/2014
PA23 - Olney,37,6,,For-Sale & Rental,
PA19 - Germantown,69,10,,For-Sale & Rental,
PA31 - Kensington/Wheaton,194,25,,For-Sale & Rental,09/30/2008
N/A,254,39,,For-Sale & Rental,
PA19 - Germantown,96,12,,For-Sale & Rental,
PA27 - Aspen Hill,38,6,,For-Sale & Rental,03/01/2012
N/A,269,45,,For-Sale & Rental,
N/A,89,13,,For-Sale & Rental,
PA24 - Darnestown,45,6,,For-Sale & Rental,02/01/2013
PA31 - Kensington/Wheaton,319,41,,For-Sale & Rental,04/01/2016
PA23 - Olney,261,40,,For-Sale & Rental,06/01/2013
PA36 - Silver Spring,399,59,10,For-Sale & Rental,04/01/2016
PA36 - Silver Spring,241,31,,For-Sale & Rental,
PA35 - Bethesda/Chevy Chase,28,4,,For-Sale & Rental,
N/A,,30,,For-Sale & Rental,
PA36 - Silver Spring,222,31,,For-Sale & Rental,
PA34 - Fairland,247,31,,For-Sale & Rental,
PA35 - Bethesda/Chevy Chase,40,6,,For-Sale & Rental,10/01/2014
PA35 - Bethesda/Chevy Chase,12,12,,For-Sale & Rental,
PA24 - Darnestown,45,6,,For-Sale & Rental,07/01/2012
PA35 - Bethesda/Chevy Chase,158,27,,For-Sale & Rental,03/01/2006
PA36 - Silver Spring,247,31,,For-Sale & Rental,10/01/2008
N/A,91,12,,For-Sale & Rental,
N/A,91,12,,For-Sale & Rental,
PA31 - Kensington/Wheaton,773,116,,For-Sale & Rental,06/30/2010
PA19 - Germantown,571,84,,For-Sale & Rental,
N/A,326,41,,For-Sale & Rental,
N/A,80,12,,For-Sale & Rental,
PA36 - Silver Spring,247,31,,For-Sale & Rental,09/01/2008
PA30 - North Bethesda,569,72,,For-Sale & Rental,
PA13 - Clarksburg,168,10,,For-Sale & Rental,10/01/2018
PA31 - Kensington/Wheaton,194,25,,For-Sale & Rental,
PA27 - Aspen Hill,108,16,,For-Sale & Rental,
N/A,56,8,,For-Sale & Rental,
PA19 - Germantown,470,59,,For-Sale & Rental,04/01/2014
PA30 - North Bethesda,569,72,,For-Sale & Rental,12/01/2014
PA31 - Kensington/Wheaton,773,116,,For-Sale & Rental,05/31/2013
PA35 - Bethesda/Chevy Chase,200,30,,For-Sale & Rental,12/01/2016
N/A,727,109,,For-Sale & Rental,
PA36 - Silver Spring,507,64,,For-Sale & Rental,05/01/2015
PA30 - North Bethesda,569,72,,For-Sale & Rental,06/01/2018
N/A,100,13,,For-Sale & Rental,
N/A,100,13,,For-Sale & Rental,
N/A,100,13,,For-Sale & Rental,
PA13 - Clarksburg,439,70,,For-Sale & Rental,12/01/2013
PA31 - Kensington/Wheaton,325,15,,For-Sale & Rental,
PA23 - Olney,261,40,,For-Sale & Rental,06/01/2015
PA23 - Olney,261,40,,For-Sale & Rental,06/01/2014
PA13 - Clarksburg,439,70,,For-Sale & Rental,08/01/2017
PA19 - Germantown,32,4,,For-Sale & Rental,
PA23 - Olney,114,34,34,For-Sale & Rental,05/01/2013
N/A,0,58,,For-Sale & Rental,
PA29 - Potomac,23,4,,For-Sale & Rental,07/01/2016
PA36 - Silver Spring,247,31,,For-Sale & Rental,
PA11 - Damascus,152,32,,For-Sale & Rental,
PA33 - White Oak,106,16,,For-Sale & Rental,
N/A,196,69,,For-Sale & Rental,08/01/2005
PA35 - Bethesda/Chevy Chase,185,11,,For-Sale & Rental,
PA13 - Clarksburg,140,18,,For-Sale & Rental,01/01/2017
PA13 - Clarksburg,439,70,,For-Sale & Rental,08/01/2015
PA31 - Kensington/Wheaton,113,13,,For-Sale & Rental,
PA28 - Cloverly,40,8,,For-Sale & Rental,
PA26 - Rockville,39,,39,For-Sale & Rental,
PA19 - Germantown,470,59,,For-Sale & Rental,07/01/2014
PA13 - Clarksburg,140,18,,For-Sale & Rental,07/01/2016
PA35 - Bethesda/Chevy Chase,139,21,,For-Sale & Rental,08/01/2014
N/A,,44,,For-Sale & Rental,
N/A,261,33,,For-Sale & Rental,
PA36 - Silver Spring,160,20,,For-Sale & Rental,03/01/2012
PA13 - Clarksburg,844,118,,For-Sale & Rental,01/31/2011
PA36 - Silver Spring,26,0,,For-Sale & Rental,
PA20 - Gaithersburg & Vicinity,333,50,27,For-Sale & Rental,09/01/2015
N/A,1411,176,,For-Sale & Rental,
PA19 - Germantown,28,4,,For-Sale & Rental,07/01/2011
PA36 - Silver Spring,,10,,For-Sale & Rental,
PA11 - Damascus,48,6,,For-Sale & Rental,
PA19 - Germantown,,54,,For-Sale & Rental,
PA13 - Clarksburg,341,41,,For-Sale & Rental,07/01/2017
PA22 - Upper Rock Creek,118,15,,For-Sale & Rental,10/01/2012
N/A,249,10,,For-Sale & Rental,
PA36 - Silver Spring,310,39,,For-Sale & Rental,04/01/2013
PA36 - Silver Spring,399,59,10,For-Sale & Rental,09/01/2016
N/A,122,16,,For-Sale & Rental,
