Permit_number,Schedule_Date,Schedule_time,Base_Number,Last_Updated_Date,Last_Updated_Time
AC181,05/13/2020,10:15AM,B02414,05/10/2020,18:05:03.586
AE424,07/01/2020,9:45AM,B03152,05/10/2020,18:05:03.586
BB146,08/25/2020,10:30AM,B01848,05/10/2020,18:05:03.586
AC900,11/05/2020,9:00AM,,05/10/2020,18:05:03.586
BC301,06/25/2020,11:00AM,B02182,05/10/2020,18:05:03.586
AF328,07/31/2020,10:00AM,B01734,05/10/2020,18:05:03.586
AD364,08/13/2020,10:45AM,B02660,05/10/2020,18:05:03.586
BC073,08/28/2020,9:00AM,B01231,05/10/2020,18:05:03.586
AF708,10/09/2020,10:00AM,B01848,05/10/2020,18:05:03.586
AA402,10/13/2020,9:00AM,,05/10/2020,18:05:03.586
AF544,09/17/2020,10:00AM,B02219,05/10/2020,18:05:03.586
aa022,09/18/2020,10:00AM,B02847,05/10/2020,18:05:03.586
AB301,09/15/2020,10:00AM,B02822,05/10/2020,18:05:03.586
AB303,07/24/2020,9:00AM,,05/10/2020,18:05:03.586
AC837,08/27/2020,9:45AM,B02937,05/10/2020,18:05:03.586
AC808,10/21/2020,10:15AM,,05/10/2020,18:05:03.586
AE423,07/13/2020,10:15AM,B01313,05/10/2020,18:05:03.586
AD495,05/15/2020,9:30AM,B01593,05/10/2020,18:05:03.586
AC338,10/01/2020,9:45AM,,05/10/2020,18:05:03.586
AC788,06/11/2020,9:30AM,,05/10/2020,18:05:03.586
AB817,10/13/2020,9:45AM,B02847,05/10/2020,18:05:03.586
AD386,06/01/2020,10:00AM,B02805,05/10/2020,18:05:03.586
AB063,06/15/2020,9:00AM,B02537,05/10/2020,18:05:03.586
AE201,06/24/2020,10:00AM,B02660,05/10/2020,18:05:03.586
AE635,07/17/2020,10:15AM,B01614,05/10/2020,18:05:03.586
AE521,07/14/2020,9:30AM,B01651,05/10/2020,18:05:03.586
AE052,07/06/2020,9:15AM,,05/10/2020,18:05:03.586
AB191,08/17/2020,9:30AM,,05/10/2020,18:05:03.586
AA393,05/26/2020,9:30AM,B01614,05/10/2020,18:05:03.586
AA990,11/04/2020,9:45AM,B00375,05/10/2020,18:05:03.586
AC590,09/29/2020,10:00AM,,05/10/2020,18:05:03.586
BC218,07/02/2020,10:45AM,B02932,05/10/2020,18:05:03.586
AD048,07/10/2020,9:00AM,B02219,05/10/2020,18:05:03.586
AE002,07/14/2020,9:15AM,B01196,05/10/2020,18:05:03.586
AE298,07/13/2020,10:00AM,B02847,05/10/2020,18:05:03.586
BB154,09/28/2020,9:30AM,B01614,05/10/2020,18:05:03.586
BA298,05/14/2020,10:45AM,B01848,05/10/2020,18:05:03.586
ab372,10/07/2020,9:45AM,B03112,05/10/2020,18:05:03.586
