the_geom,OBJECTID,Direction,Location,InstallDate,Function,MonitoredSchool,SZSpeedLimit,SZTriggerSpeed,RegSpeedLimit,TriggerSpeed,Latitude,Longitude,SZEnforcement,Site_ID,RLCEnforcement,SpeedEnforcement,SZ_ID,Operational
POINT (-90.125468626977 29.9498454117),53,NB,Carrollton Ave @ Kipp Believe School,03/12/2012 12:00:00 AM +0000,TFS,Kipp Believe School,20,26,35,45,29.949839999999998,-90.125462999999996,x,NO89,,x,NO90,Y
POINT (-90.037996605862 30.010602427488),84,WB,4916 Louisa St,09/25/2017 12:00:00 AM +0000,TFS,Mary D Coghill School,20,26,25,35,30.010597000000001,-90.037991000000005,x,NO141 / A_B,,x,A,Y
POINT (-90.074983616353 30.013297426629),18,NB,Paris Ave @ Crescent Dr,03/20/2009 12:00:00 AM +0000,TFS,Need School,20,26,35,45,30.013292,-90.074978000000002,x,NO20,,x,NO25,Y
POINT (-90.091331617194 29.92823040778),14,EB,St Charles Ave @ Louisiana Ave,06/27/2008 12:00:00 AM +0000,,,,,35,45,29.928225000000001,-90.091325999999995,,NO16,,x,,N
POINT (-90.091331617194 29.92823040778),15,WB,St Charles Ave @ Louisiana Ave,06/27/2008 12:00:00 AM +0000,,,,,35,45,29.928225000000001,-90.091325999999995,,NO17,,x,,N
POINT (-90.050279608865 30.001665425184),31,NB,Franklin Ave @ Wisteria St (1),10/16/2009 12:00:00 AM +0000,FS,,20,26,35,45,30.001660000000001,-90.050274000000002,,NO41,,x,NO55,P
POINT (-90.087100615875 29.941732410721),80,SB,2418 Jackson Ave,,TFS,Mahalia Jackson Elementary School,20,26,25,35,29.941727,-90.087095000000005,x,NO137 / A_B,,x,A,Y
POINT (-90.075202615931 30.015939427717),19,SB,Paris Ave @ Prentiss Ave,03/20/2009 12:00:00 AM +0000,TFS,Need School,20,26,35,45,30.015934000000001,-90.075197000000003,x,NO21,,x,NO26,Y
POINT (-90.078624613675 29.931862409274),39,NB,Henry Clay Ave @ Coliseum St,06/04/2010 12:00:00 AM +0000,FS,,,,25,35,29.931857000000001,-90.078619000000003,,NO63,,x,,Y
POINT (-90.105384623325 29.980442418935),33,EB,Bienville St @ N St Patrick St - Christian Brothers School,10/16/2009 12:00:00 AM +0000,TFS,Need School,20,26,35,45,29.980436999999998,-90.105378999999999,x,NO43,,x,NO57,Y
POINT (-90.074814611923 29.927462407824),64,NB,Jackson Ave @ Laurel Elementary,03/12/2012 12:00:00 AM +0000,TFS,Laurel Elementry,20,26,25,35,29.927457,-90.074809000000002,x,NO115,,x,NO116,Y
POINT (-90.070604612375 29.949492412865),12,EB,Poydras St @ St Charles Ave,06/27/2008 12:00:00 AM +0000,RLC,,,,35,45,29.949487000000001,-90.070599000000001,,NO14,x,x,,Y
POINT (-89.968408587062 30.022919432041),28,SB,Read Blvd @ Hammond St 4800 Block of Read,10/16/2009 12:00:00 AM +0000,TFS,Need School,20,26,35,45,30.022914,-89.968402999999995,x,NO36,,x,NO52,Y
POINT (-90.106210621285 29.9349894087),60,EB,Freret St @ Audubon Primary Academy,03/12/2012 12:00:00 AM +0000,TFS,Audubon Primary Academy,20,26,25,35,29.934984,-90.106205000000003,x,NO107,,x,NO108,Y
POINT (-90.036978605071 30.010520427547),85,NB,4642 Mirabeau Ave,07/19/2017 12:00:00 AM +0000,TFS,Mary D Coghill School,20,26,25,35,30.010515000000002,-90.036973000000003,x,NO142 / A_B,,x,A,Y
POINT (-90.098523618645 29.921097405988),96,WB,4118 Magazine St,09/11/2017 12:00:00 AM +0000,TFS,Ecole Bilingue de la Nouvelle-Orleans,20,26,30,40,29.921092000000002,-90.098517999999999,x,NO156 / A_B,,x,A,Y
POINT (-90.086004617964 29.999285423581),43,NB,Wisner Blvd @ Harrison Ave,07/07/2010 12:00:00 AM +0000,SOG,,,,40,50,29.999279999999999,-90.085999000000001,,NO67,,,,Y
POINT (-90.087100615875 29.941732410721),79,NB,2418 Jackson Ave,,TFS,Mahalia Jackson Elementary School,20,26,25,35,29.941727,-90.087095000000005,x,NO136 / A_B,,x,A,Y
