ID,Name,StationCode1,StationCode2,Description,Lat,Lon
40,"EAST ENTRANCE (EAST SIDE ROCKVILLE PIKE, NORTHWEST OF PARKLAWN DR & WICOMICO AVE)",A13,,"Passageway from east side of the station is accessible by bus bay, kiss&ride and parking lot located east of Parklawn Dr and Twinbrook Pkwy.",39.062326,-77.120416
145,"MAIN ENTRANCE (WEST PENNSY DR, NORTH OF LANDOVER RD)",D12,,"Station entrance is accessible by the walkway from parking lot, bus bay and kiss&ride area located west of Pennsy Dr.",38.933429,-76.891189
74,WEST ENTRANCE (WEST SIDE OF GEORGIA AVE FROM GLENALLAN AVE),B11,,Station entrance from west of Georgia Ave and is accessible from Georgia Ave sidewalks and  from Urbana Dr and Flack St walkway to the station.,39.061783,-77.053599
72,WEST ELEVATOR ENTRANCE (WEST SIDE OF GEORGIA AVE FROM GLENALLAN AVE),B11,,Street level elevator from west from Georgia Ave next to metered parking area.,39.061956,-77.05361
71,EAST ELEVATOR ENTRANCE (EAST SIDE OF GEORGIA AVE FROM LAYHILL RD),B11,,"Street level elevator from east of Georgia Ave, and is accessible from Glenallan Ave to the metered parking space and parking garage.",39.062246,-77.053358
73,EAST ENTRANCE (EAST SIDE OF GEORGIA AVE FROM LAYHILL RD),B11,,"Station entrance from east side of Georgia Ave, and is accessible from parking garage and bus bay area.",39.062312,-77.053179
201,NORTH ENTRANCE (WALKWAY FROM GARRET A MORGAN BLVD & SGT HARTMAN LN),G04,,Station entrance is accessible from walkway at Garret A Morgan Blvd and SGT Hartman Ln.,38.893764,-76.868543
202,SOUTH ENTRANCE (GARRET A MORGAN BLVD & FIELDSTONE WAY),G04,,Station entrance from bus bay and parking located west side of Garret A Morgan Blvd.,38.893551,-76.868402
43,"WEST ENTRANCE (ROCKVILLE PIKE EXIT, SOUTHEAST OF PARK RD & ROCKVILLE PIKE)",A14,,"Station west side entrance is accessible from bus bay, metered parking located southeast of Park Rd/ Rockville Pike and from the pedestrian bridge originates from the opposite building.",39.084471,-77.146574
42,"EAST ENTRANCE (EAST SIDE EXIT, SOUTHWEST CORNER OF S STONESTREET AVE & PARK RD)",A14,,Passageway to station east side is accessible from park&ride and bus bay located at the southwest corner of S.Stonestreet Ave/Park Rd and from the sidewalks from Park Road.,39.084676,-77.146276
147,"NORTHWEST ENTRANCE (IRS EXIT, SE OF ELLIS RD & HARKINS RD)",D13,,"Canopied entrance  (towards passageway to station) from west side of the station is accessible from pedestrian bridge from IRS building, bus bay and parking lot located southeast corner of Ellis Rd and Harkins Rd.",38.948458,-76.872344
146,NORTHWEST ELEVATOR ENTRANCE (ADJACENT TO NORTHWEST ENTRANCE),D13,,"Entrance elevator( towards passageway to station) is adjacent to west side escalator and is accessible from IRS pedestrian bridge, parking lot and bus bay located southeast corner of Ellin Rd and Harkins Rd.",38.948423,-76.872176
148,MAIN ENTRANCE (SW OF GARDEN CITY DR & CORPORATE DR),D13,,East side station entrance is accessible from bus bay and parking lot located southwest corner of Garden City Dr and Corporate Dr.,38.947915,-76.871785
171,"WEST ENTRANCE (TUNNEL EXIT, LACKAWANNA ST & 53RD AVE)",E10,,Passageway from the intersection of Lackawanna St and 53rd Ave towards the station (tunnel goes under MARC train tracks).,39.010818,-76.911942
172,"EAST ENTRANCE (PARKING EXIT, GREENBELT METRO DR & CHERRYWOOD LN)",E10,,"Station entrance is accessible  by the walkway from bus bay, Kiss&Ride, and parking lot located on the east side of the station.",39.010833,-76.911018
204,NORTH ENTRANCE (ACCESS FROM NORTH PARKING GARAGE AND BUSBAY),G05,,Facility entrance from west side of the station is accessible from bus bay and north side parking garage.,38.900147,-76.845257
203,MAIN ENTRANCE (N HARRY S TRUMAN DR & LARGO DR),G05,,Canopied entrance located east side of the station and is reachable by the walkway from parking lot and south parking garage.,38.899866,-76.844917
45,WEST ENTRANCE (EAST OF SUMMERVILLE DR),A15,,West side station entrance from bus bay and parking lot is located east of Somerville Dr.,39.119939,-77.16501
44,WEST ELEVATOR ENTRANCE (ADJACENT TO WEST ENTRANCE),A15,,Street level elevator to station is located next to west side escalator and is accessible from bus bay and parking lot.,39.120076,-77.165004
46,EAST ENTRANCE (NORTHWEST CORNER OF CRABBS BRANCH WAY & REDLAND RD),A15,,Passageway from east side of the station accessible from bus bay and parking garage located northwest corner of Crabbs Branch Way and Redland Rd.,39.120423,-77.164433
