Month Key,Month-Year,Total Incidents,Austin Incidents,Travis County Incidents,Other Area Incidents,Combined Austin and Travis County Incidents,Austin P1 Incidents,Austin P2 Incidents,Austin P3 Incidents,Austin P4 Incidents,Austin P5 Incidents,Travis County P1 Incidents,Travis County P2 Incidents,Travis County P3 Incidents,Travis County P4 Incidents,Travis County P5 Incidents,Overall On-Time Compliance,Austin On-Time Compliance,Travis County On-Time Compliance,Austin P1 On-Time Compliance,Austin P2 On-Time Compliance,Austin P3 On-Time Compliance,Austin P4 On-Time Compliance,Austin P5 On-Time Compliance,Travis County P1 On-Time Compliance,Travis County P2 On-Time Compliance,Travis County P3 On-Time Compliance,Travis County P4 On-Time Compliance,Travis County P5 On-Time Compliance,Target On-Time Compliance
201508,08/01/2015 12:00:00 AM,11729,9994,1707,28,11701,757,2122,2140,3877,1098,109,448,262,689,199,94.69,95.61,89.18,89.29,94.59,97.23,97.50,93.65,83.00,83.75,90.13,93.86,91.89,90
201509,09/01/2015 12:00:00 AM,11232,9590,1609,33,11199,721,2208,2082,3658,921,128,406,282,641,152,95.09,96.08,89.06,92.89,95.20,97.21,97.56,93.63,75.86,81.56,90.48,96.45,94.29,90
201510,10/01/2015 12:00:00 AM,11448,9644,1786,18,11430,732,2081,1991,3779,1061,122,436,315,734,179,94.42,95.32,89.27,91.68,94.00,97.01,96.92,93.04,77.57,83.38,91.51,94.94,91.30,90
201511,11/01/2015 12:00:00 AM,10179,8583,1569,27,10152,640,1952,1686,3299,1006,114,404,275,611,165,94.49,95.36,89.60,88.67,94.83,97.05,97.20,93.19,74.76,85.75,92.08,96.14,88.24,90
201512,12/01/2015 12:00:00 AM,10346,8688,1650,8,10338,684,1910,1709,3456,929,122,409,259,693,167,95.94,96.65,92.12,91.90,95.84,97.90,98.12,95.26,81.74,88.24,93.97,96.57,93.04,90
201601,01/01/2016 12:00:00 AM,10327,8705,1608,14,10313,662,1920,1739,3409,975,129,403,281,621,174,96.06,96.94,91.23,94.88,96.42,98.28,97.80,94.73,81.15,87.02,91.73,96.37,94.41,90
201602,02/01/2016 12:00:00 AM,10401,8788,1585,28,10373,686,1980,1686,3474,962,123,424,298,577,163,95.18,95.97,90.88,93.23,95.70,97.01,97.76,92.01,81.20,85.22,93.70,96.05,93.59,90
201603,03/01/2016 12:00:00 AM,11184,9408,1751,25,11159,756,2105,1839,3640,1068,144,457,328,683,139,95.33,96.25,90.31,91.09,95.85,97.60,97.62,94.74,77.37,86.84,91.28,96.40,91.47,90
201604,04/01/2016 12:00:00 AM,11049,9329,1700,20,11029,710,2073,1879,3694,973,133,432,250,705,180,94.61,95.42,90.06,90.42,93.64,97.07,97.59,93.33,79.03,86.44,90.91,95.42,89.87,90
201605,05/01/2016 12:00:00 AM,11336,9486,1827,23,11313,726,2030,1916,3791,1023,149,489,289,744,156,95.30,96.04,91.33,92.49,94.43,97.44,98.38,92.69,75.86,89.18,91.80,95.76,94.24,90
201606,06/01/2016 12:00:00 AM,11311,9514,1784,13,11298,747,2115,1907,3601,1144,121,436,325,716,186,94.29,95.38,88.40,90.91,94.80,96.43,96.97,93.77,76.15,83.38,89.75,93.86,89.94,90
201607,07/01/2016 12:00:00 AM,11167,9411,1735,21,11146,748,2099,1955,3570,1039,132,480,283,667,173,95.05,95.98,89.95,90.13,95.04,97.46,97.59,94.92,72.17,87.38,93.46,93.82,93.46,90
201608,08/01/2016 12:00:00 AM,11222,9556,1649,17,11205,789,2064,2139,3531,1033,119,436,271,642,181,93.92,94.86,88.55,91.20,92.75,96.74,96.61,93.40,71.82,84.92,91.67,94.77,87.12,90
201609,09/01/2016 12:00:00 AM,11037,9269,1750,18,11019,760,2027,2188,3354,940,124,444,316,676,190,93.68,94.63,88.52,90.68,92.59,95.83,96.66,93.80,72.64,85.68,86.85,96.04,88.70,90
201610,10/01/2016 12:00:00 AM,11404,9672,1707,25,11379,774,2131,2128,3604,1035,116,402,324,683,182,95.00,95.53,92.02,91.70,94.39,97.13,97.16,93.10,77.57,87.90,92.36,97.42,94.12,90
201611,11/01/2016 12:00:00 AM,10589,8950,1619,20,10569,701,1958,1835,3454,1002,131,381,286,651,170,94.91,95.42,92.13,91.12,94.41,96.97,97.38,92.37,76.92,90.21,94.91,95.81,92.59,90
201612,12/01/2016 12:00:00 AM,11043,9372,1650,21,11022,749,2079,2000,3468,1076,103,406,305,656,180,94.53,95.37,89.83,91.28,94.08,96.76,96.84,94.23,77.42,83.99,91.79,95.21,91.76,90
201701,01/01/2017 12:00:00 AM,10958,9318,1606,34,10924,821,2209,1958,3286,1044,113,390,320,610,173,94.76,95.33,91.45,91.84,93.48,96.24,97.64,94.36,79.81,88.99,90.82,96.87,92.55,90
201702,02/01/2017 12:00:00 AM,10306,8905,1388,13,10293,820,2085,1955,3090,955,110,364,255,534,125,94.27,95.00,89.66,91.44,94.18,96.21,96.93,92.32,79.25,87.19,91.63,92.44,93.28,90
201703,03/01/2017 12:00:00 AM,11908,10335,1553,20,11888,862,2331,2253,3734,1155,131,392,274,581,175,94.45,95.23,89.42,90.78,95.05,96.52,96.76,92.33,78.57,86.30,88.98,94.71,92.95,90
201704,04/01/2017 12:00:00 AM,11370,9794,1552,24,11346,903,2178,2251,3456,1006,123,391,264,609,165,94.71,95.39,90.43,93.91,94.03,96.30,97.16,92.82,70.80,87.69,91.21,95.51,96.60,90
201705,05/01/2017 12:00:00 AM,11027,9531,1483,13,11014,709,2057,2238,3388,1139,128,349,284,573,149,94.44,95.20,89.55,90.96,93.84,96.63,96.92,93.53,84.35,86.18,88.89,93.96,90.98,90
201706,06/01/2017 12:00:00 AM,10708,9256,1437,15,10693,777,1930,2184,3292,1073,132,340,268,535,162,93.91,94.93,87.21,89.38,93.43,96.82,97.01,93.00,69.35,80.49,91.84,95.21,90.60,90
201707,07/01/2017 12:00:00 AM,10742,9221,1504,17,10725,709,1964,2079,3295,1174,125,360,265,577,177,94.61,95.60,88.55,89.53,94.00,97.18,97.24,95.62,76.15,84.47,87.08,95.93,90.45,90
201708,08/01/2017 12:00:00 AM,10820,9387,1413,20,10800,777,1977,2198,3333,1102,113,328,273,544,155,94.37,95.08,89.50,89.22,93.71,96.31,97.44,93.49,76.53,84.15,90.69,96.07,91.85,90
201709,09/01/2017 12:00:00 AM,10909,9417,1475,17,10892,842,2004,2148,3304,1119,97,376,279,564,159,93.64,94.42,88.50,89.52,93.57,96.24,96.00,92.59,81.11,82.50,89.64,93.66,92.52,90
201710,10/01/2017 12:00:00 AM,10466,9263,1161,42,10424,829,1989,2032,3301,1112,92,295,206,443,125,93.53,94.21,88.11,86.72,93.75,96.49,96.08,91.15,74.16,86.91,84.26,93.68,89.92,90
201711,11/01/2017 12:00:00 AM,9800,8636,1130,34,9766,798,1909,1900,3095,934,84,284,214,433,115,94.31,95.21,87.38,89.89,93.97,96.46,97.53,92.51,80.49,79.41,89.37,93.66,87.74,90
201712,12/01/2017 12:00:00 AM,10140,8895,1203,42,10098,784,2011,2008,3120,972,76,310,247,437,133,94.25,95.13,87.71,90.49,94.04,95.92,97.20,93.36,59.15,85.62,88.52,93.62,89.60,90
201801,01/01/2018 12:00:00 AM,10660,9441,1177,42,10618,850,2235,2127,3119,1110,103,324,232,432,86,94.23,95.04,87.64,89.54,92.98,96.60,97.43,94.30,72.73,83.23,87.44,94.95,89.29,90
201802,02/01/2018 12:00:00 AM,9416,8319,1057,40,9376,729,1844,1871,2914,961,91,285,220,374,87,94.31,95.09,88.16,91.09,93.68,96.76,97.05,92.13,69.32,85.56,88.32,94.15,92.77,90
201803,03/01/2018 12:00:00 AM,10543,9319,1177,47,10496,772,2040,2146,3341,1020,91,303,216,446,121,94.86,95.44,90.16,91.13,93.86,96.91,96.64,95.10,82.95,84.48,91.41,94.69,92.98,90
201804,04/01/2018 12:00:00 AM,10012,8854,1124,34,9978,685,1935,2042,3206,986,84,290,199,441,110,94.51,95.26,88.58,88.10,94.36,96.02,97.39,94.01,74.70,81.45,91.15,95.12,89.32,90
201805,05/01/2018 12:00:00 AM,10913,9664,1213,36,10877,811,2180,2360,3264,1049,88,306,215,480,124,94.35,95.06,88.59,90.79,93.69,96.16,97.00,93.09,73.49,85.08,88.06,94.47,88.14,90
201806,06/01/2018 12:00:00 AM,10368,9225,1114,29,10339,799,2044,2184,3102,1096,71,287,197,436,123,94.54,95.09,89.98,90.44,94.42,96.17,96.84,92.92,70.15,89.82,84.78,95.29,92.50,90
201807,07/01/2018 12:00:00 AM,10502,9211,1259,32,10470,803,1952,2241,3162,1053,103,310,252,449,145,95.03,95.80,89.40,92.44,95.54,96.23,97.01,94.52,72.55,83.28,90.38,95.99,94.29,90
201808,08/01/2018 12:00:00 AM,10455,9305,1112,38,10417,751,1972,2298,3189,1095,89,249,217,444,113,95.23,96.00,88.77,91.25,94.83,97.05,97.69,94.53,76.54,81.56,86.83,96.35,90.91,90
201809,09/01/2018 12:00:00 AM,10145,8960,1149,36,10109,684,1935,2098,3182,1061,92,266,241,420,130,94.75,95.49,88.97,89.53,93.91,96.83,97.92,92.81,62.50,85.27,91.30,95.17,92.56,90
201810,10/01/2018 12:00:00 AM,10531,9291,1207,33,10498,656,2172,2061,3281,1121,82,315,229,460,121,94.02,94.62,89.36,89.46,93.73,95.68,96.52,92.09,77.92,84.00,90.37,93.50,94.74,90
201811,11/01/2018 12:00:00 AM,9555,8421,1104,30,9525,605,1923,1921,2989,983,80,285,223,399,117,94.80,95.34,90.63,91.87,94.60,95.44,97.13,93.60,77.33,84.64,92.99,95.91,93.86,90
201812,12/01/2018 12:00:00 AM,9800,8664,1103,33,9767,619,2048,1872,3055,1070,87,275,207,405,129,94.64,95.20,90.11,89.16,93.17,96.72,97.26,94.42,70.24,88.85,90.20,95.31,91.80,90
201901,01/01/2019 12:00:00 AM,9595,8385,1171,39,9556,571,2040,1742,3022,1010,74,327,252,411,107,94.84,95.30,91.57,90.11,94.39,96.06,97.07,93.80,71.43,88.71,92.65,96.14,95.28,90
201902,02/01/2019 12:00:00 AM,9204,8149,1031,24,9180,582,1981,1728,2870,988,68,286,192,389,96,94.19,94.58,91.01,91.68,93.07,95.39,96.86,91.78,75.38,86.40,91.62,96.59,93.26,90
201903,03/01/2019 12:00:00 AM,10586,9363,1183,40,10546,719,2199,2167,3221,1057,77,334,230,430,112,93.48,93.99,89.42,88.30,92.46,95.55,96.07,91.93,82.43,83.75,90.14,94.93,90.48,90
201904,04/01/2019 12:00:00 AM,10416,9217,1164,35,10381,662,2083,2102,3316,1054,80,287,229,444,124,93.50,93.84,90.84,89.97,91.95,95.19,96.01,91.00,83.12,85.29,88.24,97.15,92.98,90
201905,05/01/2019 12:00:00 AM,11091,9812,1247,32,11059,693,2188,2334,3485,1112,88,318,259,461,121,93.86,94.37,89.86,89.72,92.48,94.98,96.38,93.83,86.08,82.51,89.11,96.22,91.45,90
201906,06/01/2019 12:00:00 AM,10932,9763,1134,35,10897,752,2074,2417,3348,1172,79,278,232,421,124,93.51,93.88,90.30,89.62,91.67,94.53,96.45,92.34,71.83,84.15,88.89,98.01,94.96,90
201907,07/01/2019 12:00:00 AM,11080,9812,1228,40,11040,744,2272,2245,3382,1169,78,349,216,451,134,93.79,94.52,87.82,87.72,93.05,95.97,96.64,93.22,77.14,79.22,87.68,95.81,92.56,90
201908,08/01/2019 12:00:00 AM,11529,10218,1282,29,11500,730,2242,2453,3577,1216,80,321,278,469,134,93.32,94.01,87.74,90.98,92.47,94.97,96.06,91.12,73.24,81.05,88.93,95.41,85.83,90
201909,09/01/2019 12:00:00 AM,11076,9867,1171,38,11038,735,2224,2374,3366,1168,83,292,250,428,118,93.29,93.51,91.43,87.91,91.97,94.18,95.96,91.97,81.82,87.96,92.83,95.45,90.09,90
201910,10/01/2019 12:00:00 AM,11011,9762,1212,37,10974,722,2192,2223,3415,1210,77,303,246,444,142,93.43,93.89,89.78,89.13,92.24,94.89,95.74,92.89,78.67,86.11,87.61,94.95,92.42,90
201911,11/01/2019 12:00:00 AM,10219,9031,1150,38,10181,727,2039,2020,3138,1107,66,303,200,435,146,94.82,95.32,90.72,91.15,94.36,96.03,96.79,94.63,87.10,85.77,86.17,96.66,93.28,90
201912,12/01/2019 12:00:00 AM,10163,8907,1221,35,10128,661,2124,1977,3078,1067,85,306,263,440,127,93.71,94.34,88.99,89.11,92.68,95.55,96.32,93.23,72.15,83.11,86.40,96.19,98.28,90
202001,01/01/2020 12:00:00 AM,10416,9118,1265,33,10383,662,2111,2040,3125,1180,100,335,254,449,127,94.14,94.87,88.75,89.67,93.22,96.50,96.60,93.74,74.47,84.66,89.67,95.17,87.70,90
202002,02/01/2020 12:00:00 AM,10225,9039,1159,27,10198,711,2061,2056,3039,1172,81,294,236,424,124,93.99,94.57,89.35,89.43,93.00,95.57,97.13,92.54,76.62,82.98,88.50,96.19,93.22,90
202003,03/01/2020 12:00:00 AM,10432,9132,1244,56,10376,678,2183,2030,3088,1153,78,328,255,454,129,94.47,94.95,90.94,89.40,92.87,97.07,96.93,93.52,75.34,85.67,93.00,95.47,95.04,90
202004,04/01/2020 12:00:00 AM,8880,7652,1099,129,8751,595,1617,1931,2426,1083,91,286,254,324,144,95.20,96.00,89.44,89.01,92.92,97.17,98.41,97.50,72.62,83.77,89.47,97.37,95.45,90
