RequestID,IndexNumber,TenantName,TenantFloor,TenantBuildingNumber,TenantStreetName,TenantCity,TenantStateCode,TenantPostcode,TenantBorough,OwnerName,OwnerFloor,OwnerStreetAddress,OwnerCity,OwnerStateCode,OwnerZipCode,FloorSuiteRequested,NoOfBicycleRequested,BBL,BIN,DateofRequest,RequestDateofEntry,ImplementDate,PlanPostDate,PlanSubmitDate,ExceptionRequestDueDate,TenantNotificationExceptionDate,LocationOfEntrances,RouteToElevators,RegularHoursOfOperation,PlandDateReceived,AlternateParkingLocation,AlternateParkingDescription,NoOfBicycleAccomodate,RouteToAlternateParking,ParkingExceptionDateReceived,ParkingExceptionDateofEntry,DOBDeviceNumber,DateOfBuilding,DateOfElevator,MethodOfElevator,SelfServiceOrOperator,IsCarTop,IsCarDoor,ElevatorExceptionDateReceived,ElevatorExceptionHardCopyReceived,ElevatorExceptionDateofEntry,RequestStatus
1899,BIB14000148,Lindsey Adelman Studio,8th Fl,324,Lafayette St,New York,NY,10012,Manhattan,Weber-Farhat Realty Management,Suite 805,236 West 26th St,New York,NY,10001,8th fl,8,1005220028,1008216,,07/22/2014,,,,,,159 Crosby Street,Direct entrance from 159 Crosby Street by freight elevator,From 8am-12pm & 1pm - 4pm,07/28/2014,,,,,,,,,,,,,,,,,Hold
2170,BIB15000143,Mount Kellett,4E,280,Park Ave,New York,NY,10017,Manhattan,Broadway 280 Park Fee LLC,35th,280 Park Ave West,New York,NY,10017,Bike room,1,1012840033,1035441,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
671,BIB10000594,"Pzena Investment Management, LLC",20,120,West 45th Street,New York,NY,10036,Manhattan,SL Green,9th Floor,120 West 45th Street,New York,NY,10036,"15, 20, 21",5,1009970041,1069581,09/15/2010,09/15/2010,05/27/2011,06/01/2011,06/06/2011 12:00:00 AM,05/12/2011,05/27/2011,"Loading dock entrance located on 45th street, west of building entrance.","Enter building through loading dock and take a ramp to the service corridor, which leads to the high rise elevators.  The freight car services floors 2 - 39.",7:00am-12:00pm & 1:00pm-5:30pm,04/28/2011,,,,,,,,,,,,,,,,,Pending
2124,BIB15000097,Institute of Culinary Education,3,225,Liberty Street,New York,NY,10281,Manhattan,Kevin Poltie,Street Lev,225 Liberty Street,new york,NY,10281,C Lvevel Van Dock,20,1000160125,1000058,05/21/2015,07/14/2015,10/09/1999,10/14/1999,10/19/1999 12:00:00 AM,09/24/1999,10/09/1999,Entrance to the Van/Loading dock is at the corner of West Street and Liberty Street,Elevators are at the left of the bicycle parking.,Monday - Friday 7am - 6pm,07/14/2015,,,,,,,,,,,,,,,,,Pending
1345,BIB12000283,IIFL Inc,34th Floor,1114,Avenue of the Americas,new york,NY,10036,Manhattan,Brookfeild Management,34th floor,1114 Avenue of the Americas,New York,NY,10036,34th floor,1,1012580009,1034196,08/17/2012,08/17/2012,01/31/1999,02/05/1999,02/10/1999 12:00:00 AM,01/16/1999,01/31/1999,,,,,,,,,,,,,,,,,,,,,Pending
1914,BIB14000163,The Pinkerton Foundation,316,610,Fifth Avenue,New York,NY,10020,Manhattan,Tishman Speyer,820,10 Rockefeller Plaza,New York,NY,10020,Suite 316,1,1012650050,1082656,,07/30/2014,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
860,BIB11000133,Niche Media,7th floor,100,Church Street,New York,NY,10007,Manhattan,SL Green,2nd floor,100 Church Street,New York,NY,10007,7th floor,10,1001250020,1001409,06/02/2011,06/02/2011,07/06/2011,07/11/2011,07/16/2011 12:00:00 AM,06/21/2011,07/06/2011,,,,,,,,,,,,,,,,,,,,,Pending
1578,BIB13000133,Smile Train,28,41,Madison Avenue,New York,NY,10010,Manhattan,Rudin Management,Basement,41 Madison Ave,New York,NY,10010,28th Floor,1,1008550037,1016749,,05/15/2013,,,,,,Freight entranceon 26th street side of 41 Madison Ave,Freight entrance thru freight hallway to freight elevator>,"8am to 6pm, Monday thru Friday.",05/17/2013,,,,,,,,,,,,,,,,,Hold
1311,BIB12000249,Tannenbaum Helpern Syracuse & Hirschtritt LLP,13,900,Third Avenue,New York,NY,10022,Manhattan,Paramount Group,14,900 Third Avenue,New York,NY,10022,1300,2,1013090032,1081162,07/26/2012,07/26/2012,08/29/2012,09/03/2012,09/08/2012 12:00:00 AM,08/14/2012,08/29/2012,Loading Dock / Messenger Center Entrace located on 54th street between Lexington Avenue and Third Avenue.,Bicycle would enter throught the Loading Dock / Messenger Center Doors through a service vestibule and service hallway to the Freight / Service Elevator to the designated floor.,8 a.m. to 5 p.m. Monday to Friday (Excluding building holidays).,03/06/2013,,,,,,,,,,,,,,,,,Pending
2707,BIB18000085,Godiva Chocolatier,6,333,West 34th Street,New York,NY,10001,Manhattan,Brookfield,,333 w 34th Street,New York,NY,10001,6,1,1007580016,1013558,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
1616,BIB13000171,Greater Than One,4,395,Hudson St,Manhattan,NY,10014,Manhattan,Cushman & Wakefield AAF NYC District Council Carp.,1,395 Hudson St,New York,NY,10014,4th floor,15,1006007501,1010382,,06/11/2013,,,,,,Bicycle access will be limited to the Clarkson Street loading dock gate entrance.,Bicycles may access the loading dock gate closest to Hudson Street and continue up ramp to security desk. Tenants requesting bicycle access must display and swipe their building suppiled access card on loading dock card reader as wel as sign & out log book. Normal tenant access to building lobby throughout the day must be maintained via passenger elevators.,Per the Greater than One lease normal freight access hours are Monday to Friday 8:00 am - 4:00 pm,06/15/2013,,,,,,,,,,,,,,,,,Hold
78,BIB10000001,Synapse Medical Communications LlC,18th Floor,666,Third  Avenue,New York,NY,10017,Manhattan,Tishman Speyer,27th Floor,405 Lexington Avenue,New York,NY,10174,18th Floor,2,1012970033,1036161,01/04/2010,01/04/2010,01/31/1999,02/05/1999,02/10/1999 12:00:00 AM,01/16/1999,01/31/1999,,,,,Secure storage space off of the 666 Third Ave (Chrysler East) loading dock.,"Covered 1,106 sf space accessible only via the loading dock.",We plan on initially establishing a 16 bike storage space and expand as needed.,The loading dock closest to 3rd Avenue on the south side of 43rd Street between 3rd and Lex.,,01/20/2010,,,,,,,,,,,Pending
251,BIB10000174,"Pearl Cohen Zedek Latzer, LLP",12,1500,Broadway,New York,NY,10036,Manhattan,CBRE,708,"1500 Broadway, Suite 708",New York,NY,10036,12th Floor,4,1009960001,1022610,03/10/2010,03/10/2010,01/31/1999,02/05/1999,02/10/1999 12:00:00 AM,01/16/1999,01/31/1999,Loading dock on 43rd between Sixth Avenue and Broadway. Tenants must enter and exit through the loading dock with a valid building Identification card when transporting a bicycle.,Loading dock to freight elevator.,8:00 AM - 5:00 PM - Monday - Friday (excluding holidays).,03/17/2010,,,,,,,,,,,,,,,,,Pending
90,BIB10000013,Fortress Investment Group LLC,20,1345,Avenue of the Americas,New York,NY,10105,Manhattan,1345 Leasehold LLC,Concourse,1345 Avenue of the Americas,New York,NY,10105,concourse level23rd floor46th floor,15,1010070029,1083719,01/08/2010,01/08/2010,01/31/1999,02/05/1999,02/10/1999 12:00:00 AM,01/16/1999,01/31/1999,54th Street Loading Dock entrance (located between Avenue of the Americas and 7th Avenue),Enter through 1345 Building Loading Dock on 54th Street. Present valid building ID to building security guard. Take loading dock elevator down one (1) floor to Concourse level. Exit loading dock elevator and proceed left down corridor to building freight elevators. Enter freight elevator and provide attendant with floor request. Exit freight elevator onto your floor.,Business days between the hours of 8am and 6pm,02/04/2010,,,,,,,,,,,,,,,,,Pending
2166,BIB15000139,Hampton Forge Ltd,14th,41,Madison ave,New York,NY,10010,Manhattan,Rudin Management Co. Inc.,A-Level,41 Madison Ave,New York,NY,10010,14th,1,1008550037,1016749,,,,,,,,Freight entrance on 26th street side of 41 Madison Ave,Freight entrance thru freight hallway to freight elevator,"8am to 6pm, Monday thru Friday",,,,,,,,,,,,,,,,,,Hold
618,BIB10000541,Morgan Stanley,6th Floor,300,Cadman Plaza West,Brooklyn,NY,11201,Brooklyn,Forest City,Lobby,300 Cadman Plaza West,Brooklyn,NY,11201,4th thru 8th floors,1,3002390001,3001937,07/26/2010,07/26/2010,01/31/1999,02/05/1999,02/10/1999 12:00:00 AM,01/16/1999,01/31/1999,"Cadman Plaza West Loading Dock entrance - 117 feet west of lobby entrance. Freight elevator SC-2 is in rear of loading dock, door and call button on left.","Cadman Plaza West Loading Dock entrance 45 feet to ramp, additional 15 feet to top of loading dock, SC-2 door is on left.","Monday to Friday 8:00 AM to 12:00 PM, 1:00 PM to 5:00 PM",08/09/2010,,,,,,,,,,,,,,,,,Pending
2439,BIB16000191,MTA,11th Floor,420,Lexington Avenue,New York,NY,10170,Manhattan,SL Green,,420 Lexington Ave,New York,NY,10170,"2,5,7,9,10,11,12",30,1012800060,1035385,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
311,BIB10000234,Empire State Development Corporation,34,633,Third Avenue,New York,NY,10017,Manhattan,633 Third Avenue Condominium,Sub baseme,633 Third Avenue,New York,NY,10017,33-37,15,1013147502,1037174,04/02/2010,04/02/2010,01/31/1999,02/05/1999,02/10/1999 12:00:00 AM,01/16/1999,01/31/1999,,,,,,,,,,,,,,,,,,,,,Pending
