HouseOfWorship,StreetAddress,City,State,Postcode,EntryDate,PermitNumber,DateIssue,DateExpiry,PermitStatus,PermitType,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
St. Brigid & St. Emeric Church,119 Avenue B,New York,NY,10009,05/23/2008,2019-5557,05/06/2019,05/31/2020,Active,Renew,1,40.725406,-73.980958,3,2,2602,1004732,1003900105,Lower East Side,POINT (-73.980958 40.725406)
Our Lady of Mercy Roman Catholic Church,70-01 Kessel Street,Forest Hills,NY,11375,05/20/2008,2019-5549,05/06/2019,05/31/2020,Active,Renew,4,40.713984,-73.850964,6,29,729,4077259,4032250001,Forest Hills,POINT (-73.850964 40.713984)
Paradise Baptist Church,23 Fort Washington Avenue,New York,NY,10032,05/21/2008,2019-5661,07/09/2019,07/31/2020,Active,Renew,1,40.835936,-73.944683,12,7,247,1063317,1021360053,Washington Heights South,POINT (-73.944683 40.835936)
Full Gospel Assembly,836 Franklin Avenue,Brooklyn,NY,11225,05/08/2008,2019-5896,11/06/2019,11/30/2020,Active,Renew,3,40.669382,-73.958448,9,35,213,3029692,3011870053,Crown Heights South,POINT (-73.958448 40.669382)
Saint Nicholas Romanian Orthodox Church,45-03 48th Avenue,Woodside,NY,11377,09/16/2016,2019-5786,09/10/2019,09/30/2020,Active,Renew,4,40.739408,-73.920239,2,26,18502,4002055,4001700061,Hunters Point-Sunnyside-West Maspeth,POINT (-73.920239 40.739408)
Grace Presbyterian Church,201-03 29th Avenue,Bayside,NY,11360,10/02/2010,2019-5810,09/23/2019,10/31/2020,Active,Renew,4,40.771321,-73.788962,11,19,1085,4443990,4059760037,Bayside-Bayside Hills,POINT (-73.788962 40.771321)
First Church of God In Christ,181 Clove Road,Staten Island,NY,10310,05/08/2008,2019-5538,05/03/2019,05/31/2020,Active,Renew,5,40.635801,-74.126468,1,49,13302,5005396,5002010009,West New Brighton-New Brighton-St. George,POINT (-74.126468 40.635801)
Church Of God,836 Classon Ave,Brooklyn,NY,11238,10/11/2011,2019-5890,11/06/2019,11/30/2020,Active,Renew,3,40.672378,-73.960994,8,35,215,3029560,3011770038,Prospect Heights,POINT (-73.960994 40.672378)
Life Together Fellowship,4102 East Tremont Avenue,Bronx,NY,10465,04/17/2013,2019-5672,07/10/2019,07/31/2020,Active,Renew,2,40.818803,-73.817101,10,13,132,2080749,2055890005,Schuylerville-Throgs Neck-Edgewater Park,POINT (-73.817101 40.818803)
Community Church of New York Unitarian Universalis,40 East 35th Street,New York,NY,10016,05/02/2008,2019-5796,09/17/2019,06/30/2020,Active,Replace,1,40.748212,-73.981973,6,2,74,1017107,1008640047,Midtown-Midtown South,POINT (-73.981973 40.748212)
Queens Chinese Presbyterian Church,"9854 Horace Harding Expy, 2nd Floor",New York,NY,11374,03/01/2019,2019-5729,08/05/2019,08/31/2020,Active,Renew,4,40.735151,-73.85961,6,29,71702,4050486,4020930040,Rego Park,POINT (-73.85961 40.735151)
St. Demetrios Cathedral,30-11 30th Drive,Astoria,NY,11102,05/23/2008,2019-5611,06/10/2019,06/30/2020,Active,Renew,4,40.765527,-73.923356,1,22,63,4441083,4005930001,Astoria,POINT (-73.923356 40.765527)
"Korean Evangelical Church Of NY, Inc",88-28 Corona Avenue,Elmhurst,NY,11373,04/09/2014,2019-5531,05/03/2019,05/31/2020,Active,Renew,4,40.740739,-73.876046,4,25,471,4440584,4018340021,Elmhurst,POINT (-73.876046 40.740739)
Masilas Bais Yaakov,420 19th Street,Brooklyn,NY,11215,07/25/2013,2019-5779,09/04/2019,08/31/2020,Active,Renew,3,40.658278,-73.985313,7,38,1502,3017296,3008880007,Windsor Terrace,POINT (-73.985313 40.658278)
Triumphant Full Gospel Assembly,892-900 Rutland Road,Brooklyn,NY,11203,06/03/2008,2019-5497,04/05/2019,04/30/2020,Active,Renew,3,40.660681,-73.929824,17,41,878,3099663,3046050006,Prospect Lefferts Gardens-Wingate,POINT (-73.929824 40.660681)
Iglesia Cristian Lirio De Los Valles,214-46 42nd Avenue,Bayside,NY,11361,07/21/2015,2019-5768,09/03/2019,09/30/2020,Active,Renew,4,40.762935,-73.768915,11,19,1467,4138343,4062990021,Bayside-Bayside Hills,POINT (-73.768915 40.762935)
Fort George Presbyterian Church,1525 St Nicholas Avenue,New York,NY,10033,05/08/2008,2019-5542,05/03/2019,05/31/2020,Active,Renew,1,40.85263,-73.931324,12,10,271,1063981,1021660082,Washington Heights North,POINT (-73.931324 40.85263)
No Limit Beulah Sabbath Pentecostal Church,5417 Avenue N,Brooklyn,NY,11234,10/30/2018,2019-5882,11/04/2019,10/31/2020,Active,Renew,3,40.619217,-73.922764,18,46,690,3345797,3078790003,Flatlands,POINT (-73.922764 40.619217)
Beth Hamedrash Shaarei Yosher,4102 16th Ave,Brooklyn,NY,11204,02/08/2010,2019-5798,09/18/2019,06/30/2020,Active,Renew,3,40.635449,-73.98093,12,39,230,3125720,3053630042,Borough Park,POINT (-73.98093 40.635449)
Queens Herald Church C&MA,65-15 164th Street,Fresh Meadows,NY,11365,01/22/2010,2019-5552,05/06/2019,05/31/2020,Active,Renew,4,40.736482,-73.804751,8,24,122701,4149115,4069050023,Pomonok-Flushing Heights-Hillcrest,POINT (-73.804751 40.736482)
Congregation Beth Israel-West Side Jewish Center,347 West 34th Street,New York,NY,10001,07/27/2010,2019-5763,09/03/2019,09/30/2020,Active,Renew,1,40.75277,-73.994817,4,3,111,1013557,1007580014,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-73.994817 40.75277)
