HouseOfWorship,StreetAddress,City,State,Postcode,EntryDate,PermitNumber,DateIssue,DateExpiry,PermitStatus,PermitType,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
/NYC_OD/OPEN_DATA/scripts/file_geocoder.sh: line 104: cd: /home/fmeserver: No such file or directory,,2020-05-03T07:00:03,,,,,,,,,,,,,,,,,,
Bronx Baptist Church,331 East 187TH Street,Bronx,NY,10458,05/02/2008,2019-5933,12/04/2019,12/31/2020,Active,Renew,2,40.859737,-73.895704,5,15,39902,2010996,2030220048,Bedford Park-Fordham North,POINT (-73.895704 40.859737)
Church of Saint Peter,3245 Kingsbridge Avenue,Bronx,NY,10463,05/23/2008,2019-5937,12/04/2019,12/31/2020,Active,Renew,2,40.882125,-73.904337,8,11,287,2083579,2057560235,Spuyten Duyvil-Kingsbridge,POINT (-73.904337 40.882125)
Congregation Yetev Lev D'Satmar,152-158 Rodney Street,Brooklyn,NY,11211,05/06/2008,2019-5944,12/04/2019,12/31/2020,Active,Renew,3,40.704722,-73.960431,1,33,535,3060123,3021930018,Williamsburg,POINT (-73.960431 40.704722)
Memorial Baptist Church,141 Bishop Preston R. Washington Sr. Pla,New York,NY,10026,07/18/2017,2019-5751,08/28/2019,08/31/2020,Active,Renew,,,,,,,,,,
St. Margaret Mary RC Church,9 -18  27th Avenue,Astoria,NY,11102,05/28/2008,2020-6064,02/03/2020,12/31/2020,Active,Renew,,,,,,,,,,
Church of St. Ann,101 Cromwell Avenue,Staten Island,NY,10304,02/17/2011,2020-6066,02/03/2020,02/28/2021,Active,Renew,5,40.591228,-74.098083,2,50,9602,5048632,5033010055,Old Town-Dongan Hills-South Beach,POINT (-74.098083 40.591228)
Iglesia Mision Cristiana Discipulos de Cristo de C,102-19 37th Avenue,Corona,NY,11368,01/05/2016,2020-6095,02/10/2020,01/31/2021,Active,Renew,4,40.753089,-73.865137,3,21,379,4000000,4017430027,North Corona,POINT (-73.865137 40.753089)
St. Ann's and St. Lucy Church,312 East 110th Street,New York,NY,10029,01/24/2013,2020-6104,02/20/2020,02/28/2021,Active,Renew,1,40.792946,-73.94001,11,8,180,1052848,1016810045,East Harlem North,POINT (-73.94001 40.792946)
New Tabernacle Baptist Church,992 East 181st Street,Bronx,NY,10460,09/05/2012,2019-5979,12/18/2019,11/30/2020,Active,Renew,2,40.844461,-73.879373,6,15,361,2013269,2031330022,East Tremont,POINT (-73.879373 40.844461)
John Hus Moravian Church,153 Ocean Avenue,Brooklyn,NY,11225,05/14/2008,2019-5951,12/04/2019,12/31/2020,Active,Renew,3,40.659277,-73.962606,9,40,79802,3114587,3050260020,Prospect Lefferts Gardens-Wingate,POINT (-73.962606 40.659277)
Saint Spyridon Greek Orthodox Church,124 Wadsworth Avenue,New York,NY,10033,10/26/2017,2019-5973,12/12/2019,01/31/2021,Active,Renew,1,40.848741,-73.935777,12,10,263,1081877,1021630041,Washington Heights South,POINT (-73.935777 40.848741)
Morning Star Full Gospel Assembly,464 East Tremont Avenue,Bronx,NY,10457,04/23/2010,2019-5980,12/18/2019,12/31/2020,Active,Renew,2,40.847084,-73.898377,6,15,395,2009536,2029090024,Claremont-Bathgate,POINT (-73.898377 40.847084)
St. Barnabas Episcopal Church,417 Elton Street,Brooklyn,NY,11208,05/23/2008,2019-5958,12/04/2019,12/31/2020,Active,Renew,3,40.672937,-73.88318,5,37,1166,3089241,3040180033,East New York,POINT (-73.88318 40.672937)
Kehal Bnei Torah,1454 Ocean Parkway,BROOKLYN,NY,11230,11/12/2019,2019-5982,12/18/2019,12/31/2020,Active,Renew,3,40.613257,-73.968416,12,44,440,3173774,3065870033,Ocean Parkway South,POINT (-73.968416 40.613257)
Corpus Christi Church,529 West 121st Street,New York,NY,10027,05/06/2008,2019-5946,12/04/2019,12/31/2020,Active,Renew,1,40.810419,-73.959678,9,7,203,1059650,1019760009,Morningside Heights,POINT (-73.959678 40.810419)
"Sea Of Galilee Pentecostal Temple, Inc.",166 Eldridge Street,New York,NY,10002,12/09/2014,2019-5956,12/04/2019,12/31/2020,Active,Renew,1,40.720066,-73.990978,3,1,18,1005480,1004150007,Chinatown,POINT (-73.990978 40.720066)
Congregation Khal Keser Yisroel Mordechai,2016 Avenue L,Brooklyn,NY,11210,10/07/2013,2019-5941,12/04/2019,12/31/2020,Active,Renew,3,40.620971,-73.955218,14,48,760,3209164,3076380046,Midwood,POINT (-73.955218 40.620971)
Bryant Memorial Zion Baptist Church,411 West 154th Street,New York,NY,10032,12/14/2015,2019-5967,12/09/2019,12/31/2020,Active,Renew,1,40.83033,-73.942061,9,7,23501,1061691,1020680061,Hamilton Heights,POINT (-73.942061 40.83033)
Chinese Evangel Mission Church,97 Madison Street,New York,NY,10002,06/17/2011,2019-5974,12/13/2019,08/31/2020,Active,Replace,1,40.712214,-73.995506,3,1,8,1003334,1002770012,Chinatown,POINT (-73.995506 40.712214)
St. Lukes's Episcopal Church,777 East 222nd Street,Bronx,NY,10467,12/19/2019,2019-5986,12/19/2019,12/31/2020,Active,New,2,40.885043,-73.859564,12,12,396,2087706,2048360007,Williamsbridge-Olinville,POINT (-73.859564 40.885043)
Beulah Baptist Church,125 West 130th Street,New York,NY,10027,05/01/2008,2019-5977,12/13/2019,12/31/2020,Active,Renew,1,40.81134,-73.94409,10,9,226,1058033,1019150018,Central Harlem North-Polo Grounds,POINT (-73.94409 40.81134)
Latin American Pentl Cog Inc Arch Of Refuge,213 Manhattan Avenue 2nd Fl.,New York,NY,10025,05/15/2008,2019-5966,12/09/2019,12/31/2020,Active,Renew,,,,,,,,,,
Rugby Deliverance Tabernacle,4901 Snyder Avenue,Brooklyn,NY,11203,05/28/2008,2019-5984,12/19/2019,12/31/2020,Active,Renew,3,40.650065,-73.93106,17,45,860,3102843,3046970039,East Flatbush-Farragut,POINT (-73.93106 40.650065)
Tian Fu United Methodist Church,4616 4th Ave,Brooklyn,NY,11220,11/25/2017,2019-5960,12/04/2019,12/31/2020,Active,Renew,3,40.648565,-74.010407,7,38,80,3011823,3007550045,Sunset Park West,POINT (-74.010407 40.648565)
Charity Baptist Church Of Christ Inc,1701 Townsend Avenue,Bronx,NY,10453,04/23/2010,2019-5983,12/19/2019,12/31/2020,Active,Renew,2,40.846381,-73.912156,5,14,22701,2008187,2028490040,Mount Hope,POINT (-73.912156 40.846381)
St. Mark AME Church,95 -18 Northern Blvd.,Jackson Heights,NY,11372,07/01/2011,2019-5666,07/09/2019,07/31/2020,Active,Renew,,,,,,,,,,
Manhattan Sephardic Congregation,325 East 75th Street,New York,NY,10021,02/09/2018,2020-6112,02/27/2020,02/28/2021,Active,Renew,1,40.770441,-73.956175,8,5,134,1045143,1014500015,Lenox Hill-Roosevelt Island,POINT (-73.956175 40.770441)
East End Temple,245 East 17th Street,New York,NY,10003,12/09/2014,2019-5975,12/13/2019,12/31/2020,Active,Renew,1,40.734525,-73.984149,6,2,48,1019566,1008980025,Gramercy,POINT (-73.984149 40.734525)
Christ & Saint Stephen's Church,122 West 69th Street,New York,NY,10023,11/03/2011,2019-5936,12/04/2019,12/31/2020,Active,Renew,1,40.77578,-73.980929,7,6,153,1028947,1011400041,Lincoln Square,POINT (-73.980929 40.77578)
Las Maravillas Del Exodo,302 Elton Street,Brooklyn,NY,11208,07/13/2016,2019-5968,12/11/2019,11/30/2020,Active,Renew,3,40.675836,-73.883943,5,37,1166,3088647,3039850020,East New York,POINT (-73.883943 40.675836)
Fellowship Baptist Church,1011 Faile Street,Bronx,NY,10459,10/26/2017,2019-5948,12/04/2019,12/31/2020,Active,Renew,2,40.823688,-73.889539,2,17,119,2006135,2027490056,Hunts Point,POINT (-73.889539 40.823688)
Rising Star Baptist Church,109-25 164th Street,Jamaica,NY,11433,12/04/2015,2019-5955,12/04/2019,12/31/2020,Active,Renew,4,40.694819,-73.788887,12,27,258,4216719,4101820018,South Jamaica,POINT (-73.788887 40.694819)
Congregation Erste Lutowiska Machzik Hadas,262 Delancey Street,New York,NY,10002,10/26/2017,2019-5940,12/04/2019,12/31/2020,Active,Renew,1,40.716288,-73.981065,3,2,2201,1004069,1003330010,Lower East Side,POINT (-73.981065 40.716288)
St. Eleftherios Greek Orthodox Church,359 W 24th Street,New York,NY,10011,12/12/2019,2019-5972,12/12/2019,12/31/2020,Active,New,1,40.74683,-74.000426,4,3,93,1013457,1007480005,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-74.000426 40.74683)
Corona Seventh Day Adventist Church,35-30 103rd Street,Corona,NY,11368,11/20/2015,2019-5965,12/06/2019,12/31/2020,Active,Renew,4,40.754481,-73.86503,3,21,379,4043320,4017430020,North Corona,POINT (-73.86503 40.754481)
Church of the Open Doors Inc,1374 Bedford Avenue,Brooklyn,NY,11216,05/02/2008,2019-5938,12/04/2019,12/31/2020,Active,Renew,3,40.676124,-73.953126,8,35,221,3030595,3012170043,Crown Heights North,POINT (-73.953126 40.676124)
Universal Temple Church Of God  Inc,1403 Eastern Parkway,Brooklyn,NY,11233,09/27/2013,2019-5987,12/19/2019,10/31/2020,Active,Renew,3,40.668863,-73.921481,16,41,361,3039550,3014750015,Ocean Hill,POINT (-73.921481 40.668863)
Brooklyn Chinese Baptist Church,5123 7th  Avenue,Brooklyn,NY,11220,04/23/2010,2019-5934,12/04/2019,12/31/2020,Active,Renew,3,40.641708,-74.006666,7,38,108,3013726,3008020001,Sunset Park East,POINT (-74.006666 40.641708)
Lincoln Square Synagogue,180 Amsterdam Avenue,New York,NY,10023,05/15/2008,2019-5931,12/03/2019,11/30/2020,Active,Renew,1,40.776146,-73.983438,7,6,155,1087453,1011580018,Lincoln Square,POINT (-73.983438 40.776146)
Little Mt. Zion Baptist Church Inc,324 Tompkins Avenue,Brooklyn,NY,11216,05/15/2008,2019-5952,12/04/2019,12/31/2020,Active,Renew,3,40.686622,-73.944576,3,36,265,3051173,3018140034,Bedford,POINT (-73.944576 40.686622)
Church of the Pilgrim Holiness,24 Arlington Place,Brooklyn,NY,11216,05/02/2008,2019-5939,12/04/2019,12/31/2020,Active,Renew,3,40.68105,-73.951215,3,36,245,3052973,3018420043,Bedford,POINT (-73.951215 40.68105)
Tomchei Torah of New York,1966 Ocean Ave,Brooklyn,NY,11230,10/14/2015,2019-5932,12/03/2019,11/30/2020,Active,Renew,3,40.61423,-73.954232,14,48,546,3181618,3067570045,Midwood,POINT (-73.954232 40.61423)
Greater Calvary Baptist Church,43-55 West 124th Street,New York,NY,10027,09/24/2012,2019-5949,12/04/2019,12/31/2020,Active,Renew,1,40.806515,-73.944574,10,9,200,1053454,1017220013,Central Harlem South,POINT (-73.944574 40.806515)
Yeshivat Mikdash Melech,1326 Ocean Parkway,Brooklyn,NY,11230,02/14/2014,2019-5962,12/05/2019,12/31/2020,Active,Renew,3,40.616203,-73.968969,12,44,444,3172885,3065680021,Ocean Parkway South,POINT (-73.968969 40.616203)
Pentecostal Church Christ Followers,3291 3rd Avenue,Bronx,NY,10454,05/21/2008,2019-5954,12/04/2019,12/31/2020,Active,Renew,2,40.825507,-73.908144,3,17,185,2001244,2023690040,Morrisania-Melrose,POINT (-73.908144 40.825507)
Leviticus Church of God In Christ Inc,114-12 Van Wyck Expressway,Jamaica,NY,11420,05/15/2008,2019-5985,12/19/2019,12/31/2020,Active,Renew,4,40.682387,-73.806024,10,28,174,4251940,4116610011,South Ozone Park,POINT (-73.806024 40.682387)
Eben-Ezer Haitian Baptist Church,1058-60 President Street,Brooklyn,NY,11225,11/18/2016,2019-5947,12/04/2019,12/31/2020,Active,Renew,3,40.66847,-73.956505,9,35,325,3033459,3012800036,Crown Heights South,POINT (-73.956505 40.66847)
Jesus Christ Family Church,915 Gates Avenue,Brooklyn,NY,11221,05/02/2008,2019-5950,12/04/2019,12/31/2020,Active,Renew,3,40.688697,-73.929102,3,36,387,3044566,3016320067,Stuyvesant Heights,POINT (-73.929102 40.688697)
Congregation Nachlas Yisroel,1530 51st St,Brooklyn,NY,11219,11/05/2015,2019-5943,12/04/2019,12/31/2020,Active,Renew,3,40.630756,-73.988082,12,44,236,3129602,3054650020,Borough Park,POINT (-73.988082 40.630756)
Chinese for Christ New York Church,142-21 Franklin Avenue,Flushing,NY,11355,04/29/2008,2019-5935,12/04/2019,12/31/2020,Active,Renew,4,40.756537,-73.823108,7,20,857,4441214,4051810056,Flushing,POINT (-73.823108 40.756537)
Congregation Givath Shoul,5102 11th Ave,Brooklyn,NY,11219,01/14/2020,2020-6106,02/21/2020,02/28/2021,Active,New,3,40.63648,-73.997791,12,44,220,3138281,3056530041,Borough Park,POINT (-73.997791 40.63648)
Hebrew Tabernacle Congregation,551 Fort Washington Ave.,Manhattan,NY,10033,12/06/2019,2019-5971,12/11/2019,12/31/2020,Active,Renew,1,40.853811,-73.937309,12,10,273,1064361,1021790229,Washington Heights North,POINT (-73.937309 40.853811)
Evangelical Church Mission And Seminary Internatio,"41-42 College Point Boulevard, Unit 2B",Flushing,NY,11354,09/19/2019,2019-5964,12/05/2019,12/31/2020,Active,New,4,40.755301,-73.833334,7,20,849,4607290,4050637501,Flushing,POINT (-73.833334 40.755301)
Congregation Mount Sinai,250 Cadman Plaza West,Brooklyn,NY,11201,08/19/2014,2019-5942,12/04/2019,12/31/2020,Active,Renew,3,40.696897,-73.991356,2,33,502,3319420,3002380035,Brooklyn Heights-Cobble Hill,POINT (-73.991356 40.696897)
East New York SDA Church,511 Elton Street,Brooklyn,NY,11208,11/07/2018,2019-5976,12/13/2019,11/30/2020,Active,Renew,3,40.670436,-73.882543,5,42,1164,3089787,3040500005,East New York,POINT (-73.882543 40.670436)
St. Peter's Episcopal Church,346 W. 20th St.,New York,NY,10011,11/24/2019,2019-5981,12/18/2019,12/31/2020,Active,New,1,40.74399,-74.001213,4,3,89,1013234,1007430072,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-74.001213 40.74399)
St. Frances de Chantal RC Church,1273 58th Street,Brooklyn,NY,11219,05/23/2008,2019-5959,12/04/2019,12/31/2020,Active,Renew,3,40.630438,-73.998091,12,44,216,3140390,3056970048,Borough Park,POINT (-73.998091 40.630438)
St. Thomas Protestant Episcopal Church,1405 Bushwick Avenue,Brooklyn,NY,11207,08/06/2014,2019-5969,12/11/2019,11/30/2020,Active,Renew,3,40.684665,-73.909632,4,37,403,3326473,3034390003,Bushwick South,POINT (-73.909632 40.684665)
Church of the Ascension,127 Kent Street,Brooklyn,NY,11222,05/02/2008,2019-5970,12/11/2019,12/31/2020,Active,Renew,3,40.730773,-73.955887,1,33,565,3064592,3025500062,Greenpoint,POINT (-73.955887 40.730773)
Lutheran Church of the Atonement,30 61 87th Street,Jackson Heights,NY,11369,05/15/2008,2019-5953,12/04/2019,12/31/2020,Active,Renew,4,40.760556,-73.881529,3,22,339,4033380,4013850040,Jackson Heights,POINT (-73.881529 40.760556)
Congregation Zemoch Zedek,241 East Broadway,New York,NY,10002,10/28/2014,2019-5945,12/04/2019,12/31/2020,Active,Renew,1,40.714362,-73.986458,3,1,201,1003729,1002860030,Lower East Side,POINT (-73.986458 40.714362)
Pure Land Center,128 Lafayette Street  # 303,New York,NY,10013,11/12/2010,2019-5963,12/05/2019,12/31/2020,Active,Renew,,,,,,,,,,
Greater Refuge Temple,2081 Adam Clayton Powell Jr. Blvd.,New York,NY,10027,12/17/2012,2020-6073,02/03/2020,02/28/2021,Active,Renew,1,40.808394,-73.948737,10,9,222,1057817,1019090001,Central Harlem South,POINT (-73.948737 40.808394)
Mariners' Temple Baptist Church,3 Henry Street,New York,NY,10038,01/30/2012,2020-6092,02/10/2020,02/28/2021,Active,Renew,1,40.712757,-73.997735,3,1,27,1003388,1002790069,Chinatown,POINT (-73.997735 40.712757)
La Pena de Horeb Inc. Iglesia Pentecostal Church,34 Morgan Avenue,Brooklyn,NY,11237,06/23/2014,2020-6093,02/10/2020,02/28/2021,Active,Renew,3,40.705065,-73.931526,1,34,453,3070687,3030080001,Bushwick North,POINT (-73.931526 40.705065)
Bethel Christian Temple Inc.,7 West 110th Street,New York,NY,10026,10/19/2012,2020-6084,02/04/2020,02/28/2021,Active,Renew,1,40.79732,-73.950248,10,9,186,1051398,1015940030,Central Harlem South,POINT (-73.950248 40.79732)
Korean Methodist Church Of Queens,95 - 01 32nd Avenue,East Elmhurst,NY,11369,05/15/2008,2020-6111,02/27/2020,02/28/2021,Active,Renew,4,40.758717,-73.873313,3,21,353,4034280,4014070040,East Elmhurst,POINT (-73.873313 40.758717)
Rabbinical Academy Mesivta Chaim Berlin,1585 Coney Island Avenue,Brooklyn,NY,11230,02/23/2017,2020-6079,02/03/2020,02/28/2021,Active,Renew,3,40.618888,-73.964048,14,44,768,3180580,3067310076,Midwood,POINT (-73.964048 40.618888)
Haitian Evangelical Missionary  Church,107 West 128th Street,New York,NY,10027,01/30/2012,2020-6070,02/03/2020,02/28/2021,Active,Renew,1,40.809941,-73.944651,10,9,224,1057943,1019130027,Central Harlem North-Polo Grounds,POINT (-73.944651 40.809941)
Chinese United Methodist Church,69 Madison Street,New York,NY,10002,04/29/2008,2020-6113,02/28/2020,01/31/2021,Active,Renew,1,40.712115,-73.996562,3,1,8,1079617,1002770056,Chinatown,POINT (-73.996562 40.712115)
Miracle Revival Temple,1555 Macombs Road,Bronx,NY,10452,01/24/2011,2020-6077,02/03/2020,02/28/2021,Active,Renew,2,40.844626,-73.917522,4,16,21302,2008720,2028720342,Highbridge,POINT (-73.917522 40.844626)
East 7th Baptist Ministry- Graffiti Inc,205 East 7th Street,New York,NY,10009,02/11/2010,2020-6061,02/03/2020,02/28/2021,Active,Renew,1,40.724547,-73.979937,3,2,2602,1087567,1003900052,Lower East Side,POINT (-73.979937 40.724547)
Refuge Church of Christ,254 Greene Ave,Brooklyn,NY,11238,02/01/2018,2020-6080,02/03/2020,02/28/2021,Active,Renew,3,40.687268,-73.960932,2,35,231,3056261,3019660026,Clinton Hill,POINT (-73.960932 40.687268)
Metropolitan African Methodist Episcopal Church,58 West 135th Street,New York,NY,10037,02/10/2012,2020-6076,02/03/2020,02/28/2021,Active,Renew,1,40.813707,-73.939933,10,9,212,1053896,1017300065,Central Harlem North-Polo Grounds,POINT (-73.939933 40.813707)
"Iglesia de Dios Mission Board, Inc.",195 East 7th Street,New York,NY,10009,08/22/2016,2020-6071,02/03/2020,02/28/2021,Active,Renew,1,40.724676,-73.980244,3,2,2602,1004727,1003900058,Lower East Side,POINT (-73.980244 40.724676)
The Seokwang Korean Presbyterian Church of New Yor,3705 54th Street,Woodside,NY,11377,08/31/2015,2020-6081,02/03/2020,02/28/2021,Active,Renew,4,40.750955,-73.907936,2,26,255,4027622,4012090001,Woodside,POINT (-73.907936 40.750955)
Congregation Shaari Tefilah of Kings Highway,1679 West 1 Street,Brooklyn,NY,11223,09/18/2014,2020-6100,02/14/2020,11/30/2020,Active,Renew,3,40.60708,-73.974693,11,44,424,3175854,3066310043,Bensonhurst East,POINT (-73.974693 40.60708)
Beth Chana,712 Bedford Avenue,Brooklyn,NY,11206,05/28/2013,2020-6065,02/03/2020,02/28/2021,Active,Renew,3,40.699547,-73.957145,1,33,537,3392365,3022620024,Williamsburg,POINT (-73.957145 40.699547)
St. Mary's Orthodox Church,8005 Ridge Boulevard,Brooklyn,NY,11209,05/28/2008,2020-6103,02/20/2020,01/31/2021,Active,Renew,3,40.62834,-74.031998,10,43,64,3151231,3059870008,Bay Ridge,POINT (-74.031998 40.62834)
"Bhavaannee Maa Mandir, Inc.",239 Mckinley Avenue,Brooklyn,NY,11208,04/23/2010,2020-6094,02/10/2020,02/28/2021,Active,Renew,3,40.680492,-73.867127,5,37,1186,3000000,3041740001,Cypress Hills-City Line,POINT (-73.867127 40.680492)
Congregation Kollel Bnei Yeshivas,2402 Ave P,Brooklyn,NY,11229,12/22/2011,2020-6110,02/27/2020,12/31/2020,Active,Replace,3,40.611381,-73.949627,15,48,548,3182688,3067870001,Madison,POINT (-73.949627 40.611381)
Church of Good Deeds,330 East 65th Street #1,New York,NY,10065,05/22/2017,2020-6109,02/25/2020,02/28/2021,Active,Renew,1,40.763995,-73.960753,8,5,118,1081496,1014397502,Lenox Hill-Roosevelt Island,POINT (-73.960753 40.763995)
Iglesia de Dios Pentecostal Puerta de Salvacion In,163 West 107 Street,New York,NY,10025,01/23/2019,2020-6074,02/03/2020,02/28/2021,Active,Renew,1,40.800633,-73.964054,7,7,193,1055989,1018620010,Morningside Heights,POINT (-73.964054 40.800633)
Hellenic Orth Community of Corona & Vicinity Trans,38-05 98th Street,Corona,NY,11368,12/26/2019,2020-6101,02/14/2020,02/28/2021,Active,Renew,4,40.750043,-73.86789,3,21,409,4044020,4017640001,North Corona,POINT (-73.86789 40.750043)
"True Vine Tabernacle of God, Inc.",193 Bradford Street,Brooklyn,NY,11207,11/04/2011,2020-6108,02/24/2020,02/28/2021,Active,Renew,3,40.674505,-73.892641,5,37,1152,3083725,3037080009,East New York,POINT (-73.892641 40.674505)
Congregation Talmud Torah Adereth El,133  East 29th Street,New York,NY,10016,05/06/2008,2020-6087,02/06/2020,02/28/2021,Active,Renew,1,40.743143,-73.9817,6,2,72,1018255,1008850031,Murray Hill-Kips Bay,POINT (-73.9817 40.743143)
Community Torah Centers Synagogue,646 West End Avenue,New York,NY,10025,02/17/2011,2020-6067,02/03/2020,02/28/2021,Active,Renew,1,40.792347,-73.975316,7,6,179,1033581,1012390004,Upper West Side,POINT (-73.975316 40.792347)
Russian Orthodox Cathedral,59-63 East 2nd Street,New York,NY,10003,05/28/2008,2020-6088,02/07/2020,02/28/2021,Active,Renew,1,40.724515,-73.989433,3,2,3602,1082819,1004430016,East Village,POINT (-73.989433 40.724515)
Community Baptist Church,46-19 206th Street,Bayside,NY,11361,10/17/2019,2020-6105,02/20/2020,02/28/2021,Active,Renew,4,40.755645,-73.775744,11,19,1447,4156758,4073080001,Bayside-Bayside Hills,POINT (-73.775744 40.755645)
Islamic Center of Jackson Heights Inc.,7804 31st avenue,Jackson Heights,NY,11370,11/14/2019,2020-6062,02/03/2020,02/28/2021,Active,New,4,40.758849,-73.889585,3,25,30903,4025707,4011490001,Jackson Heights,POINT (-73.889585 40.758849)
The Reform Temple of Forest HIlls,71-11 112th Street,Forest Hills,NY,11375,02/17/2011,2020-6090,02/10/2020,02/28/2021,Active,Renew,4,40.722669,-73.839152,6,29,75702,4052694,4022460031,Forest Hills,POINT (-73.839152 40.722669)
Union Temple of Brooklyn,17 Eastern Parkway,Brooklyn,NY,11238,04/30/2008,2020-6102,02/14/2020,05/31/2020,Active,Replace,3,40.673063,-73.968071,8,35,207,3259310,3011720006,Prospect Heights,POINT (-73.968071 40.673063)
Mount Lebanon Baptist Church,230 Decatur Street,Brooklyn,NY,11233,01/14/2016,2020-6078,02/03/2020,02/28/2021,Active,Renew,3,40.681376,-73.933948,3,36,297,3047407,3016800009,Crown Heights North,POINT (-73.933948 40.681376)
Yeshe Nyingpo Inc,19 West 16th Street,NewYork,NY,10011,05/30/2008,2020-6086,02/06/2020,02/28/2021,Active,Renew,1,40.737715,-73.993544,5,3,54,1015387,1008180024,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-73.993544 40.737715)
Evangelical Lutheran Emmaus Congregation,60-10 67th Avenue,Ridgewood,NY,11385,05/08/2008,2020-6069,02/03/2020,02/28/2021,Active,Renew,4,40.704773,-73.899982,5,30,585,4549124,4035120008,Ridgewood,POINT (-73.899982 40.704773)
Leverich Memorial Church of Corona,102-19 32nd Ave.,East Elmhurst,NY,11369,02/26/2019,2020-6096,02/11/2020,02/28/2021,Active,Renew,4,40.759418,-73.866655,3,21,365,4041778,4016890038,East Elmhurst,POINT (-73.866655 40.759418)
Evangelical Church of God in New York Inc.,806 Jennings Street,Bronx,NY,10459,04/18/2011,2020-6114,02/28/2020,02/28/2021,Active,Renew,2,40.832076,-73.895512,3,16,153,2010430,2029720032,Crotona Park East,POINT (-73.895512 40.832076)
Meor Hatorah,1069 38th Street,Brooklyn,NY,11219,11/22/2017,2020-6107,02/21/2020,02/28/2021,Active,Renew,3,40.644211,-73.990692,12,39,110,3341296,3052890059,Sunset Park East,POINT (-73.990692 40.644211)
"Iglesia Pentecostal De Jesucristo ""Cristo Viene"" I",2102 Mermaid Avenue,Brooklyn,NY,11224,07/10/2014,2020-6075,02/03/2020,02/28/2021,Active,Renew,3,40.576247,-73.988128,13,47,326,3189550,3070580012,Seagate-Coney Island,POINT (-73.988128 40.576247)
United Lubavitch Yeshivoth,841-853 Ocean Parkway,Brooklyn,NY,11230,04/30/2008,2020-6082,02/03/2020,02/28/2021,Active,Renew,3,40.628017,-73.971183,12,45,458,3170485,3065090064,Midwood,POINT (-73.971183 40.628017)
The Universal Church Inc.,612 West 180 St,New York,NY,10033,10/18/2017,2020-6085,02/05/2020,12/31/2020,Active,Renew,1,40.84882,-73.934718,12,10,263,1063897,1021620033,Washington Heights South,POINT (-73.934718 40.84882)
Brooklyn Heights Synagogue,131 Remsen Street,Brooklyn,NY,11201,01/08/2014,2020-6097,02/12/2020,02/28/2021,Active,Renew,3,40.693769,-73.993307,2,33,502,3002069,3002490006,Brooklyn Heights-Cobble Hill,POINT (-73.993307 40.693769)
Yeshivat Shaare Torah,1680 Coney Island Avenue,Brooklyn,NY,11230,05/30/2008,2020-6083,02/03/2020,02/28/2021,Active,Renew,3,40.616484,-73.963617,12,44,454,3173152,3065730025,Ocean Parkway South,POINT (-73.963617 40.616484)
Sephardic Congregation of Kew Gardens,141-41 72nd Avenue,Flushing,NY,11367,05/22/2008,2020-6098,02/13/2020,02/28/2021,Active,Renew,4,40.726465,-73.822604,8,24,77902,4143378,4066200041,Kew Gardens Hills,POINT (-73.822604 40.726465)
USA Pandit Parishad Inc.,197-07 Jamaica Avenue,Hollis,NY,11423,12/05/2017,2020-6099,02/14/2020,01/31/2021,Active,Renew,4,40.713396,-73.762626,12,23,484,4222519,4104660096,Hollis,POINT (-73.762626 40.713396)
Mt. Carmel Baptist Church,1376 Prospect Avenue,Bronx,NY,10459,05/23/2008,2020-6063,02/03/2020,11/30/2020,Active,Renew,2,40.83088,-73.896952,3,16,153,2010385,2029710008,Crotona Park East,POINT (-73.896952 40.83088)
Congregation Gvul Yaabetz,1580 Coney Island Avenue,Brooklyn,NY,11230,05/05/2008,2020-6068,02/03/2020,02/28/2021,Active,Renew,3,40.619009,-73.964091,12,44,454,3171998,3065460021,Ocean Parkway South,POINT (-73.964091 40.619009)
Ateret Torah Center,901 Quentin Road,Brooklyn,NY,11223,04/25/2008,2020-6115,03/02/2020,02/28/2021,Active,Renew,3,40.607654,-73.963755,15,44,420,3176271,3066410038,Homecrest,POINT (-73.963755 40.607654)
New Jerusalem Worship Center AKA New Jerusalem Bap,122-05 Smith Street,Jamaica,NY,11434,02/21/2017,2020-6091,02/10/2020,02/28/2021,Active,Renew,4,40.680008,-73.778612,12,27,284,4533226,4123810010,Baisley Park,POINT (-73.778612 40.680008)
Gospel Temple Church,1556 Minford Place,Bronx,NY,10460,03/09/2014,2020-6072,02/03/2020,02/28/2021,Active,Renew,2,40.835523,-73.889953,3,17,155,2124436,2029770142,Crotona Park East,POINT (-73.889953 40.835523)
City of Faith Church of God,3453 White Plains Road,Bronx,NY,10467,12/20/2016,2020-6005,01/03/2020,01/31/2021,Active,Renew,2,40.876244,-73.866999,12,12,374,2056964,2046280043,Williamsbridge-Olinville,POINT (-73.866999 40.876244)
Trinity Baptist Church,179 New York Avenue,Brooklyn,NY,11216,06/01/2012,2020-6052,01/28/2020,11/30/2020,Active,Renew,3,40.673923,-73.947323,8,36,341,3031284,3012350007,Crown Heights North,POINT (-73.947323 40.673923)
