the_geom,GRIDS_INDE,TILE_NAME,DELIVERY_A,SHAPE_AREA,SHAPE_LEN
"MULTIPOLYGON (((-97.60780763397621 30.483228752931424, -97.60819646224883 30.469484792938697, -97.62406321094858 30.4698205734149, -97.6236766447807 30.483564581331954, -97.60780763397621 30.483228752931424)))",193,150150,0,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.59193873516419 30.482890963928824, -97.59232982549395 30.469147052140357, -97.60819646224883 30.469484792938697, -97.60780763397621 30.483228752931424, -97.59193873516419 30.482890963928824)))",194,155150,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.57606994690697 30.482551214300425, -97.57646329924627 30.468807350996155, -97.59232982549395 30.469147052140357, -97.59193873516419 30.482890963928824, -97.57606994690697 30.482551214300425)))",195,160150,0,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.56020127193156 30.482209504111573, -97.56059688623226 30.46846568957144, -97.57646329924627 30.468807350996155, -97.57606994690697 30.482551214300425, -97.56020127193156 30.482209504111573)))",196,165150,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.54433270880024 30.481865833338347, -97.54473058501422 30.468122067842263, -97.56059688623226 30.46846568957144, -97.56020127193156 30.482209504111573, -97.54433270880024 30.481865833338347)))",197,170150,0,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.54433270880024 30.481865833338347, -97.52846426023999 30.481520202046813, -97.5288643983185 30.467776485874722, -97.54473058501422 30.468122067842263, -97.54433270880024 30.481865833338347)))",198,175150,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.51259592481303 30.48117261021275, -97.51299832470741 30.467428943644563, -97.5288643983185 30.467776485874722, -97.52846426023999 30.481520202046813, -97.51259592481303 30.48117261021275)))",199,180150,0,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.49672770524623 30.480823057903, -97.49713236690722 30.46707944121867, -97.51299832470741 30.467428943644563, -97.51259592481303 30.48117261021275, -97.49672770524623 30.480823057903)))",200,185150,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.49672770524623 30.480823057903, -97.48085960010182 30.480471545093057, -97.48126652348017 30.4667279785725, -97.49713236690722 30.46707944121867, -97.49672770524623 30.480823057903)))",201,190150,0,25000001.7058,20000.0006823
"MULTIPOLYGON (((-97.48085960010182 30.480471545093057, -97.4649916121066 30.48011807185053, -97.4654007971525 30.466374555773633, -97.48126652348017 30.4667279785725, -97.48085960010182 30.480471545093057)))",202,195150,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-98.08424425320179 30.47870536867652, -98.0845651073468 30.464960093677952, -98.10043261958356 30.465237015272496, -98.10011402819349 30.478982329801937, -98.08424425320179 30.47870536867652)))",203,000145,0,24999998.425,19999.99937
"MULTIPOLYGON (((-98.06837456872823 30.47842644662516, -98.06869768558919 30.464681211437444, -98.0845651073468 30.464960093677952, -98.08424425320179 30.47870536867652, -98.06837456872823 30.47842644662516)))",204,005145,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-98.05250497750067 30.47814556370149, -98.05283035703796 30.4644003686046, -98.06869768558919 30.464681211437444, -98.06837456872823 30.47842644662516, -98.05250497750067 30.47814556370149)))",205,010145,0,24999998.425,19999.99937
"MULTIPOLYGON (((-98.03663547808159 30.47786271988582, -98.03696312025562 30.464117565159725, -98.05283035703796 30.4644003686046, -98.05250497750067 30.47814556370149, -98.03663547808159 30.47786271988582)))",206,015145,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-98.02076607319871 30.47757791523253, -98.02109597796938 30.46383280115723, -98.03696312025562 30.464117565159725, -98.03663547808159 30.47786271988582, -98.02076607319871 30.47757791523253)))",207,020145,0,24999998.425,19999.99937
"MULTIPOLYGON (((-98.00489676141453 30.477291149721697, -98.00522892874167 30.46354607657716, -98.02109597796938 30.46383280115723, -98.02076607319871 30.47757791523253, -98.00489676141453 30.477291149721697)))",208,025145,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.98902754545671 30.47700242340843, -97.98936197529966 30.463257391474617, -98.00522892874167 30.46354607657716, -98.00489676141453 30.477291149721697, -97.98902754545671 30.47700242340843)))",209,030145,0,24999998.425,19999.99937
"MULTIPOLYGON (((-97.97315842388768 30.476711736272502, -97.97349511620575 30.462966745829394, -97.98936197529966 30.463257391474617, -97.98902754545671 30.47700242340843, -97.97315842388768 30.476711736272502)))",210,035145,0,25000000.0654,20000.0000262
