the_geom,Object ID,GIS_ID,CORRIDOR_TYPE,STREET_NAME,Shape__Length
"MULTILINESTRING ((-97.677097855573 30.307994798673, -97.676191358119 30.308059485196))",338,59,Future Core Transit Corridor,MANOR RD,287.019010289804
"MULTILINESTRING ((-97.665504568982 30.31235506185, -97.665017795195 30.31308242101))",318,39,Future Core Transit Corridor,MANOR RD,305.891783970015
"MULTILINESTRING ((-97.733181429017 30.266369357159, -97.732116607266 30.266031508913))",483,551,Core Transit Corridor,E 7TH ST,357.911584249896
"MULTILINESTRING ((-97.747874980063 30.40780113009, -97.747562440436 30.409460421456, -97.747582137529 30.410027391841))",296,17,Future Core Transit Corridor,JOLLYVILLE RD,817.746108272046
"MULTILINESTRING ((-97.763493020889 30.235981069679, -97.763841245982 30.235512249627))",655,655,Core Transit Corridor,S 1ST ST,202.891642032278
"MULTILINESTRING ((-97.673976275558 30.307996084062, -97.673474514488 30.307971921379, -97.673042106487 30.307990451849))",336,57,Future Core Transit Corridor,MANOR RD,295.195389083323
"MULTILINESTRING ((-97.757233050006 30.371538424963, -97.757008163618 30.371911145659, -97.756838626844 30.372255329484, -97.756503528774 30.372794817492, -97.75639572184 30.372971397006, -97.756073654105 30.373451545963, -97.755811196347 30.373843505815, -97.755461416111 30.37435984086))",43,114,Future Core Transit Corridor,MESA DR,1169.24443039945
"MULTILINESTRING ((-97.755089053684 30.354355006305, -97.75515027778 30.354448126371, -97.756510582436 30.355120670096, -97.756646926991 30.355114498))",45,116,Future Core Transit Corridor,FAR WEST BLVD,575.919465293733
"MULTILINESTRING ((-97.739341572758 30.322017376839, -97.739348175595 30.322155028722, -97.739348303479 30.322158551357, -97.739361614713 30.322510095489))",700,700,Core Transit Corridor,BURNET RD,179.309053597238
"MULTILINESTRING ((-97.736781891139 30.280300487458, -97.735716196669 30.279981851849))",606,462,Core Transit Corridor,E MARTIN LUTHER KING BLVD,355.787871364143
"MULTILINESTRING ((-97.685142378749 30.301029504701, -97.68433381509 30.301791154924))",122,193,Future Core Transit Corridor,MANOR RD,376.618131641978
"MULTILINESTRING ((-97.711151584364 30.285546109462, -97.710210085526 30.285672610918))",153,224,Future Core Transit Corridor,MANOR RD,300.707543553853
"MULTILINESTRING ((-97.678550244886 30.405828854128, -97.6782288402 30.407856618126))",344,65,Future Core Transit Corridor,N LAMAR BLVD,744.399399801294
"MULTILINESTRING ((-97.775372168596 30.203260107697, -97.775535631109 30.202497769821))",171,242,Future Core Transit Corridor,S CONGRESS AVE,282.02362976314
"MULTILINESTRING ((-97.762164943986 30.254931671267, -97.762594872185 30.254252716382))",471,539,Core Transit Corridor,S LAMAR BLVD,281.780226047268
"MULTILINESTRING ((-97.704840549893 30.225572529599, -97.704808874754 30.225479576771, -97.703849022027 30.225022870414, -97.703595167436 30.224924310615, -97.703448269592 30.224936146911))",729,729,Core Transit Corridor,E RIVERSIDE DR,515.344227643762
"MULTILINESTRING ((-97.765508450392 30.275347310407, -97.765928263922 30.27563738337, -97.766626638453 30.276017139872, -97.766940746116 30.276163065074, -97.767022598389 30.276201092005, -97.767187050326 30.276274106261, -97.767249655834 30.276301900406, -97.767765281483 30.276491436221))",517,585,Core Transit Corridor,W 5TH ST,828.561020975087
"MULTILINESTRING ((-97.744229204013 30.254167313646, -97.74422478346 30.25405924576, -97.744173415953 30.253973497739, -97.744086781431 30.253838354774, -97.744016281971 30.25373951326, -97.743940873491 30.253640599556, -97.743873554158 30.253557828851))",711,711,Core Transit Corridor,E RIVERSIDE DR,252.999256526757
"MULTILINESTRING ((-97.752367033598 30.254657649847, -97.753222706433 30.253294025638))",117,188,Core Transit Corridor,S 1ST ST,564.75034485172
"MULTILINESTRING ((-97.750550656509 30.280498861694, -97.750541236578 30.280653102942, -97.750537106737 30.280807451714, -97.750564130088 30.280987785944, -97.750634108433 30.281351086367, -97.750674093873 30.281543233573, -97.750717943147 30.281691617507, -97.75077234055 30.281842552864, -97.750847220165 30.282021540555, -97.750907647995 30.2821449289, -97.750966123973 30.282242919401, -97.751047434577 30.282380562269, -97.751149842074 30.282523250159, -97.751237090493 30.282637936984, -97.751399640293 30.282816408726, -97.751598850486 30.283014046415, -97.751872924284 30.283285937632, -97.751978151878 30.283435805612))",605,461,Core Transit Corridor,N LAMAR BLVD,1195.63925995796
"MULTILINESTRING ((-97.729537932139 30.264050201602, -97.728526496489 30.263724354945))",402,402,Core Transit Corridor,E 6TH ST,340.5950066528
"MULTILINESTRING ((-97.749283281787 30.259763370637, -97.750074926319 30.258387664625))",103,174,Core Transit Corridor,S 1ST ST,559.284471479213
"MULTILINESTRING ((-97.790941416658 30.167201915067, -97.791096672874 30.167165670007, -97.791789519264 30.167199890899, -97.792332975901 30.167298854744, -97.792803547265 30.16741317456, -97.793311313179 30.16758279517, -97.793832608023 30.167790499458, -97.794257069607 30.168004669712, -97.794561882565 30.168174467707, -97.794927067388 30.16843784486, -97.795322590347 30.168741728669, -97.795764441179 30.169122080334, -97.79583504968 30.169285142263))",78,149,Future Core Transit Corridor,W SLAUGHTER LN,1799.41363794994
"MULTILINESTRING ((-97.744015469244 30.361251639673, -97.74404812615 30.361307554116, -97.74445490068 30.361304489036, -97.74449626386 30.361304279044))",202,273,Core Transit Corridor,W ANDERSON LN,164.135710822489
"MULTILINESTRING ((-97.704963017485 30.313101804586, -97.704279011555 30.313657105002))",319,40,Core Transit Corridor,CAMERON RD,295.584040165048
"MULTILINESTRING ((-97.739180149065 30.338722513464, -97.738973754923 30.340030257452, -97.738669862182 30.342015366911))",214,285,Core Transit Corridor,BURNET RD,1208.34442972957
"MULTILINESTRING ((-97.751833800633 30.275964764857, -97.751405498514 30.276902252227))",624,480,Core Transit Corridor,N LAMAR BLVD,366.781350845894
"MULTILINESTRING ((-97.708843584015 30.309996630973, -97.708042012641 30.310721056745))",327,48,Core Transit Corridor,CAMERON RD,365.227454960448
"MULTILINESTRING ((-97.816152393654 30.173830634134, -97.816893502314 30.173807691193, -97.816998439584 30.173869517431))",72,143,Future Core Transit Corridor,W SLAUGHTER LN,274.401936067417
"MULTILINESTRING ((-97.751978151878 30.283435805612, -97.7521449673 30.283550857358, -97.752360030439 30.283785061938, -97.752555377749 30.284078716837, -97.752915283243 30.284715434206, -97.752899625453 30.284772436503))",422,422,Core Transit Corridor,N LAMAR BLVD,578.736365398083
"MULTILINESTRING ((-97.756044359022 30.270859635818, -97.75732435621 30.27133918008))",531,599,Core Transit Corridor,W 5TH ST,440.100975842226
"MULTILINESTRING ((-97.745242028159 30.271824552298, -97.744899686298 30.272774756099))",628,484,Core Transit Corridor,GUADALUPE ST,362.08276992578
