the_geom,OBJECTID,MARKINGS_SPECIALTY_LINE_ID,INTERSECTION_ID,SEGMENT_ID,ALTERNATE_ID,LOCATION_DESCRIPTION,LOCATION_STATUS,DIRECTION,SPECIALTY_LINE_TYPE,NUMBER_OF_ASSETS,MARKING_TEXT_NOTE,MATERIAL,COLOR,INSTALL_DATE,ASSET_CONDITION,CREW_ASSIGNED,COMMENTS,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,GLOBALID,Shape__Length
"MULTILINESTRING ((-97.7344591463 30.267656820078, -97.734429206285 30.267619912449))",23,384,5158312,2018808,,,ACTIVE,,DELINEATORS,3,,,White,12/03/2019 12:00:00 AM +0000,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,CTREMEL,01/16/2020 10:07:40 PM +0000,f02683bd-1a53-45f4-bdc9-183b677eb673,16.4167979052211
"MULTILINESTRING ((-97.81971416461 30.458501081086, -97.81977572348 30.458486528854))",641,1052,5148323,2007026,,,ACTIVE,,CURBS,1,,PAINT,Red,01/10/2020 12:00:00 AM +0000,Unknown,,,SGOV,01/29/2020 06:07:46 PM +0000,ADEANDA,01/29/2020 07:59:44 PM +0000,3c23c35f-cec2-4a51-8866-bc8ec45b296c,20.104285821613
"MULTILINESTRING ((-97.728211235694 30.341455139357, -97.728207489817 30.341446226561, -97.728178452315 30.341430650429, -97.728151815705 30.341416276269, -97.728134372488 30.341414192981))",155,132,5158843,2011534,,,ACTIVE,N,CURBS,1,,PAINT,Red,,Unknown,OTHER,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,CTREMEL,08/30/2019 03:48:10 PM +0000,3b72d338-5595-4757-9277-ae0f55e33bad,29.6705667115734
"MULTILINESTRING ((-97.783643198245 30.253228791273, -97.783557692815 30.253280090755, -97.783528027223 30.253278783879, -97.783497782557 30.253268154299, -97.783451651423 30.253234290166))",997,633,5151825,2041305,,,ACTIVE,,CURBS,1,,PAINT,Red,12/11/2018 12:00:00 AM +0000,Unknown,OTHER,,SGOV,12/12/2018 04:08:25 PM +0000,CTREMEL,08/30/2019 03:48:10 PM +0000,4b595fe6-305a-4d0e-8063-6f7ee7ee1a1f,71.5720586710348
"MULTILINESTRING ((-97.706644449233 30.286530555656, -97.706684639701 30.286630698288, -97.706662045478 30.286530916309))",54,188,5161390,2040930,,,ACTIVE,N,DELINEATORS,3,,,White,06/14/2018 12:00:00 AM +0000,Excellent,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:40 PM +0000,19423230-f145-41b5-9995-960ebdd92c7d,75.550414583345
"MULTILINESTRING ((-97.730442358416 30.34249637797, -97.73037774526 30.342468207118))",782,695,5158480,2011535,,,ACTIVE,,CONCRETE_DOMES,3,,,White,,Unknown,BIKE,,SGOV,03/01/2019 03:41:52 PM +0000,CTREMEL,08/30/2019 03:46:48 PM +0000,6f7ac42b-d4aa-490f-81d5-1f1ae312163a,22.812125116481
"MULTILINESTRING ((-97.694893762194 30.310310706008, -97.694910220603 30.310282395061))",746,581,5162541,2015893,,,ACTIVE,,DELINEATORS,2,,,,04/04/2019 12:00:00 AM +0000,Unknown,,CONTRACTOR,SGOV,11/30/2018 09:32:09 PM +0000,MSTEVENS,04/05/2019 02:29:00 PM +0000,f188f80c-efb0-438b-a691-e7de204dd825,11.5320197694243
"MULTILINESTRING ((-97.755474018936 30.198217949684, -97.755487751963 30.198221171391))",103,461,5155399,2025407,,,ACTIVE,NW,DELINEATORS,5,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:53 PM +0000,a4be3317-5688-40c6-ae84-2860ff592935,4.49394539404644
"MULTILINESTRING ((-97.757712896814 30.247004039371, -97.757704254429 30.246998135768, -97.75769338859 30.246993142134, -97.75762902312 30.246973226467))",917,834,5154936,2023740,,,ACTIVE,NE,CURBS,1,,PAINT,Yellow,05/15/2019 12:00:00 AM +0000,Unknown,OTHER,,MSTEVENS,05/15/2019 09:28:34 PM +0000,CTREMEL,08/30/2019 03:48:12 PM +0000,757825cb-7649-4d92-a825-05feff0de0ba,28.9303445616782
"MULTILINESTRING ((-97.704135168948 30.258256765414, -97.70411643267 30.258296893639, -97.704113430599 30.258301136232))",544,975,5161668,2019309,,,ACTIVE,E,CURBS,,,PAINT,Red,09/26/2019 12:00:00 AM +0000,Excellent,,,ADEANDA,09/26/2019 07:36:20 PM +0000,ADEANDA,09/26/2019 07:37:43 PM +0000,e8021a9d-9401-4e93-af89-3cd2786d5c07,17.558360746847
