OBJECTID,Angle,Site_ID,the_geom,Status,Type,Street,XStreet1,XStreet2,Side
1462,146.35,UM-086,POINT (-73.95815734190316 40.81534034999489),Installed,Type B,W 125 Street,Broadway,Amsterdam Avenue,S
1465,119,SX-062,POINT (-73.91452644265017 40.844304578156944),Installed,Type B,E Mount Eden Avenue,Jerome Avenue,Townsend Avenue,N
1466,14.3,SX-063,POINT (-73.91163227888762 40.8433086959426),Pending Sign,Type B,Grand Concourse,Mount Eden Parkway,E 173 Street,E
1468,154.17,JM-024,POINT (-73.79626368406895 40.70756957371608),Installed,Type B,165 Street,89 Avenue,Jamaica Avenue,W
1469,153.56,JM-025,POINT (-73.79500692373709 40.70754036579855),Installed,Type B,Merrick Boulevard,90 Avenue,89 Avenue,E
1470,68.8,JM-026,POINT (-73.79090423983698 40.706725279589016),Installed,Type B,Jamaica Avenue,169 Street,168 Place,S
1484,127.88,SB-030,POINT (-74.00674120303877 40.65564332847205),Pending Sign,Type B,36 Street,3 Avenue,2 Avenue,S
1485,45.98,KB-001,POINT (-73.90978706825994 40.87432857878421),Pending Sign,Type B,Broadway,W 225 Street,W 225 Street,E
1486,125.18,KB-002,POINT (-73.9106030176346 40.874480364302656),Installed,Type B,W 225 Street,Broadway,Marble Hill Avenue,N
1490,81.84,CI-003,POINT (-73.98449443545377 40.57515275826228),Installed,Type C,Surf Avenue,W 17 Street,,C
1493,252.59,Q44-002,POINT (-73.80290137575038 40.70184536271152),Installed,Type D,Archer Avenue,153 Street,150 Street,N
1494,71.21,Q44-059,POINT (-73.80704885924807 40.70067199895457),Removed Sign Only (Temporary),Type D,Archer Avenue,Sutphin Boulevard,147 Place,S
1495,250.03,Q44-003,POINT (-73.80741521885685 40.70071324914087),Installed,Type D,Archer Avenue,Sutphin Boulevard,147 Place,N
1496,161.56,Q44-058,POINT (-73.80811801414639 40.702064027888056),Installed,Type D,Sutphin Boulevard,Jamaica Avenue,90 Street,W
1497,341.56,Q44-004,POINT (-73.80797300704525 40.70216392861881),Installed,Type D,Sutphin Boulevard,Jamaica Avenue,90 Street,E
1498,160.25,Q44-057,POINT (-73.8096688800371 40.70549554497905),Installed,Type D,Sutphin Boulevard,Hillside Avenue,88 Avenue,W
1499,340.25,Q44-005,POINT (-73.80944585027626 40.705446876933095),Installed,Type D,Sutphin Boulevard,Hillside Avenue,88 Avenue,E
1502,338.58,Q44-007,POINT (-73.81710249105639 40.71794463832917),Installed,Type D,Main Street,Union Turnpike,79 Avenue,E
1507,355.36,Q44-010,POINT (-73.8251479241583 40.73373676942996),Installed,Type D,Main Street,Melbourne Avenue,68 Avenue,E
1511,351.53,Q44-012,POINT (-73.82535145305279 40.742895649952644),Removed Sign Only (Temporary),Type D,Main Street,Horace Harding Expressway,60 Avenue,E
1512,171.53,Q44-050,POINT (-73.82566772654611 40.74297791962032),Removed Sign Only (Temporary),Type D,Main Street,Horace Harding Expressway,60 Avenue,W
1515,172.82,Q44-049,POINT (-73.82627357340328 40.74636719883122),Installed,Type D,Main Street,Booth Memorial Avenue,57 Road,W
1516,6.08,Q44-013,POINT (-73.82600800916043 40.74733832919324),Removed Sign Only (Temporary),Type D,Main Street,Booth Memorial Avenue,56 Avenue,E
1517,160.55,Q44-048,POINT (-73.82602325223922 40.751153471651996),Removed Sign Only (Temporary),Type D,Main Street,Elder Avenue,Dahlia Avenue,W
1518,328.74,Q44-014,POINT (-73.82588348262865 40.7514669423688),Removed Sign Only (Temporary),Type D,Main Street,Elder Avenue,Dahlia Avenue,E
1519,339.08,Q44-015,POINT (-73.82926427502913 40.75804565606738),Installed,Type D,Main Street,Kissena Boulevard,41 Road,E
1520,159.08,Q44-047,POINT (-73.82947554318166 40.75793128227086),Installed,Type D,Main Street,41 Avenue,41 Road,W
1539,253.49,Q44-027,POINT (-73.8611734579887 40.83368458684705),Installed,Type D,Hugh J. Grant Circle,Virginia Avenue,Metropolitan Avenue,N
1540,80.37,Q44-034,POINT (-73.86197980414487 40.83288446585757),Installed,Type D,Westchester Avenue,Virginia Avenue,White Plains Road,S
1542,111.23,Q44-033,POINT (-73.86749990241526 40.8349696096937),Installed,Type D,Cross Bronx Expressway,Beach Avenue,St. Lawrence Avenue,S
1551,119,MT-215,POINT (-73.98443647570966 40.754877453438425),Installed,Type B,W 42 Street,6 Avenue,Broadway,S
1553,174.75,FG-020,POINT (-73.83209121939197 40.75169941700913),Installed,Type B,College Point Boulevard,Blossom Avenue,Fowler Avenue,E
1555,77.28,FG-022,POINT (-73.83577498922094 40.751973399702955),Sign Held,Type B,Avery Avenue,131 Street,College Point Boulevard,S
1557,166.15,FG-024,POINT (-73.83432120983242 40.757877165635044),Installed,Type B,College Point Boulevard,Roosevelt Avenue,40 Road,W
1561,68.9,FG-028,POINT (-73.84595296063937 40.754599497454144),Installed,Type C,Roosevelt Avenue,Passerelle,126 Street,S
1625,119,UM-095,POINT (-73.93109939998968 40.84829698871348),Installed,Type B,W 181 Street,Amsterdam Avenue,Audubon Avenue,N
1626,29,UM-096,POINT (-73.93049161288654 40.848849305671344),Installed,Type B,Amsterdam Avenue,W 182 Street,W 183 Street,W
1627,8.22,SX-065,POINT (-73.93043072095413 40.81911661617943),Installed,Type B,Exterior Street,E 149 Street,E 146 Street,W
1628,29,SX-064,POINT (-73.92543503783058 40.80578156880033),Installed,Type B,Willis Avenue,Bruckner Boulevard,E 132 Street,W
1630,176.29,SX-067,POINT (-73.93102701169208 40.822013825554635),Installed,Type A,Exterior Street,Major Deegan Expressway,E 150 Street,W
1631,109.86,SX-068,POINT (-73.93049286352445 40.82043173434354),Installed,Type B,E 150 Street,Exterior Street,River Avenue,E
1632,24.28,SX-069,POINT (-73.92795592510332 40.82421114374821),Installed,Type B,River Avenue,E 153 Street,E 157 Street,E
1652,92.78,DB-043,POINT (-73.99049523184146 40.69608737823124),Installed,Type B,Tillary Street,Cadman Plaza East,Cadman Plaza West,S
1653,2.78,DB-044,POINT (-73.99008862880912 40.696558570425765),Pending Sign,Type B,Cadman Plaza East,Tillary Street,Red Cross Place,W
1663,29,UE-018,POINT (-73.95151786166599 40.777995471300834),Installed,Type B,2 Avenue,E 86 Street,E 87 Street,E
1664,29,UE-019,POINT (-73.95315782950433 40.77611266218713),Installed,Type B,2 Avenue,E 83 Street,E 84 Street,W
1665,29,UE-020,POINT (-73.95837007990968 40.768986879546844),Pending Sign,Type B,2 Avenue,E 72 Street,E 73 Street,W
1666,29,UE-021,POINT (-73.95834633290292 40.76863104237347),Installed,Type B,2 Avenue,E 72 Street,E 71 Street,E
1667,29,UE-022,POINT (-73.9598018011855 40.76702218362903),Pending Sign,Type B,2 Avenue,E 69 Street,E 70 Street,W
1668,29,UE-023,POINT (-73.9593012693371 40.767326474546444),Installed,Type B,2 Avenue,E 70 Street,E 69 Street,E
1669,29,UE-024,POINT (-73.94780069605929 40.783123112508456),Installed,Type B,2 Avenue,E 94 Street,E 95 Street,E
