OBJECTID,Angle,Site_ID,the_geom,Status,Type,Street,XStreet1,XStreet2,Side
3412,29.0006,UM-154,POINT (-73.94867100699838 40.82918299399169),Pending Sign,Type B,Broadway,W 149 Street,W 150 Street,W
3427,69.9775,FG-057,POINT (-73.81456335285546 40.763593806524604),Pending Blades,Fingerpost,Roosevelt Avenue,150 Street,149 Place,S
3441,93.882,FG-061,POINT (-73.8159907933585 40.76521762122362),Pending Blades,Fingerpost,Northern Boulevard,149 Place,150 Street,S
3446,28.8967,UM-156,POINT (-73.93711736569581 40.82403098699326),Pending Sign,Type B,Adam Clayton Powell Jr Boulevard,W 149 Street,W 148 Street,E
3522,18,DB-082,POINT (-73.99095095380389 40.6996990592563),Pending Sign,Type B,Cadman Plaza West,Middagh Street,Pineapple Walk,E
3540,258.83,EB-038,POINT (-73.87214350662073 40.67544814105002),Pending Sign,Type B,Pitkin Avenue,Euclid Avenue,Doscher Street,N
3720,119,GV-033,POINT (-74.00561143315882 40.74117688682763),Pending Sign,Type B,W 14 Street,9 Avenue,Washingtson Street,N
3721,81.2,FG-086,POINT (-73.82365796258584 40.7647325577284),Pending Blades,Fingerpost,Northern Boulevard,Parsons Boulevard,Union Street,N
3728,0,UM-160,POINT (-73.95290819302568 40.809319402887134),Pending Sign,Type B,St. Nicholas Avenue,W 123 Street,W 124 Street,E
3731,306.33,FG-087,POINT (-73.82923713853047 40.758225118331914),Pending Sign,Type B,Kissena Boulevard,Main Street,Sanford Drive,S
3743,332,LM-244,POINT (-74.00395163792189 40.711721448366525),Installed,Custom,Park Row,Frankfort Street,Pearl Street,S
3745,316,LM-245,POINT (-74.00379894038174 40.711613601138986),Installed,Custom,Brooklyn Bridge,Park Row,,
3746,29,UM-161,POINT (-73.95024779433577 40.821450498023594),Pending Sign,Type B,Amsterdam Avenue,W 139 Street,W 138 Street,E
3756,119,UM-163,POINT (-73.95571840766523 40.804660680191915),Pending Sign,Type B,W 116 Street,Fredrick Douglas Blvd,Manhattan Avenue,N
3767,29,UM-165,POINT (-73.94353460849827 40.825516422976115),Pending Sign,Type A,St. Nicholas Avenue,W 148 Street,W 147 Street,W
3774,21.5,UM-170,POINT (-73.94622954967568 40.82121410329782),Pending Sign,Type B,St. Nicolas Avenue,W 141 Street,W 140 Street,W
3787,14,UM-171,POINT (-73.93016534813563 40.861973454987876),Pending Sign,Type B,Broadway,Sherman Avenue,W 196 Street,W
3813,114.84,NR-025,POINT (-73.9589916549694 40.70885880423728),Installed,Type B,Broadway,Havemeyer Street,Marcy Avenue,N
3814,26.22,FG-089,POINT (-73.8332436162102 40.74824420450135),Pending Sign,Type B,College Point Boulevard,Booth Memorial Avenue,Fowler Avenue,N
3815,29,UM-172,POINT (-73.95127910153194 40.81206808518118),Pending Sign,Type B,St. Nicolas Avenue,W 127 Street,W 128 Street,E
