Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A817041,"6612 WEST PARMER LANE
AUSTIN 78729
(30.447819, -97.744593)",No (contact for more info),05/06/2020,Dog,Chihuahua Longhair,Black/White,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817041
A817053,"12407 NORTH MOPAC EXPRESSWAY
AUSTIN 78758
(30.41781, -97.704612)",Yes (come to the shelter),05/06/2020,Dog,Australian Cattle Dog Mix,Black/Blue Tick,Intact Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817053
A817063,"MARTIN LUTHER KING JR AUSTIN 78721
(30.270568, -97.683892)",Yes (come to the shelter),05/07/2020,Dog,German Shepherd Mix,Brown/Black,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817063
A817146,"1300 KATIE LYNCH DRIVE78660
(30.461548, -97.631702)",No (contact for more info),05/08/2020,Dog,Siberian Husky,Black/White,Intact Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817146
A817147,5505 SH78617,Yes (come to the shelter),05/08/2020,Dog,German Shepherd,Brown/Black,Intact Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817147
A817057,"1903 GOLDEN PHEASANT DRIVE
AUSTIN 78758
(30.393673, -97.704539)",No (contact for more info),05/06/2020,Dog,Australian Kelpie,Tan/White,Unknown,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A817057
A817056,"12222 MACHACA ROAD
AUSTIN 78748
(30.140992, -97.833019)",No (contact for more info),05/06/2020,Dog,Anatolian Shepherd,Red/White,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817056
A817148,5505 SH78617,Yes (come to the shelter),05/08/2020,Dog,German Shepherd,Brown/Black,Intact Male,10 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A817148
A817149,"103 WEST APPLEGATE DRIVE
AUSTIN 78753
(30.37146, -97.686674)",No (contact for more info),05/08/2020,Dog,Labrador Retriever/Dachshund,Black/White,Intact Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817149
A817157,"AUSTIN 78745
(30.206782, -97.798214)",Yes (come to the shelter),05/09/2020,Cat,Domestic Shorthair,Orange Tabby,Intact Male,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817157
A817164,"1702 NEW YORK AVENUE
AUSTIN 78702
(30.272499, -97.721446)",Yes (come to the shelter),05/09/2020,Cat,Domestic Shorthair,Black/Brown,Intact Female,10 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817164
