impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K20-127186,A612846,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,1 WEEK,Male,Domestic Mediumhair,Brn Tabby / White,05/08/2020 12:00:00 AM,Received on,25400 98TH AVE S,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612846,Image Copyright HLP Inc. 2020,"Received on: 2020-05-08<p/> Found Near: 25400 98TH AVE S, KENT WA 98030<p/> Description: Brn Tabby / White Male Domestic Mediumhair Cat<p/> Age: 1 WEEK<p/> Current Location: In RASKC Foster Home <p/>",
K20-127204,A612892,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2118478,LOST,Kinley,Dog,,Female,Australian Shepherd,Unknown,05/08/2020 12:00:00 AM,Date Lost,2500 BLOCK OF SE 28TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2118478,Image Copyright HLP Inc. 2020,,
K20-127143,A612786,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2118292,LOST,Mr Bunny,Cat,,Male,Domestic Shorthair,Unknown,05/07/2020 12:00:00 AM,Date Lost,IN BETWEEN SPILMAN AND MILWAUKEE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2118292,Image Copyright HLP Inc. 2020,,
K20-126608,A606642,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2108593,In Public Home,Christine,Cat,,Spayed Female,Domestic Shorthair,Calico / White,04/15/2020 12:00:00 AM,Date Found,KENT KANLEY RD AND 132ND,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2108593,Image Copyright HLP Inc. 2020,,BLUE
K20-126544,A611073,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2107068,LOST,Hank,Dog,,Male,American Pit Bull Terrier,Unknown,04/10/2020 12:00:00 AM,Date Lost,PRATT LAKE TRAIL HEAD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2107068,Image Copyright HLP Inc. 2020,,
K20-127214,A612926,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612926,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Snake,NO AGE,Unaltered,Snake,Brown / Black,05/09/2020 12:00:00 AM,Received on,19900 FREMONT AVE N,SHORELINE,WA,98133,SHORELINE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612926,Image Copyright HLP Inc. 2020,"Received on: 2020-05-09<p/> Found Near: 19900 FREMONT AVE N, SHORELINE WA 98133<p/> Description: Brown / Black Unaltered Snake Snake<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-126380,A610459,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2102792,LOST,Ralphi,Cat,,Male,Snowshoe,Unknown,04/02/2020 12:00:00 AM,Date Lost,158TH 42ND,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2102792,Image Copyright HLP Inc. 2020,,
K20-127017,A612504,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2117362,LOST,"To""fin""o",Dog,,Male,Smooth Collie,Unknown,05/02/2020 12:00:00 AM,Date Lost,62ND AND 5TH AVE NW,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2117362,Image Copyright HLP Inc. 2020,,
K20-126640,A611404,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,Honey,Dead Dog,NO AGE,Spayed Female,Pug / Beagle,Brown / Black,04/18/2020 12:00:00 AM,Received on,13000 INTERURBAN AVE S,TUKWILA,WA,98168,TUKWILA,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-04-18<p/> Found Near: 13000 INTERURBAN AVE S, TUKWILA WA 98168<p/> Description: Brown / Black Spayed Female Pug / Beagle Dog<p/> Age: NO AGE<p/>",
K20-127062,A552561,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A552561,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Yuki,Dog,4 YEARS 2 MONTHS,Spayed Female,Labrador Retriever,Yellow / Yellow,05/07/2020 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A552561,Image Copyright HLP Inc. 2020,"Received on: 2020-05-07<p/> Description: Yellow / Yellow<p/>  Spayed Female Labrador Retriever Dog<p/> Age: 4 YEARS 2 MONTHS<p/> Adoption Fee: $250.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/>Hi! My name is Yuki and I am available for adoption.<p/><p/>I was brought in by my previous owner on May 7, 2020 because I was not living well with the small dog in the home. I lived in a home with other large dogs. My previous owner described me as outgoing, affectionate and very playful!<p/><p/>I am a very smart dog! At the shelter I am practicing how to [""sit"", ""stay"", ""come"", ""down"" and ""shake"".]<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home! I am a big ball of love, I enjoy being right by your side and will even encourage you to pet me!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy. You can plan on throwing the ball for me over and over again, and running around the yard with me to help me burn off my energy.<p/><p/>My caregivers have noticed that I seem to do well with other large dogs. When meeting dogs in a new home, I would do best with a slow introduction. Unfortunately I do not get along with small dogs, and most likely cats, so I would need to be in a home with only large dogs as my animal companions.<p/><p/>My personality color is GREEN. I am an adaptable dog who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/><p/>",GREEN
K20-126941,A612306,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2116316,LOST,Erin Oconnel,Dog,,Female,German Shepherd,Unknown,05/01/2020 12:00:00 AM,Date Lost,20431 FRAGER RD S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2116316,Image Copyright HLP Inc. 2020,,
K20-127183,A612843,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612843,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Allegro,Cat,2 YEARS,Male,Domestic Shorthair,Brn Tabby,05/08/2020 12:00:00 AM,Received on,25400 98TH AVE S,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612843,Image Copyright HLP Inc. 2020,"Received on: 2020-05-08<p/> Found Near: 25400 98TH AVE S, KENT WA 98030<p/> Description: Brn Tabby Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K20-126998,A612463,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2117196,LOST,Ocu,Cat,,Male,American Shorthair,Unknown,05/01/2020 12:00:00 AM,Date Lost,1219 NE 152ND STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2117196,Image Copyright HLP Inc. 2020,,
K20-126990,A501134,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A501134,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Robin,Cat,6 YEARS 9 MONTHS,Neutered Male,Domestic Shorthair,Black,05/05/2020 12:00:00 AM,Received on,11500 SE 256TH PL,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A501134,Image Copyright HLP Inc. 2020,"Received on: 2020-05-05<p/> Found Near: 11500 SE 256TH PL, KENT WA 98030<p/> Description: Black Neutered Male Domestic Shorthair Cat<p/> Age: 6 YEARS 9 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K20-126758,A611902,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2112851,LOST,Mr. Grufff,Cat,,Male,Bengal,Unknown,04/18/2020 12:00:00 AM,Date Lost,S GRATTAN STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2112851,Image Copyright HLP Inc. 2020,,
K20-127195,A612877,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612877,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,4 WEEKS,Female,Chihuahua - Smooth Coated,Tan / White,05/08/2020 12:00:00 AM,Received on,100 REITEN RD,KENT,WA,98030,KENT,47.382264,-122.22592,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612877,Image Copyright HLP Inc. 2020,"Received on: 2020-05-08<p/> Found Near: 100 REITEN RD, KENT WA 98030<p/> Description: Tan / White Female Chihuahua - Smooth Coated Dog<p/> Age: 4 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-126975,A612428,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Dorie,Cat,2 YEARS,Spayed Female,Domestic Shorthair,Black / White,05/05/2020 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612428,Image Copyright HLP Inc. 2020,"Received on: 2020-05-05<p/> Found Near: 21600 64TH AVE S, KENT WA 98032<p/> Description: Black / White Spayed Female Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: In RASKC Foster Home <p/>",GREEN
K20-126997,A612462,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2117120,In Public Home,,Dog,,,Shih Tzu,Black / White,05/05/2020 12:00:00 AM,Date Found,,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2117120,Image Copyright HLP Inc. 2020,,
K20-127026,A612550,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612550,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,NO AGE,Unaltered,Domestic Shorthair,Brn Tabby,05/06/2020 12:00:00 AM,Received on,18800 SE 144TH ST,RENTON,WA,98059,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612550,Image Copyright HLP Inc. 2020,"Received on: 2020-05-06<p/> Found Near: 18800 SE 144TH ST, RENTON WA 98059<p/> Description: Brn Tabby Unaltered Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
