impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K20-127100,A612714,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2118108,LOST,Bubbles,Dog,,Female,Boston Terrier,Unknown,05/07/2020 12:00:00 AM,Date Lost,1909 290TH AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2118108,Image Copyright HLP Inc. 2020,,
K20-126722,A611664,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2111843,In Public Home,,Cat,,Unaltered,Domestic Shorthair,Gray Tabby / White,04/22/2020 12:00:00 AM,Date Found,245TH ST AND SE MAPLE RIDGE DR,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2111843,Image Copyright HLP Inc. 2020,,
K20-126719,A611662,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2111709,In Public Home,,Dog,,,Samoyed,White / White,04/22/2020 12:00:00 AM,Date Found,NW 75TH ST AND 26TH AVE NW,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2111709,Image Copyright HLP Inc. 2020,,
K20-126470,A610682,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2104747,LOST,Navy,Dog,,Male,English Springer Spaniel,Unknown,04/07/2020 12:00:00 AM,Date Lost,188TH/WEST LAKE SAMMAMISH PARKWAY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2104747,Image Copyright HLP Inc. 2020,,
K20-126855,A439540,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,Binx,Dead Cat,6 YEARS,Neutered Male,Domestic Shorthair,Gray / White,04/28/2020 12:00:00 AM,Received on,10200 SE 208TH ST,KENT,WA,98031,KENT,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-04-28<p/> Found Near: 10200 SE 208TH ST, KENT WA 98031<p/> Description: Gray / White Neutered Male Domestic Shorthair Cat<p/> Age: 6 YEARS<p/>",
K20-126971,A612408,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2116674,In Public Home,,Cat,,Female,Domestic Longhair,White / Unknown,04/12/2020 12:00:00 AM,Date Found,30986 E. LAKE MORTON DRIVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2116674,Image Copyright HLP Inc. 2020,,
K20-127229,A612973,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612973,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,4 WEEKS,Male,Domestic Shorthair,Brn Tabby / White,05/10/2020 12:00:00 AM,Received on,3500 S 130TH ST,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612973,Image Copyright HLP Inc. 2020,"Received on: 2020-05-10<p/> Found Near: 3500 S 130TH ST, TUKWILA WA 98168<p/> Description: Brn Tabby / White Male Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-127069,A612686,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Male,Siamese / Mix,White / Gray,05/07/2020 12:00:00 AM,Received on,3200 S 288TH ST,AUBURN,WA,98001,KING COUNTY,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-05-07<p/> Found Near: 3200 S 288TH ST, AUBURN WA 98001<p/> Description: White / Gray Male Siamese / Mix Cat<p/> Age: NO AGE<p/>",
K20-127037,A612603,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2117636,In Public Home,,Cat,,Female,Domestic Longhair,Unknown,05/06/2020 12:00:00 AM,Date Found,,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2117636,Image Copyright HLP Inc. 2020,,
K20-127031,A612555,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Guinea Pig,NO AGE,Unaltered,Guinea Pig,White,05/06/2020 12:00:00 AM,Received on,11800 SE 227TH PL,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612555,Image Copyright HLP Inc. 2020,"Received on: 2020-05-06<p/> Found Near: 11800 SE 227TH PL, KENT WA 98031<p/> Description: White Unaltered Guinea Pig Guinea Pig<p/> Age: NO AGE<p/> Current Location: In RASKC Foster Home <p/>",
K20-126969,A612400,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612400,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Arleigh,Cat,8 MONTHS,Neutered Male,Domestic Shorthair,Black / White,05/04/2020 12:00:00 AM,Received on,11000 SE 200TH ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612400,Image Copyright HLP Inc. 2020,"Received on: 2020-05-04<p/> Found Near: 11000 SE 200TH ST, KENT WA 98031<p/> Description: Black / White Neutered Male Domestic Shorthair Cat<p/> Age: 8 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K20-127223,A612203,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A612203,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Sammie,Cat,1 YEAR,Neutered Male,Domestic Shorthair,Brn Tabby / White,05/10/2020 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612203,Image Copyright HLP Inc. 2020,"Received on: 2020-05-10<p/> Description: Brn Tabby / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Sammie and I am available for adoption.<p/><p/>I was brought in by a good samaritan on April 30, 2020.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am an independent kitty who likes to do my own thing!<p/><p/>My caregivers have noticed that I do not seem to get along with dogs or other cats, so I may do best as the only pet in my new home.<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>",GREEN
K20-126908,A612225,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612225,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Tzar,Cat,6 YEARS,Neutered Male,Domestic Mediumhair,Brn Tabby,04/30/2020 12:00:00 AM,Received on,24000 35TH PL S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612225,Image Copyright HLP Inc. 2020,"Received on: 2020-04-30<p/> Found Near: 24000 35TH PL S, KENT WA 98032<p/> Description: Brn Tabby Neutered Male Domestic Mediumhair Cat<p/> Age: 6 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-126628,A611426,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2109153,In Public Home,,Dog,,Male,American Pit Bull Terrier,White,04/09/2020 12:00:00 AM,Date Found,KENT YMCA,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2109153,Image Copyright HLP Inc. 2020,,
K20-126434,A610578,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2104144,LOST,Fletch,Cat,,Female,Domestic Shorthair,Unknown,04/05/2020 12:00:00 AM,Date Lost,186TH AND 272ND,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2104144,Image Copyright HLP Inc. 2020,,
K20-127181,A612841,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2118341,LOST,Oreo,Cat,,Male,Domestic Shorthair,Unknown,05/07/2020 12:00:00 AM,Date Lost,4540 168TH AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2118341,Image Copyright HLP Inc. 2020,,
K20-126522,A611013,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2106339,LOST,Blue,Dog,,Female,Siberian Husky,Unknown,04/10/2020 12:00:00 AM,Date Lost,FRANKLIN FALLS TRAIL OFF OF EXIT 47,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2106339,Image Copyright HLP Inc. 2020,,
K20-126641,A611460,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2109784,In Public Home,,Dog,,Male,Boston Terrier,Br Brindle / White,04/18/2020 12:00:00 AM,Date Found,356TH DR SE AND SE 42ND ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2109784,Image Copyright HLP Inc. 2020,,
K20-126803,A611971,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2113648,LOST,Agate,Cat,,,American Shorthair,Unknown,04/24/2020 12:00:00 AM,Date Lost,SE 46TH STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2113648,Image Copyright HLP Inc. 2020,,
K20-127187,A612847,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,1 WEEK,Female,Domestic Mediumhair,Black / White,05/08/2020 12:00:00 AM,Received on,25400 98TH AVE S,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612847,Image Copyright HLP Inc. 2020,"Received on: 2020-05-08<p/> Found Near: 25400 98TH AVE S, KENT WA 98030<p/> Description: Black / White Female Domestic Mediumhair Cat<p/> Age: 1 WEEK<p/> Current Location: In RASKC Foster Home <p/>",
K20-126791,A611969,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2113611,LOST,Buddy,Cat,,Male,Domestic Shorthair,Unknown,04/03/2020 12:00:00 AM,Date Lost,40704 302ND AVENUE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2113611,Image Copyright HLP Inc. 2020,,
K20-127225,A612969,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612969,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,4 WEEKS,Female,Domestic Shorthair,Brn Tabby,05/10/2020 12:00:00 AM,Received on,3500 S 130TH ST,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612969,Image Copyright HLP Inc. 2020,"Received on: 2020-05-10<p/> Found Near: 3500 S 130TH ST, TUKWILA WA 98168<p/> Description: Brn Tabby Female Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-126471,A610683,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2104819,LOST,Charity,Cat,,Female,Domestic Longhair,Unknown,04/01/2020 12:00:00 AM,Date Lost,140TH AVE AND NE 51ST PLACE,BELLEV,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2104819,Image Copyright HLP Inc. 2020,,
K20-126388,A610468,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2102970,In Public Home,,Cat,,Unaltered,Domestic Shorthair,Brn Tabby / White,04/03/2020 12:00:00 AM,Date Found,1427 MAPLE LANE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2102970,Image Copyright HLP Inc. 2020,,
K20-127188,A612866,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612866,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Fiona,Dog,2 YEARS,Female,Chihuahua - Smooth Coated,Cream / White,05/08/2020 12:00:00 AM,Received on,100 REITEN RD,KENT,WA,98030,KENT,47.382264,-122.22592,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612866,Image Copyright HLP Inc. 2020,"Received on: 2020-05-08<p/> Found Near: 100 REITEN RD, KENT WA 98030<p/> Description: Cream / White Female Chihuahua - Smooth Coated Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-126523,A611014,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2106343,LOST,Blue,Dog,,Female,Siberian Husky,Unknown,04/10/2020 12:00:00 AM,Date Lost,FRANKLIN FALLS TRAIL OFF OF EXIT 47,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2106343,Image Copyright HLP Inc. 2020,,
K20-127060,A612642,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2117903,LOST,The Dude,Cat,,Male,American Shorthair,Unknown,04/20/2020 12:00:00 AM,Date Lost,TIGER MT ROAD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2117903,Image Copyright HLP Inc. 2020,,
K20-126868,A612143,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2114988,LOST,Janni,Cat,,Female,Domestic Mediumhair,Unknown,04/28/2020 12:00:00 AM,Date Lost,SAME,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2114988,Image Copyright HLP Inc. 2020,,
K20-127028,A612552,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Guinea Pig,NO AGE,Unaltered,Guinea Pig,Brown,05/06/2020 12:00:00 AM,Received on,11800 SE 227TH PL,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612552,Image Copyright HLP Inc. 2020,"Received on: 2020-05-06<p/> Found Near: 11800 SE 227TH PL, KENT WA 98031<p/> Description: Brown Unaltered Guinea Pig Guinea Pig<p/> Age: NO AGE<p/> Current Location: In RASKC Foster Home <p/>",
K20-126988,A612450,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A612450,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Leia,Dog,1 YEAR 6 MONTHS,Spayed Female,Labrador Retriever / German Shepherd,Black / White,05/05/2020 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612450,Image Copyright HLP Inc. 2020,"Received on: 2020-05-05<p/> Description: Black / White<p/>  Spayed Female Labrador Retriever / German Shepherd Dog<p/> Age: 1 YEAR 6 MONTHS<p/> Adoption Fee: $250.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Leia and I am available for adoption.<p/><p/>I was brought in by my previous owner on 5/5/20 because they could no longer care for me. I lived in a home with other cats, young children]. My previous owner described me as outgoing, loving, playful.<p/><p/>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>My caregivers have noticed that I seem to do well with other large dogs. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>My owner stated that I loved my family and did great with the young children.  I even liked my feline roommates.  If dogs came to visit I liked their company too.  When I met new people or saw my human neighbors I would bark aggressively and occasionaly nip people.  Once I have time to meet and get to know people I warm up and will be their friend.<p/><p/><p/>",BLUE
K20-126702,A611633,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2111285,LOST,Shadow,Cat,,Female,Domestic Shorthair,Unknown,04/19/2020 12:00:00 AM,Date Lost,225015 214TH PL SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2111285,Image Copyright HLP Inc. 2020,,
K20-126529,A611043,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2106700,LOST,Alice,Cat,,Female,Maine Coon,Unknown,04/06/2020 12:00:00 AM,Date Lost,NW RICHMOND BEACH RD 15TH AVENUE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2106700,Image Copyright HLP Inc. 2020,,
K20-126969,A612400,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A612400,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Arleigh,Cat,8 MONTHS,Neutered Male,Domestic Shorthair,Black / White,05/04/2020 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612400,Image Copyright HLP Inc. 2020,"Received on: 2020-05-04<p/> Description: Black / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 8 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Arleigh and I am available for adoption.<p/><p/>I was brought in by a good samaritan on May 4, 2020.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am full of energy and I love to play! I do best when I have lots of toys and something to keep my mind busy.<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/><p/>",GREEN
K20-126650,A611490,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,3 YEARS,Female,Domestic Shorthair,Brn Tabby,04/19/2020 12:00:00 AM,Received on,3500 S 200TH ST,SEATAC,WA,98198,SEATAC,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-04-19<p/> Found Near: 3500 S 200TH ST, SEATAC WA 98198<p/> Description: Brn Tabby Female Domestic Shorthair Cat<p/> Age: 3 YEARS<p/>",
K20-126790,A611968,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2113571,LOST,Tater,Dog,,Male,French Bulldog,Unknown,04/26/2020 12:00:00 AM,Date Lost,10463 8TH AVE S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2113571,Image Copyright HLP Inc. 2020,,
K20-126321,A610239,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2100841,In Public Home,,Dog,,Female,Siberian Husky,Black / White,03/29/2020 12:00:00 AM,Date Found,PACIFIC AVE S AND 1ST AVE E,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2100841,Image Copyright HLP Inc. 2020,,
K20-127025,A612545,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Spiderman,Cat,7 WEEKS,Female,Domestic Shorthair,Black,05/06/2020 12:00:00 AM,Received on,23900 98TH AVE S,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612545,Image Copyright HLP Inc. 2020,"Received on: 2020-05-06<p/> Found Near: 23900 98TH AVE S, KENT WA 98031<p/> Description: Black Female Domestic Shorthair Cat<p/> Age: 7 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K20-126431,A610572,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2104103,LOST,Fatty,Cat,,Male,American Shorthair,Unknown,04/03/2020 12:00:00 AM,Date Lost,30836 2ND AVE S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2104103,Image Copyright HLP Inc. 2020,,
K20-127185,A612845,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,1 WEEK,Male,Domestic Mediumhair,Gray Tabby,05/08/2020 12:00:00 AM,Received on,25400 98TH AVE S,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612845,Image Copyright HLP Inc. 2020,"Received on: 2020-05-08<p/> Found Near: 25400 98TH AVE S, KENT WA 98030<p/> Description: Gray Tabby Male Domestic Mediumhair Cat<p/> Age: 1 WEEK<p/> Current Location: In RASKC Foster Home <p/>",
K20-127235,A611929,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A611929,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,9 WEEKS,Neutered Male,Shih Tzu,Brown / Cream,05/10/2020 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A611929,Image Copyright HLP Inc. 2020,"Received on: 2020-05-10<p/> Description: Brown / Cream<p/>  Neutered Male Shih Tzu Dog<p/> Age: 9 WEEKS<p/> Adoption Fee: $250.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! I am an adorable 9 week old puppy who came into the shelter back in April.<p/><p/>I am currently in foster care, but will coming back to the shelter to be adopted. I will be available by appointment only starting on Monday May 11, 2020. <p/><p/>If you are interested in setting up an appointment, please go to our website at www.kingcounty.gov/pets. The link to sign up for an appointment will be going live at 6am Monday May 11th. See our website for more details!<p/><p/>Please be patient while we navigate this new adoption process. Thank you and we are excited to meet you!<p/>",
K20-126552,A611131,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2107295,LOST,James,Cat,,Male,Domestic Mediumhair,Unknown,04/12/2020 12:00:00 AM,Date Lost,12604 WE MAY CREEK PARK DR,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2107295,Image Copyright HLP Inc. 2020,,
K20-126476,A610749,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A610749,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Buddy,Dog,2 YEARS 1 MONTH,Neutered Male,Pit Bull / Weimaraner,Blu Brindl,04/08/2020 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A610749,Image Copyright HLP Inc. 2020,"Received on: 2020-04-08<p/> Description: Blu Brindl<p/>  Neutered Male Pit Bull / Weimaraner Dog<p/> Age: 2 YEARS 1 MONTH<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Buddy and I am available for adoption.<p/><p/>I was brought in by my previous owner on April 8, 2020  because of some landlord issues. I lived in a home with men and women. My previous owner described me as nervous but energetic and sweet.<p/><p/>I am a very smart dog! At the shelter I am practicing how to ""sit"", ""stay"", ""come"", ""down"" <p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy. One of my most favorite activities is playing fetch! I can chase after that ball for hours!<p/><p/>My caregivers have discovered that I LOVE playing with other dogs! While at the shelter I play with dogs who are about the same size as me, but I have played with both male and female dogs. I would do best with another dog who likes to rough house and run around together.<p/><p/>One of my biggest quirks is how insecure I am around strangers but especially men. I can be a bit shy and aloof when you first meet me, but after I warm up I love to cuddle and stick by your side. However, I am still super nervous around men and would probably do best in a home that is a lower traffic enviornment, and maybe even a household with no men until I have had some training under my belt. <p/><p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",RED
K20-127200,A612888,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612888,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,2 WEEKS,Female,Chihuahua - Smooth Coated,Black / Brown,05/08/2020 12:00:00 AM,Received on,100 REITEN RD,KENT,WA,98030,KENT,47.382264,-122.22592,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612888,Image Copyright HLP Inc. 2020,"Received on: 2020-05-08<p/> Found Near: 100 REITEN RD, KENT WA 98030<p/> Description: Black / Brown Female Chihuahua - Smooth Coated Dog<p/> Age: 2 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-127196,A612883,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Dog,4 WEEKS,Female,Chihuahua - Smooth Coated,Brown / White,05/08/2020 12:00:00 AM,Received on,100 REITEN RD,KENT,WA,98030,KENT,47.382237,-122.224298,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612883,Image Copyright HLP Inc. 2020,"Received on: 2020-05-08<p/> Found Near: 100 REITEN RD, KENT WA 98030<p/> Description: Brown / White Female Chihuahua - Smooth Coated Dog<p/> Age: 4 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
