Area,Sub Area,Collection Sequence,Date Sign Posted (Round 1),Planned Start (Round 1),Date Area Started (Round 1),Date Area Ended (Round 1),Date Sign Posted (Round 2),Planned Start (Round 2),Date Area Started (Round 2),Date Area Ended (Round 2)
7,G,6,10/30/2019 12:00:00 AM,11/20/2019,11/20/2019,11/21/2019,11/22/2019,12/05/2019,12/12/2019,12/18/2019
15,D,1,10/28/2019 12:00:00 AM,11/11/2019,11/11/2019,11/14/2019,11/19/2019,11/29/2019,12/02/2019,12/03/2019
14,A,1,10/23/2019 12:00:00 AM,11/11/2019,11/11/2019,11/12/2019,11/18/2019,11/29/2019,12/02/2019,12/04/2019
11,D,5,11/04/2019 12:00:00 AM,11/22/2019,11/22/2019,11/29/2019,11/29/2019,12/06/2019,12/07/2019,12/18/2019
9,D,5,11/07/2019 12:00:00 AM,11/18/2019,11/18/2019,11/21/2019,11/19/2019,12/05/2019,12/09/2019,12/18/2019
2,I,8,11/06/2019 12:00:00 AM,11/20/2019,11/21/2019,12/26/2019,12/26/2019,12/11/2019,12/12/2019,12/18/2019
5,G,9,10/30/2019 12:00:00 AM,11/27/2019,11/29/2019,11/30/2019,11/30/2019,12/07/2019,12/18/2019,12/18/2019
10,B,4,11/06/2019 12:00:00 AM,11/16/2019,11/16/2019,11/19/2019,11/19/2019,12/05/2019,12/07/2019,12/18/2019
15,C,3,10/29/2019 12:00:00 AM,11/19/2019,11/22/2019,11/29/2019,11/29/2019,12/06/2019,12/09/2019,12/18/2019
2,H,7,11/06/2019 12:00:00 AM,11/18/2019,11/18/2019,11/21/2019,11/21/2019,12/09/2019,12/12/2019,12/19/2019
13,B,4,10/30/2019 12:00:00 AM,11/13/2019,11/20/2019,11/23/2019,11/26/2019,12/05/2019,12/11/2019,12/19/2019
5,F,8,10/29/2019 12:00:00 AM,11/25/2019,11/25/2019,11/26/2019,11/25/2019,12/06/2019,12/18/2019,12/19/2019
3,B,6,11/04/2019 12:00:00 AM,11/21/2019,11/22/2019,11/29/2019,11/29/2019,12/07/2019,12/12/2019,12/19/2019
13,L,6,10/30/2019 12:00:00 AM,11/15/2019,11/23/2019,11/29/2019,11/29/2019,12/06/2019,12/12/2019,12/19/2019
5,I,7,10/29/2019 12:00:00 AM,11/22/2019,11/22/2019,11/23/2019,11/25/2019,12/05/2019,12/19/2019,12/19/2019
8,D,5,10/31/2019 12:00:00 AM,11/19/2019,11/19/2019,11/21/2019,11/21/2019,12/03/2019,12/10/2019,12/19/2019
5,E,6,10/29/2019 12:00:00 AM,11/20/2019,11/20/2019,11/21/2019,11/22/2019,12/04/2019,12/18/2019,12/19/2019
