ENUMBER,CEQR_NUM,the_geom,ULURP_NUM,BOROCODE,TAXBLOCK,TAXLOT,BBL
E-312,12DCP157M,POINT (-73.98871993691681 40.710472394516955),120183ZSM,1,247,2,1002470002
E-450,17DCP109M,POINT (-73.99109859088183 40.717116182053125),170068ZSM,1,308,14,1003080014
E-216,07DCP078M,POINT (-73.98308486530927 40.71784610777156),080397ZMM,1,343,63,1003430063
E-216,07DCP078M,POINT (-73.98316657545593 40.71771892000806),080397ZMM,1,343,66,1003430066
E-216,07DCP078M,POINT (-73.98330066929819 40.71748378575127),080397ZMM,1,343,68,1003430068
E-216,07DCP078M,POINT (-73.98269772043169 40.7194660108183),080397ZMM,1,344,53,1003440053
E-216,07DCP078M,POINT (-73.98252553492208 40.71946925636508),080397ZMM,1,344,54,1003440054
E-216,07DCP078M,POINT (-73.98241900623341 40.71938318112619),080397ZMM,1,344,56,1003440056
E-216,07DCP078M,POINT (-73.98245698364983 40.7192374060857),080397ZMM,1,344,60,1003440060
E-216,07DCP078M,POINT (-73.98467427518158 40.71933898582319),080397ZMM,1,344,139,1003440139
E-216,07DCP078M,POINT (-73.98448067039531 40.71967610625298),080397ZMM,1,344,145,1003440145
E-216,07DCP078M,POINT (-73.98398099993523 40.719792674541544),080397ZMM,1,344,157,1003440157
E-216,07DCP078M,POINT (-73.98321214563892 40.720253575554175),080397ZMM,1,345,2,1003450002
E-216,07DCP078M,POINT (-73.98308099768518 40.7205076594795),080397ZMM,1,345,6,1003450006
E-216,07DCP078M,POINT (-73.98303178970727 40.720603000002676),080397ZMM,1,345,7,1003450007
E-216,07DCP078M,POINT (-73.98259266718048 40.72076753050311),080397ZMM,1,345,17,1003450017
E-216,07DCP078M,POINT (-73.98283729244153 40.72021357637621),080397ZMM,1,345,26,1003450026
E-216,07DCP078M,POINT (-73.98335839923094 40.72005826722411),080397ZMM,1,345,35,1003450035
E-548,19DCP119M,POINT (-73.98777388064339 40.71702957300064),200064ZMM 200061ZSM 200065ZRM 200066ZAM 200067ZAM 7900721BZSM,1,346,37,1003460037
E-548,19DCP119M,POINT (-73.98749863501672 40.71696283365378),200064ZMM 200061ZSM 200065ZRM 200066ZAM 200067ZAM 7900721BZSM,1,346,75,1003460075
E-548,19DCP119M,POINT (-73.98763464049088 40.71650176644711),200064ZMM 200061ZSM 200065ZRM 200066ZAM 200067ZAM 7900721BZSM,1,346,95,1003460095
E-216,07DCP078M,POINT (-73.98588790105349 40.71809925232914),080397ZMM,1,348,33,1003480033
E-216,07DCP078M,POINT (-73.98619758251586 40.718268643375744),080397ZMM,1,348,36,1003480036
E-216,07DCP078M,POINT (-73.98538391198086 40.71811847567061),080397ZMM,1,348,38,1003480038
E-216,07DCP078M,POINT (-73.98514202738306 40.71840033583844),080397ZMM,1,348,43,1003480043
E-216,07DCP078M,POINT (-73.98481284368461 40.71856662156941),080397ZMM,1,348,46,1003480046
E-216,07DCP078M,POINT (-73.98455527040477 40.71870130268431),080397ZMM,1,348,55,1003480055
E-216,07DCP078M,POINT (-73.98477285813254 40.71834657758929),080397ZMM,1,348,64,1003480064
E-216,07DCP078M,POINT (-73.9848593858205 40.71789817736463),080397ZMM,1,348,70,1003480070
E-216,07DCP078M,POINT (-73.98494498617409 40.717924228637415),080397ZMM,1,348,71,1003480071
E-216,07DCP078M,POINT (-73.98527907203238 40.718026221276176),080397ZMM,1,348,75,1003480075
E-216,07DCP078M,POINT (-73.9848449404667 40.720861208436325),080397ZMM,1,350,4,1003500004
E-216,07DCP078M,POINT (-73.984255759357 40.72108539048882),080397ZMM,1,350,21,1003500021
E-216,07DCP078M,POINT (-73.98512924694082 40.72059882529147),080397ZMM,1,350,37,1003500037
E-216,07DCP078M,POINT (-73.98372292029498 40.721184464299505),080397ZMM,1,350,54,1003500054
E-216,07DCP078M,POINT (-73.98337039647139 40.721075929530315),080397ZMM,1,350,60,1003500060
E-216,07DCP078M,POINT (-73.98330321149743 40.72105549444781),080397ZMM,1,350,61,1003500061
E-216,07DCP078M,POINT (-73.98323323942265 40.72103421244113),080397ZMM,1,350,62,1003500062
E-216,07DCP078M,POINT (-73.98334933999868 40.72095904934432),080397ZMM,1,350,63,1003500063
E-216,07DCP078M,POINT (-73.98361477432933 40.720596709738444),080397ZMM,1,350,69,1003500069
E-216,07DCP078M,POINT (-73.9836968488821 40.72043618572913),080397ZMM,1,350,71,1003500071
E-216,07DCP078M,POINT (-73.98368442678813 40.72030255103277),080397ZMM,1,350,73,1003500073
E-216,07DCP078M,POINT (-73.9838643240317 40.720260955727795),080397ZMM,1,350,78,1003500078
E-216,07DCP078M,POINT (-73.98423459596886 40.72126880608817),080397ZMM,1,350,7503,1003507503
E-216,07DCP078M,POINT (-73.98735220160395 40.71899132263635),080397ZMM,1,353,34,1003530034
E-216,07DCP078M,POINT (-73.98763152481725 40.71874397481809),080397ZMM,1,353,42,1003530042
E-216,07DCP078M,POINT (-73.98664475550291 40.71847940463414),080397ZMM,1,353,75,1003530075
E-216,07DCP078M,POINT (-73.9868715986449 40.718514455157404),080397ZMM,1,353,79,1003530079
E-216,07DCP078M,POINT (-73.98697378320558 40.71850434143094),080397ZMM,1,353,80,1003530080
E-216,07DCP078M,POINT (-73.98707525830403 40.718496742658225),080397ZMM,1,353,82,1003530082
E-216,07DCP078M,POINT (-73.9871655089808 40.718524240819626),080397ZMM,1,353,83,1003530083
E-216,07DCP078M,POINT (-73.98707960107077 40.72018614367386),080397ZMM,1,354,1,1003540001
E-216,07DCP078M,POINT (-73.9863669217205 40.720707896041596),080397ZMM,1,354,18,1003540018
E-216,07DCP078M,POINT (-73.98643639331615 40.72065593403405),080397ZMM,1,354,19,1003540019
E-216,07DCP078M,POINT (-73.98719547339702 40.719907277762445),080397ZMM,1,354,37,1003540037
E-216,07DCP078M,POINT (-73.98726250693147 40.71992759709581),080397ZMM,1,354,38,1003540038
E-216,07DCP078M,POINT (-73.98557012931434 40.72133564323976),080397ZMM,1,355,45,1003550045
E-216,07DCP078M,POINT (-73.98540786427355 40.7216599998367),080397ZMM,1,355,51,1003550051
E-216,07DCP078M,POINT (-73.98534702292716 40.72164158479425),080397ZMM,1,355,52,1003550052
E-216,07DCP078M,POINT (-73.98529683149177 40.72158634834461),080397ZMM,1,355,53,1003550053
E-216,07DCP078M,POINT (-73.985126568198 40.721491148019425),080397ZMM,1,355,54,1003550054
E-216,07DCP078M,POINT (-73.9851924338816 40.72129576124247),080397ZMM,1,355,61,1003550061
E-216,07DCP078M,POINT (-73.98530794336027 40.72106987240361),080397ZMM,1,355,65,1003550065
E-216,07DCP078M,POINT (-73.98077261739752 40.721143004695584),080397ZMM,1,372,3,1003720003
E-216,07DCP078M,POINT (-73.98069884554836 40.721170685723884),080397ZMM,1,372,4,1003720004
E-216,07DCP078M,POINT (-73.98066471132645 40.72121760465116),080397ZMM,1,372,5,1003720005
E-216,07DCP078M,POINT (-73.97903901590033 40.72075515790737),080397ZMM,1,372,30,1003720030
E-216,07DCP078M,POINT (-73.9789241765577 40.72069404276539),080397ZMM,1,372,31,1003720031
E-216,07DCP078M,POINT (-73.97879548812884 40.7207004874972),080397ZMM,1,372,33,1003720033
E-216,07DCP078M,POINT (-73.97869506152269 40.7206692248742),080397ZMM,1,372,34,1003720034
E-216,07DCP078M,POINT (-73.97849411570837 40.7206708057305),080397ZMM,1,372,36,1003720036
E-216,07DCP078M,POINT (-73.97852294754915 40.72063121390131),080397ZMM,1,372,37,1003720037
E-216,07DCP078M,POINT (-73.97885558594572 40.72035310172552),080397ZMM,1,372,41,1003720041
E-216,07DCP078M,POINT (-73.97913658522366 40.72045497181926),080397ZMM,1,372,49,1003720049
E-216,07DCP078M,POINT (-73.97933491189369 40.72053865593218),080397ZMM,1,372,52,1003720052
E-216,07DCP078M,POINT (-73.98004414737179 40.72195663520198),080397ZMM,1,373,2,1003730002
E-216,07DCP078M,POINT (-73.97951185714015 40.72176359223923),080397ZMM,1,373,13,1003730013
E-216,07DCP078M,POINT (-73.97944383485182 40.72173487547276),080397ZMM,1,373,14,1003730014
E-216,07DCP078M,POINT (-73.9792986873803 40.72167359950942),080397ZMM,1,373,16,1003730016
E-216,07DCP078M,POINT (-73.9792266273603 40.721643177223655),080397ZMM,1,373,17,1003730017
E-216,07DCP078M,POINT (-73.97830950157311 40.721037854849754),080397ZMM,1,373,38,1003730038
E-216,07DCP078M,POINT (-73.97972041050471 40.72154151398046),080397ZMM,1,373,61,1003730061
E-216,07DCP078M,POINT (-73.97978810135419 40.72157007473793),080397ZMM,1,373,62,1003730062
E-216,07DCP078M,POINT (-73.97985622783307 40.72159861391945),080397ZMM,1,373,63,1003730063
E-216,07DCP078M,POINT (-73.9779629115279 40.72189478598145),080397ZMM,1,374,31,1003740031
E-216,07DCP078M,POINT (-73.97767923306965 40.72186700554783),080397ZMM,1,374,34,1003740034
E-216,07DCP078M,POINT (-73.97783105969285 40.72165801941438),080397ZMM,1,374,37,1003740037
E-216,07DCP078M,POINT (-73.97834841985713 40.72174993021909),080397ZMM,1,374,47,1003740047
E-216,07DCP078M,POINT (-73.97789202739732 40.72267013986418),080397ZMM,1,375,29,1003750029
E-216,07DCP078M,POINT (-73.97768220031178 40.722581139857404),080397ZMM,1,375,32,1003750032
E-216,07DCP078M,POINT (-73.97742586108039 40.722223493075234),080397ZMM,1,375,41,1003750041
E-216,07DCP078M,POINT (-73.97899310714801 40.72353716643631),080397ZMM,1,376,1,1003760001
E-216,07DCP078M,POINT (-73.97827924225169 40.723600727003024),080397ZMM,1,376,13,1003760013
E-216,07DCP078M,POINT (-73.97777743231639 40.72338899354199),080397ZMM,1,376,21,1003760021
E-216,07DCP078M,POINT (-73.97770727414097 40.72335939104363),080397ZMM,1,376,22,1003760022
E-216,07DCP078M,POINT (-73.97763663317536 40.72332958309249),080397ZMM,1,376,23,1003760023
