InspectionID,CSNumber,MW,OvCond,isClosed,isOfficially,HandDryersAm,ChangingTablesAm,MirrorsAm,UrinalsAm,UrinalsComm,ToiletsAm,ToiletsComm,SinksAm,SinksComm,ToiletPaperDispAm,ToiletPaperDispComm,SoapDispAm,SoapDispComm,PaperTowelDispAm,PaperTowelDispComm,Comm
40200,1,M1,A,0,0,0,0,0,,,,,,,,,,,,,
98626,1,M1,A,0,0,1,0,0,2,Stainless Steel,1,Stainless Steel,1,Stainless Steel,2,Tamper Proof Stainless Steel; 2-ply or more,1,Stainless Steel,0,,
91199,1,M1,U,0,0,0,0,0,2,Porcelain,2,Porcelain,1,Porcelain,2,2-ply or more,1,Stainless Steel,1,Stainless Steel,
91170,1,M1,U,0,0,1,0,1,2,Porcelain,2,Porcelain,1,Porcelain,2,Tamper Proof Stainless Steel,0,,0,,
108947,1,W1,A,0,0,1,0,1,,,1,Porcelain,1,Porcelain,1,Standard,1,Soap Globe,0,,
107947,1,W1,A,0,0,1,0,0,,,1,Stainless Steel,1,Porcelain,1,2-ply or more,1,Stainless Steel,0,,
96368,1,W1,N,1,1,0,0,0,,,,,,,,,,,,,
61471,1,M1,U,1,0,,,,,,,,,,,,,,,,
94914,1,W1,N,0,0,2,0,1,,,3,Porcelain,2,Porcelain,3,Tamper Proof Stainless Steel,2,Other,0,,Not rated due to heavy patron use.
74528,1,W1,A,0,0,1,,,,,2,Stainless Steel,1,Stainless Steel,2,Tamper Proof Stainless Steel,1,Soap Globe,,,
113267,1,M1,U,0,0,1,0,0,1,Porcelain,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,1,Stainless Steel,1,Metal-Painted White,
33347,1,M1,U,1,1,0,0,0,,,,,,,,,,,,,
83913,1,W1,A,0,0,1,0,0,,,4,Stainless Steel,3,Stainless Steel,4,Tamper Proof Stainless Steel,2,Stainless Steel,0,,
64619,1,W1,U,1,0,1,1,0,,,1,Stainless Steel,1,Porcelain,1,2-ply or more,1,Stainless Steel,1,Stainless Steel,
79860,1,M1,A,0,0,1,0,1,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,2-ply or more,1,Stainless Steel,0,,
110016,1,W1,N,0,0,0,0,0,,,,,,,,,,,,,
78167,1,M1,A,0,0,1,0,1,1,Porcelain,1,Porcelain,1,Porcelain,1,2-ply or more,1,Stainless Steel,1,Metal-Painted White,
87123,1,W1,A,0,0,1,0,1,,,2,Porcelain,1,Porcelain,2,Tamper Proof Stainless Steel,1,Stainless Steel,0,,
109807,1,M1,U,1,0,1,0,0,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,2-ply or more,1,Stainless Steel,,,
113070,1,W1,A,0,0,1,1,1,,,1,Porcelain,1,Porcelain,1,Fully Enclosed (Big Giant Roll),1,Stainless Steel,0,,
70123,1,M1,A,0,0,0,0,0,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,Standard,1,Stainless Steel,1,Stainless Steel,
82024,1,W1,A,0,0,1,0,1,,,2,Porcelain,1,Porcelain,2,2-ply or more,1,Stainless Steel,1,Metal-Painted White,
106651,1,M1,A,0,0,1,0,0,1,Porcelain,1,Porcelain,1,Porcelain,1,2-ply or more,1,Stainless Steel,0,,
53801,1,M1,A,0,0,0,0,0,3,Stainless Steel,1,Stainless Steel,2,Stainless Steel,1,Tamper Proof Stainless Steel,1,Soap Globe,1,Stainless Steel,
49167,1,M1,A,0,0,0,0,0,1,Stainless Steel,1,Porcelain,1,Stainless Steel,1,Tamper Proof Stainless Steel,1,Soap Globe,1,Metal-Painted White,
69634,1,W1,A,0,0,0,0,0,,,1,Stainless Steel,1,Stainless Steel,1,Fully Enclosed (Big Giant Roll),1,Stainless Steel,1,Stainless Steel,
37368,1,M1,U,0,0,0,0,0,,,,,,,,,,,,,
42940,1,W1,A,0,0,,1,24,,,39,Porcelain,24,Porcelain,39,Tamper Proof Stainless Steel,24,Stainless Steel,0,,Comfort station partly closed for winter.
36885,1,M1,U,1,1,0,0,0,1,Porcelain,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,0,,1,Metal-Painted White,
116368,1,M1,N,1,1,,,,,,,,,,,,,,,,Trailer Opened Seasonally.
116659,1,W1,N,0,0,1,0,1,,,2,Porcelain,1,Porcelain,2,Tamper Proof Stainless Steel,1,Stainless Steel,0,,Not rated due to patron use.
80103,1,W1,A,0,0,1,0,0,,,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,1,Stainless Steel,0,,
105252,1,W1,A,0,0,1,0,0,,,1,Porcelain,1,Porcelain,1,2-ply or more,1,Stainless Steel,0,,
60136,1,M1,U,0,0,0,1,2,1,Stainless Steel,2,Stainless Steel,2,Stainless Steel,2,Tamper Proof Stainless Steel,1,Stainless Steel,0,,
95251,1,W1,U,0,0,1,0,0,,,2,Porcelain,1,Porcelain,2,Tamper Proof Stainless Steel,1,Stainless Steel,0,,
62008,1,W1,A,0,0,1,0,1,,,2,Stainless Steel,1,Stainless Steel,2,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,
115678,1,M1,N,1,1,,,,,,,,,,,,,,,,
36030,1,W1,U,1,1,0,0,0,,,,,,,,,,,,,
102607,1,M1,N,1,1,1,0,0,2,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,2-ply or more,1,Stainless Steel,0,,
32736,1,W1,U,1,1,0,0,0,,,,,,,,,,,,,"No access, plgd locked."
75566,1,M1,A,0,0,1,0,0,1,Porcelain,1,Porcelain,1,Porcelain,1,2-ply or more,1,Stainless Steel,0,,
53952,1,W1,U,1,0,0,0,0,,,,,,,,,,,,,
