State,Year,Month,Period,Indicator,Data Value
NEW YORK,2018,February,Monthly,Number of Deaths,13237
NORTH CAROLINA,2018,February,Monthly,Number of Deaths,7864
NORTH DAKOTA,2018,February,Monthly,Number of Deaths,505
OHIO,2018,February,Monthly,Number of Deaths,10141
OKLAHOMA,2018,February,Monthly,Number of Deaths,3607
OREGON,2018,February,Monthly,Number of Deaths,2780
PENNSYLVANIA,2018,February,Monthly,Number of Deaths,11415
RHODE ISLAND,2018,February,Monthly,Number of Deaths,807
SOUTH CAROLINA,2018,February,Monthly,Number of Deaths,4204
SOUTH DAKOTA,2018,February,Monthly,Number of Deaths,642
TENNESSEE,2018,February,Monthly,Number of Deaths,5939
TEXAS,2018,February,Monthly,Number of Deaths,17044
UTAH,2018,February,Monthly,Number of Deaths,1509
VERMONT,2018,February,Monthly,Number of Deaths,504
VIRGINIA,2018,February,Monthly,Number of Deaths,5747
WASHINGTON,2018,February,Monthly,Number of Deaths,4597
WEST VIRGINIA,2018,February,Monthly,Number of Deaths,1878
WISCONSIN,2018,February,Monthly,Number of Deaths,4424
WYOMING,2018,February,Monthly,Number of Deaths,392
PUERTO RICO,2018,February,Monthly,Number of Deaths,2463
ALABAMA,2018,March,Monthly,Number of Deaths,4666
ALASKA,2018,March,Monthly,Number of Deaths,362
ARIZONA,2018,March,Monthly,Number of Deaths,5430
ARKANSAS,2018,March,Monthly,Number of Deaths,2724
CALIFORNIA,2018,March,Monthly,Number of Deaths,24887
COLORADO,2018,March,Monthly,Number of Deaths,3432
CONNECTICUT,2018,March,Monthly,Number of Deaths,2739
DELAWARE,2018,March,Monthly,Number of Deaths,851
DISTRICT OF COLUMBIA,2018,March,Monthly,Number of Deaths,456
FLORIDA,2018,March,Monthly,Number of Deaths,18423
GEORGIA,2018,March,Monthly,Number of Deaths,7316
HAWAII,2018,March,Monthly,Number of Deaths,1062
IDAHO,2018,March,Monthly,Number of Deaths,1271
ILLINOIS,2018,March,Monthly,Number of Deaths,9521
INDIANA,2018,March,Monthly,Number of Deaths,5724
IOWA,2018,March,Monthly,Number of Deaths,2650
KANSAS,2018,March,Monthly,Number of Deaths,2456
KENTUCKY,2018,March,Monthly,Number of Deaths,4251
LOUISIANA,2018,March,Monthly,Number of Deaths,3767
MAINE,2018,March,Monthly,Number of Deaths,1257
MARYLAND,2018,March,Monthly,Number of Deaths,4358
MASSACHUSETTS,2018,March,Monthly,Number of Deaths,5187
MICHIGAN,2018,March,Monthly,Number of Deaths,8727
MINNESOTA,2018,March,Monthly,Number of Deaths,3734
MISSISSIPPI,2018,March,Monthly,Number of Deaths,2753
MISSOURI,2018,March,Monthly,Number of Deaths,5553
MONTANA,2018,March,Monthly,Number of Deaths,855
NEBRASKA,2018,March,Monthly,Number of Deaths,1539
NEVADA,2018,March,Monthly,Number of Deaths,2206
NEW HAMPSHIRE,2018,March,Monthly,Number of Deaths,1035
NEW JERSEY,2018,March,Monthly,Number of Deaths,6672
NEW MEXICO,2018,March,Monthly,Number of Deaths,1711
NEW YORK,2018,March,Monthly,Number of Deaths,13721
NORTH CAROLINA,2018,March,Monthly,Number of Deaths,8054
NORTH DAKOTA,2018,March,Monthly,Number of Deaths,557
OHIO,2018,March,Monthly,Number of Deaths,10592
OKLAHOMA,2018,March,Monthly,Number of Deaths,3538
OREGON,2018,March,Monthly,Number of Deaths,3287
PENNSYLVANIA,2018,March,Monthly,Number of Deaths,11929
RHODE ISLAND,2018,March,Monthly,Number of Deaths,829
SOUTH CAROLINA,2018,March,Monthly,Number of Deaths,4409
SOUTH DAKOTA,2018,March,Monthly,Number of Deaths,700
TENNESSEE,2018,March,Monthly,Number of Deaths,5972
TEXAS,2018,March,Monthly,Number of Deaths,17267
UTAH,2018,March,Monthly,Number of Deaths,1567
VERMONT,2018,March,Monthly,Number of Deaths,522
VIRGINIA,2018,March,Monthly,Number of Deaths,6012
WASHINGTON,2018,March,Monthly,Number of Deaths,5097
WEST VIRGINIA,2018,March,Monthly,Number of Deaths,2102
WISCONSIN,2018,March,Monthly,Number of Deaths,4694
WYOMING,2018,March,Monthly,Number of Deaths,446
PUERTO RICO,2018,March,Monthly,Number of Deaths,2661
ALABAMA,2018,April,Monthly,Number of Deaths,4416
ALASKA,2018,April,Monthly,Number of Deaths,389
ARIZONA,2018,April,Monthly,Number of Deaths,5007
ARKANSAS,2018,April,Monthly,Number of Deaths,2542
CALIFORNIA,2018,April,Monthly,Number of Deaths,21822
COLORADO,2018,April,Monthly,Number of Deaths,3227
CONNECTICUT,2018,April,Monthly,Number of Deaths,2684
DELAWARE,2018,April,Monthly,Number of Deaths,796
DISTRICT OF COLUMBIA,2018,April,Monthly,Number of Deaths,430
FLORIDA,2018,April,Monthly,Number of Deaths,16956
GEORGIA,2018,April,Monthly,Number of Deaths,6915
HAWAII,2018,April,Monthly,Number of Deaths,925
IDAHO,2018,April,Monthly,Number of Deaths,1182
ILLINOIS,2018,April,Monthly,Number of Deaths,9251
INDIANA,2018,April,Monthly,Number of Deaths,5417
IOWA,2018,April,Monthly,Number of Deaths,2554
KANSAS,2018,April,Monthly,Number of Deaths,2228
KENTUCKY,2018,April,Monthly,Number of Deaths,3998
LOUISIANA,2018,April,Monthly,Number of Deaths,3717
MAINE,2018,April,Monthly,Number of Deaths,1243
MARYLAND,2018,April,Monthly,Number of Deaths,4051
MASSACHUSETTS,2018,April,Monthly,Number of Deaths,4806
MICHIGAN,2018,April,Monthly,Number of Deaths,8341
MINNESOTA,2018,April,Monthly,Number of Deaths,3611
MISSISSIPPI,2018,April,Monthly,Number of Deaths,2645
MISSOURI,2018,April,Monthly,Number of Deaths,5239
MONTANA,2018,April,Monthly,Number of Deaths,845
NEBRASKA,2018,April,Monthly,Number of Deaths,1390
NEVADA,2018,April,Monthly,Number of Deaths,2043
NEW HAMPSHIRE,2018,April,Monthly,Number of Deaths,1068
NEW JERSEY,2018,April,Monthly,Number of Deaths,6191
NEW MEXICO,2018,April,Monthly,Number of Deaths,1585
NEW YORK,2018,April,Monthly,Number of Deaths,12895
NORTH CAROLINA,2018,April,Monthly,Number of Deaths,7519
NORTH DAKOTA,2018,April,Monthly,Number of Deaths,526
OHIO,2018,April,Monthly,Number of Deaths,10427
OKLAHOMA,2018,April,Monthly,Number of Deaths,3334
OREGON,2018,April,Monthly,Number of Deaths,3050
PENNSYLVANIA,2018,April,Monthly,Number of Deaths,11315
RHODE ISLAND,2018,April,Monthly,Number of Deaths,899
SOUTH CAROLINA,2018,April,Monthly,Number of Deaths,4069
SOUTH DAKOTA,2018,April,Monthly,Number of Deaths,635
TENNESSEE,2018,April,Monthly,Number of Deaths,5703
