Shape_Leng,Name,the_geom,Year,Shape_Area
7025.13607515,Rosebank SZ,"MULTIPOLYGON (((-74.07070200038551 40.611729000033066, -74.07389100029408 40.615971000049825, -74.07167099993923 40.616940000232056, -74.07175400033641 40.61712300006469, -74.07182299949712 40.6175769996644, -74.07171599977184 40.6179619995566, -74.0701680001604 40.618641000284605, -74.06968700037334 40.618869999958484, -74.06916000018991 40.61822100034866, -74.0662379998335 40.614058999902454, -74.07070200038551 40.611729000033066)))",2013,2870800.82145
6456.17803729,MT Eden SZ,"MULTIPOLYGON (((-73.91371900052077 40.83874899963213, -73.91775499963317 40.840209999681214, -73.91393299973065 40.8453710003772, -73.91213199942787 40.8447230003855, -73.91136199970637 40.84478799957315, -73.91217799981304 40.84240300040774, -73.9128650004028 40.84064900000976, -73.91371900052077 40.83874899963213)))",2012,2196860.48961
11001.8823661,Boerum Hill SZ,"MULTIPOLYGON (((-73.98916812738958 40.68861555450303, -73.98070142694966 40.68532362724395, -73.9854292059889 40.67834382547846, -73.9939134460128 40.68164034352053, -73.98920399978863 40.688580000202194, -73.98916812738958 40.68861555450303)))",2013,7556420.01557
10671.8547404,Claremont SZ,"MULTIPOLYGON (((-73.88333099950732 40.83589900009722, -73.88429999992674 40.83418700014694, -73.8834459997409 40.83394199987161, -73.88459799945483 40.83232900022325, -73.88522300028 40.83150099991782, -73.8854830005699 40.830558999842395, -73.88636000030577 40.830009000063036, -73.88606300016092 40.82830800032879, -73.88603999943349 40.82767100017708, -73.88774899998278 40.826758999883225, -73.891921999805 40.82680099990596, -73.89172399997152 40.830527999858504, -73.88768800035012 40.83749000007775, -73.88333099950732 40.83589900009722)))",2011,5670686.27475
9071.8334422,X10 Norwood,"MULTIPOLYGON (((-73.87682710082922 40.871119056104135, -73.87749589496089 40.87183415757513, -73.87806354792994 40.872450684270795, -73.87863272939417 40.87305902876063, -73.87922941528487 40.87367187007931, -73.87945499912931 40.87497656278857, -73.8795597075133 40.875730178354814, -73.87973061116469 40.87686549414799, -73.8797468203882 40.877222379011705, -73.87957827267594 40.87782691254976, -73.87899050389227 40.87958001600324, -73.87803503156026 40.87940665235955, -73.87761401763683 40.880659316389774, -73.876780768638 40.880258820377406, -73.87595633126098 40.87986555869699, -73.87536412480887 40.87957923641762, -73.87438658453351 40.87905517323546, -73.87348328000986 40.87885559292155, -73.87254501187776 40.87874572756307, -73.8715965832961 40.878646135845415, -73.87178755655678 40.87784506232457, -73.87194936809097 40.87702537444665, -73.87475673293432 40.87316340515938, -73.87493831196613 40.872959416222926, -73.87682710082922 40.871119056104135)))",2014,4650497.491
13839.1671964,Alphabet City Tompkins Square Park SZ,"MULTIPOLYGON (((-73.98255629299412 40.73135013475537, -73.98034007514612 40.73044246055399, -73.97802697911384 40.72943307662016, -73.97569651002739 40.72847505244532, -73.97329085758217 40.72743390061268, -73.97197324076346 40.72684388918813, -73.97222151289876 40.726095338228475, -73.9734849568042 40.72415797187226, -73.9738521773863 40.72358375875438, -73.97429895161707 40.722880039238746, -73.97443354126993 40.722633536738265, -73.97471305046453 40.721859880715016, -73.9747629921173 40.721595673166185, -73.97486895177963 40.72083236136182, -73.97495683622618 40.72009955472205, -73.97509255935918 40.7189837714608, -73.97509520166928 40.71888076270655, -73.97545167632708 40.71894655937888, -73.9763552519113 40.71913288388536, -73.97674495768386 40.71921523384097, -73.97722379174671 40.71930977413551, -73.97803122618791 40.71963834696646, -73.97875234948579 40.71993370633338, -73.98130824244653 40.72070878611004, -73.98216615324331 40.72096885430131, -73.98300308720907 40.72122268146857, -73.98382387231725 40.721472870320596, -73.98467780272098 40.721730605798584, -73.98551686246276 40.72198522540546, -73.98628574001644 40.72224191883124, -73.98843002028545 40.72325998383587, -73.98797056968542 40.72391488526329, -73.98749104757319 40.72457376377236, -73.98704399194175 40.72519130061112, -73.98660321952299 40.725778075906646, -73.98616358058572 40.72639823147207, -73.9857384194535 40.72697455933433, -73.98529382893096 40.72759283870839, -73.98485763050725 40.72817683325005, -73.98443161455366 40.72876843766953, -73.98399733806507 40.72936968466571, -73.983535924959 40.73000772808068, -73.98306946963044 40.73065522508987, -73.98255629299412 40.73135013475537)))",2014,11700536.2422
7949.07644312,Clinton Hill SZ,"MULTIPOLYGON (((-73.96582204787971 40.688209422896826, -73.96480958039128 40.688325680205516, -73.96283558910882 40.68855479863046, -73.96000519849085 40.68888103330151, -73.9598593952211 40.68814745126307, -73.95971374788223 40.68741563403294, -73.95956770229138 40.68668255569159, -73.95942259395177 40.68595030590016, -73.95927598727192 40.68521670455707, -73.95913206784186 40.68448514808052, -73.95898328016438 40.683749915524274, -73.95884062119032 40.68301805282293, -73.95858566702282 40.68174248206553, -73.95959416849061 40.68195327279146, -73.96059514235043 40.68216220603897, -73.96161014941565 40.682375142542156, -73.96261158354051 40.682587426309745, -73.96366357791028 40.682806633279796, -73.96477852663557 40.68303971782786, -73.96582204787971 40.688209422896826)))",2014,3695134.02772
13377.2655508,Jackson Heights SZ,"MULTIPOLYGON (((-73.89715103965932 40.75245898829132, -73.89619215867492 40.75255968723837, -73.89525968918387 40.75265693617458, -73.89433037484766 40.75275583648895, -73.89339758017185 40.75285232983897, -73.89247330941612 40.752948392251135, -73.89154495667381 40.75304728900472, -73.89061340833618 40.75314494244999, -73.88968438845458 40.75324292307124, -73.88875596116232 40.75334037447976, -73.88782276151652 40.75343559761314, -73.88689615750766 40.75353632355826, -73.88596545934847 40.753633606168606, -73.88503709100651 40.7537310456769, -73.88410052225169 40.75383032449687, -73.88317660485146 40.75392551933574, -73.88224640258346 40.754024150180506, -73.88131497721673 40.75412313245733, -73.88038761510039 40.754219725081875, -73.88003396285414 40.75228468327159, -73.87966196863913 40.75023650709616, -73.8792777993375 40.74812409126905, -73.88020647995937 40.748024979428386, -73.8811374760359 40.74792729339664, -73.88207112111428 40.74782992673598, -73.88299918326646 40.747734401882255, -73.8839357948883 40.74763024230474, -73.88485538535316 40.747534811026426, -73.88578740516296 40.747439753941016, -73.88671656237771 40.74734146268443, -73.88770997733138 40.747236525924194, -73.88867766105821 40.747134277063026, -73.88957128421472 40.747039053191266, -73.89050129262995 40.746941938903966, -73.89143128662529 40.74684473604934, -73.89175048901487 40.74681172673389, -73.89240906614846 40.74713532866589, -73.89379708886487 40.747691500261766, -73.89518011472924 40.74827069899044, -73.89583955253934 40.74854685590432, -73.89531029793496 40.748596904413446, -73.89550099047128 40.74883249616279, -73.89587473363058 40.74943187961713, -73.89611098178617 40.74978357869819, -73.89654042510028 40.750541975643536, -73.89693214299679 40.75123874250666, -73.89715103965932 40.75245898829132)))",2014,9829627.18801
11829.9718869,Brownsville/East New York SZ,"MULTIPOLYGON (((-73.91009068720182 40.66715431163822, -73.90823165062531 40.66742489954551, -73.90635506653868 40.667707896370246, -73.90357323563052 40.66812753425333, -73.90262640304428 40.668273431718234, -73.90171404596126 40.668408579776695, -73.90078316045661 40.66854659527941, -73.89986288048499 40.6686839992312, -73.89894086176577 40.66881904574874, -73.89801999319067 40.66895744392213, -73.89710030793673 40.66909293522141, -73.8961976884955 40.66922686857162, -73.89522126134882 40.66937013803647, -73.89483126231086 40.667833501491735, -73.89443917526859 40.666296691214974, -73.89540926690073 40.66615310743468, -73.89501573468647 40.66460061861198, -73.8959209002898 40.664471262439854, -73.89683915534566 40.664334652721415, -73.89775815648909 40.66420106207336, -73.89868064023153 40.66406199201087, -73.899604264058 40.6639258062054, -73.90041654187029 40.6638065274084, -73.9014511477681 40.663658364880064, -73.90237552370711 40.66351689845406, -73.90328377675917 40.663383155490074, -73.90421151214272 40.66324470287307, -73.90517302938177 40.66310549528293, -73.90613761588628 40.66296641903985, -73.90892035291274 40.662554607421555, -73.90930543480042 40.664097577694314, -73.90969893725344 40.66562720644148, -73.91009068720182 40.66715431163822)))",2014,7036314.37852
10614.6887413,Hudson Heights SZ,"MULTIPOLYGON (((-73.93706978243095 40.848938999527014, -73.93896840717602 40.84929522773402, -73.93991497503055 40.84952553920181, -73.94078494467637 40.849713678584486, -73.94060497299616 40.850353952852906, -73.94147718544838 40.85095931298387, -73.94129344391038 40.85133843829191, -73.94159557077217 40.85155194333187, -73.94172000391373 40.85163987533401, -73.94180528417532 40.85169413698545, -73.94190452264695 40.85175537720927, -73.94137478997709 40.85225628410858, -73.94125157426105 40.85243131569837, -73.94121616066563 40.85248162162593, -73.94118475100231 40.85252624117889, -73.94116160576435 40.85255911892744, -73.94113668886634 40.852594513541426, -73.94110818790405 40.85263945423123, -73.94108143147598 40.85268164390279, -73.94105916886723 40.85271674719511, -73.94091725694746 40.85294051426289, -73.94086561852879 40.85303157881524, -73.94083303234957 40.85308904497612, -73.94080288705334 40.85314220803089, -73.94077453530016 40.85319220587043, -73.94072581850388 40.853278118344164, -73.94068878509896 40.85334986757179, -73.94066419831002 40.85339880473825, -73.94058591477358 40.853554624190586, -73.94053689530323 40.8536521932835, -73.94037691656776 40.85401596322285, -73.9393104660212 40.854980526575886, -73.93861522499121 40.855904963049674, -73.93771815623977 40.85718127026089, -73.93699888250545 40.857849145604085, -73.93580071771316 40.858961650869205, -73.93506409620092 40.859282047372915, -73.93500744617018 40.85930823415535, -73.93494054871839 40.859339157114604, -73.93490294691948 40.85935652617673, -73.93485761984186 40.85937319388547, -73.93473523673796 40.85941819606954, -73.93416898411438 40.85925877481308, -73.93415049600661 40.859252738180444, -73.93412303951769 40.85924377433283, -73.93409436571031 40.85924243423616, -73.93406256562048 40.85924094826727, -73.93402530765543 40.85925108990371, -73.93399726659523 40.85925872263183, -73.93397338632337 40.85927697721839, -73.93224961490371 40.859487316679484, -73.93219887687653 40.85951969552549, -73.93213632901276 40.85953951456635, -73.93207061680506 40.859544149441454, -73.93201011239829 40.8595350188493, -73.9313137577195 40.8593273495083, -73.93152394452535 40.858886673533334, -73.93160114810026 40.85872480842377, -73.93171229643738 40.85849177146754, -73.93181696619193 40.858272318069936, -73.9320429548107 40.857840972288656, -73.93263155629171 40.85671603717006, -73.93276050057047 40.85650309226431, -73.93331215472452 40.855334584133644, -73.93370482047676 40.85416907056911, -73.9341931964582 40.85320039446862, -73.93442935533086 40.8527290406112, -73.93477553348069 40.85205858676418, -73.93508325040149 40.85143423335233, -73.93542571683197 40.850774329085496, -73.93575394368273 40.85016820218163, -73.93639683221652 40.84954119469898, -73.93706978243095 40.848938999527014)))",2015,5735395.76194
