the_geom,OBJECTID,TILE_NAME
"MULTIPOLYGON (((-97.437781284963 30.12131377542, -97.437781002576 30.109596683001, -97.458609792586 30.10959613399, -97.458610145584 30.121315921507, -97.437781284963 30.12131377542)))",2057,Y9
"MULTIPOLYGON (((-98.06278915922 30.250210844206, -98.06278910738 30.238492391957, -98.083625566702 30.23849150169, -98.083625771967 30.250209912021, -98.06278915922 30.250210844206)))",1627,WS20
"MULTIPOLYGON (((-98.104463038758 30.273645108016, -98.104462679918 30.261926719407, -98.125291274388 30.261929828953, -98.125291785701 30.273648176369, -98.104463038758 30.273645108016)))",1505,WQ22
"MULTIPOLYGON (((-98.146124907139 30.027560916132, -98.146124243504 30.015842915253, -98.166960638275 30.015843037394, -98.166960665106 30.027560984416, -98.146124907139 30.027560916132)))",2280,WN1
"MULTIPOLYGON (((-97.500281633352 30.0627231797, -97.500281763203 30.051003600664, -97.521110257176 30.051004150779, -97.521110279017 30.062723677482, -97.500281633352 30.0627231797)))",2189,V4
"MULTIPOLYGON (((-98.062805571054 30.660348836946, -98.062804721048 30.648630306222, -98.083638557003 30.648630556644, -98.083638765789 30.660349031421, -98.062805571054 30.660348836946)))",342,WS55
"MULTIPOLYGON (((-97.541950789734 30.367399161183, -97.541949741245 30.35568210925, -97.562787595859 30.355680148727, -97.562787134124 30.367399863442, -97.541950789734 30.367399161183)))",964,T30
"MULTIPOLYGON (((-98.083638973583 30.672067499198, -98.083638765789 30.660349031421, -98.104472691139 30.660348615778, -98.104473052705 30.672067041999, -98.083638973583 30.672067499198)))",307,WR56
"MULTIPOLYGON (((-97.562786112711 30.308806781319, -97.562786495384 30.297089849042, -97.583614711697 30.297090070073, -97.583615273453 30.308806968226, -97.562786112711 30.308806781319)))",1186,S25
"MULTIPOLYGON (((-97.396119059774 30.484584482362, -97.396119166533 30.472864278843, -97.416948026768 30.472865973202, -97.416948156793 30.484583373807, -97.396119059774 30.484584482362)))",700,EA40
