FacilityName,FacilityAddress,ViolationDate,Violation,Disposition,DispositionDate
WOODSIDE DELI,"9329 GEORGIA AVE. , SILVER SPRING, MD 20910",05/17/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,06/09/2017
LA FOGATA RESTAURANT,"2259 BEL PRE ROAD , SILVER SPRING, MD 20906",03/10/2017,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,04/24/2017
WALIA ETHIOPIAN RESTAURANT,"6846 NEW HAMPSHIRE AVE. , TAKOMA PARK, MD 20912",03/31/2016,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,10/04/2016
CALIFORNIA GRILL,"14 BUREAU DRIVE , GAITHERSBURG, MD 20877",01/17/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,03/13/2018
CONVENIENT BEER & WINE,"8441 SNOUFFER SCHOOL RD , GAITHERSBURG, MD 20879",08/14/2018,SALE TO MINOR,SETTLED; $1000+ALERT,09/05/2018
VILLA MAYA RESTAURANT,"5532 NORBECK ROAD , ROCKVILLE, MD 20853",04/07/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,04/28/2017
TURNTABLE,"4862 CORDELL AVENUE , BETHESDA, MD 20814",11/29/2017,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100 + ALERT,11/30/2017
RUTH'S CHRIS STEAK HOUSE,"7315 WISCONSIN AVE. , BETHESDA, MD 20814",05/13/2016,SALE TO MINOR,SETTLED; $2500.00 + ALERT,06/10/2016
HIBACHI SUSHI SUPREME BUFFET,"8 BUREAU DRIVE , GAITHERSBURG, MD 20878",05/30/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,06/14/2018
KAYPI RESTAURANT,"2005 VEIRS MILL ROAD , ROCKVILLE, MD 20851",08/10/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,02/07/2018
FUSION BAR & GRILL,"15535 NEW HAMPSHIRE AVENUE , SILVER SPRING, MD 20905",03/27/2016,INSPECTIONS GENERALLY,HEARING; LICENSE REVOKED,10/05/2016
OUTBACK STEAKHOUSE,"13703 GEORGIA AVEUE , SILVER SPRING, MD 20906",03/10/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,04/24/2017
SUSHI KO,"5455 WISCONSIN AVENUE , CHEVY CHASE, MD 20815",12/14/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,01/06/2017
