FacilityName,FacilityAddress,ViolationDate,Violation,Disposition,DispositionDate
TRAPEZARIA MEDITERRANEAN KUZINA,"11 NORTH WASHINGTON STREET , ROCKVILLE, MD 20850",08/28/2019,SALE TO MINOR,SETTLED;$2500+ALERT,08/28/2019
7 LOCKS BREWING,"12227 WILKINS AVENUE , ROCKVILLE, MD 20852",09/25/2019,SALE TO MINOR,SETTLED;$1000+ALERT,09/25/2019
OM INDIAN RESTAURANT,"785 ROCKVILLE PIKE K, ROCKVILLE, MD 20852",10/09/2019,SALE TO MINOR,$1000+ALERT,10/09/2019
PIZZA CS,"1596 ROCKVILLE PIKE , ROCKVILLE, MD 20850",10/09/2019,LICENSE NOT PROPERLY DISPLAYED,$100+ALERT,10/09/2019
PIZZA CS,"1596 ROCKVILLE PIKE , ROCKVILLE, MD 20850",10/09/2019,SALE TO MINOR,$2500+ALERT,10/09/2019
KALDI'S COFFEE,"918 SILVER SPRING AVENUE , SILVER SPRING, MD 20910",05/26/2019,ACTS CONTRARY TO LAW,SETTLED; $1000+ALERT,05/26/2019
DRYBAR,"4840 BETHESDA AVE. , BETHESDA, MD 20814",09/26/2019,STORAGE,SETTLED;$2800+ALERT,09/26/2019
WATERSHED CAFE,"19639 FISHER AVENUE , POOLESVILLE, MD 20837",06/25/2019,RECORDS INVOICE VIOLATION,SETTLED;$200+ALERT,06/25/2019
WATERSHED CAFE,"19639 FISHER AVENUE , POOLESVILLE, MD 20837",06/25/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,06/25/2019
KUSSHI,"11826 TRADE ST. , NORTH BETHESDA, MD 20852",07/16/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,07/16/2019
KUSSHI,"11826 TRADE ST. , NORTH BETHESDA, MD 20852",07/16/2019,STORAGE,SETTLED;$400+ALERT,07/16/2019
KUSSHI,"11826 TRADE ST. , NORTH BETHESDA, MD 20852",07/19/2019,RECORDS INVOICE VIOLATION,SETTLED;$500+ALERT,07/19/2019
EL PATIO,"5240 RANDOLPH ROAD , ROCKVILLE, MD 20852",09/25/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,09/25/2019
SLAPFISH,"12033 ROCKVILLE PIKE , ROCKVILLE, MD 20852",09/25/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,09/25/2019
SLAPFISH,"12033 ROCKVILLE PIKE , ROCKVILLE, MD 20852",09/25/2019,SALE TO MINOR,SETTLED;$1000+ALERT,09/25/2019
EL PATIO,"5240 RANDOLPH ROAD , ROCKVILLE, MD 20852",09/25/2019,SALE TO MINOR,SETTLED;$2500+ALERT,09/25/2019
EL PATIO,"5240 RANDOLPH ROAD , ROCKVILLE, MD 20852",09/25/2019,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,09/25/2019
SLAPFISH,"12033 ROCKVILLE PIKE , ROCKVILLE, MD 20852",09/25/2019,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,09/25/2019
LA CANELA,"141 GIBBS STREET D, ROCKVILLE, MD 20850",08/28/2019,SALE TO MINOR,SETTLED;$1000+ALERT,08/28/2019
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",08/01/2019,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,08/01/2019
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",06/05/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500 + ALERT,06/05/2019
PIKE CHICKEN & BEER,"1066 ROCKVILLE PIKE , ROCKVILLE, MD 20852",10/09/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;100+ALERT,10/09/2019
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",08/01/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,08/01/2019
THE REPUBLIC GARDEN,"8402 GEORGIA AVE. , SILVER SPRING, MD 20910",09/02/2019,DISPENSING LIQUOR BY BOTTLE FOR CONSUMPTION ONSITE,SETTLED;$1000+ALERT,09/02/2019
HICKORY BAR & GRILL,"15420 OLD COLUMBIA PIKE , BURTONSVILLE, MD 20866",07/15/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,07/15/2019
PIKE CHICKEN & BEER,"1066 ROCKVILLE PIKE , ROCKVILLE, MD 20852",10/09/2019,SALE TO MINOR,SETTLED;$1000+ALERT,10/09/2019
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",08/01/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,"2 WEEK SUSPENSION + ALERT (OCTOBER 9-OCTOBER 22, 2019)",08/01/2019
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",06/05/2019,RECORDS INVOICE VIOLATION,SETTLED;$500+ ALERT,09/09/2019
BUFFALO WILD WINGS,"33 MARYLAND AVENUE , ROCKVILLE, MD 20850",08/21/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,08/21/2019
AKIRA RAMEN IZAKAYA,"1800 ROCKVILLE PIKE, UNIT H1 , ROCKVILLE, MD 20852",10/09/2019,SALE TO MINOR,SETTLED;$1000+ALERT,10/09/2019
AKIRA RAMEN IZAKAYA,"1800 ROCKVILLE PIKE, UNIT H1 , ROCKVILLE, MD 20852",10/09/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,10/09/2019
AKIRA RAMEN IZAKAYA,"1800 ROCKVILLE PIKE, UNIT H1 , ROCKVILLE, MD 20852",10/09/2019,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,10/09/2019
BURGERFI,"11881 GRAND PARK AVE. , NORTH BETHESDA, MD 20852",10/09/2019,SALE TO MINOR,SETTLED;$1000+ALERT,10/09/2019
ST. ARNOLD'S MUSSEL BAR,"7525 OLD GEORGETOWN ROAD , BETHESDA, MD 20814",10/01/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,10/01/2019
VIET PHO & GRILL,"1640 ELTON RD. , SILVER SPRING , MARYLAND - 20903",02/05/2020,5.4 ALCOHOL AWARENESS CERTIFICATION,$100 +ALERT,
GYROLAND,"1701 ROCKVILLE PIKE B-3, ROCKVILLE, MD 20852",10/09/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,10/09/2019
VILLA MAYA RESTAURANT,"12051 CHESTNUT BRANCH WAY , CLARKSBURG , MARYLAND - 20871",02/04/2020,5.4 ALCOHOL AWARENESS CERTIFICATION,SETTLED $100 +ALERT,03/27/2020
EMPIRE CAFE & MARKET,"22301 GEORGIA AVENUE , BROOKVILLE , MARYLAND - 20833",02/19/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,03/28/2020
LANCE'S BEER & WINE,"4701 MILLER AVE , BETHESDA , MARYLAND - 20814",02/12/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,04/10/2020
ROOTS MARKET,"16800 GEORGIA AVE , OLNEY , MARYLAND - 20832",02/19/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $2500 +ALERT,03/28/2020
PASSION FIN ASIAN BISTRO,"4611 SANGAMORE ROAD , BETHESDA , MARYLAND - 20816",02/12/2020,5.7 DISPLAY OF LICENSE,SETTLED $100 +ALERT,04/10/2020
TIA OCHI,"806 BALTIMORE ROAD , ROCKVILLE , MARYLAND - 20851",11/20/2019,5.4 ALCOHOL AWARENESS CERTIFICATION,SETTLED $500 +ALERT,01/03/2020
CAFE DELUXE - BETHESDA,"4910 ELM STREET , BETHESDA , MARYLAND - 20814",11/21/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $2500 +ALERT,12/27/2019
CHERCHER ETHIOPIAN CUISINE,"4921 BETHESDA AVENUE , BETHESDA , MARYLAND - 20814",02/06/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,03/13/2020
TIA OCHI,"806 BALTIMORE ROAD , ROCKVILLE , MARYLAND - 20851",11/20/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,01/03/2020
MONTGOMERY VILLAGE BEER & WINE,"18286 CONTOUR ROAD , GAITHERSBURG , MARYLAND - 20879",11/22/2019,"6.2 SALES OR SERVICE TO INTOXICATED PERSONS/CONSUMPTION OR POSSESSION BY

INTOXICATED PERSONS",SETTLED $1000 +ALERT,03/09/2020
BETHESDA N. MARRIOTT HOTEL/CONF CTR,"5701 MARINELLI ROAD , ROCKVILLE , MARYLAND - 20852",02/05/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,03/20/2020
"ARIA, BEER, WINE & DELI","4800 AUBURN AVENUE , BETHESDA , MARYLAND - 20814",02/12/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,04/02/2020
KABUTO,"1 CHOICE HOTEL CIRCLE , ROCKVILLE , MARYLAND - 20850",02/18/2020,5.4 ALCOHOL AWARENESS CERTIFICATION,$500 +ALERT,04/10/2020
BALDUCCI'S,"10323 OLD GEORGETOWN ROAD , BETHESDA , MARYLAND - 20814",12/18/2019,5.4 ALCOHOL AWARENESS CERTIFICATION,SETTLED $100 +ALERT,01/27/2020
FLOWER CHILD-BETHESDA,"10205 OLD GEORGETOWN RD., , BETHESDA , MARYLAND - 20814",12/18/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,01/27/2020
BALDUCCI'S,"10323 OLD GEORGETOWN ROAD , BETHESDA , MARYLAND - 20814",12/18/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,01/27/2020
MIX BAR & GRILL,"8241 GEORGIA AVENUE , SILVER SPRING , MARYLAND - 20910",11/14/2019,5.4 ALCOHOL AWARENESS CERTIFICATION,SETTLED $500 +ALERT,12/26/2019
FLOWER CHILD-BETHESDA,"10205 OLD GEORGETOWN RD., , BETHESDA , MARYLAND - 20814",12/18/2019,6.3 AGES OF EMPLOYEES,SETTLED $1000 +ALERT,01/27/2020
CASA OAXACA,"4905 FAIRMOUNT AVENUE , BETHESDA , MARYLAND - 20814",02/06/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,03/27/2020
CLYDE'S OF CHEVY CHASE,"5441 WISCONSIN AVENUE , CHEVY CHASE , MARYLAND - 20815",01/23/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,03/05/2020
THE MANOR AT SILO FALLS,"19501 GEORGIA AVENUE , BROOKEVILLE , MARYLAND - 20833",02/19/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,03/28/2020
DOLLAR PLUS STORE,"11250 TRIANGLE LANE , SILVER SPRING , MARYLAND - 20902",02/20/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$2500 +ALERT,03/28/2020
VILLA MAYA RESTAURANT,"12051 CHESTNUT BRANCH WAY , CLARKSBURG , MARYLAND - 20871",02/04/2020,5.5 RECORDS,SETTLED $500 +ALERT,03/27/2020
CUBANO'S,"1201 FIDLER LANE , SILVER SPRING , MARYLAND - 20910",01/30/2020,6.9 STORAGE,$200 +ALERT,03/13/2020
RAINBOW RESTAURANT,"312 E. DIAMOND AVE. B-1, GAITHERSBURG, MD 20877",07/23/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100.00+ALERT,07/24/2019
URBAN BAR-B-QUE CO.,"5566 NORBECK ROAD , ROCKVILLE , MARYLAND - 20853",11/20/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,01/03/2020
A BITE OF CHINA,"15106-A FREDERICK RD , ROCKVILLE , MARYLAND - 20850",02/05/2020,5.5 RECORDS,SETTLED $500 +ALERT,03/27/2020
TRATTORIA SORRENTO,"4930 CORDELL AVE , BETHESDA , MARYLAND - 20814",11/21/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,12/27/2019
DOWNTOWN BEER & WINE,"5751 E FISHER LANE , ROCKVILLE , MARYLAND - 20852",10/25/2019,5.2 CHANGES IN LICENSING INFORMATION,SETTLED $500 +ALERT,12/02/2019
SMOKETOWN BBQ,"805 OLNEY SANDY SPRING RD. , SANDY SPRING , MARYLAND - 20860",02/19/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,03/28/2020
TACO DADDY CANTINA,"555 QUINCE ORCHARD ROAD, SUITE 140 , GAITHERSBURG , MARYLAND - 20878",02/10/2020,5.4 ALCOHOL AWARENESS CERTIFICATION,SETTLED $100 +ALERT,03/26/2020
CAVA MEZZE-OLNEY,"3124 OLNEY SANDY SPRING RD , OLNEY , MARYLAND - 20832",02/19/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,03/28/2020
FU LIN RESTAURANT,"2235 BEL PRE ROAD , SILVER SPRING , MARYLAND - 20906",12/09/2019,5.4 ALCOHOL AWARENESS CERTIFICATION,SETTLED $100 +ALERT,01/13/2020
TEMARI CAFE,"1043 ROCKVILLE PIKE , ROCKVILLE , MARYLAND - 20852",02/05/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,03/20/2020
MATCHBOX-BETHESDA,"7278 WOODMONT AVE. , BETHESDA , MARYLAND - 20814",11/21/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,12/27/2019
6/12 CONVENIENT MART,"14100-C DARNESTOWN RD. , GERMANTOWN , MARYLAND - 20876",10/25/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,12/01/2019
A BITE OF CHINA,"15106-A FREDERICK RD , ROCKVILLE , MARYLAND - 20850",02/05/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,03/27/2020
"ARIA, BEER, WINE & DELI","4800 AUBURN AVENUE , BETHESDA , MARYLAND - 20814",02/12/2020,5.7 DISPLAY OF LICENSE,SETTLED $100 +ALERT,04/02/2020
LE PALAIS,"304 MAIN STREET , GAITHERSBURG , MARYLAND - 20878",09/26/2016,5.4 ALCOHOL AWARENESS CERTIFICATION,$100 +ALERT,
WASABI ZEN,"18066 GEORGIA AVE , OLNEY , MARYLAND - 20832",02/13/2020,5.4 ALCOHOL AWARENESS CERTIFICATION,$100 +ALERT,03/28/2020
WORLD OF BEER-BETHESDA,"7200 WISCONSIN AVE , BETHESDA , MARYLAND - 20814",12/18/2019,5.7 DISPLAY OF LICENSE,SETTLED $100 +ALERT,01/27/2020
LIFETIME ATHLETIC,"10121 WASHINGTONIAN BLVD , GAITHERSBURG , MARYLAND - 20878",10/29/2019,6.9 STORAGE,SETTLED $2600 +ALERT,12/14/2019
MEIWAH RESTAURANT,"4457 WILLARD AVE , CHEVY CHASE , MARYLAND - 20815",01/23/2020,5.7 DISPLAY OF LICENSE,SETTLED $100 +ALERT,03/05/2020
THE BEER & WINE CELLAR,"146  CONGRESSIONAL LANE , ROCKVILLE , MARYLAND - 20852",11/20/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,01/03/2020
STAINED GLASS PUB,"12510 LAYHILL ROAD , SILVER SPRING , MARYLAND - 20906",02/20/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,03/28/2020
HAKUNA MATATA GRILL,"2405 PRICE AVE. , SILVER SPRING , MARYLAND - 20902",02/20/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,03/28/2020
OUTBACK STEAKHOUSE - GERMANTOWN,"12609 WISTERIA DRIVE , GERMANTOWN , MARYLAND - 20874",11/08/2019,5.4 ALCOHOL AWARENESS CERTIFICATION,SETTLED $500 +ALERT,
P.F. CHANG'S CHINA BISTRO - C/CHASE,"5406 WISCONSIN AVE, SUITE-B , CHEVY CHASE , MARYLAND - 20815",01/23/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $2500 +ALERT,03/05/2020
MANNEQUIN PIS,"18064 GEORGIA AVENUE , OLNEY , MARYLAND - 20832",02/19/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,03/28/2020
6/12 CONVENIENT MART,"14100-C DARNESTOWN RD. , GERMANTOWN , MARYLAND - 20876",12/18/2019,NO VIOLATION,$0 +ALERT,
MEDIUM RARE,"4904 FAIRMONT AVE , BETHESDA , MARYLAND - 20814",02/06/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,03/13/2020
ON THE VINE,"15230 SIESTA KEY WAY , ROCKVILLE , MARYLAND - 20850",11/20/2019,5.7 DISPLAY OF LICENSE,$100 +ALERT,01/03/2020
PIEOLOGY-BETHESDA,"4922 ELM STREET , BETHESDA , MARYLAND - 20814",11/21/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,12/27/2019
COMMONWEALTH INDIAN,"11610 OLD GEORGETOWN ROAD , NORTH BETHESDA , MARYLAND - 20852",12/18/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,01/27/2020
HIMALAYAN HERITAGE,"4925 BETHESDA AVE , BETHESDA , MARYLAND - 20814",02/06/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,03/13/2020
LE PALAIS,"304 MAIN STREET , GAITHERSBURG , MARYLAND - 20878",09/26/2016,5.5 RECORDS,$500 +ALERT,
FOGO DE CHAO,"11600 OLD GEORGETOWN ROAD , BETHESDA , MARYLAND - 20817",12/18/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,01/27/2020
BURGERIM,"200 ELLINGTON BLVD. , GAITHERSBURG , MARYLAND - 20878",12/19/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,01/27/2020
LEDO PIZZA OLNEY,"3472 OLNEY LAYTONSVILLE ROAD , OLNEY , MARYLAND - 20832",12/10/2019,5.4 ALCOHOL AWARENESS CERTIFICATION,SETTLED $100 +ALERT,01/13/2020
RED ROBIN GOURMET BURGERS & BREWS,"20001 CENTURY BLVD , GERMANTOWN , MARYLAND - 20874",10/31/2019,5.4 ALCOHOL AWARENESS CERTIFICATION,SETTLED $500 +ALERT,
THAI CUISINE,"3430-3434 OLNEY-LAYTONSVILLE RD. , OLNEY , MARYLAND - 20832",02/06/2020,5.4 ALCOHOL AWARENESS CERTIFICATION,SETTLED $100 +ALERT,03/27/2020
PASSION FIN ASIAN BISTRO,"4611 SANGAMORE ROAD , BETHESDA , MARYLAND - 20816",02/12/2020,5.5 RECORDS,SETTLED $500 +ALERT,04/10/2020
TIA OCHI,"806 BALTIMORE ROAD , ROCKVILLE , MARYLAND - 20851",11/20/2019,5.7 DISPLAY OF LICENSE,SETTLED $100 +ALERT,01/03/2020
BETHESDA MARKET,"4611 SANGAMORE ROAD, UNIT D , BETHESDA , MARYLAND - 20816",02/12/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,03/28/2020
MORTON'S - THE STEAKHOUSE,"7400 WISCONSIN AVE , BETHESDA , MARYLAND - 20814",12/18/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,01/27/2020
WILDWOOD KITCHEN,"10223 OLD GEORGETOWN ROAD , BETHESDA , MARYLAND - 20814",12/18/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,01/27/2020
FLOR DE LUNA RESTAURANT,"11417 WOODGLEN RD , ROCKVILLE , MARYLAND - 20852",12/19/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,01/27/2020
BALAGGER RESTUARANT,"8081 GEORGIA AVE , SILVER SPRING , MARYLAND - 20910",11/02/2019,NO VIOLATION,,
SUSHI OISHII,"9706 TRAVILLE GATEWAY DR , ROCKVILLE , MARYLAND - 20850",02/11/2020,5.4 ALCOHOL AWARENESS CERTIFICATION,SETTLED $100 +ALERT,03/28/2020
SISTERS THAI,"7995 TUCKERMAN LANE , POTOMAC , MARYLAND - 20854",12/19/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,01/27/2020
REDMILL MARKET BEER & WINE,"7248 MUNCASTER MILL ROAD , DERWOOD , MARYLAND - 20855",02/06/2020,5.4 ALCOHOL AWARENESS CERTIFICATION,$100 +ALERT,03/28/2020
DRYBAR,"4840 BETHESDA AVENUE , BETHESDA , MARYLAND - 20814",02/23/2020,5.2 CHANGES IN LICENSING INFORMATION,SETTLED $500 +ALERT,03/28/2020
THE LITTLE BEET TABLE,"5471 WISCONSIN AVENUE UNIT F , CHEVY CHASE , MARYLAND - 20815",01/23/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,03/05/2020
LANCE'S BEER & WINE,"4701 MILLER AVE , BETHESDA , MARYLAND - 20814",02/12/2020,NO VIOLATION,,04/10/2020
AY! JALISCO II,"425 S. FREDERICK AVE , GAITHERSBURG , MARYLAND - 20878",12/18/2019,5.7 DISPLAY OF LICENSE,$0 +ALERT,01/27/2020
EVALASH AND NAIL LOUNGE,"10225A OLD GEORGETOWN ROAD , BETHESDA , MARYLAND - 20814",01/30/2020,5.4 ALCOHOL AWARENESS CERTIFICATION,SETTLED $100 +ALERT,03/11/2020
QUINCYS SOUTH BAR & GRILLE,"11401 WOODGLEN DRIVE , ROCKVILLE , MARYLAND - 20852",12/19/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,01/27/2020
VUK,"4924 ST. ELMO AVE , BETHESDA , MARYLAND - 20814",02/06/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,03/20/2020
SATSUMA,"8003 NORFOLK AVE , BETHESDA , MARYLAND - 20814",11/21/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,12/27/2019
EL ESTERON RESTAURANT,"8500 DAKOTA DRIVE , GAITHERSBURG , MARYLAND - 20877",10/25/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,12/02/2019
MAMMA LUCIA - BETHESDA,"4916 ELM STREET , BETHESDA , MARYLAND - 20814",02/06/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$2500 +ALERT,02/13/2020
SHOPPERS FOOD WAREHOUSE,"18066 MATENY ROAD , GERMANTOWN , MARYLAND - 20874",02/26/2020,5.4 ALCOHOL AWARENESS CERTIFICATION,SETTLED $500 +ALERT,03/28/2020
TARA THAI RESTAURANT,"9811 WASHINGTONIAN BLVD , GAITHERSBURG , MARYLAND - 20878",10/16/2019,5.7 DISPLAY OF LICENSE,SETTLED $100 +ALERT,12/01/2019
FLANAGAN'S HARP & FIDDLE RESTAURANT,"4844 CORDELL AVE , BETHESDA , MARYLAND - 20814",11/21/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,01/03/2020
LA CASITA,"2 E. DIAMOND AVE , GAITHERSBURG , MARYLAND - 20877",02/10/2020,5.4 ALCOHOL AWARENESS CERTIFICATION,SETTLED $100 +ALERT,03/27/2020
GRAPE & GRAIN,"19233 WATKINS MILL RD , MONTGOMERY VILLAGE , MARYLAND - 20886",10/25/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,12/02/2019
LIFETIME ATHLETIC,"10121 WASHINGTONIAN BLVD , GAITHERSBURG , MARYLAND - 20878",10/29/2019,5.4 ALCOHOL AWARENESS CERTIFICATION,SETTLED $500 +ALERT,12/14/2019
THE BETHESDA BAZAR,"8006 NORFOLK AVENUE , BETHESDA , MARYLAND - 20814",11/21/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,12/27/2019
SUPER CHICKEN,"2531 ENNALLS AVE , WHEATON , MARYLAND - 20902",02/20/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,03/28/2020
FLOWER CHILD-BETHESDA,"10205 OLD GEORGETOWN RD., , BETHESDA , MARYLAND - 20814",12/18/2019,5.7 DISPLAY OF LICENSE,SETTLED $100 +ALERT,01/27/2020
WORLD OF BEER-BETHESDA,"7200 WISCONSIN AVE , BETHESDA , MARYLAND - 20814",12/18/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,01/27/2020
HANARO RESTAURANT AND LOUNGE,"7820 NORFOLK AVE , BETHESDA , MARYLAND - 20814",11/21/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,12/27/2019
VIET PHO & GRILL,"1640 ELTON RD. , SILVER SPRING , MARYLAND - 20903",02/05/2020,5.5 RECORDS,$500 +ALERT,
MEIWAH RESTAURANT,"4457 WILLARD AVE , CHEVY CHASE , MARYLAND - 20815",01/23/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,03/05/2020
OM INDIAN RESTAURANT,"785 ROCKVILLE PIKE, UNIT K , ROCKVILLE , MARYLAND - 20852",12/04/2019,5.7 DISPLAY OF LICENSE,SETTLED $100 +ALERT,01/13/2020
