PRE DIR,PRE TYPE,STREET NAME,STREET TYPE,STATUS
,,EAGLE,PT,ACTIVE
,,MARINERS,PT,ACTIVE
,,MOSS,PT,ACTIVE
,,OSAGE,PT,ACTIVE
,,MORGANS POINT,ST,ACTIVE
,,SIGNAL,PT,ACTIVE
,,PELICAN,PT,ACTIVE
,,LEAFDALE,PT,ACTIVE
,,LOOKOUT,PT,ACTIVE
,,HUNTERWOOD,PT,ACTIVE
,,KINGS,PT,ACTIVE
,,KLONDIKE RUSH,PT,ACTIVE
,,WILDWIND,PT,ACTIVE
,,ARROWHEAD,PT,ACTIVE
,,BUCK,RACE,ACTIVE
E,,WONSLEY,DR,ACTIVE
E,,WILLIAM CANNON,DR,ACTIVE
E,,WILLIAM CANNON,DR,ACTIVE
E,,GRADY,DR,ACTIVE
,,N IH 35 NB TO AIRPORT SB,RAMP,ACTIVE
,,N IH 35 SVRD NB TO AIRPORT NB,RAMP,ACTIVE
,,N IH 35 NB TO AIRPORT,RAMP,ACTIVE
,,N IH 35 SVRD NB TO 290 EB,RAMP,ACTIVE
,,N 35 SB TO THREE POINTS,RAMP,ACTIVE
,,N IH 35 SB TO RIVERSIDE,RAMP,ACTIVE
,,N IH 35 SB TO PARMER,RAMP,ACTIVE
,,N IH 35 NB TO 6TH,RAMP,ACTIVE
,,N IH 35 NB TO 51ST,RAMP,ACTIVE
,,N IH 35 NB TO 1825,RAMP,ACTIVE
,,N IH 35 NB TO 15TH,RAMP,ACTIVE
,,N IH 35 LD SB TO MLK,RAMP,ACTIVE
,,N FM 620 SB TO PARMER,RAMP,ACTIVE
,,N CAP TX TO RESEARCH SB,RAMP,ACTIVE
,,N CAP TX TO RESEARCH NB,RAMP,ACTIVE
,,N CAP TX TO RESEARCH SB,RAMP,ACTIVE
,,N IH 35 NB TO LA POSADA,RAMP,ACTIVE
,,N IH 35 NB TO IH 35 UD NB,RAMP,ACTIVE
,,N IH 35 NB TO E 290 EB,RAMP,ACTIVE
,,N 35 NB TO CESAR CHAVEZ,RAMP,ACTIVE
,,N 35 NB TO CANYON RIDGE,RAMP,ACTIVE
