Item Number,Product Name,CityStore Exclusive,Unit Price,Color,Size,Style,Category Name,Description
06182,Parks Water Bottle,No,18.00,Orange,,,Park Central,"17 ounces double wall 18/8 stainless steel thermal bottle with copper vacuum insulation, threaded stainless steel insulated lid, and stainless steel base.  Height 10.375 inches and width 3 inches.   Available in turquoise or orange."
06182,Parks Water Bottle,No,18.00,Orange,,,Reusable,"17 ounces double wall 18/8 stainless steel thermal bottle with copper vacuum insulation, threaded stainless steel insulated lid, and stainless steel base.  Height 10.375 inches and width 3 inches.   Available in turquoise or orange."
02351,Congrats Grad Greeting Card,No,3.00,,,,Stationery,Congrats Grad greeting card.    Inside Greeting: You did it! Happy Graduation    Paired with white envelope & 5x7 semi-gloss
02352,Youre a nut card,No,3.00,,,,Stationery,"Red Notecard featuring squirrel with heart image, paired with envelope.    Inside Greeting: You re a nut!    Dimensions: 4x5 1/2 red matte."
02353,The Village New York Note Card,No,3.00,,,,Stationery,Note card with colorful images from the Village in New York City Landmarks.    Inside Greeting: (blank)    Paired with yellow envelope & 6x4 1/2 white matte.
02354,Midtown Manhattan Note Card,No,3.00,,,,Stationery,Note card with colorful images of Midtown Manhattan Landmarks.    Inside Greeting: (blank)    Paired with yellow envelope & 6x4 1/2 white matte.
02355,Pedestrian Birthday Greeting Card,No,2.00,,,,Stationery,"Pedestrian Birthday greeting card, paired with envelope.    Inside Greeting: I don t know where my head was. Happy Belated Birthday!    Dimensions: 5x7 semi-gloss."
07114,NYC NEIGHBORHOOD MANHATTAN MAP:,No,10.00,,,,NYC Guides & Maps,"From Harlem s 110th Street, south to the Financial District, with SoHo, Lower East Side, Greenwich Village, Upper West Side and Upper East Side, Nolita, Gramercy Park, the High Line and Madison Square. All in block-by-block detail!  NYC neighborhood Museums, where NYC Shopping, famous NYC Landmarks, centrally located Hotels, popular restaurants and cafes, theatres, sports and performance spaces, subway stations shown on the map, parks, gardens & open space.  Dimensions: Open: 24 x 9 in/61 x 23 cm, Closed: 4 x 9 in/10 x 23 cm."
23197,Brooklyn Bridge Kitchen Towel,No,20.00,,,,Home Accents,Brooklyn Bridge with map image design by the Sassers.    100% Cotton Towel.  Dimensions: 17 x 36 inches
23197,Brooklyn Bridge Kitchen Towel,No,20.00,,,,Reusable,Brooklyn Bridge with map image design by the Sassers.    100% Cotton Towel.  Dimensions: 17 x 36 inches
02359,Love Notecard,No,6.00,,,,Stationery,"Love is for everyone notecard, blank inside and paired with a matching envelope.  Folded A2 (4.25 x 5.5) and flat printed using 100% recycled paper."
02338,New York City Landmarks Themed Stationery,No,15.00,,,,Stationery,"Colorful, beautifully drawn flat notecards show NYC s famous landmarks and icons, two each of the NYC Skyline, Brooklyn Bridge, Statue of Liberty and the famousWater Towers on the many old buildings.  At the bottom of each card is a clever little map with icon fact.  Perfect size card for a quick note, a thank you card or for a gift. Set of 8 Cards, notecard size folded: 4in x 5.5in (10cm x 105cm).Each card comes with an envelope.  Paper Color: Bright White, heavy stock & smooth finish."
02234,Silver & Glitter Dot Gift Tissue Pack,No,5.00,,,,Stationery,"5 Sheets of coordinated solid and patterned decorative tissue paper.    Each sheet is approximately 19.75 x26-inches, 2 sheets of glittered dot pattern and 3 sheets of solid.  Mix and match with paper shred, assorted gift bags, and curly bows to create a uniquely wrapped gift."
02234,Silver & Glitter Dot Gift Tissue Pack,No,5.00,,,,Married in New York,"5 Sheets of coordinated solid and patterned decorative tissue paper.    Each sheet is approximately 19.75 x26-inches, 2 sheets of glittered dot pattern and 3 sheets of solid.  Mix and match with paper shred, assorted gift bags, and curly bows to create a uniquely wrapped gift."
02238,Chalkboard Love Petite Gift Bag,No,3.00,,,,Married in New York,"Quick and easy bag that fit petite gift items like jewelry, gift cards and small photo frames.    Decorated bag is printed on Kraft paper with wedding day words and phrases, a tag for the recipient s name or a message and ribbon handles.  Measures 5 x 5-Inch with a 2-inch side gusset."
23192,Just Married Tray,No,29.00,,,,Married in New York,"Three cheers for love that lasts forever on one tray in a gift box.    Porcelain and gold, handwashing recommended. Do not microwave.    Dimensions: 4.25 x 9.25."
04198,Bride Tote,No,32.00,,,,Married in New York,Say it loud and say it proud in gold with a great-looking tote someone  getting married!  Canvas and gold with leather handle.  Hand wash recommended.  DIMENSIONS: 15 x 15.5.
02328,Lady Liberty Eraser,No,10.00,,,,Work Space,"Take pride in your work with Lady Liberty eraser. She s an icon and an inspiration and she ll remove your mistakes, too! Cast from artist-quality material eraser with incredibly fine detail, this eraser celebrates one of New York s most iconic monuments. Recreate a miniature New York City skyline on your desk.  A perfect and thoughtful gift for the traveler or teacher.  Product Dimensions: 1 x 1 x 4.1 in."
21184,NYC Graffiti Magnet,No,8.00,,,,NY Magnets,NYC Graffiti style lettering acrylic magnet.  Dimensions: 2.5  x 3.5
04249,NYC Token Umbrella,No,24.00,,,,NYC Subway,"Let  take it back to the time where you had to use a token to get on the NYC Subway, this umbrella features just that with a comfortable rubberized handle and auto open."
04249,NYC Token Umbrella,No,24.00,,,,25 for under $25,"Let  take it back to the time where you had to use a token to get on the NYC Subway, this umbrella features just that with a comfortable rubberized handle and auto open."
04249,NYC Token Umbrella,No,24.00,,,,Accessories,"Let  take it back to the time where you had to use a token to get on the NYC Subway, this umbrella features just that with a comfortable rubberized handle and auto open."
05178,New York City Apple Keyring,No,16.00,,,,CityStore Exclusives,This apple shaped key chain is a great gift for that special teacher. The apple measures 3  (including ring) x 1.5  and the ring is about 1  diameter. The apple is engraved The City of New York. The bright silver finish is nickel plated and will not tarnish. Gift boxed.
05178,New York City Apple Keyring,No,16.00,,,,Work Space,This apple shaped key chain is a great gift for that special teacher. The apple measures 3  (including ring) x 1.5  and the ring is about 1  diameter. The apple is engraved The City of New York. The bright silver finish is nickel plated and will not tarnish. Gift boxed.
21189,NYC Parks Magnet,No,5.00,,,City Hall Park Magnet,Park Central,"Show your support for all of the beautiful parks throughout NYC with the City of New York Parks and Recreation magnet, Available in the following parks.  Dimensions: 3x3 inches    City Hall Park    Battery Square Park    Washington Square Park"
21189,NYC Parks Magnet,No,5.00,,,City Hall Park Magnet,NY Magnets,"Show your support for all of the beautiful parks throughout NYC with the City of New York Parks and Recreation magnet, Available in the following parks.  Dimensions: 3x3 inches    City Hall Park    Battery Square Park    Washington Square Park"
21189,NYC Parks Magnet,No,5.00,,,Battery Square Park Magnet,Park Central,"Show your support for all of the beautiful parks throughout NYC with the City of New York Parks and Recreation magnet, Available in the following parks.  Dimensions: 3x3 inches    City Hall Park    Battery Square Park    Washington Square Park"
21189,NYC Parks Magnet,No,5.00,,,Battery Square Park Magnet,NY Magnets,"Show your support for all of the beautiful parks throughout NYC with the City of New York Parks and Recreation magnet, Available in the following parks.  Dimensions: 3x3 inches    City Hall Park    Battery Square Park    Washington Square Park"
21189,NYC Parks Magnet,No,5.00,,,Washington Square Park Magnet,Park Central,"Show your support for all of the beautiful parks throughout NYC with the City of New York Parks and Recreation magnet, Available in the following parks.  Dimensions: 3x3 inches    City Hall Park    Battery Square Park    Washington Square Park"
