Address,BBL,BIN,Borough,CouncilDist,Latitude,Location,Longitude,NTAName,NUMBER,Notes,ObjectId,Operation_Date_Time,STREET,Site_Managed_By,Site_Name,Zipcode,boroCD,ct2010,point,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
73-50 Little Neck Parkway,4084010000,4572707,Queens,23,40.74841,73-50 Little Neck Parkway,-73.721,Bellerose,73-50,,7,Every Day 10:00 AM -5:00 PM,Little Neck Parkway,Queens County Farm Museum,Queens County Farm Museum,11004,413,1567,POINT (-73.72100199987719 40.74840600008288),24335,63,3,16,63
400 EAST FORDHAM ROAD,2030338000,2116415,Bronx,15,40.86115,E Fordham Rd btw Webster Ave & Third Ave - S,-73.8908,Fordham South,400,,24,"Fridays, 8:00 AM - 1:00 PM (Seasonal, June 15th - November 30th)",EAST FORDHAM ROAD,GrowNYC,Fordham Plaza Greenmarket,10458,206,38302,POINT (-73.8908000004762 40.861150000133044),10936,35,5,22,31
4967 BROADWAY,1022420000,1082059,Manhattan,10,40.86901,"Isham St at Cooper,New York,NY, 10034",-73.92033,Marble Hill-Inwood,4967,,26,"Saturdays, 8:00 AM - 12:00 PM",BROADWAY,GrowNYC and New York Restoration Project,Inwood Greenmarket,10034,112,303,POINT (-73.92032590010965 40.86901029989803),13092,47,4,39,22
73-24 Yellowstone Blvd,4031500000,4467419,Queens,29,40.71741,73-24 Yellowstone Blvd.,-73.85751,Forest Hills,73-24,,11,,Yellowstone Blvd,The Compost Collective,The Compost Collective,11375,406,709,POINT (-73.85751299945929 40.71741099992223),14786,40,3,28,70
132 EAST 7 STREET,1004028000,1005082,Manhattan,2,40.72606,"E 7th St & Avenue A, New York, NY 10009",-73.98354,East Village,132,,31,"Sundays, 8:00 Am - 1:00 PM",EAST 7 STREET,GrowNYC,Tompkins Square Greenmarket,10009,103,32,POINT (-73.98354290035918 40.7260553998618),11729,70,4,50,5
84-02 MANTON ST,4096510000,4206518,Queens,24,40.70968,Briarwood E/F Subway Station Entrance (North side of Queens Boulevard),-73.81903,Briarwood-Jamaica Hills,84-02,,2,"Tuesdays, 7:30am - 9:30am",MANTON ST,NYC Compost Project Hosted by Queens Botanical Garden,Commuter Composting at Briarwood E/F,11435,408,22002,POINT (-73.81903040072578 40.709680400154355),24670,25,3,24,65
11 8 AVENUE,1006250000,1011444,Manhattan,3,40.73755,"West 12 Street and 8 Avenue,New York,NY,10014",-74.00481,West Village,11,,16,"Saturdays, 8:00 AM - 1:00 PM",8 AVENUE,GrowNYC,Abingdon Square Greenmarket,10014,102,77,POINT (-74.00481279915655 40.73754619998785),12077,57,4,10,3
1130 Grand Concourse,2024620000,2002833,Bronx,16,40.83264,1130 Grand Concourse,-73.91877,East Concourse-Concourse Village,1130,,19,"Thursdays, 1:30 PM - 5:30 PM",Grand Concourse,GrowNYC,Bronxworks,10456,204,18102,POINT (-73.91877350072866 40.83263979968544),10934,50,5,42,27
5955 Shore Parkway,3083290000,3391490,Brooklyn,46,40.63366,5955 Shore Parkway,-73.88596,Canarsie,5955,,34,"Fridays, 8:00 AM - 3:00 PM (Seasonal, June - November)",Shore Parkway,East New York Farms!,Bayview Houses,11236,318,1034,POINT (-73.88595500003494 40.63366300013507),13827,5,2,8,42
100 WEST MOSHOLU PARKWAY SOUTH,2032510000,2095215,Bronx,11,40.88123,100 West Mosholu Parkway,-73.88758,Van Cortlandt Village,100,,6,"Tuesdays and Thursdays , 4:00 PM - Dusk (Until end of November)",WEST MOSHOLU PARKWAY SOUTH,NYC Compost Project Hosted by New York Botanical Garden,Meg's Community Garden @ Dewitt Clinton High School Campus,10468,207,409,POINT (-73.88758300007986 40.88123299968707),11606,24,5,40,34
500 GRAND CONCOURSE,2023430000,2001019,Bronx,17,40.81844,"Grand Concourse, 149th Street - SE Corner",-73.9272,Mott Haven-Port Morris,500,,12,Fridays 7:15 AM - 11:15 AM,GRAND CONCOURSE,GrowNYC,149th St -- Grand Concourse,10451,201,51,POINT (-73.92720000042587 40.8184399998955),10929,49,5,43,23
42-20 KISSENA BOULEVARD,4051347000,4115673,Queens,20,40.75625,"Maple Playground, Maple Avenue and Kissena Boulevard, Flushing",-73.82584,Flushing,42-20,,23,"Wednesdays, 8:00 AM - 1:00 PM (Seasonal, July-November)",KISSENA BOULEVARD,GrowNYC,Flushing Greenmarket,11355,407,853,POINT (-73.82584509976503 40.75625010033057),14190,22,3,3,67
118 W 134th St,1019180000,1000000,Manhattan,9,40.81428,118 W 134th St,-73.94283,Central Harlem North-Polo Grounds,118,,38,"Mondays-Fridays, 9:00 AM - 5:00 PM",W 134th St,Harlem Grown,Harlem Grown,10030,110,226,POINT (-73.94283400036635 40.814279999463096),12427,18,4,36,20
638 EAST 169 STREET,2026150000,2004306,Bronx,16,40.8312,McKinley Sq. at 169th St. & Boston Road,-73.90041,Morrisania-Melrose,638,,27,"Wednesdays, 10:00 AM - 3:00 PM (Seasonal, July - November)",EAST 169 STREET,GrowNYC,"Learn it, Grow it, Eat it Youthmarket",10456,203,149,POINT (-73.90041330082632 40.83120210006391),10934,34,5,42,25
