CALENDAR YEAR,MONTH,VENDOR NAME,CATEGORY,ITEM ,ITEM DESCRIPTION,QUANTITY,TRANSACTION SOURCE TYPE
2020,April,QUINTESSENTIAL LLC,WINE,336747,OBSESSION SYMPHONY - 750ML,1,Purchase order
2020,April,BARON FRANCOIS LTD,WINE,315087,CH PAVEIL DE LUZE MARGUAX - 750ML,1,Purchase order
2020,April,MARK ANTHONY BRANDS INC,BEER,90344,MIKES CRAN LEMONADE 4/6 NR - 11.2OZ,144,Purchase order
2020,April,RELIABLE CHURCHILL LLLP,LIQUOR,11307,AFROHEAD BRILAND 07 AGED RUM - 750ML,1,Purchase order
2020,April,PUNTO VINO LLC,WINE,411256,LA CAPPUCCINA VERONA BIANCO - 750ML,3,Purchase order
2020,April,THE WINE GROUP,WINE,80007,FLIPFLOP MOSCATO - 1.5L,1,Purchase order
2020,April,OPICI FAMILY DISTRIBUTING OF MD,WINE,339704,CARPINETO CHIANTI RS - 750ML,4,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,307368,TIAMO PROSECCO ORGANIC - 750ML,3,Purchase order
2020,April,LEGENDS LTD,BEER,68580,STILLWATER RECESS 6/4 16OZ CANS,1,Purchase order
2020,April,LANTERNA DISTRIBUTORS INC,WINE,384771,KIONA LEMBERGER - 750ML,1,Purchase order
2020,April,RVWC LLC,WINE,348334,VINEYARD ORIGINS CAB SAUV LOT 15 - 750ML,5,Purchase order
2020,April,LEGENDS LTD,BEER,97535,SCHNEIDER AVENTINUS 20/16.9OZ NR,5,Purchase order
2020,April,PRESTIGE BEVERAGE GROUP OF MD LLC,WINE,333315,ROBERTSON PINTGE 12 - 750ML,2,Purchase order
2020,April,DUGGANS DISTILLERS PROD,WINE,353856,JULES LAROSE BRUT- 750ML,8,Purchase order
2020,April,INTERBALT PRODUCTS CORP,WINE,346764,UNDER THE ROSE - 750ML,2,Purchase order
2020,April,PERNOD RICARD USA LLC,LIQUOR,65730,ABSOLUT VODKA - CITRON - 50ML,22,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,340934,ANGELINE CAB CAL - 750ML,19,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,323710,CAMPO VIEJO GARN - 750ML,3,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,89927,ROOT 1 CAB - 750ML,1,Purchase order
2020,April,KYSELA PERE ET FILS LTD,WINE,322171,BALDUCCI S/BLC - 750ML,14,Purchase order
2020,April,LEGENDS LTD,BEER,9482,ST. BERNARDUS WITBIER NR LOOSE - 11.2OZ,1,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,BEER,166560,SAPPORO 24/16OZ CAN,19,Purchase order
2020,April,LEGENDS LTD,BEER,69635,OMMEGANG ROSETTA 6/4 CANS,2,Purchase order
2020,April,PERNOD RICARD USA LLC,WINE,70149,LILLET BLC - 750ML,45,Purchase order
2020,April,BARON FRANCOIS LTD,WINE,439509,KIWI CUVEE P/NOIR - 750ML,1,Purchase order
2020,April,LEGENDS LTD,BEER,69318,ZYWIEC PORTER 4/6 NR,2,Purchase order
2020,April,LANTERNA DISTRIBUTORS INC,WINE,49370,KIONA ICE WINE - 375ML,1,Purchase order
2020,April,BACCHUS IMPORTERS LTD,LIQUOR,236692,KAIYO CASK STRENGTH MIZUNARA OAK WHISKY,1,Purchase order
2020,April,CONSTANTINE WINES INC,WINE,351928,LAPIS LUNA ZINFANDEL - 750ML,17,Purchase order
2020,April,CONSTELLATION BRANDS,WINE,78450,NOBILO ICON S/BLC - 750ML,66,Purchase order
2020,April,MONSIEUR TOUTON SELECTION,WINE,238242,LES FIEFS DE LAGRANGE ST JUILEN - 750ML,1,Purchase order
2020,April,MONSIEUR TOUTON SELECTION,WINE,238428,VILLA SANDI IL FRESCO ROSE SPUM BRUT - 750ML,1,Purchase order
2020,April,JIM BEAM BRANDS CO,LIQUOR,45001,CRUZAN RUM - STRAWBERRY - 750ML,1,Purchase order
2020,April,SIERRA NEVADA BREWING CO,BEER,78068,SIERRA NEVADA HAZY LITTLE THING IPA 4/6 CAN - 12OZ,700,Purchase order
2020,April,CONSTELLATION BRANDS,WINE,80950,TAYLOR PORT - 750ML,28,Purchase order
2020,April,ANHEUSER BUSCH INC,BEER,28582,RITAS LEMON-ADE-RITA 15/25 CAN,72,Purchase order
2020,April,LCF WINE COMPANY LLC,WINE,345622,SAND POINT P/NOIR - 750ML,14,Purchase order
2020,April,LEGENDS LTD,BEER,60326,BURLEY OAK LOST IPA 6/4 16OZ CANS,2,Purchase order
2020,April,LANTERNA DISTRIBUTORS INC,WINE,304834,99 VINES P/GRIG - 750ML,2,Purchase order
2020,April,BROWN-FORMAN BEVERAGES WORLDWIDE,BEER,89323,JACK DANIELS WATERMELON PUNCH 4/6NR - 10OZ,72,Purchase order
2020,April,QUINTESSENTIAL LLC,WINE,317233,PASCUAL TOSO SPARK 750ML,1,Purchase order
2020,April,FERRARI CARANO WINERY,WINE,23680,FERRARI CARANO RES NAPA CHARD - 750ML,2,Purchase order
2020,April,DOPS INC,BEER,6343,WEIHENSTEPHAN CRYSTAL NR 20/CS - 16.9OZ,1,Purchase order
2020,April,ARTISANS & VINES LLC,WINE,348143,WEHRHEIM NIERST ORBEL RIES SPATLESE,1,Purchase order
2020,April,DOPS INC,BEER,97024,GLUTENBERG PALE ALE - 16OZ CAN,2,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,BEER,4685,TIGER BEER 4/6 11.2OZ NR,2,Purchase order
2020,April,LEGENDS LTD,BEER,24549,BRECKENRIDGE AVALANCHE 4/6 NR - 12OZ,1,Purchase order
2020,April,SLIGO MILL BREWING LLC,BEER,69545,7 LOCKS BOHEMIAN PILSNER 4/6 CANS,22,Purchase order
2020,April,SIERRA NEVADA BREWING CO,BEER,23951,SIERRA NEVADA TORPEDO EXTRA IPA 12PK NR,50,Purchase order
2020,April,E & J GALLO WINERY,WINE,83429,LIVINGSTON CELLARS CAB - 1.5L,20,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,311703,ELIZABETH SPENCER GREN - 750ML,2,Purchase order
2020,April,OPICI FAMILY DISTRIBUTING OF MD,WINE,320096,SOLEIL MIMOSA - 750ML,1,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,322557,SEVEN FALLS CHARD - 750ML,2,Purchase order
2020,April,BANFI PRODUCTS CORP,WINE,46454,PACIFIC RIM RIES - 750ML,1,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,355088,JAM JAR SWEET SHZ - 187ML,1,Purchase order
2020,April,TRI-VIN IMPORTS,WINE,345483,ST MICHAEL AUS RIES - 750ML,1,Purchase order
2020,April,MICHAEL R DOWNEY SELECTIONS INC,WINE,310722,DI LENARDO GOSSIP P/GRIG RAMATO - 750ML,2,Purchase order
2020,April,SIERRA NEVADA BREWING CO,DLC,1236,DLC BEER PALLET,63,Purchase order
2020,April,ELITE WINES IMPORTS,WINE,304417,DOM BELLEVUE TOUR S/BLC - 750ML,14,Purchase order
2020,April,ANHEUSER BUSCH INC,BEER,5843,BASS ALE 2/12 NR - 12OZ,56,Purchase order
2020,April,BROWN-FORMAN BEVERAGES WORLDWIDE,LIQUOR,12017,OLD FORESTER BOURBON  86 PROOF - 750ML,44,Purchase order
2020,April,JACKSON FAMILY ENTERPRISES INC,WINE,44132,LA CREMA R/R CHARD - 750ML,28,Purchase order
2020,April,PUNTO VINO LLC,WINE,304869,HILLINGER BLAUFRANKISCH - 750ML,1,Purchase order
2020,April,RELIABLE CHURCHILL LLLP,LIQUOR,47497,WHISTLEPIG FARM STRAIGHT RYE - 750ML,28,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,407887,4 BEARS CAB - 750ML,28,Purchase order
2020,April,THE WINE GROUP,WINE,76937,FISH EYE MER - 1.5L,30,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,345922,ROBLAR S/BLC - 750ML,1,Purchase order
2020,April,ARTISANS & VINES LLC,WINE,352936,FOUR SISTERS CAB - 750ML,1,Purchase order
2020,April,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,45035,D'ARENBERG STUMP JUMP SHZ - 750ML,14,Purchase order
2020,April,STE MICHELLE WINE ESTATES,WINE,85017,CH ST MICH COLUMBIA VLY DRY RIES - 750ML,60,Purchase order
2020,April,JIM BEAM BRANDS CO,LIQUOR,35777,GILBEY'S VODKA - 375ML,120,Purchase order
2020,April,E & J GALLO WINERY,WINE,89028,CARLO ROSSI BURGUNDY - 1.5L,40,Purchase order
2020,April,VIGNOBLES LVDH USA INC,WINE,238686,CRISS CROSS CAB CLARKSBURG - 750ML,1,Purchase order
2020,April,SUTTER HOME WINERY INC,WINE,166284,SUTTER HOME MOSCATO SANGRIA - 750ML,32,Purchase order
2020,April,BROWN-FORMAN BEVERAGES WORLDWIDE,LIQUOR,72466,BENRIACH SINGLE MALT SCOTCH 10YR - 750ML,1,Purchase order
2020,April,KYSELA PERE ET FILS LTD,WINE,336036,FINCA SOBRENO CRIANZA 11 - 750ML,1,Purchase order
2020,April,STELLAR IMPORTING CO LLC,WINE,338427,NASIAKOS MOSCHOFILERO - 750ML,1,Purchase order
2020,April,OPICI FAMILY DISTRIBUTING OF MD,WINE,309441,COCOA DI VINE - 750ML,2,Purchase order
2020,April,INTERBALT PRODUCTS CORP,WINE,349095,KGM PIROSMANI - 750ML,1,Purchase order
2020,April,DMV DISTRIBUTING LLC,WINE,326754,TUSSOCK JUMPER S/BLC - 750ML,1,Purchase order
2020,April,DUGGANS DISTILLERS PROD,LIQUOR,347741,FINLAGGAN OLD RESERVE SINGLE MALT SCOTCH 750 ML,42,Purchase order
2020,April,BUCK DISTRIBUTING COMPANY INC,BEER,69499,MONUMENT CITY NOBO IPA 6/4 16OZ CANS,9,Purchase order
2020,April,BACARDI USA INC,LIQUOR,38407,BACARDI RUM - WHITE - 375ML,66,Purchase order
2020,April,PROXIMO SPIRITS INC,LIQUOR,38539,JOSE CUERVO GOLD TEQUILA - 1.75L,240,Purchase order
2020,April,ROYAL WINE CORP,WINE,318752,GOOSE BAY S/BLC - 750ML,1,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,51713,LINGANORE STEEPLE CHASE RED - 750ML,42,Purchase order
2020,April,BANVILLE & JONES WINE MERCHANTS,WINE,334182,MOUTON NOIR O.P.P P/NOIR - 750ML,7,Purchase order
2020,April,PATERNO IMPORTS LTD,WINE,333446,FEDERALIST LODI CAB - 750ML,42,Purchase order
2020,April,HEAVEN HILL DISTILLERIES INC,LIQUOR,10120,J W DANT BOURBON 100P - 1.75L,2,Purchase order
2020,April,MONSIEUR TOUTON SELECTION,WINE,72225,CANTINA GABRIELE SANG - 750ML,2,Purchase order
2020,April,MONSIEUR TOUTON SELECTION,WINE,238716,CELLIER DES DAUPHINS RES CDR RED - 750ML,7,Purchase order
2020,April,PUNTO VINO LLC,WINE,334383,GIUGGIOLO ROSSO TOSCANA - 750ML,3,Purchase order
2020,April,DEUTSCH FAMILY WINE & SPIRITS,WINE,86607,JOSH CELLARS P/NOIR - 750ML,56,Purchase order
2020,April,SOUTHERN GLAZERS WINE AND SPIRITS,NON-ALCOHOL,41916,FEVER TREE GINGER BEER 6/4PK - 200ML,78,Purchase order
2020,April,WELL OILED WINE COMPANY LLC,WINE,76104,ROJO MOJO RED - 750ML,49,Purchase order
2020,April,CONSTANTINE WINES INC,WINE,131393,STEPHEN VINCENT P/NOIR - 750ML,14,Purchase order
2020,April,BACKUP BEVERAGE,BEER,69174,SCHLAFLY BOOMERANG 4/6 CANS,1,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,85417,FAT BASTARD CAB - 750ML,21,Purchase order
2020,April,KYSELA PERE ET FILS LTD,WINE,312219,CH DE SEGRIES CDR RGE - 750ML,7,Purchase order
2020,April,MONSIEUR TOUTON SELECTION,WINE,421405,DON GUILLERMO DI MENDOZA MAL - 750ML,5,Purchase order
2020,April,E & J GALLO WINERY,WINE,83313,LIVINGSTON CELLARS CHABLIS BLC - 1.5L,40,Purchase order
2020,April,CONSTANTINE WINES INC,WINE,336527,UNDERWOOD ROSE - 750ML,3,Purchase order
2020,April,DOPS INC,WINE,47406,FESS PARKER J/RIES - 750ML,1,Purchase order
2020,April,DOPS INC,BEER,8982,ORIGINAL SIN CIDER 4/6NR - 12OZ,2,Purchase order
2020,April,INTERBALT PRODUCTS CORP,BEER,42791,ZAJECARSKO LAGER  - 24/16.9OZ CAN,3,Purchase order
2020,April,STE MICHELLE WINE ESTATES,WINE,84662,COLUMBIA CREST TWO VINES CHARD - 750ML,28,Purchase order
2020,April,E & J GALLO WINERY,WINE,85260,GALLO FAMILY VYDS WH/MER - 1.5L,20,Purchase order
2020,April,MILLER BREWING COMPANY,BEER,23734,COORS LIGHT 18PK CANS - 16OZ,700,Purchase order
2020,April,ELITE WINES IMPORTS,WINE,303089,CH LES ARROMANS ENT-D-MER - 750ML,6,Purchase order
2020,April,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,40720,LUIGI BOSCA FINCA LA LN MALBEC - 750ML,14,Purchase order
2020,April,LEGENDS LTD,BEER,95559,FLYING FISH ABBY DUBBEL 4/6 NR - 12OZ,2,Purchase order
2020,April,MONSIEUR TOUTON SELECTION,WINE,301882,O'DWYERS S/BLC - 750ML,1,Purchase order
2020,April,ANHEUSER BUSCH INC,BEER,51126,NATURAL LIGHT SELTZER ALOHA BEACHES MANGO 2/12PK 12OZ CAN,98,Purchase order
2020,April,DIAGEO NORTH AMERICA INC,BEER,25613,SMIRNOFF SCREWDRIVER 4/6NR - 11.2OZ,144,Purchase order
2020,April,ANHEUSER BUSCH INC,BEER,26057,BUD LIGHT PLATINUM 18PK NR - 12OZ,360,Purchase order
2020,April,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,330696,ONE HOPE RED BLEND - 750ML,1,Purchase order
2020,April,PRESTIGE BEVERAGE GROUP OF MD LLC,WINE,359017,URBAN RIES - 750ML,6,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,307560,WOODBRIDGE MAL - 750ML,2,Purchase order
2020,April,ANHEUSER BUSCH INC,BEER,23357,KONA LONGBOARD 4/6 NR - 12OZ,168,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",LIQUOR,10445,BRECKENRIDGE BOURBON - 750ML,7,Purchase order
2020,April,ARTISANS & VINES LLC,WINE,345882,ZONTES FOOTSTEP AVALON TREE CAB - 750ML,2,Purchase order
2020,April,ROYAL WINE CORP,WINE,326502,BARKAN CLASSIC MAL - 750ML,6,Purchase order
2020,April,SUTTER HOME WINERY INC,WINE,342215,JOEL GOTT #815 CABERNET SAUVIGNON - 750ML,140,Purchase order
2020,April,TREASURY WINE ESTATES AMERICAS COMPANY,WINE,239798,PENFOLDS MAXS SHIRAZ - 750ML,1,Purchase order
2020,April,RVWC LLC,WINE,348336,RYAN PATRICK ROCK ISLAND RED - 750ML,1,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,325868,GRAN PASSIONE ROSSO - 750ML,7,Purchase order
2020,April,BANVILLE & JONES WINE MERCHANTS,WINE,237308,FARINA VALP RIPASSO CLASS SUP - 750ML,1,Purchase order
2020,April,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,237854,FOLONARI PROSECCO - 750ML,2,Purchase order
2020,April,DIONYSOS IMPORTS INC,WINE,313987,CORTE ADAMI SOAVE - 750ML,1,Purchase order
2020,April,MONSIEUR TOUTON SELECTION,WINE,239296,SOLIS LUMEN ROSE LANGUEDOC - 750ML,2,Purchase order
2020,April,JIM BEAM BRANDS CO,LIQUOR,70744,MAKERS MARK CASK STRENGTH - 750ML,126,Purchase order
2020,April,PUNTO VINO LLC,WINE,233722,ALCESTI BIBESIA CHARD - 750ML,2,Purchase order
2020,April,CONSTANTINE WINES INC,WINE,347371,BOUTINOT LES CEPAGES OUBLIES CARIGNAN GREN 14 - 750ML,42,Purchase order
2020,April,YOUNG WON TRADING INC,BEER,24855,J POP CHU HI WHITE PEACH 4/6 NR - 12OZ,1,Purchase order
2020,April,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,320464,OH SCHIST RIES                321542 - 750ML,4,Purchase order
2020,April,LEGENDS LTD,BEER,60809,LEFT HAND WHEELS GOSE ROUND 4/6 CANS,2,Purchase order
2020,April,DIONYSOS IMPORTS INC,WINE,104060,LES CHAILLOUX SANCERRE CHERRIE - 750ML,4,Purchase order
2020,April,LEGENDS LTD,BEER,28839,ANDECHS VOLLBIER HELL 20/16.9 OZ NR,3,Purchase order
2020,April,DIAGEO NORTH AMERICA INC,LIQUOR,71300,SMIRNOFF VODKA - PEACH - 750ML,7,Purchase order
2020,April,STE MICHELLE WINE ESTATES,WINE,435791,VILLA MARIA PRIVATE BIN S/BLC - 750ML,14,Purchase order
2020,April,LEGENDS LTD,BEER,69591,SOUTHERN TIER 2X IPA 4/6 CANS,2,Purchase order
2020,April,YOUNG WON TRADING INC,WINE,39993,CHOYA JAPANESE PLUM WINE W/PLUM - 500ML,4,Purchase order
