Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2009,06/13/2009,STEWARDS/VETS LIST,Vernon Downs,Vernon Downs,Racing,Harness,raining,First Nation,DONALD B. SIMMONDS, ,First Nation-Tr. Donald Simmonds-broke equip.-horse stumbled-slight wound both front legs-horse OK,Steward's List
2009,06/14/2009,ACCIDENT - DRIVER/JOCKEY,Belmont Park (NYRA),Gate,Racing,Thoroughbred,Clouds & Sun,Alfonso's Loss,LEO O'BRIEN, ,Alfonso's Loss-Tr. Leo O'Brien-unseated rider at starting gate-scratched-horse & rider OK,Accident
2009,06/14/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),Going to Gate,Racing,Thoroughbred,Clouds & Sun,Distorted Passion,TODD A. PLETCHER, ,Distorted Passion-Tr. Todd Pletcher-kicked by lead pony-sustained wound-stitched-jogging 6/16/09,Steward's List
2009,06/17/2009,EQUINE DEATH,Belmont Park (NYRA),Barn 26,Other,Thoroughbred, ,Sailor's Cap,JAMES J. TONER, ,Sailor's Cap-Tr. James Toner-found dead in stall-pathology report-acute necrotizing colitis,Equine Death
2009,06/17/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),Gate,Racing,Thoroughbred,Clouds & Sun,That's How I Roll,KIARAN P. MCLAUGHLIN, ,That's How I Roll-Tr. Kiaran McLaughlin-flipped in gate-scratched-minor scrapes-horse & rider OK,Steward's List
2009,06/17/2009,STEWARDS/VETS LIST,Buffalo Raceway,Buffalo Raceway - track,Racing,Harness,64 degrees - rain,PASSWORD,SHERRI L. HOLLIDAY, ,Password-Tr. Sherri Holliday-LF sesamoid fx-retired-broodmare,Injury
2009,06/17/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,Monticello,Unknown,Harness,Cloudy,Match That,BRIAN A. O'NEILL, ,Match-Tr. Brian O'Neill- That scratched, 
2009,06/18/2009,STEWARDS/VETS LIST,Yonkers Raceway,Yonkers,Racing,Harness,rain,Jenny the Genie,EDWARD C. CLEMENT, ,Jenny the Genie-Tr. Edward Clement-choked down-fell to knees-no injury noted,Steward's List
2009,06/19/2009,EQUINE DEATH,Vernon Downs,VD,Racing,Harness,CLEAR,JOHN HENRY,DANIEL R. DALEY, ,John Henry-Tr. Daniel Daley-sustained fx L knee-euthanized,Equine Death
2009,06/20/2009,EQUINE DEATH,Belmont Park (NYRA),Belmont Barn #37,Racing,Thoroughbred,Clouds & Sun,Hi Daddy,LEAH A. GYARMATI, ,Hi Daddy-Tr. Leah Gyarmati-Died after raced-Cardiovascular Collapse,Equine Death
2009,06/20/2009,FALL OF HORSE,Finger Lakes Gaming & Racetrack,Finger Lakes,Training,Thoroughbred,rain,Patty's Breeze,PAUL W. BARROW, ,Patty's Breeze-Tr. Paul Barrow-horse flipped on Rider Tammi Lord-injured leg-horse ok, 
2009,06/21/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES RACETRACK,Racing,Thoroughbred,RAIN,I'M A BELIEVER,OSCAR S. BARRERA JR, ,I'm A Believer-Tr. Oscar Barrera  Jr.-sustained fx 3rd carpal bone- euthanized,Equine Death
