the_geom,OBJECTID,CELL_TOWER_ID,CREATED_DATE,CREATED_BY,MODIFIED_DATE,MODIFIED_BY,FOLDERRSN,CASE_NUMBER,CELL_TOWER_LOCATION,CELL_TOWER_HEIGHT
POINT (-97.761850444521 30.253825502417),284,287,,,,,,SPX-04-0790,1221 1/2 S LAMAR BLVD,100
POINT (-97.979605688179 30.457693750285),376,116,,,,,,,20100 DAWN DR,0
POINT (-97.795956549079 30.231253283493),167,4,,,,,,SPX 9/17/98 & 1/23/97,4434 FRONTIER TRL,75
POINT (-97.798561438132 30.387888694647),115,476,,,,,,,7809 JESTER BLVD,0
POINT (-97.735091626543 30.267562564418),535,63,,,,,,,715 E 8TH ST,0
POINT (-97.650603274014 30.460505367769),429,191,,,,,,,1504 ROYSTON LN,0
POINT (-97.724086635007 30.328489459943),218,221,,,,,,,5927 N LAMAR BLVD,60
POINT (-97.705585695303 30.136741451317),166,3,,,,,,SPX 9/10/98; 1/16/02,8412 FM 1625 RD,240
POINT (-97.701907826572 30.229120198807),539,67,,,,,,SP-00-2589CS,6204 1/2 FAIRWAY ST,100
POINT (-97.852114853215 30.217520812944),353,95,,,,,,,4905 CONVICT HILL RD,0
POINT (-97.837124683529 30.390819544922),330,330,,,,,,SP-04-0045CS,10307 FM 2222 RD,260
POINT (-97.632375829574 30.328385545458),201,44,,,,,,,9214 OLD MANOR RD,0
