the_geom,OBJECTID,CELL_TOWER_ID,CREATED_DATE,CREATED_BY,MODIFIED_DATE,MODIFIED_BY,FOLDERRSN,CASE_NUMBER,CELL_TOWER_LOCATION,CELL_TOWER_HEIGHT
POINT (-97.958746068772 30.355839336528),305,307,,,,,,SPX-04-0612,15502 1/2 BARRIE DR,0
POINT (-97.761659593927 30.358149398429),395,146,,,,,,SP-04-0250CS,7120 1/2 CHIMNEY CORNERS,70
POINT (-97.715456364096 30.31788174861),530,59,,,,,,,5504 MARTIN AVE,0
POINT (-97.740873995068 30.272023306228),430,192,,,,,,,1005 CONGRESS AVE,0
POINT (-97.768996518122 30.342218069581),531,60,,,,,,,5715 MESA DR,0
POINT (-97.743072906788 30.267987257513),209,212,,,,,,,101 W 6TH ST,0
POINT (-97.713420435553 30.228856085543),248,251,,,,,,C14P-80-022,5307 E RIVERSIDE DR,60
POINT (-97.621139226723 30.302313951916),103,459,,,,,,SP-04-0021DS,7620 1/2 DECKER LN,150
POINT (-97.795884421725 30.418030241853),146,503,,,,,,,7815 SPICEWOOD SPRINGS RD,0
POINT (-97.585861183293 30.341327426747),254,257,,,,,,SPX-05-0631,10091 1/2 E US 290 HWY SVRD EB,0
POINT (-97.65321384871 30.444264919107),406,520,,,,,,SPX 7/29/96&10/20/97,15501 TACON LN,184
POINT (-97.764575310045 30.302586612062),31,165,,,,,,,2630 EXPOSITION BLVD,0
POINT (-97.811192277161 30.258305804533),276,279,,,,,,,2707 WALSH TARLTON LN,120
POINT (-97.728187682982 30.324718857911),408,157,,,,,,SPX 10/28/96&11/09/00,5540 N LAMAR BLVD,75
POINT (-97.725173844589 30.261365026064),526,120,,,,,,SPX 4/21/95,1700 E 4TH ST,100
POINT (-97.7146787162 30.150746694601),480,368,,,,,,SPX 8/4/95,8001 COLTON BLUFF SPRINGS RD,100
POINT (-97.679220662353 30.406966232947),285,288,,,,,,,12410 N LAMAR BLVD,0
POINT (-97.730698149823 30.445383142699),60,416,,,,,,SPX-04-1006,5547 MC NEIL DR,100
POINT (-97.749608741725 30.279072690082),274,277,,,,,,,1301 SHOAL CREEK BLVD,80
POINT (-97.779537064066 30.244912584556),382,133,,,,,,,2701 S LAMAR BLVD,100
POINT (-97.759188975489 30.272490344852),364,104,,,,,,,1300 W 5TH ST,0
POINT (-97.615595583361 30.187559375675),522,52,,,,,,SP-92-0434DS,4425 E SH 71 WB,150
POINT (-98.026152177921 30.333584662558),447,80,,,,,,,18308 W SH 71,0
POINT (-97.712612615198 30.229289488813),97,453,,,,,,,5401 E RIVERSIDE DR,75
POINT (-97.69934129548 30.288062535059),178,15,,,,,,,3507 MANOR RD,0
POINT (-97.687579920726 30.181730875211),421,184,,,,,,,4805 S US 183 HWY NB,150
