Business Name,Zip Code,License Number,License Type,City
MISSOURI EAGLE LLC,648019781,170916,LWS,JOPLIN
MISSOURI EAGLE LLC,647720000,196740,LWS,NEVADA
MISSOURI RIDGE DISTILLERY LLC,656160000,238880,LWS,BRANSON
MISSOURI SPIRITS HOUSE LLC,65806,269808,LWS,SPRINGFIELD
MISSOURI STATE UNIVERSITY-MOUNTAIN GROVE,657112999,182293,LWS,MOUNTAIN GROVE
"MODERN BREWERY INC., THE",631100000,233796,22WS,ST. LOUIS COUNTY
"MOON CITY BEVERAGE COMPANY, LLC",658107510,259733,LWS,SPRINGFIELD
MOONSHINERS DISTILLERY LLC,647237460,261570,LWS,AMSTERDAM
MORTENSEN NAATZ ENTERPRISES LLC,644840000,248479,22WS,RUSHVILLE
MPW INC.,633321652,150340,22WS,AUGUSTA
MULLALLY DISTRIBUTING COMPANY INC.,654530565,152816,22WS,CUBA
"MYRTLE'S DISTILLED SPIRITS, LLC",648502008,261713,LWS,NEOSHO
N.H. SCHEPPERS DIST. CO.,652015553,154685,LWS,COLUMBIA
N.H. SCHEPPERS DISTRIBUTING COMPANY,651091145,264845,LWS,JEFFERSON CITY
NAUSER BEVERAGE COMPANY,652029363,164840,LWS,COLUMBIA
NOBLETONS LLC,63013,256651,LWS,BEAUFORT
NOBOLEIS VINEYARDS LLC,633321333,181550,22WS,AUGUSTA
"NORTH KANSAS CITY BEVERAGE CO., INC.",641164136,265522,LWS,NORTH KANSAS CITY
O'MALLEY BEVERAGE INC.,645063663,269040,22WS,ST. JOSEPH
OAKGLENN WINERY LLC,650410096,201398,22WS,HERMANN
OF THE EARTH FARM DISTILLERY LLC,64085,210591,LWS,RICHMOND
OLD OZARKIAN DISTILLERY LLC,63084,262812,LWS,UNION
OLEA ESTATES LLC,630432417,266859,22WS,MARYLAND HEIGHTS
OTT ENTERPRISES LLC,631432116,195419,LWS,MAPLEWOOD
OZARK DISTILLERY LLC,650654815,212765,LWS,OSAGE BEACH
OZARK MOUNTAIN DISTILLING LLC,657348708,241920,LWS,PURDY
PEACEFUL BEND VINEYARD LLC,65565,253152,22WS,STEELVILLE
"PECULIAR WINERY LLC, THE",64078,269765,22WS,PECULIAR
PHANTOM V DISTILLING COMPANY LLC,64093,254615,LWS,WARRENSBURG
PINNACLE IMPORTS LLC,631146124,178444,LWS,OVERLAND
