the_geom,Proj_Name,SIP_YR,DateComplt,SIP_Proj_T,Shape_Leng
"MULTILINESTRING ((-73.87041916849695 40.86536282192997, -73.8691260626905 40.86539361716438, -73.86836897894088 40.865407984169295, -73.86736051109608 40.86542917948638, -73.86634232736627 40.865449472255776, -73.86585922934421 40.86546023981677, -73.8654001401661 40.865470474159935, -73.86446101778218 40.86548896050397, -73.86351971241702 40.865507977817735, -73.86237157759683 40.86553099035465, -73.8615627405387 40.86554946345808, -73.8605510091723 40.86552969597861, -73.85961281342662 40.86551271869464, -73.85867298172113 40.865494956455784, -73.8577329846745 40.865477638403554, -73.8567926342918 40.86545992414306, -73.85578042789712 40.86544056358567, -73.8547685521834 40.86542321166298, -73.85382798916092 40.86540524784956, -73.85289096010197 40.86538786619291, -73.851955317555 40.86537127924127, -73.8510158462418 40.865348468174695, -73.85034892715457 40.8653375646669, -73.8500205614421 40.86533325901004, -73.84987179235216 40.86532313943606, -73.8495249262063 40.86532197712259, -73.84921051701372 40.865319224497604, -73.84910203298185 40.86531827313604, -73.84859953802886 40.865308736059845, -73.84812402720112 40.86529970057101, -73.84718546911937 40.865283081006055, -73.84624728200687 40.86526524674257, -73.84530527507556 40.86524778784048, -73.84436539311835 40.86522978471954, -73.84335439085162 40.86521125328134, -73.84168631259502 40.86517961167392, -73.84074696518883 40.865162065174026, -73.83980305100542 40.865144746917984, -73.83886384832155 40.8651266098736, -73.83792673070802 40.86510972789909, -73.83698863697451 40.86509444881253, -73.83659199033443 40.865087988652554, -73.8365019297578 40.86501871238168, -73.83610884803397 40.8650107977167, -73.83582250710495 40.86503033652228))",Allerton Avenue,2009,08/17/2009 12:00:00 AM +0000,-,9583.2331331
"MULTILINESTRING ((-73.99185847187375 40.70980775354043, -73.99201912999862 40.71059030876039, -73.99208823917715 40.71090341214209, -73.99232017125328 40.71176433414766, -73.99240212675136 40.712462370431446, -73.99250061461116 40.713179579540125, -73.99258219665134 40.71375671300537, -73.99272266389856 40.71384440467493, -73.99282173463267 40.71436523010845, -73.99270089444626 40.71465181894504, -73.99249062516569 40.71508034028257, -73.99190572913157 40.71620302080277, -73.9913041539009 40.71738168163564, -73.99084515012731 40.71830857699948, -73.99040724108059 40.71912093633422, -73.9903635438913 40.719204815175445, -73.99032312626046 40.719280364559076, -73.98972000093538 40.72047858457818, -73.98913063624988 40.72164489659353, -73.98868689960699 40.72285731868805, -73.98864255991776 40.72293373154848))",Allen & Pike Streets,2009,10/31/2009 12:00:00 AM +0000,-,5028.04488428
"MULTILINESTRING ((-73.95772236367267 40.724271376513, -73.95778346738666 40.72398508289437, -73.95815222292823 40.723640258489645, -73.95874941582872 40.72308430137131, -73.95934652439718 40.722533835095945, -73.95993661924557 40.72197821143086, -73.96053213510922 40.721425720335176, -73.96112689540787 40.720873279896956, -73.96171980019555 40.72031956511235, -73.96231109498744 40.71976996293992, -73.96289720362756 40.71922799324651, -73.96349217652576 40.718669570126835, -73.96413500001542 40.71807037471106, -73.96472636195496 40.71751981446646, -73.9652623210463 40.717023165996316, -73.96609959113906 40.71620611253054, -73.96641673216331 40.71553030047145, -73.96677494634712 40.71473381293572, -73.9671360679645 40.7139254473, -73.96741587399922 40.713299212743976, -73.96773081087795 40.71259534528083, -73.96782439936365 40.712395043870444, -73.9678483069858 40.71234387452722, -73.96787697595624 40.71228199943515, -73.9679051237554 40.71221851227594, -73.96792841709345 40.71216479429833, -73.96803271008064 40.71192417982323, -73.9685243187205 40.71082023500243, -73.96852386762124 40.710046317781114, -73.9684863774169 40.70919577486579, -73.9684228957133 40.70775535385625, -73.96838933831683 40.706829186789655, -73.96795139209249 40.70573121620364, -73.96761547864259 40.704961635088544, -73.96720962095559 40.70425570818932))",Kent Avenue,2009,12/31/2009 12:00:00 AM +0000,-,8282.11883173
"MULTILINESTRING ((-74.019704915078 40.622184964441374, -74.0199989255085 40.62145136784017, -74.02029622798405 40.62072189423203, -74.02059484689492 40.61999021328738, -74.02089938129578 40.619262654819, -74.02121548218999 40.61847198486868, -74.02148613745555 40.617866253414775, -74.02162224029775 40.617499688955995, -74.02216080858501 40.616169148891686, -74.02278996856599 40.61459586086875))",7th Avenue,2009,08/27/2009 12:00:00 AM +0000,-,2894.67910012
"MULTILINESTRING ((-73.98521063891316 40.578937142808435, -73.98627520980995 40.578823429762515, -73.98583251585926 40.576509695255545), (-73.98521063891316 40.578937142808435, -73.98477359031943 40.57662632266577), (-73.9841492646602 40.579052709614515, -73.98521063891316 40.578937142808435), (-73.9856534304553 40.580661206245686, -73.98534222529183 40.57903048908704, -73.98521063891316 40.578937142808435))",Neptune Ave at Cropsey Ave,2009,09/02/2009 12:00:00 AM +0000,Traffic Network Changes - Pedestrian Safety,2949.19923404
"MULTILINESTRING ((-73.99865586635747 40.597268561879275, -73.99931921498931 40.596640750424854))",Bay Parkway & Cropsey Ave,2009,09/18/2009 12:00:00 AM +0000,-,293.688103512
"MULTILINESTRING ((-73.95892527282302 40.65121154987054, -73.95870789921476 40.650387273356415, -73.95825517239065 40.64853244874124))",Flatbush Ave at Church Ave,2009,09/25/2009 12:00:00 AM +0000,Pedestrian Safety - School Safety,993.646193847
"MULTILINESTRING ((-73.91540599936305 40.75011107491844, -73.91509077625061 40.750159002962, -73.91477162633564 40.750193850083946, -73.91444995919737 40.75021537686343, -73.91412721982417 40.75022344027565, -73.91380486485502 40.750218048605504, -73.91348435079634 40.750199311911366))",Barnett Avenue,2009,09/30/2009 12:00:00 AM +0000,Traffic Network Changes - Pedestrian Safety,535.746579325
"MULTILINESTRING ((-73.94267996773807 40.71472818177221, -73.94256971441077 40.71484959759133, -73.94216076916554 40.715063047985566), (-73.94216076916554 40.715063047985566, -73.94206584831112 40.71472886582457), (-73.94216076916554 40.715063047985566, -73.94122766408309 40.715519133320406), (-73.9421624678195 40.71545133995611, -73.94216076916554 40.715063047985566))",Metropolitan/Bushwick Aves,2009,10/31/2009 12:00:00 AM +0000,-,764.720635368
"MULTILINESTRING ((-73.97168757933129 40.65092587425975, -73.9713587708509 40.65116612294732, -73.97179872824515 40.65126977316285), (-73.97168757933129 40.65092587425975, -73.9716793671351 40.650997391335245, -73.97168666669369 40.651070434103815, -73.9717098221887 40.651142057954985, -73.97174786419846 40.65120933595939, -73.97179872824515 40.65126977316285), (-73.97179872824515 40.65126977316285, -73.97194426944974 40.65136935195465), (-73.97194426944974 40.65136935195465, -73.97213356847865 40.651413343225975, -73.97232846365773 40.65139792839782, -73.97251721383287 40.651314153493296, -73.9726558196244 40.65117357073244, -73.97267416364146 40.650983429931294, -73.97252930267773 40.65075307997321, -73.97241344641951 40.650697791986595, -73.97226674095296 40.650664646477125, -73.9721097852755 40.65066414295501, -73.97199001443198 40.650694191132736, -73.97187605434974 40.650736280525535, -73.97177092160243 40.6507893132597, -73.97173480023501 40.65081621185067, -73.97170732011351 40.650849830416725, -73.97169129635672 40.65088750412507, -73.97168757933129 40.65092587425975), (-73.97194426944974 40.65136935195465, -73.97184560632884 40.65152714352253, -73.9717655051281 40.65163062935707, -73.97166534053106 40.65172776154597, -73.97154654808213 40.65181526250894, -73.97141178579598 40.65189017915231, -73.97126469756888 40.65195017098554, -73.97110965768704 40.65199373519647, -73.97095130490175 40.65202034161961, -73.97079412858423 40.65203042362986, -73.97064209041696 40.65202521595212, -73.97181585886473 40.65253320323603, -73.97202942366116 40.653027954540214, -73.9721339006812 40.65370353891488, -73.97200273352298 40.653966638179256, -73.97183341752087 40.6541258172778, -73.972125600525 40.65520560844739))",Park Circle,2009,12/11/2009 12:00:00 AM +0000,New Public Space - Pedestrian Safety,2982.26748855
"MULTILINESTRING ((-73.98830047361962 40.689869425356534, -73.98615534287006 40.689017977081676, -73.98398777598685 40.6881746442552, -73.98181677450692 40.68732980212471, -73.9798113381977 40.686645635758154, -73.97974418732085 40.68654117338114, -73.97909065887089 40.68629386549004))",Schermerhorn Street,2009,10/14/2009 12:00:00 AM +0000,New Public Space - Pedestrian Safety,2876.47838145
