Reporting Area,MMWR Year,MMWR Week,"Hemolytic uremic snydrome post-diarrheal, Current week","Hemolytic uremic snydrome post-diarrheal, Current week, flag","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2020†","Hemolytic uremic snydrome post-diarrheal, Cum 2020†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2019†","Hemolytic uremic snydrome post-diarrheal, Cum 2019†, flag","Hepatitis A, acute, Current week","Hepatitis A, acute, Current week, flag","Hepatitis A, acute, Previous 52 weeks Max†","Hepatitis A, acute, Previous 52 weeks Max†, flag","Hepatitis A, acute, Cum 2020†","Hepatitis A, acute, Cum 2020†, flag","Hepatitis A, acute, Cum 2019†","Hepatitis A, acute, Cum 2019†, flag","Hepatitis B, acute, Current week","Hepatitis B, acute, Current week, flag","Hepatitis B, acute, Previous 52 weeks Max†","Hepatitis B, acute, Previous 52 weeks Max†, flag","Hepatitis B, acute, Cum 2020†","Hepatitis B, acute, Cum 2020†, flag","Hepatitis B, acute, Cum 2019†","Hepatitis B, acute, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
CONNECTICUT,2020,2,,-,1,,,-,,-,,-,3,,1,,1,,,-,2,,,-,2,,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
MAINE,2020,2,,-,1,,,-,,-,1,,6,,2,,1,,1,,4,,1,,2,,MAINE,,20200204,POINT (-69.06137 45.117911)
MASSACHUSETTS,2020,2,,-,0,,,-,,-,,-,20,,,-,28,,,-,2,,1,,3,,MASSACHUSETTS,,20200205,POINT (-71.481104 42.151077)
NEW HAMPSHIRE,2020,2,,-,1,,,-,,-,1,,14,,1,,4,,,-,1,,,-,,-,NEW HAMPSHIRE,,20200206,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,,U,,NC,,U,,U,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
VERMONT,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,1,,VERMONT,,20200208,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2020,2,,-,4,,,-,,-,3,,75,,15,,16,,6,,10,,8,,5,,,MIDDLE ATLANTIC,20200209,
NEW JERSEY,2020,2,,-,0,,,-,,-,,-,23,,,-,5,,,-,5,,,-,1,,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW YORK,2020,2,,-,2,,,-,,-,,-,14,,,-,2,,,-,4,,,-,1,,NEW YORK,,20200211,POINT (-75.59655 42.921241)
NEW YORK CITY,2020,2,,-,1,,,-,,-,1,,5,,4,,2,,4,,3,,5,,1,,,NEW YORK CITY,20200212,
PENNSYLVANIA,2020,2,,-,4,,,-,,-,2,,43,,11,,7,,2,,5,,3,,2,,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,2,,-,4,,,-,,-,,-,144,,7,,262,,4,,31,,5,,12,,,EAST NORTH CENTRAL,20200214,
ILLINOIS,2020,2,,-,1,,,-,,-,,-,10,,,-,12,,,-,3,,,-,,-,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
INDIANA,2020,2,,-,0,,,-,,-,,-,69,,1,,69,,,-,5,,,-,3,,INDIANA,,20200216,POINT (-86.2818 39.919991)
PACIFIC,2020,5,,-,3,,,-,2,,1,,27,,75,,22,,1,,5,,7,,14,,,PACIFIC,20200557,
WEST SOUTH CENTRAL,2020,5,1,,7,,1,,,-,4,,44,,22,,44,,3,,10,,6,,9,,,WEST SOUTH CENTRAL,20200543,
ALASKA,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20200558,POINT (-151.631889 63.631126)
