Reporting Area,MMWR Year,MMWR Week,"Hemolytic uremic snydrome post-diarrheal, Current week","Hemolytic uremic snydrome post-diarrheal, Current week, flag","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2020†","Hemolytic uremic snydrome post-diarrheal, Cum 2020†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2019†","Hemolytic uremic snydrome post-diarrheal, Cum 2019†, flag","Hepatitis A, acute, Current week","Hepatitis A, acute, Current week, flag","Hepatitis A, acute, Previous 52 weeks Max†","Hepatitis A, acute, Previous 52 weeks Max†, flag","Hepatitis A, acute, Cum 2020†","Hepatitis A, acute, Cum 2020†, flag","Hepatitis A, acute, Cum 2019†","Hepatitis A, acute, Cum 2019†, flag","Hepatitis B, acute, Current week","Hepatitis B, acute, Current week, flag","Hepatitis B, acute, Previous 52 weeks Max†","Hepatitis B, acute, Previous 52 weeks Max†, flag","Hepatitis B, acute, Cum 2020†","Hepatitis B, acute, Cum 2020†, flag","Hepatitis B, acute, Cum 2019†","Hepatitis B, acute, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
WISCONSIN,2020,16,,-,2,,,-,,-,,-,6,,2,,4,,,-,2,,1,,4,,WISCONSIN,,20201619,POINT (-89.732969 44.639954)
IDAHO,2020,16,,-,1,,,-,,-,,-,8,,3,,15,,,-,1,,,-,3,,IDAHO,,20201651,POINT (-114.659366 44.389073)
MICHIGAN,2020,16,,-,2,,,-,1,,,-,4,,7,,28,,,-,4,,9,,17,,MICHIGAN,,20201617,POINT (-85.730977 44.874798)
GEORGIA,2020,16,,-,2,,1,,,-,4,,30,,158,,216,,,-,5,,11,,40,,GEORGIA,,20201632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,16,,-,1,,,-,,-,1,,5,,17,,31,,,-,4,,13,,9,,,NEW YORK CITY,20201612,
ARKANSAS,2020,16,,-,2,,1,,1,,,-,9,,49,,81,,1,,5,,16,,11,,ARKANSAS,,20201644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,16,,-,0,,,-,,-,,-,9,,84,,7,,,-,4,,14,,10,,MISSISSIPPI,,20201641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,16,,-,2,,,-,,-,,-,1,,1,,3,,,-,1,,,-,1,,SOUTH DAKOTA,,20201627,POINT (-100.230491 44.43614)
WYOMING,2020,16,,-,0,,,-,,-,,-,3,,1,,2,,,-,0,,,-,3,,WYOMING,,20201656,POINT (-107.55145 42.999627)
MISSOURI,2020,16,,-,2,,,-,1,,,-,16,,75,,46,,,-,2,,2,,12,,MISSOURI,,20201624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,16,,-,4,,1,,1,,4,,75,,187,,295,,1,,10,,34,,69,,,MIDDLE ATLANTIC,20201609,
CALIFORNIA,2020,16,,-,3,,1,,4,,,-,15,,83,,73,,,-,5,,11,,33,,CALIFORNIA,,20201659,POINT (-119.662127 37.211164)
MASSACHUSETTS,2020,4,,-,0,,,-,,-,,-,13,,3,,43,,,-,2,,3,,6,,MASSACHUSETTS,,20200405,POINT (-71.481104 42.151077)
MIDDLE ATLANTIC,2020,4,,-,4,,,-,,-,10,,75,,38,,36,,1,,10,,12,,9,,,MIDDLE ATLANTIC,20200409,
INDIANA,2020,4,,-,0,,,-,,-,,-,70,,6,,135,,,-,8,,,-,7,,INDIANA,,20200416,POINT (-86.2818 39.919991)
WEST NORTH CENTRAL,2020,4,,-,4,,1,,,-,,-,21,,22,,22,,,-,5,,,-,8,,,WEST NORTH CENTRAL,20200420,
MISSOURI,2020,4,,-,2,,,-,,-,,-,15,,21,,11,,,-,4,,,-,2,,MISSOURI,,20200424,POINT (-92.477244 38.3675)
SOUTH DAKOTA,2020,4,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,SOUTH DAKOTA,,20200427,POINT (-100.230491 44.43614)
FLORIDA,2020,4,,-,1,,,-,1,,,-,99,,,-,162,,,-,23,,,-,37,,FLORIDA,,20200431,POINT (-82.420978 28.260731)
WEST VIRGINIA,2020,4,,-,1,,,-,,-,,-,24,,,-,106,,,-,5,,,-,7,,WEST VIRGINIA,,20200437,POINT (-80.613729 38.642579)
MISSISSIPPI,2020,4,,-,0,,,-,,-,,-,9,,20,,2,,,-,4,,,-,4,,MISSISSIPPI,,20200441,POINT (-89.65344 32.713378)
ARKANSAS,2020,4,,-,2,,,-,,-,2,,9,,5,,13,,,-,3,,,-,,-,ARKANSAS,,20200444,POINT (-92.439162 34.899825)
MOUNTAIN,2020,4,,-,3,,,-,1,,2,,46,,12,,80,,1,,6,,4,,13,,,MOUNTAIN,20200448,
MONTANA,2020,4,,-,0,,,-,,-,,-,3,,,-,,-,,-,1,,,-,,-,MONTANA,,20200452,POINT (-109.645127 47.033521)
WYOMING,2020,4,,-,0,,,-,,-,,-,3,,,-,1,,,-,2,,,-,,-,WYOMING,,20200456,POINT (-107.55145 42.999627)
CALIFORNIA,2020,4,1,,9,,4,,2,,,-,12,,27,,17,,,-,4,,,-,6,,CALIFORNIA,,20200459,POINT (-119.662127 37.211164)
US TERRITORIES,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200463,
NON-US RESIDENTS,2020,4,,-,0,,,-,,-,,-,3,,1,,10,,,-,0,,,-,,-,,NON-US RESIDENTS,20200469,
TOTAL,2020,5,1,,13,,2,,8,,62,,468,,546,,1851,,15,,100,,103,,278,,,TOTAL,20200570,
US RESIDENTS,2020,5,1,,13,,2,,8,,62,,468,,545,,1839,,15,,100,,103,,278,,,US RESIDENTS,20200501,
NEW HAMPSHIRE,2020,5,,-,1,,,-,,-,,-,14,,3,,15,,,-,1,,,-,,-,NEW HAMPSHIRE,,20200506,POINT (-71.57139 43.680429)
NEW YORK,2020,5,,-,2,,,-,,-,9,,14,,22,,8,,1,,4,,1,,5,,NEW YORK,,20200511,POINT (-75.59655 42.921241)
NEBRASKA,2020,5,,-,1,,,-,,-,,-,3,,1,,,-,,-,1,,,-,,-,NEBRASKA,,20200525,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,5,,-,3,,,-,2,,11,,147,,135,,524,,7,,20,,39,,57,,,EAST SOUTH CENTRAL,20200538,
NORTH DAKOTA,2020,5,,-,1,,,-,,-,,-,1,,,-,1,,,-,1,,1,,,-,NORTH DAKOTA,,20200526,POINT (-100.46931 47.446305)
NEVADA,2020,5,,-,0,,,-,,-,,-,7,,,-,6,,,-,3,,,-,2,,NEVADA,,20200553,POINT (-114.916992 39.283294)
ILLINOIS,2020,5,,-,1,,,-,1,,,-,8,,5,,26,,,-,3,,1,,1,,ILLINOIS,,20200515,POINT (-89.148632 40.124144)
IOWA,2020,5,,-,2,,,-,,-,,-,2,,1,,1,,,-,3,,,-,3,,IOWA,,20200521,POINT (-93.500061 42.074659)
TEXAS,2020,5,1,,2,,1,,,-,2,,9,,10,,1,,1,,6,,2,,2,,TEXAS,,20200547,POINT (-99.317341 31.447238)
PACIFIC,2020,6,,-,3,,,-,2,,1,,29,,96,,31,,1,,6,,9,,22,,,PACIFIC,20200657,
TENNESSEE,2020,5,,-,2,,,-,1,,6,,83,,61,,160,,3,,10,,17,,24,,TENNESSEE,,20200542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,5,,-,1,,,-,,-,,-,3,,2,,5,,,-,0,,,-,3,,CONNECTICUT,,20200503,POINT (-72.738288 41.575155)
MARYLAND,2020,5,,-,1,,,-,,-,3,,7,,21,,8,,,-,3,,5,,,-,MARYLAND,,20200533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,5,,-,0,,,-,,-,3,,31,,37,,11,,,-,4,,,-,5,,SOUTH CAROLINA,,20200535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,5,,-,3,,,-,,-,,-,5,,,-,,-,,-,5,,,-,,-,OKLAHOMA,,20200546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200565,POINT (145.725693 15.1834)
OHIO,2020,5,,-,1,,,-,,-,10,,80,,35,,380,,1,,29,,15,,24,,OHIO,,20200518,POINT (-82.70936 40.415534)
MINNESOTA,2020,5,,-,0,,,-,,-,,-,5,,,-,8,,,-,1,,,-,2,,MINNESOTA,,20200523,POINT (-94.198308 46.349153)
LOUISIANA,2020,5,,-,1,,,-,,-,,-,39,,3,,22,,,-,4,,2,,6,,LOUISIANA,,20200545,POINT (-91.840238 30.921314)
HAWAII,2020,5,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,1,,,-,HAWAII,,20200560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,5,,-,3,,,-,2,,18,,150,,150,,410,,,-,37,,11,,94,,,SOUTH ATLANTIC,20200528,
PENNSYLVANIA,2020,5,,-,4,,1,,,-,2,,43,,25,,17,,,-,5,,4,,4,,PENNSYLVANIA,,20200513,POINT (-77.838886 40.896694)
UTAH,2020,5,,-,2,,,-,1,,,-,4,,,-,1,,,-,3,,,-,5,,UTAH,,20200555,POINT (-111.678222 39.323779)
COLORADO,2020,5,,-,3,,,-,,-,,-,18,,8,,11,,,-,1,,,-,3,,COLORADO,,20200550,POINT (-105.547832 38.998552)
VERMONT,2020,5,,-,0,,,-,,-,,-,1,,,-,1,,,-,1,,,-,1,,VERMONT,,20200508,POINT (-72.662695 44.075252)
KENTUCKY,2020,5,,-,2,,,-,,-,3,,101,,7,,351,,4,,11,,17,,20,,KENTUCKY,,20200540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,5,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200567,POINT (-66.414655 18.215692)
MAINE,2020,5,,-,1,,,-,,-,,-,6,,5,,2,,2,,4,,4,,4,,MAINE,,20200504,POINT (-69.06137 45.117911)
VIRGINIA,2020,5,,-,2,,,-,,-,5,,15,,21,,10,,,-,5,,1,,1,,VIRGINIA,,20200536,POINT (-78.666382 37.510861)
ARIZONA,2020,5,,-,2,,,-,,-,2,,30,,7,,58,,,-,2,,4,,5,,ARIZONA,,20200549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,5,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200564,
WISCONSIN,2020,5,,-,2,,,-,,-,,-,4,,,-,,-,,-,2,,,-,2,,WISCONSIN,,20200519,POINT (-89.732969 44.639954)
IDAHO,2020,5,,-,1,,,-,,-,,-,8,,,-,2,,,-,1,,,-,,-,IDAHO,,20200551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200568,POINT (-64.840836 18.060868)
MICHIGAN,2020,5,,-,2,,,-,,-,,-,4,,,-,11,,,-,3,,,-,7,,MICHIGAN,,20200517,POINT (-85.730977 44.874798)
GEORGIA,2020,5,,-,1,,,-,,-,7,,30,,58,,34,,,-,5,,2,,14,,GEORGIA,,20200532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,5,,-,1,,,-,,-,3,,5,,10,,7,,,-,4,,7,,2,,,NEW YORK CITY,20200512,
ARKANSAS,2020,5,,-,2,,,-,,-,2,,9,,9,,21,,2,,3,,2,,1,,ARKANSAS,,20200544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,5,,-,0,,,-,,-,,-,9,,27,,2,,,-,4,,3,,6,,MISSISSIPPI,,20200541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,5,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,SOUTH DAKOTA,,20200527,POINT (-100.230491 44.43614)
WYOMING,2020,5,,-,0,,,-,,-,,-,3,,,-,1,,,-,2,,,-,,-,WYOMING,,20200556,POINT (-107.55145 42.999627)
MISSOURI,2020,5,,-,2,,,-,,-,,-,15,,21,,12,,,-,4,,,-,3,,MISSOURI,,20200524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,5,,-,4,,1,,,-,15,,75,,58,,52,,1,,10,,12,,17,,,MIDDLE ATLANTIC,20200509,
CALIFORNIA,2020,5,,-,3,,,-,1,,,-,13,,32,,19,,,-,4,,3,,8,,CALIFORNIA,,20200559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,5,,-,1,,,-,,-,,-,21,,,-,125,,,-,3,,,-,8,,WEST VIRGINIA,,20200537,POINT (-80.613729 38.642579)
FLORIDA,2020,5,,-,1,,,-,1,,,-,99,,,-,210,,,-,23,,,-,43,,FLORIDA,,20200531,POINT (-82.420978 28.260731)
MONTANA,2020,5,,-,0,,,-,,-,,-,4,,,-,,-,,-,1,,,-,,-,MONTANA,,20200552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,5,,-,4,,,-,,-,,-,21,,23,,23,,,-,5,,1,,11,,,WEST NORTH CENTRAL,20200520,
MASSACHUSETTS,2020,5,,-,0,,,-,,-,1,,13,,4,,51,,,-,2,,3,,8,,MASSACHUSETTS,,20200505,POINT (-71.481104 42.151077)
MOUNTAIN,2020,5,,-,3,,,-,1,,2,,46,,15,,98,,,-,6,,4,,16,,,MOUNTAIN,20200548,
INDIANA,2020,5,,-,0,,,-,,-,,-,71,,13,,174,,,-,9,,,-,10,,INDIANA,,20200516,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,5,,-,0,,,-,,-,,-,3,,1,,12,,,-,0,,,-,,-,,NON-US RESIDENTS,20200569,
US TERRITORIES,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200563,
TOTAL,2020,6,1,,13,,4,,8,,50,,468,,674,,2208,,4,,101,,116,,343,,,TOTAL,20200670,
US RESIDENTS,2020,6,1,,13,,4,,8,,50,,468,,674,,2197,,4,,101,,116,,343,,,US RESIDENTS,20200601,
NEW HAMPSHIRE,2020,6,,-,1,,,-,,-,1,,14,,7,,18,,,-,1,,,-,,-,NEW HAMPSHIRE,,20200606,POINT (-71.57139 43.680429)
NEW YORK,2020,6,,-,2,,,-,,-,4,,14,,24,,9,,1,,4,,2,,7,,NEW YORK,,20200611,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,6,,-,7,,1,,,-,2,,44,,27,,59,,,-,10,,6,,12,,,WEST SOUTH CENTRAL,20200643,
NEBRASKA,2020,6,,-,1,,,-,,-,,-,3,,1,,,-,,-,1,,,-,,-,NEBRASKA,,20200625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,6,,-,3,,1,,2,,3,,147,,147,,646,,1,,20,,41,,69,,,EAST SOUTH CENTRAL,20200638,
NORTH DAKOTA,2020,6,,-,1,,,-,,-,,-,1,,,-,1,,,-,1,,1,,,-,NORTH DAKOTA,,20200626,POINT (-100.46931 47.446305)
NEVADA,2020,6,,-,0,,,-,,-,,-,7,,,-,8,,,-,3,,,-,2,,NEVADA,,20200653,POINT (-114.916992 39.283294)
ILLINOIS,2020,6,,-,1,,,-,1,,,-,8,,5,,28,,,-,3,,1,,1,,ILLINOIS,,20200615,POINT (-89.148632 40.124144)
IOWA,2020,6,,-,2,,,-,,-,,-,2,,2,,1,,,-,3,,,-,4,,IOWA,,20200621,POINT (-93.500061 42.074659)
TEXAS,2020,6,,-,2,,1,,,-,,-,9,,10,,2,,,-,6,,2,,3,,TEXAS,,20200647,POINT (-99.317341 31.447238)
ALASKA,2020,6,,-,1,,,-,,-,,-,1,,,-,,-,,-,2,,1,,4,,ALASKA,,20200658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,6,,-,0,,,-,,-,,-,1,,,-,1,,,U,,NC,,U,,U,DISTRICT OF COLUMBIA,,20200630,POINT (-77.016275 38.904785)
WASHINGTON,2020,6,,N,,NC,,N,,N,1,,15,,49,,5,,,-,3,,2,,4,,WASHINGTON,,20200662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,6,,-,1,,,-,,-,3,,19,,23,,92,,,-,5,,7,,19,,,NEW ENGLAND,20200602,
RHODE ISLAND,2020,6,,-,0,,,-,,-,,-,1,,,-,2,,,U,,NC,,U,,U,RHODE ISLAND,,20200607,POINT (-71.534637 41.572574)
OREGON,2020,6,,-,2,,,-,1,,,-,2,,3,,1,,1,,2,,2,,2,,OREGON,,20200661,POINT (-120.605279 43.940449)
DELAWARE,2020,6,,-,0,,,-,,-,,-,4,,3,,,-,,-,2,,,-,1,,DELAWARE,,20200629,POINT (-75.452394 38.994926)
ALABAMA,2020,6,,-,2,,,-,1,,,-,14,,45,,16,,,-,4,,2,,9,,ALABAMA,,20200639,POINT (-86.844516 32.756889)
KANSAS,2020,6,,-,1,,,-,,-,,-,2,,,-,1,,,-,2,,,-,3,,KANSAS,,20200622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,6,,-,1,,,-,1,,,-,10,,19,,13,,,-,11,,5,,25,,NORTH CAROLINA,,20200634,POINT (-79.130883 35.52603)
GUAM,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200666,POINT (144.653198 13.3532)
NEW JERSEY,2020,6,,-,0,,,-,,-,,-,23,,6,,27,,,-,5,,,-,7,,NEW JERSEY,,20200610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,6,,-,1,,,-,,-,,-,8,,1,,24,,,-,1,,,-,1,,NEW MEXICO,,20200654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,6,,-,4,,,-,1,,13,,145,,79,,671,,,-,41,,18,,55,,,EAST NORTH CENTRAL,20200614,
TENNESSEE,2020,6,,-,2,,1,,1,,3,,83,,62,,187,,,-,9,,16,,30,,TENNESSEE,,20200642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,6,,-,1,,,-,,-,1,,3,,3,,5,,,-,0,,,-,3,,CONNECTICUT,,20200603,POINT (-72.738288 41.575155)
MARYLAND,2020,6,,-,1,,,-,,-,4,,7,,26,,10,,,-,3,,5,,,-,MARYLAND,,20200633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,6,,-,0,,,-,,-,,-,31,,36,,12,,,-,4,,2,,5,,SOUTH CAROLINA,,20200635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,6,,-,3,,,-,,-,,-,5,,,-,,-,,-,5,,,-,,-,OKLAHOMA,,20200646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200665,POINT (145.725693 15.1834)
OHIO,2020,6,,-,1,,,-,,-,13,,80,,48,,433,,,-,29,,17,,28,,OHIO,,20200618,POINT (-82.70936 40.415534)
MINNESOTA,2020,6,,-,0,,,-,,-,,-,5,,,-,8,,,-,1,,,-,2,,MINNESOTA,,20200623,POINT (-94.198308 46.349153)
LOUISIANA,2020,6,,-,1,,,-,,-,,-,39,,3,,29,,,-,4,,2,,8,,LOUISIANA,,20200645,POINT (-91.840238 30.921314)
HAWAII,2020,6,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,1,,,-,HAWAII,,20200660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,6,,-,3,,,-,2,,11,,150,,175,,485,,1,,37,,17,,108,,,SOUTH ATLANTIC,20200628,
PENNSYLVANIA,2020,6,,-,4,,1,,,-,2,,43,,30,,21,,,-,5,,4,,6,,PENNSYLVANIA,,20200613,POINT (-77.838886 40.896694)
UTAH,2020,6,,-,2,,,-,1,,,-,4,,,-,1,,,-,3,,,-,5,,UTAH,,20200655,POINT (-111.678222 39.323779)
COLORADO,2020,6,,-,3,,,-,,-,,-,18,,11,,11,,,-,1,,,-,4,,COLORADO,,20200650,POINT (-105.547832 38.998552)
VERMONT,2020,6,,-,0,,,-,,-,,-,1,,,-,1,,,-,1,,,-,1,,VERMONT,,20200608,POINT (-72.662695 44.075252)
KENTUCKY,2020,6,,-,2,,,-,,-,,-,101,,7,,441,,1,,11,,19,,24,,KENTUCKY,,20200640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,6,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200667,POINT (-66.414655 18.215692)
MAINE,2020,6,,-,1,,,-,,-,1,,6,,6,,2,,,-,4,,4,,7,,MAINE,,20200604,POINT (-69.06137 45.117911)
VIRGINIA,2020,6,,-,2,,,-,,-,3,,15,,22,,11,,1,,4,,3,,1,,VIRGINIA,,20200636,POINT (-78.666382 37.510861)
ARIZONA,2020,6,1,,2,,1,,,-,6,,30,,13,,75,,,-,2,,4,,5,,ARIZONA,,20200649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,6,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200664,
WISCONSIN,2020,6,,-,2,,,-,,-,,-,4,,,-,,-,,-,2,,,-,2,,WISCONSIN,,20200619,POINT (-89.732969 44.639954)
IDAHO,2020,6,,-,1,,,-,,-,,-,8,,,-,3,,,-,1,,,-,1,,IDAHO,,20200651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200668,POINT (-64.840836 18.060868)
MICHIGAN,2020,6,,-,2,,,-,,-,,-,4,,1,,12,,,-,3,,,-,8,,MICHIGAN,,20200617,POINT (-85.730977 44.874798)
GEORGIA,2020,6,,-,1,,,-,,-,4,,30,,69,,46,,,-,5,,2,,15,,GEORGIA,,20200632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,6,,-,1,,,-,,-,,-,5,,10,,7,,,-,4,,7,,5,,,NEW YORK CITY,20200612,
ARKANSAS,2020,6,,-,2,,,-,,-,2,,9,,14,,28,,,-,3,,2,,1,,ARKANSAS,,20200644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,6,,-,0,,,-,,-,,-,9,,33,,2,,,-,4,,4,,6,,MISSISSIPPI,,20200641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,6,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,1,,SOUTH DAKOTA,,20200627,POINT (-100.230491 44.43614)
WYOMING,2020,6,,-,0,,,-,,-,,-,3,,,-,1,,,-,2,,,-,2,,WYOMING,,20200656,POINT (-107.55145 42.999627)
MISSOURI,2020,6,,-,2,,,-,,-,5,,16,,29,,15,,,-,4,,,-,3,,MISSOURI,,20200624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,6,,-,4,,1,,,-,6,,76,,70,,64,,1,,11,,13,,25,,,MIDDLE ATLANTIC,20200609,
CALIFORNIA,2020,6,,-,3,,,-,1,,,-,14,,44,,25,,,-,4,,3,,12,,CALIFORNIA,,20200659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,6,,-,1,,,-,,-,,-,21,,,-,143,,,-,3,,,-,8,,WEST VIRGINIA,,20200637,POINT (-80.613729 38.642579)
FLORIDA,2020,6,,-,1,,,-,1,,,-,99,,,-,249,,,-,23,,,-,53,,FLORIDA,,20200631,POINT (-82.420978 28.260731)
MONTANA,2020,6,,-,0,,,-,,-,,-,4,,,-,,-,,-,1,,,-,,-,MONTANA,,20200652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,6,,-,4,,,-,,-,5,,21,,32,,26,,,-,5,,1,,13,,,WEST NORTH CENTRAL,20200620,
MASSACHUSETTS,2020,6,,-,0,,,-,,-,,-,13,,7,,64,,,-,2,,3,,8,,MASSACHUSETTS,,20200605,POINT (-71.481104 42.151077)
MOUNTAIN,2020,6,1,,3,,1,,1,,6,,46,,25,,123,,,-,6,,4,,20,,,MOUNTAIN,20200648,
INDIANA,2020,6,,-,0,,,-,,-,,-,71,,25,,198,,,-,10,,,-,16,,INDIANA,,20200616,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,6,,-,0,,,-,,-,,-,3,,,-,11,,,-,0,,,-,,-,,NON-US RESIDENTS,20200669,
US TERRITORIES,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200663,
WEST VIRGINIA,2020,16,,-,1,,,-,,-,,-,13,,40,,268,,,-,3,,8,,23,,WEST VIRGINIA,,20201637,POINT (-80.613729 38.642579)
FLORIDA,2020,16,,-,1,,2,,2,,,-,99,,247,,886,,,-,23,,48,,196,,FLORIDA,,20201631,POINT (-82.420978 28.260731)
MONTANA,2020,16,,-,0,,,-,,-,,-,4,,3,,2,,,-,1,,,-,,-,MONTANA,,20201652,POINT (-109.645127 47.033521)
TOTAL,2020,7,1,,13,,5,,10,,39,,468,,835,,2615,,5,,101,,142,,396,,,TOTAL,20200770,
US RESIDENTS,2020,7,1,,13,,5,,10,,39,,468,,834,,2603,,5,,101,,142,,396,,,US RESIDENTS,20200701,
NEW HAMPSHIRE,2020,7,,-,1,,,-,,-,,-,14,,8,,23,,,-,1,,,-,,-,NEW HAMPSHIRE,,20200706,POINT (-71.57139 43.680429)
NEW YORK,2020,7,,-,2,,,-,,-,4,,14,,29,,12,,,-,4,,2,,7,,NEW YORK,,20200711,POINT (-75.59655 42.921241)
PACIFIC,2020,7,,-,3,,,-,2,,2,,29,,117,,44,,,-,6,,10,,23,,,PACIFIC,20200757,
WEST SOUTH CENTRAL,2020,7,,-,7,,1,,1,,1,,44,,53,,70,,1,,10,,12,,14,,,WEST SOUTH CENTRAL,20200743,
NEBRASKA,2020,7,,-,1,,,-,,-,1,,3,,2,,,-,,-,1,,,-,,-,NEBRASKA,,20200725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,7,,-,3,,1,,2,,8,,125,,166,,761,,2,,20,,50,,77,,,EAST SOUTH CENTRAL,20200738,
NORTH DAKOTA,2020,7,,-,1,,,-,,-,,-,1,,,-,1,,,-,1,,1,,,-,NORTH DAKOTA,,20200726,POINT (-100.46931 47.446305)
NEVADA,2020,7,,-,0,,,-,,-,,-,7,,4,,8,,,-,3,,,-,2,,NEVADA,,20200753,POINT (-114.916992 39.283294)
ILLINOIS,2020,7,,-,1,,,-,1,,,-,8,,5,,35,,,-,3,,2,,1,,ILLINOIS,,20200715,POINT (-89.148632 40.124144)
IOWA,2020,7,,-,2,,,-,,-,,-,2,,2,,1,,,-,3,,2,,4,,IOWA,,20200721,POINT (-93.500061 42.074659)
TEXAS,2020,7,,-,2,,1,,,-,,-,13,,14,,4,,,-,6,,4,,3,,TEXAS,,20200747,POINT (-99.317341 31.447238)
ALASKA,2020,7,,-,1,,,-,,-,,-,1,,,-,,-,,-,2,,1,,4,,ALASKA,,20200758,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,7,,-,0,,,-,,-,,-,2,,,-,1,,,U,,NC,,U,,U,DISTRICT OF COLUMBIA,,20200730,POINT (-77.016275 38.904785)
WASHINGTON,2020,7,,N,,NC,,N,,N,2,,15,,61,,5,,,-,3,,2,,5,,WASHINGTON,,20200762,POINT (-120.592492 47.411715)
RHODE ISLAND,2020,7,,-,0,,,-,,-,,-,1,,,-,2,,,U,,NC,,U,,U,RHODE ISLAND,,20200707,POINT (-71.534637 41.572574)
OREGON,2020,7,,-,2,,,-,1,,,-,2,,3,,2,,,-,2,,2,,2,,OREGON,,20200761,POINT (-120.605279 43.940449)
DELAWARE,2020,7,,-,0,,,-,,-,,-,4,,3,,,-,,-,2,,,-,1,,DELAWARE,,20200729,POINT (-75.452394 38.994926)
