POLE_ATTACH_ID,SIGNAL_NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,POLE_ATTACH_DESCRIPTION,POLE_ATTACH_PROVIDER,CREATED_DATE,MODIFIED_DATE,INTERSECTION_QUADRANT,INSTALL_DATE,STATUS,SIGNAL_ID,ATD_LOCATION_ID,INFRASTRUCTURE_OWNER,INFRASTRUCTURE_TYPE,PROVIDER_ID
994,,30.36984,-97.68321,504-1/2 E APPLEGATE DRIVE,VERIZON,02/19/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016095,Carrier,Wood Utility Pole,TX_AUS_NLAMARE_011
995,,30.35721,-97.71219,8501 1/2 PARKFIELD DR,VERIZON,02/19/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016100,AE,Wood Utility Pole,TX_AUS_NLAMARW_042
996,,30.37568,-97.7147,9606 1/2 GRAY BLVD,VERIZON,02/19/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016110,AE,Steel Utility Pole,TX_AUS_METRICRUNDBERG_002
997,,30.35862,-97.70811,1001-1/2 FAIRFIELD DRIVE,VERIZON,02/19/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016115,AE,Steel Utility Pole,TX_AUS_NLAMARW_040
998,,30.29968,-97.72215,902-1/2 E 41ST STREET,VERIZON,02/19/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016120,AE,,TX_AUS_HYDEPARK_011
999,,30.36192,-97.72646,8301 1/2 REEDA LANE,VERIZON,02/19/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016125,AE,Wood Utility Pole,TX_AUS_WOOTEN_005
1000,,30.32564,-97.69549,6916-1/2 GRAND CANYON DRIVE,VERIZON,02/19/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016130,Carrier,Wood Utility Pole,TX_AUS_STJOHN_015
1001,,30.33569,-97.69743,7601-1/2 BENNETT AVENUE,VERIZON,02/19/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016135,AE,Wood Utility Pole,TX_AUS_STJOHN_001
1002,,30.36038,-97.69649,406-1/2 COOPER DRIVE,VERIZON,02/19/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016140,Carrier,Wood Utility Pole,TX_AUS_NLAMARE_022
1003,,30.3584,-97.7147,8501-1/2 BROOKFIELD DRIVE,VERIZON,02/19/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016145,AE,Wood Utility Pole,TX_AUS_NLAMARW_041
1004,,30.26449,-97.74813,400-1/2 W CESAR CHAVEZ STREET,VERIZON,02/19/2020,02/28/2020,N/A,,UNDER_REVIEW,0,LOC20-016150,ATD,,AUSDT_138_SC
1005,,30.29574,-97.74247,2911-1/2 GUADALUPE STREET,VERIZON,02/19/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016155,AE,Steel Utility Pole,AUSDT_125_SC
1007,,30.38077,-97.71607,2100-1/2 RUTLAND DRIVE,VERIZON,02/19/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016165,ATD,Signal Pole,TX_AUS_METRICRUNDBERG_001
1009,,30.37595,-97.68044,400-1/2 VICTOR STREET,VERIZON,02/19/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016175,AE,Wood Utility Pole,TX_AUS_NLAMARE_004
1010,,30.35467,-97.69963,204-1/2 DEEN AVENUE,VERIZON,02/19/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016180,AE,Wood Utility Pole,TX_AUS_NLAMARE_027
1011,,30.33223,-97.69962,7217-1/2 BENNETT AVENUE,VERIZON,02/19/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016185,AE,Wood Utility Pole,TX_AUS_STJOHN_004
1012,,30.35413,-97.71205,8413 1/2 BANGOR BEND,VERIZON,02/19/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016190,AE,Wood Utility Pole,TX_AUS_NLAMARW_044
1013,,30.33133,-97.69609,7307-1/2 PROVIDENCE AVENUE,VERIZON,02/19/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016195,Carrier,Wood Utility Pole,TX_AUS_STJOHN_003
1014,,30.26965,-97.73092,1014-1/2 SAN MARCOS STREET,VERIZON,02/19/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016200,AE,Steel Utility Pole,E_11THST_1_SC
1015,,30.33311,-97.69847,909-1/2 BLACKSON AVENUE,VERIZON,02/19/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016205,AE,Wood Utility Pole,TX_AUS_STJOHN_002
1016,,30.27027,-97.74362,201-1/2 W 8TH STREET,VERIZON,02/19/2020,02/28/2020,N/A,,UNDER_REVIEW,0,LOC20-016210,ATD,Signal Pole,AUSDT_02_SC
1017,,30.23201,-97.73663,1817 E Oltorf St,VERIZON,02/19/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016215,AE,Wood Utility Pole,TX_AUS_RIVERSIDE_023
1018,,30.39969,-97.69712,11916 Rickem Cove,VERIZON,02/19/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016220,AE,Steel Utility Pole,TX_AUS_METRIC_003
1019,,30.23572,-97.71853,1519 1/2 Wickersham Lane,T-MOBILE,02/19/2020,03/09/2020,N/A,,UNDER_REVIEW,0,LOC20-016225,AE,Wood Utility Pole,AU1083BA_91LAB-A
1020,,30.27129,-97.75307,904 1/2 W 6th St,VERIZON,02/19/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016235,AE,Steel Utility Pole,AUSDT 26 SC
1021,,30.2608,-97.73798,95 1/2 Rainey St,VERIZON,02/19/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016240,AE,Steel Utility Pole,RAINEY 1 SC
1022,,30.27088,-97.7348,613 1/2 E 11th St,,02/21/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016245,AE,Steel Utility Pole,AU1045BA_31LAB-A
1023,,30.22628,-97.71949,2340 1/2 Cromwell Circle,T-MOBILE,02/21/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016245,AE,Wood Utility Pole,2340 1/2 Cromwell Circle
1024,,30.35845,-97.70155,836 1/2 Payton Gin Rd,AT&T,02/21/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016250,Carrier,Steel Utility Pole,AU1033BA_51LAB-A
1025,,30.37296,-97.70372,1306 1/2 Mearns Meadow Blvd,T-MOBILE,02/21/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016255,AE,,AU1032BA_11LAB-B
1026,,30.3621,-97.71006,1263 1/2 Payton Gin,AT&T,02/21/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016260,Carrier,Self Support Pole,AU1035BA_51LAB-A
1027,,30.22989,-97.731,2220 1/2 Willow Creek Dr,T-MOBILE,02/21/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016265,ATD,Signal Pole,AU1082BA_61LAB-A
1029,,30.26445,-97.74692,112 1/2 Lavaca Street,T-MOBILE,02/21/2020,03/09/2020,N/A,,UNDER_REVIEW,0,LOC20-016275,AE,Steel Utility Pole,AU1047BA_41LAB-B
1030,,30.26699,-97.74296,103 1/2 E 5th St,T-MOBILE,02/21/2020,02/27/2020,N/A,,UNDER_REVIEW,0,LOC20-016280,Carrier,,AU1046BA_81LAB-B
1031,,30.37209,-97.69885,1018 1/2 BIRD CREEK DR,T-MOBILE,02/21/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016285,AE,Steel Utility Pole,AU1032BA_41LAB-B
1032,,30.26531,-97.74998,113 1/2 Nueces St,T-MOBILE,02/21/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016290,AE,Steel Utility Pole,AU1046BA_31LAB-C
1033,,30.27357,-97.74808,915 1/2 Rio Grande St,T-MOBILE,02/21/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016295,AE,Steel Utility Pole,AU1047BA_91LAB-A
1034,,30.37052,-97.69077,500 1/2 Masterson Pass,T-MOBILE,02/21/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016300,AE,Steel Utility Pole,AU1035BA_81LAB-B
1035,,30.19438,-97.73651,5300 1/2 Lark Creek Dr,T-MOBILE,02/21/2020,03/09/2020,N/A,,UNDER_REVIEW,0,LOC20-016305,AE,Steel Utility Pole,AU1082BA_91LAB-A
1036,,30.26694,-97.73478,716 1/2 E 7th St,T-MOBILE,02/24/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016310,AE,Steel Utility Pole,AU1045BA_11LAB-B
1037,,30.28313,-97.74715,1811 1/2 Pearl St,T-MOBILE,02/24/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016315,AE,Wood Utility Pole,AU1023BA_51LAB-B
1038,,30.27334,-97.74459,1011 1/2 Guadalupe St,T-MOBILE,02/24/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016320,AE,,AU1044BA_41LAB-B
1039,,30.26544,-97.74105,401 1/2 San Jacinto Blvd,T-MOBILE,02/24/2020,03/09/2020,N/A,,UNDER_REVIEW,0,LOC20-016325,AE,Steel Utility Pole,AU1046BA_21LAB-A
1040,,30.26697,-97.74957,300 1/2 Nueces Street,T-MOBILE,02/24/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016325,AE,Steel Utility Pole,AU1047BA_51LAB-B
1041,,30.26333,-97.74472,98 1/2 Congress Avenue,T-MOBILE,02/24/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016330,AE,Steel Utility Pole,AU1045BA_51LAB-A
1042,,30.35863,-97.68935,609 1/2 E RUNDBERG LN,T-MOBILE,02/24/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016335,Carrier,,AU1032BA_71LAB-B
1043,,30.30818,-97.708146,1201 1/2 E 51st St.,T-MOBILE,02/24/2020,03/27/2020,N/A,,UNDER_REVIEW,0,LOC20-016340,Carrier,Self Support Pole,AU1072BA_41LAB-A
1044,,30.31972,-97.70998,907 1/2 Reinli St.,T-MOBILE,02/24/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016345,AE,Wood Utility Pole,AU1072BA_51LAB
