Reporting Area,MMWR Year,MMWR Week,"Salmonella Paratyphi infection§, Current week","Salmonella Paratyphi infection§, Current week, flag","Salmonella Paratyphi infection§, Previous 52 weeks Max†","Salmonella Paratyphi infection§, Previous 52 weeks Max†, flag","Salmonella Paratyphi infection§, Cum 2020†","Salmonella Paratyphi infection§, Cum 2020†, flag","Salmonella Paratyphi infection§, Cum 2019†","Salmonella Paratyphi infection§, Cum 2019†, flag","Salmonella Typhi infection¶, Current week","Salmonella Typhi infection¶, Current week, flag","Salmonella Typhi infection¶, Previous 52 weeks Max†","Salmonella Typhi infection¶, Previous 52 weeks Max†, flag","Salmonella Typhi infection¶, Cum 2020†","Salmonella Typhi infection¶, Cum 2020†, flag","Salmonella Typhi infection¶, Cum 2019†","Salmonella Typhi infection¶, Cum 2019†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Current week","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Current week, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Previous 52 weeks Max†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Previous 52 weeks Max†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2020†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2020†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2019†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
ALASKA,2020,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,6,,,-,3,,ALASKA,,20200158,POINT (-151.631889 63.631125999999995)
MINNESOTA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200123,POINT (-94.198308 46.349153)
GEORGIA,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,93,,,-,6,,GEORGIA,,20200132,POINT (-83.426574 32.638481)
IOWA,2020,1,,-,0,,,-,,-,,-,2,,,-,,-,2,,118,,2,,11,,IOWA,,20200121,POINT (-93.500061 42.074659)
SOUTH DAKOTA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,,-,2,,SOUTH DAKOTA,,20200127,POINT (-100.230491 44.43614)
OREGON,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20200161,POINT (-120.60527899999998 43.940449)
UTAH,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,15,,,-,10,,UTAH,,20200155,POINT (-111.678222 39.323779)
MISSISSIPPI,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200141,POINT (-89.65344 32.713378)
ILLINOIS,2020,1,,-,1,,,-,,-,,-,3,,,-,,-,,-,95,,,-,27,,ILLINOIS,,20200115,POINT (-89.148632 40.124144)
NEW JERSEY,2020,1,,-,1,,,-,,-,,-,2,,,-,1,,1,,58,,1,,20,,NEW JERSEY,,20200110,POINT (-74.655514 40.110253)
US RESIDENTS,2020,1,,-,5,,,-,1,,,-,12,,,-,1,,83,,1415,,83,,285,,,US RESIDENTS,20200101,
RHODE ISLAND,2020,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,10,,,-,,-,RHODE ISLAND,,20200107,POINT (-71.534637 41.572574)
FLORIDA,2020,1,,-,1,,,-,,-,,-,5,,,-,,-,,-,234,,,-,56,,FLORIDA,,20200131,POINT (-82.42097800000002 28.260731)
AMERICAN SAMOA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200164,
VIRGINIA,2020,1,,-,2,,,-,,-,,-,2,,,-,,-,4,,59,,4,,1,,VIRGINIA,,20200136,POINT (-78.666382 37.510861)
CALIFORNIA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200159,POINT (-119.662127 37.211164)
CONNECTICUT,2020,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,26,,,-,5,,CONNECTICUT,,20200103,POINT (-72.738288 41.575155)
NEW ENGLAND,2020,18,,-,3,,5,,7,,,-,6,,3,,8,,6,,81,,304,,507,,,NEW ENGLAND,20201802,
NEW ENGLAND,2020,12,,-,3,,5,,4,,,-,6,,3,,6,,7,,81,,231,,285,,,NEW ENGLAND,20201202,
NEW YORK CITY,2020,8,,-,0,,,-,,-,,-,1,,,-,2,,,-,0,,,-,,-,,NEW YORK CITY,20200812,
NEW YORK CITY,2020,6,,-,0,,,-,,-,,-,1,,,-,2,,,-,0,,,-,,-,,NEW YORK CITY,20200612,
GUAM,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200166,POINT (144.653198 13.353200000000001)
NEW ENGLAND,2020,1,,-,2,,,-,,-,,-,6,,,-,,-,6,,81,,6,,16,,,NEW ENGLAND,20200102,
DELAWARE,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200129,POINT (-75.452394 38.994926)
OHIO,2020,1,,-,1,,,-,,-,,-,1,,,-,,-,13,,66,,13,,18,,OHIO,,20200118,POINT (-82.70936 40.41553400000001)
WEST VIRGINIA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,10,,,-,,-,WEST VIRGINIA,,20200137,POINT (-80.613729 38.642579000000005)
TOTAL,2020,1,,-,5,,,-,1,,,-,12,,,-,1,,83,,1415,,83,,285,,,TOTAL,20200170,
NEW HAMPSHIRE,2020,1,,-,0,,,-,,-,,-,5,,,-,,-,,-,10,,,-,3,,NEW HAMPSHIRE,,20200106,POINT (-71.57139000000001 43.680429)
