INSPECTION_NO,INSPECTION_DATE,VIOLATIONS,WARNINGS
1101514114337,10/09/2014 04:25:00 PM,0,0
1020212125529,02/01/2012 08:25:00 AM,0,0
1010711092851,01/06/2011 08:20:00 AM,0,0
1072015130614,07/15/2015 06:00:00 PM,0,0
1123114130113,12/26/2014 12:55:00 AM,0,0
1100813121906,09/24/2013 09:40:00 AM,0,0
1012914092055,01/21/2014 12:05:00 AM,0,0
1101316083523,09/28/2016 12:45:00 AM,0,0
1112219070822,11/21/2019 11:00:00 AM,0,0
1031114100551,03/05/2014 06:45:00 AM,0,0
1043007212858,04/30/2007 05:01:00 PM,0,0
1102708211035,10/24/2008 03:40:00 PM,0,0
1033116122431,03/30/2016 11:25:00 AM,0,0
1050516125221,04/25/2016 09:45:00 AM,0,0
1071414083320,07/02/2014 04:50:00 PM,0,0
1011316155950,01/02/2016 10:15:00 AM,0,0
1111615111709,11/05/2015 10:30:00 PM,0,0
1030817093437,03/07/2017 08:50:00 AM,0,0
1050714133032,04/30/2014 10:35:00 AM,0,0
1050313075805,04/26/2013 07:50:00 AM,0,0
1121817073118,12/14/2017 10:35:00 AM,0,0
1071816114425,07/13/2016 09:35:00 AM,0,0
1101719071827,10/16/2019 05:35:00 PM,0,0
1063016091452,06/26/2016 09:30:00 AM,0,0
1120413094802,11/20/2013 10:25:00 AM,0,0
1081814152108,08/14/2014 11:10:00 AM,0,0
1012220083843,01/18/2020 09:45:00 AM,0,0
1022715083300,02/27/2015 12:00:00 AM,0,0
1122811104901,12/27/2011 09:15:00 AM,0,0
1011513102329,12/08/2012 07:30:00 AM,0,0
1062917073507,06/28/2017 05:10:00 PM,0,0
1021809104659,02/10/2009 08:05:00 AM,0,0
1040607061504,04/06/2007 01:35:00 AM,0,0
1090216124816,08/30/2016 09:55:00 AM,0,0
1071315134553,07/12/2015 11:25:00 AM,0,0
1070113115646,06/28/2013 06:30:00 PM,0,0
1032409131909,03/24/2009 08:25:00 AM,0,0
1051518083940,05/14/2018 10:40:00 PM,0,0
1031615085623,03/13/2015 11:30:00 PM,0,0
1050820092905,04/30/2020 09:15:00 AM,0,0
1082213091722,08/21/2013 08:05:00 AM,0,0
1011013074406,12/03/2012 07:45:00 AM,0,0
1050117080004,04/29/2017 10:55:00 AM,0,0
1032516132906,03/23/2016 07:55:00 AM,0,0
1022608055309,02/14/2008 08:50:00 AM,0,0
1070207134111,07/02/2007 08:35:00 AM,0,0
1073013103815,07/26/2013 08:55:00 AM,0,0
1012511115858,01/24/2011 04:20:00 PM,0,0
1080311100405,08/02/2011 07:40:00 AM,0,0
1082812093459,08/21/2012 03:05:00 PM,0,0
1012114105441,01/06/2014 12:35:00 PM,0,0
1081110083550,08/09/2010 07:30:00 AM,0,0
1071612100746,07/13/2012 09:10:00 AM,0,0
1121319104447,12/12/2019 08:20:00 AM,0,0
1120611121625,12/03/2011 07:50:00 AM,0,0
1052010120719,05/19/2010 03:45:00 PM,0,0
1101409070652,10/13/2009 10:20:00 AM,0,0
1042908131249,04/29/2008 08:55:00 AM,0,0
1091008062921,09/09/2008 10:00:00 AM,0,0
1102213122951,10/07/2013 07:45:00 AM,0,0
1092718203349,09/18/2018 08:45:00 AM,0,0
1102715094928,10/26/2015 11:20:00 AM,0,0
1021215101349,02/06/2015 09:10:00 AM,0,0
1123014104911,12/26/2014 07:40:00 AM,0,0
1102414105816,10/18/2014 07:15:00 AM,0,0
1021320083923,02/11/2020 07:05:00 AM,0,0
1022819085753,02/21/2019 11:25:00 AM,0,0
1052209083556,05/21/2009 03:45:00 PM,0,0
1092313125910,09/14/2013 08:40:00 AM,0,0
1012012122236,01/18/2012 10:15:00 AM,0,0
1051215091426,05/12/2015 02:35:00 AM,0,0
1033015110356,03/26/2015 07:50:00 AM,0,0
1080916073527,08/01/2016 10:45:00 AM,0,0
1072412091242,07/23/2012 05:00:00 PM,0,0
1041107061014,04/11/2007 01:05:00 PM,0,0
1091115095311,09/02/2015 08:05:00 AM,0,0
1051216110640,05/05/2016 07:40:00 AM,0,0
1011416115544,01/06/2016 01:00:00 AM,0,0
1102319072401,10/22/2019 10:05:00 AM,0,0
1062717104248,06/22/2017 04:10:00 PM,0,0
1020618132854,01/31/2018 09:25:00 PM,0,0
1031416091038,03/10/2016 11:30:00 AM,0,0
1010820083956,01/06/2020 02:40:00 AM,0,0
1111513065731,11/14/2013 09:25:00 AM,0,0
1030918121630,03/08/2018 08:56:00 AM,0,0
1112311111931,11/22/2011 10:10:00 AM,0,0
1021517085054,02/13/2017 10:55:00 AM,0,0
1100908060445,10/06/2008 08:30:00 AM,0,0
1060816101639,05/28/2016 07:00:00 AM,0,0
1013108130048,01/29/2008 07:30:00 AM,0,0
1032409105905,03/18/2009 06:45:00 PM,0,0
1122214094517,12/19/2014 07:25:00 AM,0,0
1061219074449,06/10/2019 09:15:00 AM,0,0
1042418103034,04/23/2018 11:00:00 PM,0,0
1061919081748,06/17/2019 08:05:00 AM,0,0
1092611103717,09/23/2011 09:30:00 AM,0,0
1110514135943,10/30/2014 10:10:00 AM,0,0
1102009132003,10/19/2009 08:35:00 AM,0,0
1012413121252,12/31/2012 07:50:00 AM,0,0
1011012145722,01/09/2012 10:25:00 AM,0,0
1072114141905,07/18/2014 12:05:00 AM,0,0
1042409150931,04/24/2009 07:00:00 AM,0,0
1013117094508,01/27/2017 07:25:00 AM,0,0
1082619061822,08/26/2019 01:00:00 AM,0,0
1061615103630,06/11/2015 05:20:00 PM,0,0
1080819101315,08/05/2019 01:50:00 AM,0,0
1022608063450,02/25/2008 08:00:00 AM,0,0
1060611131905,06/04/2011 08:25:00 AM,0,0
1031412140842,03/13/2012 06:40:00 PM,0,0
1021411080411,02/11/2011 05:50:00 PM,0,0
1012309065923,01/06/2009 05:10:00 PM,0,0
1013020080636,01/29/2020 04:00:00 PM,0,0
1061219075412,06/11/2019 02:30:00 AM,0,0
1032613083246,03/22/2013 08:45:00 AM,0,0
1121311112729,12/12/2011 07:10:00 AM,0,0
1080315120755,07/20/2015 04:10:00 PM,0,0
1053013104525,05/24/2013 06:00:00 PM,0,0
1042114120156,04/16/2014 12:35:00 AM,0,0
1121316114506,11/25/2016 10:05:00 AM,0,0
1022310133115,02/22/2010 07:25:00 AM,0,0
1010810102833,01/07/2010 07:10:00 AM,0,0
1062811121438,06/27/2011 08:50:00 AM,0,0
1032310134657,03/22/2010 10:45:00 AM,0,0
1041813123119,04/09/2013 05:25:00 PM,0,0
1061110102936,06/10/2010 07:20:00 AM,0,0
1112415094917,11/18/2015 09:50:00 AM,0,0
1093014134500,09/23/2014 02:25:00 AM,0,0
1051915124250,05/13/2015 03:50:00 PM,0,0
1082619062747,08/26/2019 06:27:00 AM,0,0
1101514111805,10/14/2014 08:25:00 AM,0,0
1031314080157,02/26/2014 08:15:00 AM,0,0
1062116124002,06/14/2016 11:05:00 AM,0,0
1081814134552,08/14/2014 08:05:00 AM,0,0
1110707211944,11/07/2007 04:20:00 PM,0,0
1083016080511,08/19/2016 09:20:00 AM,0,0
1053112090243,05/30/2012 03:50:00 PM,0,0
1020915101624,01/26/2015 02:15:00 PM,0,0
1030514112403,02/06/2014 09:05:00 PM,0,0
1010417122247,01/03/2017 11:10:00 AM,0,0
1031908125715,03/19/2008 05:52:00 AM,0,0
1102507133632,10/25/2007 07:30:00 AM,0,0
1021419115051,02/01/2019 12:15:00 AM,0,0
1091311091637,09/12/2011 08:40:00 AM,0,0
1071417080609,07/13/2017 06:20:00 PM,0,0
1042214154137,04/16/2014 09:45:00 AM,0,0
1042712094448,04/25/2012 04:00:00 PM,0,0
1082508131334,08/23/2008 08:15:00 AM,0,0
1081811085905,08/17/2011 10:45:00 AM,0,0
1091019064647,09/09/2019 10:00:00 AM,0,0
1050814150020,05/08/2014 12:00:00 AM,0,0
1122214112647,12/21/2014 06:55:00 AM,0,0
1010413122455,12/26/2012 10:15:00 AM,0,0
1042815084915,04/24/2015 05:15:00 PM,0,0
1100109095821,09/30/2009 12:25:00 PM,0,0
1040609132632,04/06/2009 09:30:00 AM,0,0
1050914100745,05/06/2014 10:10:00 AM,0,0
1070115093648,06/30/2015 05:30:00 PM,0,0
1102114095951,10/15/2014 03:00:00 PM,0,0
1011618124210,01/02/2018 05:40:00 PM,0,0
1010512154746,01/03/2012 10:30:00 AM,0,0
1121709090453,12/16/2009 05:55:00 PM,0,0
1112918073254,11/28/2018 07:45:00 PM,0,0
1030620094033,03/02/2020 04:35:00 PM,0,0
1082008085118,08/13/2008 10:30:00 AM,0,0
1051618124833,05/16/2018 01:35:00 AM,0,0
1062718075724,06/26/2018 07:30:00 PM,0,0
1052118092636,05/21/2018 12:20:00 AM,0,0
1121614124324,12/05/2014 07:35:00 AM,0,0
1082219063050,08/22/2019 01:05:00 AM,0,0
1062514153148,06/18/2014 12:25:00 AM,0,0
1021215140301,02/05/2015 12:30:00 PM,0,0
1020810081349,02/05/2010 07:20:00 AM,0,0
1082718090505,08/25/2018 09:15:00 AM,0,0
1062811120617,06/27/2011 07:50:00 AM,0,0
