the_geom,DOCUMENT_I,DOCUMENT_T,FILE_NUMBE,SHAPE_AREA,SHAPE_LEN
"MULTIPOLYGON (((-97.97188279293614 30.29686093021695, -97.97186970244512 30.29685450104354, -97.97169278448055 30.296767966441397, -97.97060566977352 30.296236115264534, -97.97043601815923 30.296153121391658, -97.97032834695626 30.296100449826913, -97.97022703328975 30.296050893124182, -97.97008488189425 30.295981330112323, -97.96873243233537 30.295319629339687, -97.96874086466075 30.295306528834196, -97.9692637156797 30.294494627405953, -97.96931007051246 30.294422629026734, -97.96935645695429 30.29435063121531, -97.96975160394342 30.293736973719422, -97.96982497263821 30.293623037417937, -97.96989870505908 30.293508557741255, -97.97110179716024 30.291640180514598, -97.97291886582313 30.288532524388526, -97.97308147778008 30.288275595993944, -97.97463343081273 30.285822893656633, -97.97944466959802 30.288075192915976, -97.98421889512302 30.290331330526456, -97.9798078142044 30.297110708745766, -97.97944443217312 30.297681938903214, -97.97817042702502 30.2996479041762, -97.97286414658112 30.2971692374289, -97.97256151811386 30.29707417339746, -97.97188279293614 30.29686093021695)))",1999067970,TRAVIS COUNTY DOCUMENT,3628.57,13286129.0985,14627.4388796
"MULTIPOLYGON (((-97.71888874005633 30.326128797845794, -97.71923140755423 30.325625429142484, -97.71936143175536 30.325688449000893, -97.71952260648531 30.325765994862724, -97.7196962348317 30.325852045489405, -97.71986209264807 30.325932436747333, -97.72002485451678 30.32601001431549, -97.72018912456764 30.32609037277606, -97.72035339687253 30.326170731066906, -97.72049768773161 30.326241867013472, -97.72049888252054 30.326242455187394, -97.71884120381247 30.32677856485193, -97.71884302711865 30.326777164967698, -97.71886636183099 30.32675924774884, -97.71888913876917 30.326737709297564, -97.71890723710393 30.326713325071974, -97.7189205803712 30.326688843879847, -97.71892852932662 30.326658751957144, -97.71893086051824 30.326631295843445, -97.71892764249499 30.32660372657176, -97.71892076583633 30.32658378887296, -97.71890378248803 30.326548232720928, -97.71888457589804 30.326525838139204, -97.71887227149881 30.326511835400716, -97.71886472413243 30.32649792966771, -97.71886041798673 30.32648133966507, -97.71886086490929 30.326464846588333, -97.71886527272002 30.326448434283147, -97.71887363943647 30.32643210270872, -97.71890097505023 30.326388654298288, -97.71891511045118 30.326364189261213, -97.71892536142663 30.32633689464728, -97.71893316138178 30.326312300417094, -97.71893707691638 30.326284876611524, -97.71893702958778 30.326257371996277, -97.71893381355567 30.326229802765635, -97.71892742882277 30.326202168919373, -97.71891708123597 30.3261744542626, -97.71890428660483 30.3261494400698, -97.71888874005633 30.326128797845794)))",1999003450,TRAVIS COUNTY DOCUMENT,3644.02,106033.828995,1488.36042762
"MULTIPOLYGON (((-97.68055868276403 30.341043753985723, -97.68055812057337 30.34104459497583, -97.68055320308444 30.341050379075945, -97.68054720028917 30.341055343109947, -97.68054030687274 30.34105932608209, -97.6805327100666 30.34106222185011, -97.68052464341498 30.34106389772593, -97.6805163862479 30.34106435776949, -97.6805081320665 30.341063556133076, -97.68050019641747 30.341061549195757, -97.68049314441201 30.34105854289509, -97.68045054616795 30.34103585100313, -97.68038316852585 30.340993063654096, -97.680321143158 30.340944611188604, -97.68026506803473 30.340890946048944, -97.68021555394391 30.3408326309586, -97.6801730972556 30.340770281281433, -97.6801381222739 30.340704538393805, -97.6801306266015 30.340687688432396, -97.67988208574968 30.34010793408724, -97.67988148925858 30.340106491541093, -97.67987955647207 30.340099520562735, -97.67987902490889 30.340092331045604, -97.67987995039044 30.340085199183825, -97.6798822649974 30.340078288595183, -97.67988256807769 30.340077717285148, -97.67988358161917 30.34007545371644, -97.67989293355755 30.34004787002334, -97.6798966052981 30.340019286943388, -97.67989450724083 30.339990584466545, -97.679886684521 30.339962643651123, -97.67987339374035 30.339936294922882, -97.67985502618723 30.339912371494222, -97.67983216585166 30.33989154554152, -97.67980546010426 30.339874490552624, -97.6797757509976 30.33986171902113, -97.67974394774556 30.339853607311557, -97.67971099229545 30.339850422450965, -97.67967790121129 30.33985224048443, -97.67964568813944 30.339859027381873, -97.67961531259861 30.33987055546694, -97.67958769950013 30.33988648633214, -97.67956372009742 30.339906342940616, -97.67954405805465 30.339929479350165, -97.67952933365552 30.339955248306737, -97.67951998157491 30.339982833691188, -97.67951630972418 30.34001141676028, -97.67951840568868 30.340040119202378, -97.67952623028886 30.34006806008137, -97.6795395209928 30.34009440884572, -97.67955788774618 30.340118359808034, -97.67958074807629 30.340139185809843, -97.67960745461343 30.34015621335751, -97.67962068944834 30.340162620629826, -97.67962466509918 30.34016449066149, -97.6796313356051 30.340168754295714, -97.67963705861646 30.34017396095726, -97.67964164852214 30.340179941781543, -97.67964418205031 30.340184669876667, -97.67919893584035 30.340329338901277, -97.67908013775975 30.340478536386286, -97.6788614902369 30.340347547312323, -97.67879576284784 30.340552438422048, -97.67894840132175 30.340643885767957, -97.67872351417755 30.34092631601232, -97.67854906959175 30.340646675272993, -97.6783910267453 30.34039328255971, -97.67835229983592 30.340159742651895, -97.67827898275841 30.339717501968835, -97.67843390994729 30.33970613274494, -97.67835268141441 30.339369315799722, -97.67836962210302 30.338548675007505, -97.6785907317369 30.33851166713503, -97.67991286790297 30.338196720259543, -97.6815367581466 30.33966783235808, -97.68088439410667 30.340671625783852, -97.6808832025733 30.34067344389706, -97.68084443959842 30.340732765565072, -97.6806739552492 30.340984584981538, -97.68061343487781 30.341070657837026, -97.68055868276403 30.341043753985723)))",2007121852,TRAVIS COUNTY DOCUMENT,3994.01,653721.089222,4082.56899959
"MULTIPOLYGON (((-97.6500711159239 30.17523718920131, -97.65043293482923 30.174769836587842, -97.65089472579439 30.175223589816163, -97.65053282522072 30.175690555260875, -97.6500711159239 30.17523718920131)))",12333/443,TRAVIS COUNTY DOCUMENT,3395.06,43652.3601908,850.04841532
"MULTIPOLYGON (((-97.6994965185124 30.23395277832929, -97.69965531677796 30.233710656495862, -97.69966752635472 30.233690362358722, -97.69971231731863 30.23371114092518, -97.69981521559914 30.23375918761455, -97.69965330243252 30.234026108845352, -97.6994965185124 30.23395277832929)))",7752/36,TRAVIS COUNTY DOCUMENT,3301.01,5972.14055,328.554487532
"MULTIPOLYGON (((-97.80257405614425 30.161559761943423, -97.80184545464795 30.16086635846937, -97.80178264478052 30.160806581555132, -97.80111743302166 30.160173489873205, -97.80168801227258 30.159601320062187, -97.80174052052364 30.15954868345578, -97.80195187718458 30.15965349493706, -97.80215192124936 30.15975250442422, -97.80235095159163 30.15943815188694, -97.80263074033587 30.15957008731046, -97.80240649273844 30.15992837415595, -97.80256465522251 30.160046210722225, -97.80269260008868 30.16021453612344, -97.8027896989147 30.160343197523463, -97.8029186214517 30.160663472770615, -97.80338455329571 30.16086943346339, -97.80373289635946 30.16065441542158, -97.80408905199158 30.16043453502538, -97.80460061889356 30.160401250507316, -97.80509537223352 30.160370057236655, -97.80511532009406 30.160780341129207, -97.80512257603961 30.160930512292495, -97.80504940997012 30.160928838418776, -97.8046900597405 30.16091132799627, -97.80421206771523 30.160992043189168, -97.8041226896272 30.16104983440616, -97.80405693295532 30.161195198933488, -97.80391717891966 30.161308352954954, -97.80384663328648 30.161465638042202, -97.80381283106813 30.16154107032059, -97.80376875069176 30.161796145569514, -97.80363412621269 30.161864880494498, -97.8036226514102 30.161870762767563, -97.80352372786061 30.161921291551998, -97.80322234001513 30.16198445399034, -97.80294544401931 30.161872745336986, -97.80276901820244 30.16175981155748, -97.80257405614425 30.161559761943423)))",2008020018,TRAVIS COUNTY DOCUMENT,4038.01,453808.808407,3869.00198325
"MULTIPOLYGON (((-97.75483754164411 30.2522667537306, -97.75502839532083 30.251969653617966, -97.75510878198114 30.252008775623384, -97.75491136462287 30.252301506520624, -97.75483754164411 30.2522667537306)))",11974/1569,TRAVIS COUNTY DOCUMENT,3325,3434.65955098,302.701402646
"MULTIPOLYGON (((-97.65749243778603 30.289741734591587, -97.65746190442114 30.28943354786004, -97.65759042507395 30.289034343456695, -97.65757295727778 30.287860440130533, -97.65768862815854 30.287676598398136, -97.65778185795651 30.287528290735807, -97.65781511270355 30.28747535229877, -97.65786314980802 30.28762314373504, -97.65797373368942 30.287963530837537, -97.65763080744784 30.288060088965555, -97.65763416986347 30.288583586867034, -97.65843766932835 30.288961074221014, -97.65846551292904 30.288974169660936, -97.65838620648033 30.289099225072878, -97.65835852884457 30.289085858040835, -97.65770791101399 30.288771355683004, -97.65767606297631 30.289278853794247, -97.65766150160802 30.289511453260527, -97.65765266572143 30.289651841492994, -97.65758351872127 30.289828788483593, -97.65753569298631 30.289783096028202, -97.65749243778603 30.289741734591587)))",2003023374,TRAVIS COUNTY DOCUMENT,3688.71,51032.4377,2365.17532057
"MULTIPOLYGON (((-97.7790151748788 30.394182463972193, -97.77917858729103 30.394133765081992, -97.77972483947912 30.394532076918658, -97.78035552545306 30.39451429366387, -97.78051921157201 30.3944492597924, -97.78063251534142 30.39408233641602, -97.78122774636712 30.393701952470792, -97.78195702570108 30.3933175208298, -97.78206486695325 30.393283799238755, -97.78244524418282 30.393488398428545, -97.78279153748943 30.393544787432727, -97.78343802783635 30.39336459350486, -97.78546294626454 30.39432406640819, -97.78637289093597 30.392882861367983, -97.78678305972015 30.393054070622544, -97.7870370557233 30.393171985539507, -97.78746903545492 30.393372751455868, -97.7888802274072 30.39405746900205, -97.79318537859342 30.396135693692052, -97.79272991829495 30.3968455020011, -97.78845523477816 30.39746591581308, -97.7813641851473 30.39621737240479, -97.78088277697302 30.395908561194084, -97.780220992381 30.395499701103958, -97.77923285530741 30.39505425419017, -97.77878468532151 30.39534514600365, -97.77881357084648 30.39530749314441, -97.77885982496157 30.395236903558214, -97.77889862040846 30.39516297678373, -97.7789296174036 30.395086338640297, -97.778952547651 30.395007611212655, -97.77896336429592 30.394953729131508, -97.7790151748788 30.394182463972193)))",2002015456,TRAVIS COUNTY DOCUMENT,3741,4170913.54556,10806.6642181
"MULTIPOLYGON (((-97.8405753247338 30.411811689734158, -97.84043648310183 30.411811027817958, -97.8402616521631 30.41181670733953, -97.84016706001222 30.411822817956317, -97.8403928145051 30.411500797673614, -97.84073918731335 30.411006668184104, -97.84071721059121 30.410992654792732, -97.84069810958957 30.410975341885724, -97.84068276123544 30.410955406571613, -97.84067165139426 30.41093346335678, -97.84066508214367 30.4109101781834, -97.84066328674284 30.410886270662385, -97.84066631675195 30.410862431090816, -97.84067408230969 30.410839450154384, -97.84068631518873 30.41081796036893, -97.84070267852286 30.41079864104694, -97.84072265588117 30.410782059719445, -97.84074565550948 30.410768782454284, -97.84077097311852 30.41075912560611, -97.84079783758513 30.410753459237913, -97.84082542075272 30.410751904777943, -97.84085289390453 30.410754528638282, -97.84087944051689 30.410761232450096, -97.84090388969729 30.410771663434975, -97.84175566162436 30.409558516218727, -97.84187117477377 30.40961576513574, -97.84196269168447 30.409661106794474, -97.8420751326506 30.409716838215452, -97.84213594592674 30.409746981261957, -97.84228397887642 30.40982031611374, -97.84236653366177 30.409861222247187, -97.84256930800908 30.409556270006778, -97.84292464646362 30.409742459055856, -97.84338630060303 30.409956260400822, -97.84347167264336 30.409820539285388, -97.84430182499452 30.410217561225064, -97.84508810010274 30.41060456836344, -97.84455305587345 30.411474316785043, -97.84557059455881 30.411942924258565, -97.8447397691484 30.41320856578441, -97.84472644600201 30.41320101910927, -97.84330703662141 30.412887398292764, -97.84279769891069 30.412526518624873, -97.84271679516013 30.41247074164983, -97.84257581426097 30.41238090319973, -97.84243004609286 30.412297049836237, -97.84227980155794 30.412219352596683, -97.84212542921718 30.412147983250698, -97.84196727239159 30.41208308596437, -97.8418057383921 30.412024861153768, -97.8416411415093 30.41197342492141, -97.84147389387196 30.411928867768154, -97.84130436725054 30.411891306916093, -97.84125542903708 30.411881858095953, -97.84113297900481 30.411860860474594, -97.84096010374356 30.411837535712746, -97.84078612116015 30.411821450012535, -97.84078247681764 30.411821186704017, -97.84077794910341 30.41182087873382, -97.84061144352349 30.411812611378668, -97.8405753247338 30.411811689734158)))",2007078572,TRAVIS COUNTY DOCUMENT,4004.01,1264325.20577,5121.43303165
