NCESSCH,School Name,School Year,Number of Applications,lastUpdated,recordId
291011000324,CONWAY HIGH SCHOOLS,2018,*,06/29/2018 02:33:00 AM,2910110003242018
291167000427,EXETER HIGH,2018,15,06/29/2018 02:33:00 AM,2911670004272018
292517001448,PILOT GROVE HIGH,2018,11,06/29/2018 02:33:00 AM,2925170014482018
291260000526,GAINESVILLE HIGH,2018,16,06/29/2018 02:33:00 AM,2912600005262018
291984001055,MADISON HIGH,2018,12,06/29/2018 02:33:00 AM,2919840010552018
292928002990,MCKINLEY CLASS. LEADERSHIP AC.,2018,45,06/29/2018 02:33:00 AM,2929280029902018
290414000040,BAKERSFIELD HIGH,2018,13,06/29/2018 02:33:00 AM,2904140000402018
291317002285,GRANDVIEW HIGH,2018,46,06/29/2018 02:33:00 AM,2913170022852018
292166001191,NORTHEAST NODAWAY HIGH,2018,*,06/29/2018 02:33:00 AM,2921660011912018
290291000009,AFFTON HIGH,2018,119,06/29/2018 02:33:00 AM,2902910000092018
291062000358,DELTA HIGH,2018,7,06/29/2018 02:33:00 AM,2910620003582018
292607001525,RAYTOWN SR. HIGH,2018,157,06/29/2018 02:33:00 AM,2926070015252018
291428000646,HERMANN HIGH,2018,52,06/29/2018 02:33:00 AM,2914280006462018
291145000409,EMINENCE HIGH,2018,8,06/29/2018 02:33:00 AM,2911450004092018
290573000120,DELTA C-7 HIGH,2018,11,06/29/2018 02:33:00 AM,2905730001202018
290513000068,BISMARCK R-V HIGH,2018,18,06/29/2018 02:33:00 AM,2905130000682018
291455000684,HOLLISTER HIGH,2018,37,06/29/2018 02:33:00 AM,2914550006842018
00751046,NERINX HALL HIGH SCHOOL,2018,79,06/29/2018 02:33:00 AM,007510462018
290840000244,CENTRALIA HIGH,2018,55,06/29/2018 02:33:00 AM,2908400002442018
290000401488,CENTRAL HIGH,2018,54,06/29/2018 02:33:00 AM,2900004014882018
A9902679,HEARTLAND CHRISTIAN ACADEMY,2018,*,06/29/2018 02:33:00 AM,A99026792018
290702000176,CAMERON HIGH,2018,81,06/29/2018 02:33:00 AM,2907020001762018
291032000335,SHERWOOD HIGH,2018,32,06/29/2018 02:33:00 AM,2910320003352018
292895002063,FRANCIS HOWELL UNION HIGH,2018,22,06/29/2018 02:33:00 AM,2928950020632018
291785000954,LAMAR HIGH,2018,46,06/29/2018 02:33:00 AM,2917850009542018
292917001869,CENTRAL HIGH,2018,68,06/29/2018 02:33:00 AM,2929170018692018
292148001180,MOUND CITY HIGH,2018,12,06/29/2018 02:33:00 AM,2921480011802018
291998001063,MANSFIELD HIGH,2018,28,06/29/2018 02:33:00 AM,2919980010632018
292841001754,SMITHVILLE HIGH,2018,109,06/29/2018 02:33:00 AM,2928410017542018
292859001768,ELLINGTON HIGH SCHOOL,2018,16,06/29/2018 02:33:00 AM,2928590017682018
292169001194,NORTH NODAWAY JR.-SR. HIGH,2018,7,06/29/2018 02:33:00 AM,2921690011942018
292142001177,SCOTT CO. CENTRAL HIGH,2018,11,06/29/2018 02:33:00 AM,2921420011772018
292196001225,NEW HAVEN HIGH,2018,27,06/29/2018 02:33:00 AM,2921960012252018
290000903077,DISCOVERY HALL,2018,*,06/29/2018 02:33:00 AM,2900009030772018
292136001175,MONTROSE HIGH,2018,*,06/29/2018 02:33:00 AM,2921360011752018
291278000535,GIDEON HIGH,2018,8,06/29/2018 02:33:00 AM,2912780005352018
291653000905,KEYTESVILLE HIGH,2018,*,06/29/2018 02:33:00 AM,2916530009052018
291269000532,GRUNDY CO. HIGH,2018,*,06/29/2018 02:33:00 AM,2912690005322018
290002902741,ALTA VISTA CHARTER SCHOOL,2018,14,06/29/2018 02:33:00 AM,2900029027412018
292340002565,LUTIE HIGH,2018,*,06/29/2018 02:33:00 AM,2923400025652018
292355001371,PARK HILL HIGH,2018,264,06/29/2018 02:33:00 AM,2923550013712018
291683000932,KNOB NOSTER HIGH,2018,39,06/29/2018 02:33:00 AM,2916830009322018
292928002313,CLEVELAND NJROTC ACADEMY,2018,38,06/29/2018 02:33:00 AM,2929280023132018
292535001463,PLEASANT HOPE HIGH,2018,20,06/29/2018 02:33:00 AM,2925350014632018
291695000939,LA PLATA HIGH,2018,20,06/29/2018 02:33:00 AM,2916950009392018
292928000790,SOLDAN INTERNATIONAL STUDIES,2018,82,06/29/2018 02:33:00 AM,2929280007902018
290990000293,COLE CAMP HIGH,2018,43,06/29/2018 02:33:00 AM,2909900002932018
291014000326,COOTER HIGH,2018,14,06/29/2018 02:33:00 AM,2910140003262018
291377000608,HARTVILLE HIGH,2018,26,06/29/2018 02:33:00 AM,2913770006082018
292928002767,MILLER CAREER ACADEMY,2018,66,06/29/2018 02:33:00 AM,2929280027672018
292685000665,ROCKWOOD SUMMIT SR. HIGH,2018,220,06/29/2018 02:33:00 AM,2926850006652018
290306000016,ALTON HIGH,2018,25,06/29/2018 02:33:00 AM,2903060000162018
A0105700,PLAZA HEIGHTS CHRISTIAN ACADEMY,2018,16,06/29/2018 02:33:00 AM,A01057002018
A9300543,CROSSPOINT CHRISTIAN SCHOOL,2018,10,06/29/2018 02:33:00 AM,A93005432018
00751807,INCARNATE WORD ACADEMY,2018,56,06/29/2018 02:33:00 AM,007518072018
290543000100,NORTH CO. SR. HIGH,2018,78,06/29/2018 02:33:00 AM,2905430001002018
291008000322,CONCORDIA HIGH,2018,21,06/29/2018 02:33:00 AM,2910080003222018
A0902045,HERITAGE CLASSICAL CHRISTIAN ACADEMY,2018,9,06/29/2018 02:33:00 AM,A09020452018
292322001336,ORRICK HIGH,2018,15,06/29/2018 02:33:00 AM,2923220013362018
292895002072,FRANCIS HOWELL CENTRAL HIGH,2018,242,06/29/2018 02:33:00 AM,2928950020722018
292523001456,PLATTE COUNTY HIGH,2018,143,06/29/2018 02:33:00 AM,2925230014562018
291356000578,HALLSVILLE HIGH,2018,42,06/29/2018 02:33:00 AM,2913560005782018
291338000569,GREENVILLE HIGH,2018,20,06/29/2018 02:33:00 AM,2913380005692018
291822000962,LAWSON HIGH,2018,48,06/29/2018 02:33:00 AM,2918220009622018
290837002624,FT. ZUMWALT WEST HIGH,2018,242,06/29/2018 02:33:00 AM,2908370026242018
291640000862,PASEO ACAD. OF PERFORMING ARTS,2018,52,06/29/2018 02:33:00 AM,2916400008622018
292853001764,SOUTH PEMISCOT HIGH,2018,15,06/29/2018 02:33:00 AM,2928530017642018
