the_geom,OBJECTID,REGULATING_PLAN_SUBDISTRICT_ID,PLAN_NAME,PLAN_TYPE,SUBDISTRICT_MAP,MAX_FAR_BY_RIGHT,MAX_FAR_WITH_BONUS,MINIMUM_HEIGHT,MAX_HEIGHT_WITH_BONUS,MINIMUM_DENSIT,MAXIMUM_DENSITY,MAX_DENSITY_WITH_BONUS,MAXIMUM_IMPERVIOUS_COVER,MINIMUM_LOT_SIZE_SQFT,MINIMUM_LOT_WIDTH_FT,MIN_SETBACK_INTERIOR_SIDE_YRD,MAX_SETBACK_REAR_YRD,MAX_BLDG_COVERAGE_PCT,HYPERLINK_URL,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,HUB,Shape__Area,Shape__Length
"MULTIPOLYGON (((-97.739493722188 30.386035483609, -97.739504449888 30.38603176808, -97.739508452438 30.386030390814, -97.739511141334 30.386029483277, -97.73951623194 30.386027742707, -97.739528077734 30.386023746594, -97.739539921295 30.386019833451, -97.739551795334 30.386015947994, -97.739563667893 30.386012117549, -97.739575602427 30.386008343399, -97.739587535479 30.386004624261, -97.739599498283 30.386000959864, -97.739611460622 30.385997351402, -97.739623484622 30.385993772159, -97.739635507479 30.385990274103, -97.739647528543 30.385986803982, -97.739659612597 30.385983391079, -97.739671693427 30.385980059321, -97.739683774544 30.385976755541, -97.739695916595 30.385973508034, -97.739701092515 30.385972155386, -97.739708058207 30.385970315561, -97.739720197297 30.385967178079, -97.739732399402 30.385964096913, -97.739744566739 30.385961070086, -97.739756797842 30.385958071617, -97.739769026714 30.385955156118, -97.739781254104 30.385952295631, -97.739793544222 30.385949463482, -97.739805799859 30.38594671365, -97.739818118223 30.385943992156, -97.739830403147 30.385941353, -97.739842750798 30.385938742182, -97.739855096969 30.385936186376, -97.739865845989 30.385934037724, -97.739867440931 30.385933712638, -97.739879815349 30.385931267487, -97.739892188286 30.385928877348, -97.739904591263 30.385926569929, -97.739916993487 30.385924290466, -97.739929425438 30.385922066646, -97.73994185591 30.385919897838, -97.739954317173 30.385917783792, -97.739966776931 30.38591572566, -97.739979266417 30.385913723171, -97.739991754448 30.385911774793, -97.740004240973 30.385909882328, -97.740016758291 30.385908044625, -97.740029273064 30.385906262815, -97.740041787422 30.385904535137, -97.740054330755 30.385902891059, -97.740066874087 30.38590124698, -97.740079446708 30.385899713577, -97.740092018601 30.38589820723, -97.740104587974 30.385896755873, -97.740117156882 30.385895360451, -97.740129755543 30.385894019771, -97.740142352724 30.385892734102, -97.740154980672 30.385891504097, -97.740167574893 30.385890328453, -97.740180198842 30.385889208451, -97.740192822351 30.385888143483, -97.740205475588 30.385887134157, -97.740218096138 30.385886179212, -97.740234432564 30.38588502416, -97.740709472715 30.38585301269, -97.740718435821 30.385852368182, -97.740722123008 30.385852112438, -97.740734774755 30.385851158074, -97.740747395734 30.385850148043, -97.740760019959 30.385849055963, -97.740772646415 30.38584788091, -97.740785242102 30.385846650192, -97.740797839267 30.385845364459, -97.740808498177 30.385844204685, -97.740823008307 30.385842572305, -97.740835579116 30.385841066766, -97.740848120221 30.385839504679, -97.740860664572 30.385837860543, -97.740871839707 30.385836352964, -97.740873209362 30.385836161372, -97.740885723382 30.385834406534, -97.740898240673 30.385832568746, -97.740910727923 30.385830648235, -97.740912543993 30.385830382648, -97.74092321665 30.38582867271, -97.74093567565 30.38582664154, -97.740948136855 30.385824528299, -97.74096056729 30.385822359393, -97.740972999205 30.385820135472, -97.740985402142 30.385817827948, -97.740991365538 30.385816683361, -97.740997775037 30.385815437703, -97.741010149411 30.385812992442, -97.741022494055 30.385810491537, -97.741034840178 30.385807935618, -97.74104715701 30.385805269019, -97.741052774129 30.385804035318, -97.741059443362 30.385802574732, -97.741065061232 30.385801313074, -97.741071731944 30.385799797474, -97.741077318318 30.385798507206, -97.741083989757 30.385796964549, -97.741089576857 30.385795647225, -97.741096218567 30.385794048924, -97.741099091915 30.385793364352, -97.741101775212 30.385792703011, -97.741108417649 30.385791077653, -97.741114006227 30.385789705314, -97.741120617168 30.385788051347, -97.741126176018 30.385786623364, -97.74113278771 30.385784941439, -97.741138346246 30.385783486378, -97.741144927458 30.385781776766, -97.741150487786 30.385780293769, -97.741157069748 30.385778556198, -97.741162598556 30.385777045493, -97.741169149749 30.385775252257, -97.741174679308 30.385773713593, -97.741181232995 30.385771866266, -97.741186763305 30.385770299645, -97.741193284745 30.385768451666, -97.741198815782 30.385766857988, -97.7412053387 30.385764954995, -97.741212693638 30.385762765624, -97.741643089297 30.386633946242, -97.741682200763 30.386624669782, -97.742108073776 30.386504033788, -97.74238292626 30.386395637609, -97.742390583999 30.386410533908, -97.74242169866 30.386470982489, -97.742147487952 30.386579116501, -97.741707786734 30.386706707399, -97.742022978796 30.387323654674, -97.741255719005 30.387623537541, -97.741173796885 30.387459858639, -97.740386455712 30.387765464787, -97.740343047836 30.387782299615, -97.740246261182 30.387819866151, -97.739932738067 30.387209604659, -97.739897255979 30.387140540877, -97.739878264978 30.387103549631, -97.739860055719 30.387068142465, -97.739844350445 30.387037543092, -97.739819146809 30.386988517061, -97.739771034105 30.386894857076, -97.739770069752 30.386892981451, -97.739773659715 30.386891582299, -97.739837870427 30.386866807072, -97.739848833825 30.386862573819, -97.739884353571 30.386848851614, -97.73960713139 30.386309237865, -97.739493722188 30.386035483609)))",1247,669,NBG,Regulating Plan,NBGCMU,Figure 4-2,Figure 4-3,Not applicable,Figure 4-5,None,None,Waived with Bonus,Figure 4-7,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,380323.283203125,3043.79037421072
"MULTIPOLYGON (((-97.72957774587 30.261927741116, -97.729613144921 30.261848700547, -97.729735494939 30.261570650989, -97.729876732134 30.261620276827, -97.72977305784 30.261851950188, -97.729719056595 30.261974618272, -97.729595205483 30.261933541576, -97.72957774587 30.261927741116)))",725,271,PS,Regulating Plan,TODLWF,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,17 Dwelling Units/acre although LJ differs by street,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/plaza_saltillo_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,6622.203125,373.107481022893
"MULTIPOLYGON (((-97.731006199748 30.265089409036, -97.73116595327 30.264746109497, -97.731227976754 30.264766621529, -97.731282083541 30.264786972756, -97.731198892211 30.264964056437, -97.731120747014 30.265130240284, -97.731067357652 30.265112653905, -97.731006199748 30.265089409036)))",945,103,PS,Regulating Plan,TODMU,2 to 1,FAR Waived,Two Stories,60 feet unless within 100 feet of TOD District Boundary,Not applicable,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/plaza_saltillo_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,5317.994140625,348.164195499922
"MULTIPOLYGON (((-97.717813586646 30.230061827804, -97.717907387564 30.229909145626, -97.71792863256 30.229874347443, -97.717979571084 30.22989744538, -97.718226596878 30.230015253346, -97.718113115562 30.230199960529, -97.717973169406 30.230133845084, -97.717813586646 30.230061827804)))",80,1088,ERC,Regulating Plan,ERCUR,,,,Not Bonus Eligible,,,,,,,,,,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 12:20:22 PM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,8205.275390625,367.66610911597
"MULTIPOLYGON (((-97.729858013562 30.262020704812, -97.729932971808 30.26185519965, -97.730017250882 30.261667138469, -97.730156904029 30.261716731807, -97.730092884748 30.261858448892, -97.729999136691 30.262068650728, -97.729858013562 30.262020704812)))",723,268,PS,Regulating Plan,TODLWF,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,17 Dwelling Units/acre although LJ differs by street,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/plaza_saltillo_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,6555.244140625,370.887867472772
"MULTIPOLYGON (((-97.726958898461 30.263109401097, -97.727117945644 30.262763341712, -97.727128904984 30.262738811536, -97.727262300192 30.262785530392, -97.727272616239 30.26275548643, -97.727431513327 30.262414924336, -97.727512685606 30.262441960904, -97.72756339808 30.262458861819, -97.727563837972 30.262459008824, -97.727697040346 30.262504623352, -97.727828678084 30.262549518334, -97.727828643662 30.262549599748, -97.727671502964 30.262894378593, -97.727646848495 30.262947370854, -97.727489386224 30.263293463102, -97.727354407925 30.263246712297, -97.72722338805 30.263200041864, -97.727090320582 30.263155255246, -97.726958898461 30.263109401097)))",632,1934,PS,Regulating Plan,TODMU,2 to 1,FAR Waived,Two Stories,60 feet unless within 100 feet of TOD District Boundary,Not applicable,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/plaza_saltillo_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,45777.6875,941.488198943982
"MULTIPOLYGON (((-97.724095691641 30.379213379577, -97.723917743838 30.37912147308, -97.723907326702 30.379116062737, -97.723523052488 30.378915471701, -97.723927581161 30.378291363942, -97.724100577808 30.379116033267, -97.724123814828 30.379226795663, -97.7241240986 30.379228039459, -97.724096535818 30.379213836192, -97.724095691641 30.379213379577)))",1220,600,NBG,Regulating Plan,NBGCMU,Figure 4-2,Figure 4-3,Not applicable,Figure 4-5,None,None,Waived with Bonus,Figure 4-7,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,28784.75,827.619416308541
"MULTIPOLYGON (((-97.715777386265 30.338964756235, -97.715761482724 30.338957252484, -97.715762077116 30.338956356854, -97.715851946792 30.338815860096, -97.71597238184 30.338627497601, -97.71597281146 30.338626846753, -97.716111740332 30.338692995935, -97.716111442013 30.338693485236, -97.71590001094 30.339024109275, -97.715777386265 30.338964756235)))",822,290,LJ,Regulating Plan,TODLWF,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,17 Dwelling Units/acre although LJ differs by street,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/lamar_justin_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,6876.6640625,375.127669430305
"MULTIPOLYGON (((-97.728191913345 30.263542327159, -97.728347570033 30.263192649358, -97.72847859044 30.263239318642, -97.728609517917 30.263285930858, -97.728455163655 30.263635525355, -97.728323538968 30.263588925884, -97.728191913345 30.263542327159)))",1046,33,PS,Regulating Plan,TODMU,2 to 1,FAR Waived,Two Stories,60 feet unless within 100 feet of TOD District Boundary,Not applicable,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/plaza_saltillo_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,12201.212890625,451.642930282277
"MULTIPOLYGON (((-97.713385359276 30.390319805857, -97.71339558726 30.390326340219, -97.713405719059 30.390332928562, -97.713415784438 30.390339624733, -97.713425784105 30.390346402577, -97.713435686878 30.390353260556, -97.713439111475 30.390355668486, -97.713445523205 30.390360227264, -97.713455262332 30.39036724703, -97.713464935014 30.390374375525, -97.7134745108 30.390381584155, -97.713484020876 30.390388874459, -97.713493432992 30.390396245778, -97.713502781222 30.390403669933, -97.713513612253 30.390412527525, -97.713521183373 30.390418815422, -97.713530269262 30.390426509435, -97.713539258257 30.390434283583, -97.713548151068 30.390442111712, -97.713556946248 30.390450047031, -97.713565643189 30.390458035388, -97.713574275459 30.390466105439, -97.713582778585 30.390474254967, -97.713591216001 30.390482486169, -97.713599557256 30.39049077045, -97.713607800577 30.390499134845, -97.713615914754 30.390507578717, -97.713617797405 30.39050954278, -97.713623964996 30.390516077228, -97.713631917327 30.390524654951, -97.713639772434 30.390533286634, -97.713643896997 30.390537936759, -97.713647499412 30.390541998717, -97.713655159689 30.390550790649, -97.713662692572 30.390559635925, -97.713670128255 30.390568534259, -97.713677467044 30.390577512729, -97.713684708632 30.390586544257, -97.713691821077 30.390595655261, -97.713698870345 30.390604792948, -97.713705789405 30.390614010992, -97.713712580361 30.390623308534, -97.713719274877 30.390632631177, -97.713725872473 30.390642034857, -97.713732372868 30.390651491596, -97.71373874488 30.390660999854, -97.713745020706 30.390670562093, -97.713748946826 30.390676693435, -97.713751168124 30.390680176754, -97.713754178528 30.390684996327, -97.713757219406 30.390689843593, -97.713768905659 30.390709252687, -97.713771669833 30.390714974999, -97.713773802291 30.39071939134, -97.713776811756 30.390730068966, -97.713777941502 30.390741011401, -97.713777135872 30.390751968459, -97.713775535617 30.390758344292, -97.713774433779 30.390762695497, -97.713769908153 30.390772806892, -97.713769840971 30.390772942678, -97.713763522235 30.390782467928, -97.713755611554 30.390791052004, -97.713738723366 30.390803083836, -97.713727968861 30.390808915418, -97.713717244094 30.390814801748, -97.713710834617 30.390818356983, -97.713706550814 30.390820716693, -97.713695887247 30.390826687287, -97.713685270541 30.390834419326, -97.713680074111 30.390836541128, -97.713674684037 30.390838741089, -97.713664111384 30.390844851597, -97.713653602493 30.390850990477, -97.713643091825 30.390857156389, -97.713638383345 30.390859975746, -97.71363264416 30.390863378632, -97.713622193933 30.390869656766, -97.713611807469 30.390875963273, -97.713601451477 30.390882297471, -97.713591125197 30.390888687319, -97.713580830406 30.390895105783, -97.713570565352 30.390901578993, -97.713560363276 30.390908109435, -97.713550159423 30.39091466691, -97.713540018267 30.390921253638, -97.713529907888 30.390927895135, -97.713519827957 30.390934565225, -97.71350977878 30.390941290986, -97.71349976005 30.390948045341, -97.713492227736 30.390953199165, -97.713489772097 30.390954854466, -97.713479845802 30.390961692821, -97.713469951019 30.39096855889, -97.713460086964 30.390975481531, -97.713458760472 30.39097641635, -97.713450253406 30.390982430962, -97.713440481786 30.390989437604, -97.713430709428 30.3909964713, -97.713420999768 30.391003534249, -97.71341135207 30.391010653506, -97.713401702875 30.391017827775, -97.713392117162 30.391025002438, -97.713382561137 30.391032233652, -97.713373035889 30.391039519635, -97.713371675907 30.391040537689, -97.713363541824 30.391046807157, -97.713354110026 30.391054178063, -97.713344708395 30.391061549585, -97.713335338557 30.391068976799, -97.713326030401 30.391076432343, -97.713316721483 30.391083915843, -97.713307506777 30.39109145631, -97.713298291309 30.391099024734, -97.713289591458 30.391106272524, -97.713289136787 30.391106648544, -97.713280013753 30.391114300968, -97.713270922232 30.391121981106, -97.713261892368 30.391129690476, -97.713252893256 30.391137455516, -97.713246948103 30.391142614669, -97.713243956866 30.391145248907, -97.713235019715 30.391153070256, -97.713226177534 30.391160920613, -97.713217332817 30.391168825962, -97.713208551862 30.391176759683, -97.713199799554 30.391184749935, -97.713191111743 30.391192741503, -97.713190623632 30.391193198953, -97.71318245471 30.39120078784, -97.713165686378 30.3912165623, -97.713165158704 30.391216139148, -97.713142062954 30.391198587729, -97.713141845095 30.391198446122, -97.713053193949 30.39113106609, -97.713053724015 30.391130252166, -97.713091254068 30.391073095757, -97.713097558965 30.390908806857, -97.71309792479 30.390898830699, -97.713091951322 30.390864163934, -97.713086795424 30.390834382059, -97.713079117263 30.390790054179, -97.713335856968 30.390373884457, -97.713365610777 30.390341377551, -97.713385032284 30.390320156511, -97.713385359276 30.390319805857)))",1228,641,NBG,Regulating Plan,TOD,Figure 4-2,Figure 4-3,Two Stories,Figure 4-5,None,None,Waived with Bonus,Figure 4-6,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,38908.0859375,834.282672118801
"MULTIPOLYGON (((-97.722403643741 30.380550198507, -97.722447901369 30.380478494361, -97.722447867563 30.380478589774, -97.723543387447 30.381004130623, -97.723656813688 30.381058557906, -97.724311006447 30.381372369929, -97.724339097599 30.381385840347, -97.724339722879 30.381386156253, -97.724315973733 30.38146900889, -97.724315911014 30.381468980544, -97.722623067109 30.380655634623, -97.722403643741 30.380550198507)))",140,968,NBG,Regulating Plan,NBGCMU,Figure 4-2,Figure 4-3,Not applicable,Figure 4-5,None,None,Waived with Bonus,Figure 4-7,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,20406.697265625,1431.82976227234
"MULTIPOLYGON (((-97.734418467374 30.262917135804, -97.734502665686 30.26273182052, -97.734574832137 30.262758037357, -97.73465333188 30.262784382607, -97.734570718167 30.262969730127, -97.734492218296 30.262943384825, -97.734418467374 30.262917135804)))",762,73,PS,Regulating Plan,TODLDR,2 to 1,Not Bonus Eligible,Not applicable,Not Bonus Eligible,9 Dwelling Units/acre,16 Dwelling Units/acre,Not Bonus Eligible,0.85,"2,500 SF",20 ft,0 ft,0 ft,0.85,ftp://ftp.ci.austin.tx.us/npzd/Austingo/plaza_saltillo_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,3724.248046875,247.732838495435
"MULTIPOLYGON (((-97.730947518551 30.245760486838, -97.731302840371 30.246034818702, -97.731026245848 30.246277418309, -97.730770535312 30.246068368144, -97.730947518551 30.245760486838)))",385,1155,ERC,Regulating Plan,ERCCOMU,2:1,,60',Not Bonus Eligible,,,,90%,"2,500 sf",20',0',0',,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 12:46:21 PM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,15951.55859375,510.339300439676
"MULTIPOLYGON (((-97.723219363722 30.232933450919, -97.723505299723 30.232490970952, -97.723876614009 30.232669057335, -97.723889978118 30.232648041531, -97.723935329166 30.232576741943, -97.724143245289 30.232677239434, -97.724211716143 30.232711501145, -97.724185256344 30.232752986953, -97.724145624759 30.232814255393, -97.724113660564 30.232863659908, -97.724108758107 30.232872801833, -97.724107823634 30.232874542365, -97.724107624937 30.232874896548, -97.724101986679 30.232885425724, -97.724097104074 30.232891486554, -97.724095432603 30.232893543232, -97.724093764382 30.232896671959, -97.72408959567 30.232904425688, -97.724084942446 30.232910188905, -97.724083041591 30.232912543195, -97.724081508265 30.232915371484, -97.724077204655 30.232923425651, -97.724071044833 30.232931027831, -97.724070945862 30.232931190943, -97.724070650575 30.232931543158, -97.724070153666 30.232932357776, -97.724070021012 30.232932575246, -97.724064022226 30.232942409491, -97.724059303428 30.232948253485, -97.724057468143 30.232950526997, -97.724055546055 30.232953705595, -97.724050839791 30.23296139333, -97.724045563676 30.232967941527, -97.724044285706 30.232969510835, -97.724040124196 30.232974651525, -97.724037731619 30.232977628339, -97.724035942632 30.232980534434, -97.724032594323 30.232986076991, -97.724031103264 30.232988494671, -97.724028284563 30.232992012331, -97.724024549175 30.232996612175, -97.724019933298 30.23300333895, -97.724017129406 30.233007462384, -97.724014082051 30.2330112506, -97.724010575314 30.233015579887, -97.724008035973 30.233019296339, -97.724003155542 30.233026430095, -97.723996601448 30.233034547598, -97.723995458372 30.233035816466, -97.723991638872 30.233040029295, -97.723989255942 30.233042648977, -97.723987665178 30.233045256825, -97.723985975442 30.233048027785, -97.723982627576 30.233053515307, -97.723975282068 30.233061616686, -97.723975184583 30.233061724786, -97.723967936558 30.233069718064, -97.723966221301 30.233072241262, -97.723963155375 30.233076716684, -97.723960516777 30.23308056827, -97.723955554196 30.233086049966, -97.723953171264 30.233088669647, -97.72394582575 30.233096771025, -97.723941803081 30.233102657168, -97.723938405964 30.233107621229, -97.723931060448 30.233115722605, -97.723926424286 30.233120853622, -97.72392371493 30.233123823981, -97.723915577999 30.233131909234, -97.723910796527 30.233138879874, -97.723908158208 30.233142759437, -97.723900812686 30.233150860811, -97.72389593051 30.233155712503, -97.723892675751 30.233158946063, -97.723885330226 30.233167047436, -97.723883293003 30.233169756273, -97.723877119016 30.233177881514, -97.723868982077 30.233185966764, -97.72386097555 30.233193917514, -97.723860845137 30.233194052013, -97.723860616483 30.233194322569, -97.723853499607 30.233202153385, -97.723848421442 30.233207220352, -97.723845362664 30.233210238633, -97.723840546079 30.233215008644, -97.723837225719 30.233218323881, -97.723829088773 30.233226409128, -97.723826329685 30.233230066057, -97.723826198516 30.233230228514, -97.723820877552 30.233237243202, -97.72381194919 30.233245312325, -97.72380381224 30.23325339757, -97.723795675288 30.233261482815, -97.723787538335 30.23326956806, -97.723778609967 30.23327763718, -97.723770473011 30.233285722424, -97.723761544641 30.233293791543, -97.723753407682 30.233301876785, -97.723744479309 30.233309945903, -97.723735550934 30.23331801502, -97.723726622558 30.233326084137, -97.723717694156 30.233334154155, -97.72370955719 30.233342239395, -97.723700628809 30.233350308509, -97.723694446936 30.233354032856, -97.723691774705 30.233355628796, -97.723682054908 30.233363681786, -97.723673126523 30.233371750898, -97.723664424574 30.233379631523, -97.723664198137 30.233379820011, -97.723655269749 30.233387889122, -97.723645549945 30.233395942109, -97.723642330067 30.233397884218, -97.723639979822 30.233399293617, -97.723636695834 30.233401262392, -97.723624650203 30.233412128416, -97.72361890285 30.233417346868, -97.723618839048 30.233417400611, -97.723357002793 30.233436818577, -97.723063690755 30.233243817406, -97.723062945653 30.233243279765, -97.723044774837 30.233230010468, -97.723044276922 30.233229670064, -97.72308664139 30.233148215381, -97.723095228727 30.233131696136, -97.723173947096 30.233005958976, -97.723219363722 30.232933450919)))",95,1105,ERC,Regulating Plan,ERCCOMU,2:1,,60',160',,,,90%,"2,500 sf",20',0',0',,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 12:24:17 PM +0000,VanallenC,04/23/2015 02:09:52 PM +0000,YES,71981.576171875,1105.3867137698
"MULTIPOLYGON (((-97.725628343624 30.243155418915, -97.72572880956 30.242998159004, -97.725773117604 30.243019497205, -97.72578419358 30.243024831732, -97.725680058785 30.243187836211, -97.725628343624 30.243155418915)))",186,1231,ERC,Regulating Plan,,,,,,,,,,,,,,,,VanallenC,04/23/2015 02:34:03 PM +0000,VanallenC,04/23/2015 03:01:17 PM +0000,,1331.888671875,173.335505177983
"MULTIPOLYGON (((-97.733568358401 30.385306066388, -97.734664744995 30.385835419865, -97.734708118155 30.3858563757, -97.733754150905 30.389591047665, -97.732830883957 30.392229408942, -97.732205846814 30.394670834324, -97.732192066145 30.394724158982, -97.732157002123 30.394856070846, -97.732144539818 30.394901694512, -97.731921394145 30.395054903523, -97.731664492918 30.395042240921, -97.730415213446 30.394164095965, -97.729982916182 30.393955675466, -97.733568358401 30.385306066388)))",1191,884,NBG,Regulating Plan,NBGCMU,Figure 4-2,Figure 4-3,Not applicable,Figure 4-5,None,None,Waived with Bonus,Figure 4-7,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,1994262.98632813,7977.51822238463
"MULTIPOLYGON (((-97.703108188355 30.28283837136, -97.703180425871 30.283294902699, -97.70320912382 30.283547783301, -97.702926396937 30.283584362914, -97.702780632442 30.283603677003, -97.702628412065 30.282914527194, -97.703108188355 30.28283837136)))",802,363,MLK,Regulating Plan,TODCOMU,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,None,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/mlk_regplan_revised.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,37703.5859375,805.92588133807
"MULTIPOLYGON (((-97.717341380274 30.230542185651, -97.717049927913 30.230409908981, -97.717163267034 30.230224705301, -97.717454327712 30.230357386092, -97.717341380274 30.230542185651)))",328,1322,ERC,Regulating Plan,,,,,,,,,,,,,,,,VanallenC,04/23/2015 02:45:18 PM +0000,VanallenC,04/23/2015 03:01:17 PM +0000,,7910.509765625,360.040774060441
"MULTIPOLYGON (((-97.721907028159 30.330225311917, -97.721983977123 30.330105863384, -97.722157689553 30.330189161702, -97.722331643183 30.330269439116, -97.722332269922 30.330269727095, -97.72237215181 30.330289791771, -97.72229441097 30.330409224406, -97.721907028159 30.330225311917)))",870,507,LJ,Regulating Plan,TODCOMU,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,None,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/lamar_justin_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,6941.09375,378.518732941142
"MULTIPOLYGON (((-97.715770613275 30.343014811194, -97.715910056774 30.342792209834, -97.716435000933 30.343048779133, -97.716297281478 30.343267455819, -97.715770613275 30.343014811194)))",50,422,LJ,Regulating Plan,TODCOMU,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,None,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/lamar_justin_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,17357.322265625,562.679772624481
"MULTIPOLYGON (((-97.730896382713 30.262375335218, -97.731054053547 30.262020992294, -97.731196082689 30.262070632738, -97.731036037336 30.262424927601, -97.730896382713 30.262375335218)))",339,10,PS,Regulating Plan,TODLWF,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,17 Dwelling Units/acre although LJ differs by street,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/plaza_saltillo_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,6634.861328125,372.531132068111
