Reporting Area,MMWR Year,MMWR Week,"Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Max†","Malaria, Previous 52 weeks Max†, flag","Malaria, Cum 2020†","Malaria, Cum 2020†, flag","Malaria, Cum 2019†","Malaria, Cum 2019†, flag","Measles§, Imported, Current week","Measles§, Imported, Current week, flag","Measles§, Imported, Previous 52 weeks Max†","Measles§, Imported, Previous 52 weeks Max†, flag","Measles§, Imported, Cum 2020†","Measles§, Imported, Cum 2020†, flag","Measles§, Imported, Cum 2019†","Measles§, Imported, Cum 2019†, flag","Measles§, Indigenous, Current week","Measles§, Indigenous, Current week, flag","Measles§, Indigenous, Previous 52 weeks Max†","Measles§, Indigenous, Previous 52 weeks Max†, flag","Measles§, Indigenous, Cum 2020†","Measles§, Indigenous, Cum 2020†, flag","Measles§, Indigenous, Cum 2019†","Measles§, Indigenous, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
CONNECTICUT,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,CONNECTICUT,,20200103,POINT (-72.738288 41.575155)
MASSACHUSETTS,2020,1,2,,6,,2,,1,,,-,1,,,-,,-,,-,1,,,-,,-,MASSACHUSETTS,,20200105,POINT (-71.481104 42.151077)
VERMONT,2020,1,,-,1,,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,VERMONT,,20200108,POINT (-72.662695 44.075252)
NEW JERSEY,2020,1,,-,7,,,-,2,,,-,1,,,-,,-,,-,3,,,-,,-,NEW JERSEY,,20200110,POINT (-74.655514 40.110253)
ILLINOIS,2020,1,,-,5,,,-,1,,,-,1,,,-,,-,,-,2,,,-,,-,ILLINOIS,,20200115,POINT (-89.148632 40.124144)
KANSAS,2020,1,,-,1,,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,KANSAS,,20200122,POINT (-98.38018 38.484729)
NEBRASKA,2020,1,,-,2,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,NEBRASKA,,20200125,POINT (-99.810595 41.527099)
SOUTH DAKOTA,2020,1,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,SOUTH DAKOTA,,20200127,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2020,1,3,,25,,3,,2,,,-,1,,,-,,-,,-,7,,,-,,-,,SOUTH ATLANTIC,20200128,
DISTRICT OF COLUMBIA,2020,1,,-,3,,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,DISTRICT OF COLUMBIA,,20200130,POINT (-77.016275 38.904785)
GEORGIA,2020,1,,-,4,,,-,1,,,-,0,,,-,,-,,-,7,,,-,,-,GEORGIA,,20200132,POINT (-83.426574 32.638481)
VIRGINIA,2020,1,,-,6,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200136,POINT (-78.666382 37.510861)
WEST VIRGINIA,2020,1,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,WEST VIRGINIA,,20200137,POINT (-80.613729 38.642579)
ALABAMA,2020,1,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,ALABAMA,,20200139,POINT (-86.844516 32.756889)
TENNESSEE,2020,1,1,,2,,1,,1,,,-,1,,,-,,-,,-,2,,,-,,-,TENNESSEE,,20200142,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,1,,-,9,,,-,1,,,-,1,,,-,,-,,-,5,,,-,,-,,WEST SOUTH CENTRAL,20200143,
NEVADA,2020,1,,-,2,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,NEVADA,,20200153,POINT (-114.916992 39.283294)
WYOMING,2020,1,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,WYOMING,,20200156,POINT (-107.55145 42.999627)
CALIFORNIA,2020,1,,-,6,,,-,3,,,-,2,,,-,2,,,-,9,,,-,,-,CALIFORNIA,,20200159,POINT (-119.662127 37.211164)
