Reporting Area,MMWR Year,MMWR Week,"Pertussis§, Current week","Pertussis§, Current week, flag","Pertussis§, Previous 52 weeks Max†","Pertussis§, Previous 52 weeks Max†, flag","Pertussis§, Cum 2020†","Pertussis§, Cum 2020†, flag","Pertussis§, Cum 2019†","Pertussis§, Cum 2019†, flag","Plague, Current week","Plague, Current week, flag","Plague, Previous 52 weeks Max†","Plague, Previous 52 weeks Max†, flag","Plague, Cum 2020†","Plague, Cum 2020†, flag","Plague, Cum 2019†","Plague, Cum 2019†, flag","Poliomyelitis, paralytic, Current week","Poliomyelitis, paralytic, Current week, flag","Poliomyelitis, paralytic, Previous 52 weeks Max†","Poliomyelitis, paralytic, Previous 52 weeks Max†, flag","Poliomyelitis, paralytic, Cum 2020†","Poliomyelitis, paralytic, Cum 2020†, flag","Poliomyelitis, paralytic, Cum 2019†","Poliomyelitis, paralytic, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
TOTAL,2020,1,74,,1038,,74,,296,,,-,1,,,-,,-,,-,0,,,-,,-,,TOTAL,20200170,
WEST SOUTH CENTRAL,2020,1,,-,121,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200143,
ILLINOIS,2020,1,,-,39,,,-,8,,,-,0,,,-,,-,,-,0,,,-,,-,ILLINOIS,,20200115,POINT (-89.148632 40.124144)
SOUTH DAKOTA,2020,1,,-,11,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200127,POINT (-100.230491 44.43614)
KENTUCKY,2020,1,1,,10,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20200140,POINT (-85.290484 37.526683)
NEW JERSEY,2020,1,,-,11,,,-,11,,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20200110,POINT (-74.655514 40.110253)
SOUTH ATLANTIC,2020,1,9,,53,,9,,27,,,-,0,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC,20200128,
NEW MEXICO,2020,1,,-,9,,,-,5,,,-,1,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200154,POINT (-106.108388 34.421369)
GEORGIA,2020,1,,-,9,,,-,9,,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200132,POINT (-83.426574 32.638481)
DISTRICT OF COLUMBIA,2020,1,,-,4,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200130,POINT (-77.016275 38.904785)
ALABAMA,2020,1,,-,14,,,-,6,,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200139,POINT (-86.844516 32.756889)
ARIZONA,2020,1,4,,13,,4,,4,,,-,0,,,-,,-,,-,0,,,-,,-,ARIZONA,,20200149,POINT (-111.664616 34.293239)
WYOMING,2020,1,,-,7,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200156,POINT (-107.55145000000002 42.999627)
MARYLAND,2020,1,2,,6,,2,,1,,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,20200133,POINT (-76.68728200000001 38.946466)
WEST VIRGINIA,2020,1,,-,5,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20200137,POINT (-80.613729 38.642579000000005)
US RESIDENTS,2020,1,74,,1038,,74,,296,,,-,1,,,-,,-,,-,0,,,-,,-,,US RESIDENTS,20200101,
NEBRASKA,2020,1,4,,10,,4,,4,,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200125,POINT (-99.810595 41.527099)
CALIFORNIA,2020,1,,-,64,,,-,60,,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200159,POINT (-119.662127 37.211164)
CONNECTICUT,2020,1,,-,5,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,20200103,POINT (-72.738288 41.575155)
PENNSYLVANIA,2020,1,16,,52,,16,,10,,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20200113,POINT (-77.838886 40.896694)
KANSAS,2020,1,,-,5,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200122,POINT (-98.38018 38.484729)
OHIO,2020,1,30,,43,,30,,19,,,-,0,,,-,,-,,-,0,,,-,,-,OHIO,,20200118,POINT (-82.70936 40.41553400000001)
MASSACHUSETTS,2020,1,,-,13,,,-,7,,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20200105,POINT (-71.481104 42.151077)
NEVADA,2020,1,,-,4,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,20200153,POINT (-114.916992 39.283294)
US RESIDENTS,2020,9,122,,455,,2113,,2432,,,-,1,,,-,,-,,-,0,,,-,,-,,US RESIDENTS,20200901,
NEW YORK CITY,2020,1,,-,15,,,-,11,,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200112,
ALASKA,2020,1,,-,4,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20200158,POINT (-151.631889 63.631125999999995)
VERMONT,2020,1,,-,5,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20200108,POINT (-72.662695 44.075252)
