Reporting Area,MMWR Year,MMWR Week,"Pertussis§, Current week","Pertussis§, Current week, flag","Pertussis§, Previous 52 weeks Max†","Pertussis§, Previous 52 weeks Max†, flag","Pertussis§, Cum 2020†","Pertussis§, Cum 2020†, flag","Pertussis§, Cum 2019†","Pertussis§, Cum 2019†, flag","Plague, Current week","Plague, Current week, flag","Plague, Previous 52 weeks Max†","Plague, Previous 52 weeks Max†, flag","Plague, Cum 2020†","Plague, Cum 2020†, flag","Plague, Cum 2019†","Plague, Cum 2019†, flag","Poliomyelitis, paralytic, Current week","Poliomyelitis, paralytic, Current week, flag","Poliomyelitis, paralytic, Previous 52 weeks Max†","Poliomyelitis, paralytic, Previous 52 weeks Max†, flag","Poliomyelitis, paralytic, Cum 2020†","Poliomyelitis, paralytic, Cum 2020†, flag","Poliomyelitis, paralytic, Cum 2019†","Poliomyelitis, paralytic, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
U.S. VIRGIN ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200468,POINT (-64.840836 18.060868)
MICHIGAN,2020,4,,-,18,,7,,43,,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200417,POINT (-85.730977 44.874798)
GEORGIA,2020,4,,-,5,,1,,20,,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200432,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,4,,-,15,,,-,22,,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200412,
ARKANSAS,2020,4,2,,7,,6,,9,,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200444,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,4,,-,3,,2,,4,,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,4,,-,11,,,-,18,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200427,POINT (-100.230491 44.43614)
WYOMING,2020,4,,-,7,,9,,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200456,POINT (-107.55145 42.999627)
MISSOURI,2020,4,,-,19,,10,,24,,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,20200424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,4,32,,80,,120,,102,,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200409,
CALIFORNIA,2020,4,,-,64,,31,,184,,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,4,,-,5,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20200437,POINT (-80.613729 38.642579)
FLORIDA,2020,4,4,,15,,24,,27,,,-,0,,,-,,-,,-,0,,,-,,-,FLORIDA,,20200431,POINT (-82.420978 28.260731)
MONTANA,2020,4,,-,95,,2,,43,,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,20200452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,4,2,,46,,23,,119,,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200420,
MASSACHUSETTS,2020,4,,-,13,,,-,22,,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20200405,POINT (-71.481104 42.151077)
MOUNTAIN,2020,4,28,,134,,122,,161,,,-,1,,,-,,-,,-,0,,,-,,-,,MOUNTAIN,20200448,
INDIANA,2020,4,,-,11,,6,,16,,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200469,
US TERRITORIES,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200463,
TOTAL,2020,5,122,,442,,919,,1424,,,-,1,,,-,,-,,-,0,,,-,,-,,TOTAL,20200570,
US RESIDENTS,2020,5,122,,442,,919,,1424,,,-,1,,,-,,-,,-,0,,,-,,-,,US RESIDENTS,20200501,
NEW HAMPSHIRE,2020,5,,-,5,,,-,10,,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200506,POINT (-71.57139 43.680429)
NEW YORK,2020,5,9,,30,,43,,43,,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20200511,POINT (-75.59655 42.921241)
PACIFIC,2020,5,5,,86,,135,,309,,,-,0,,,-,,-,,-,0,,,-,,-,,PACIFIC,20200557,
WEST SOUTH CENTRAL,2020,5,5,,90,,22,,35,,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200543,
NEBRASKA,2020,5,1,,11,,14,,10,,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200525,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,5,2,,28,,41,,59,,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200538,
NORTH DAKOTA,2020,5,,-,7,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20200526,POINT (-100.46931 47.446305)
NEVADA,2020,5,,-,6,,,-,8,,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,20200553,POINT (-114.916992 39.283294)
ILLINOIS,2020,5,2,,44,,49,,51,,,-,0,,,-,,-,,-,0,,,-,,-,ILLINOIS,,20200515,POINT (-89.148632 40.124144)
IOWA,2020,5,,-,17,,2,,26,,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20200521,POINT (-93.500061 42.074659)
TEXAS,2020,5,5,,85,,15,,17,,,-,0,,,-,,-,,-,0,,,-,,-,TEXAS,,20200547,POINT (-99.317341 31.447238)
ALASKA,2020,5,,-,4,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20200558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,5,,-,4,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200530,POINT (-77.016275 38.904785)
WASHINGTON,2020,5,1,,24,,52,,53,,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200562,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,5,5,,25,,23,,98,,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,20200502,
RHODE ISLAND,2020,5,,-,6,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200507,POINT (-71.534637 41.572574)
OREGON,2020,5,4,,18,,28,,24,,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20200561,POINT (-120.605279 43.940449)
DELAWARE,2020,5,3,,3,,5,,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200529,POINT (-75.452394 38.994926)
ALABAMA,2020,5,,-,14,,6,,24,,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200539,POINT (-86.844516 32.756889)
KANSAS,2020,5,,-,5,,,-,15,,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,5,,-,20,,11,,37,,,-,0,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200534,POINT (-79.130883 35.52603)
GUAM,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200566,POINT (144.653198 13.3532)
NEW JERSEY,2020,5,,-,11,,,-,30,,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20200510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,5,,-,9,,11,,19,,,-,1,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,5,20,,115,,249,,292,,,-,0,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200514,
TENNESSEE,2020,5,1,,14,,16,,14,,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20200542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,5,,-,5,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,20200503,POINT (-72.738288 41.575155)
MARYLAND,2020,5,,-,6,,5,,12,,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,20200533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,5,,-,11,,11,,26,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20200535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,5,,-,10,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200565,POINT (145.725693 15.1834)
OHIO,2020,5,17,,51,,165,,120,,,-,0,,,-,,-,,-,0,,,-,,-,OHIO,,20200518,POINT (-82.70936 40.415534)
MINNESOTA,2020,5,,-,15,,,-,38,,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200523,POINT (-94.198308 46.349153)
LOUISIANA,2020,5,,-,5,,1,,8,,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20200545,POINT (-91.840238 30.921314)
HAWAII,2020,5,,-,4,,3,,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20200560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,5,31,,59,,98,,138,,,-,0,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC,20200528,
PENNSYLVANIA,2020,5,18,,50,,118,,32,,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20200513,POINT (-77.838886 40.896694)
UTAH,2020,5,,-,12,,1,,37,,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20200555,POINT (-111.678222 39.323779)
COLORADO,2020,5,11,,21,,47,,44,,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20200550,POINT (-105.547832 38.998552)
VERMONT,2020,5,,-,5,,4,,2,,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20200508,POINT (-72.662695 44.075252)
KENTUCKY,2020,5,1,,11,,16,,16,,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20200540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200567,POINT (-66.414655 18.215692)
MAINE,2020,5,5,,17,,15,,56,,,-,0,,,-,,-,,-,0,,,-,,-,MAINE,,20200504,POINT (-69.06137 45.117911)
VIRGINIA,2020,5,6,,25,,19,,5,,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200536,POINT (-78.666382 37.510861)
ARIZONA,2020,5,15,,14,,74,,37,,,-,0,,,-,,-,,-,0,,,-,,-,ARIZONA,,20200549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200564,
WISCONSIN,2020,5,,-,42,,15,,50,,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20200519,POINT (-89.732969 44.639954)
IDAHO,2020,5,,-,17,,12,,14,,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,20200551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200568,POINT (-64.840836 18.060868)
MICHIGAN,2020,5,,-,18,,13,,48,,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200517,POINT (-85.730977 44.874798)
GEORGIA,2020,5,,-,4,,1,,21,,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,5,,-,15,,7,,27,,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200512,
ARKANSAS,2020,5,,-,7,,6,,10,,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,5,,-,3,,3,,5,,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,5,,-,11,,,-,29,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200527,POINT (-100.230491 44.43614)
WYOMING,2020,5,,-,7,,9,,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200556,POINT (-107.55145 42.999627)
MISSOURI,2020,5,,-,19,,10,,34,,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,20200524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,5,27,,80,,168,,132,,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200509,
CALIFORNIA,2020,5,,-,64,,52,,230,,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,5,,-,5,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20200537,POINT (-80.613729 38.642579)
FLORIDA,2020,5,22,,15,,46,,34,,,-,0,,,-,,-,,-,0,,,-,,-,FLORIDA,,20200531,POINT (-82.420978 28.260731)
MONTANA,2020,5,,-,95,,2,,50,,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,20200552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,5,1,,46,,27,,152,,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200520,
MASSACHUSETTS,2020,5,,-,14,,4,,26,,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20200505,POINT (-71.481104 42.151077)
MOUNTAIN,2020,5,26,,134,,156,,209,,,-,1,,,-,,-,,-,0,,,-,,-,,MOUNTAIN,20200548,
INDIANA,2020,5,1,,11,,7,,23,,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200516,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200569,
US TERRITORIES,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200563,
TOTAL,2020,6,120,,452,,1200,,1677,,,-,1,,,-,,-,,-,0,,,-,,-,,TOTAL,20200670,
US RESIDENTS,2020,6,120,,452,,1200,,1677,,,-,1,,,-,,-,,-,0,,,-,,-,,US RESIDENTS,20200601,
NEW HAMPSHIRE,2020,6,,-,5,,1,,12,,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200606,POINT (-71.57139 43.680429)
NEW YORK,2020,6,5,,30,,48,,49,,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20200611,POINT (-75.59655 42.921241)
PACIFIC,2020,6,4,,86,,205,,357,,,-,0,,,-,,-,,-,0,,,-,,-,,PACIFIC,20200657,
WEST SOUTH CENTRAL,2020,6,13,,94,,41,,47,,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200643,
NEBRASKA,2020,6,2,,11,,16,,12,,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,6,3,,28,,50,,73,,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200638,
NORTH DAKOTA,2020,6,,-,7,,3,,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20200626,POINT (-100.46931 47.446305)
NEVADA,2020,6,,-,6,,,-,10,,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,20200653,POINT (-114.916992 39.283294)
ILLINOIS,2020,6,,-,45,,69,,62,,,-,0,,,-,,-,,-,0,,,-,,-,ILLINOIS,,20200615,POINT (-89.148632 40.124144)
IOWA,2020,6,,-,17,,3,,28,,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20200621,POINT (-93.500061 42.074659)
TEXAS,2020,6,10,,89,,31,,25,,,-,0,,,-,,-,,-,0,,,-,,-,TEXAS,,20200647,POINT (-99.317341 31.447238)
ALASKA,2020,6,,-,4,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20200658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,6,,-,4,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200630,POINT (-77.016275 38.904785)
WASHINGTON,2020,6,,-,28,,73,,57,,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,6,2,,25,,29,,118,,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,20200602,
RHODE ISLAND,2020,6,,-,6,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200607,POINT (-71.534637 41.572574)
OREGON,2020,6,4,,19,,52,,26,,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20200661,POINT (-120.605279 43.940449)
DELAWARE,2020,6,,-,3,,5,,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200629,POINT (-75.452394 38.994926)
ALABAMA,2020,6,,-,14,,9,,28,,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200639,POINT (-86.844516 32.756889)
KANSAS,2020,6,,-,5,,,-,16,,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,6,,-,20,,14,,42,,,-,0,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200634,POINT (-79.130883 35.52603)
GUAM,2020,6,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200666,POINT (144.653198 13.3532)
NEW JERSEY,2020,6,,-,11,,,-,33,,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20200610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,6,,-,9,,14,,24,,,-,1,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,6,32,,123,,323,,349,,,-,0,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200614,
TENNESSEE,2020,6,3,,14,,20,,21,,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20200642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,6,,-,5,,,-,5,,,-,0,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,20200603,POINT (-72.738288 41.575155)
MARYLAND,2020,6,,-,6,,5,,12,,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,20200633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,6,,-,11,,11,,30,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20200635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,6,,-,10,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200665,POINT (145.725693 15.1834)
OHIO,2020,6,32,,51,,197,,148,,,-,0,,,-,,-,,-,0,,,-,,-,OHIO,,20200618,POINT (-82.70936 40.415534)
MINNESOTA,2020,6,,-,15,,,-,42,,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200623,POINT (-94.198308 46.349153)
LOUISIANA,2020,6,,-,5,,1,,12,,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20200645,POINT (-91.840238 30.921314)
HAWAII,2020,6,,-,4,,5,,2,,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20200660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,6,22,,59,,128,,160,,,-,0,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC,20200628,
PENNSYLVANIA,2020,6,15,,50,,143,,45,,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20200613,POINT (-77.838886 40.896694)
UTAH,2020,6,,-,12,,2,,46,,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20200655,POINT (-111.678222 39.323779)
COLORADO,2020,6,5,,21,,52,,53,,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20200650,POINT (-105.547832 38.998552)
VERMONT,2020,6,2,,5,,8,,3,,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20200608,POINT (-72.662695 44.075252)
KENTUCKY,2020,6,,-,11,,16,,19,,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20200640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200667,POINT (-66.414655 18.215692)
MAINE,2020,6,,-,17,,16,,66,,,-,0,,,-,,-,,-,0,,,-,,-,MAINE,,20200604,POINT (-69.06137 45.117911)
VIRGINIA,2020,6,1,,25,,23,,9,,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200636,POINT (-78.666382 37.510861)
ARIZONA,2020,6,14,,18,,88,,48,,,-,0,,,-,,-,,-,0,,,-,,-,ARIZONA,,20200649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200664,
WISCONSIN,2020,6,,-,42,,28,,56,,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20200619,POINT (-89.732969 44.639954)
IDAHO,2020,6,,-,17,,12,,15,,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,20200651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200668,POINT (-64.840836 18.060868)
MICHIGAN,2020,6,,-,21,,20,,57,,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200617,POINT (-85.730977 44.874798)
GEORGIA,2020,6,,-,4,,1,,25,,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,6,,-,15,,12,,30,,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200612,
ARKANSAS,2020,6,3,,7,,9,,10,,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,6,,-,3,,5,,5,,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,6,,-,11,,,-,31,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200627,POINT (-100.230491 44.43614)
WYOMING,2020,6,,-,7,,9,,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200656,POINT (-107.55145 42.999627)
MISSOURI,2020,6,3,,19,,20,,38,,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,20200624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,6,20,,80,,203,,157,,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200609,
CALIFORNIA,2020,6,,-,64,,75,,269,,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,6,,-,5,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20200637,POINT (-80.613729 38.642579)
FLORIDA,2020,6,21,,15,,69,,39,,,-,0,,,-,,-,,-,0,,,-,,-,FLORIDA,,20200631,POINT (-82.420978 28.260731)
MONTANA,2020,6,,-,95,,2,,53,,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,20200652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,6,5,,46,,42,,167,,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200620,
MASSACHUSETTS,2020,6,,-,14,,4,,32,,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20200605,POINT (-71.481104 42.151077)
MOUNTAIN,2020,6,19,,134,,179,,249,,,-,1,,,-,,-,,-,0,,,-,,-,,MOUNTAIN,20200648,
INDIANA,2020,6,,-,11,,9,,26,,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200616,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200669,
US TERRITORIES,2020,6,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200663,
TOTAL,2020,7,93,,452,,1477,,1935,,,-,1,,,-,,-,,-,0,,,-,,-,,TOTAL,20200770,
US RESIDENTS,2020,7,93,,452,,1477,,1935,,,-,1,,,-,,-,,-,0,,,-,,-,,US RESIDENTS,20200701,
NEW HAMPSHIRE,2020,7,,-,5,,1,,13,,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200706,POINT (-71.57139 43.680429)
NEW YORK,2020,7,8,,30,,57,,65,,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20200711,POINT (-75.59655 42.921241)
PACIFIC,2020,7,,-,86,,257,,419,,,-,0,,,-,,-,,-,0,,,-,,-,,PACIFIC,20200757,
WEST SOUTH CENTRAL,2020,7,1,,97,,48,,54,,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200743,
NEBRASKA,2020,7,1,,11,,19,,12,,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,7,3,,28,,72,,85,,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200738,
NORTH DAKOTA,2020,7,,-,7,,3,,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20200726,POINT (-100.46931 47.446305)
NEVADA,2020,7,,-,6,,2,,11,,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,20200753,POINT (-114.916992 39.283294)
ILLINOIS,2020,7,,-,45,,93,,73,,,-,0,,,-,,-,,-,0,,,-,,-,ILLINOIS,,20200715,POINT (-89.148632 40.124144)
IOWA,2020,7,,-,17,,5,,31,,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20200721,POINT (-93.500061 42.074659)
TEXAS,2020,7,,-,92,,36,,30,,,-,0,,,-,,-,,-,0,,,-,,-,TEXAS,,20200747,POINT (-99.317341 31.447238)
ALASKA,2020,7,,-,4,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20200758,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,7,,-,4,,3,,3,,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200730,POINT (-77.016275 38.904785)
WASHINGTON,2020,7,,-,30,,95,,61,,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200762,POINT (-120.592492 47.411715)
