Reporting Area,MMWR Year,MMWR Week,"Syphilis, Congenital, Current week","Syphilis, Congenital, Current week, flag","Syphilis, Congenital, Previous 52 weeks Max†","Syphilis, Congenital, Previous 52 weeks Max†, flag","Syphilis, Congenital, Cum 2020†","Syphilis, Congenital, Cum 2020†, flag","Syphilis, Congenital, Cum 2019†","Syphilis, Congenital, Cum 2019†, flag","Syphilis, Primary and secondary, Current week","Syphilis, Primary and secondary, Current week, flag","Syphilis, Primary and secondary, Previous 52 weeks Max†","Syphilis, Primary and secondary, Previous 52 weeks Max†, flag","Syphilis, Primary and secondary, Cum 2020†","Syphilis, Primary and secondary, Cum 2020†, flag","Syphilis, Primary and secondary, Cum 2019†","Syphilis, Primary and secondary, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
NEBRASKA,2020,1,,-,0,,,-,,-,,-,7,,,-,2,,NEBRASKA,,20200125,POINT (-99.810595 41.527099)
MISSOURI,2020,1,,-,1,,,-,,-,1,,24,,1,,17,,MISSOURI,,20200124,POINT (-92.477244 38.3675)
HAWAII,2020,1,,-,0,,,-,,-,,-,5,,,-,2,,HAWAII,,20200160,POINT (-157.854309 21.361013)
SOUTH CAROLINA,2020,1,,-,0,,,-,,-,,-,27,,,-,8,,SOUTH CAROLINA,,20200135,POINT (-80.864614 33.878572)
MICHIGAN,2020,1,,-,2,,,-,,-,,-,20,,,-,11,,MICHIGAN,,20200117,POINT (-85.730977 44.874798)
OREGON,2020,1,,-,2,,,-,,-,1,,14,,1,,4,,OREGON,,20200161,POINT (-120.60527899999998 43.940449)
NEW HAMPSHIRE,2020,1,,-,1,,,-,,-,,-,3,,,-,,-,NEW HAMPSHIRE,,20200106,POINT (-71.57139000000001 43.680429)
AMERICAN SAMOA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200164,
ALASKA,2020,1,,-,0,,,-,,-,,-,7,,,-,1,,ALASKA,,20200158,POINT (-151.631889 63.631125999999995)
NON-US RESIDENTS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200169,
FLORIDA,2020,1,,-,6,,,-,3,,1,,86,,1,,20,,FLORIDA,,20200131,POINT (-82.42097800000002 28.260731)
TOTAL,2020,6,,-,40,,33,,172,,54,,776,,1748,,4321,,,TOTAL,20200670,
NON-US RESIDENTS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200669,
US RESIDENTS,2020,2,,-,37,,,-,53,,54,,773,,165,,1319,,,US RESIDENTS,20200201,
NEW HAMPSHIRE,2020,6,,-,1,,,-,,-,,-,3,,3,,5,,NEW HAMPSHIRE,,20200606,POINT (-71.57139 43.680429)
NEW YORK,2020,6,,-,2,,,-,4,,23,,64,,59,,60,,NEW YORK,,20200611,POINT (-75.59655 42.921241)
PACIFIC,2020,6,,-,15,,21,,60,,10,,214,,559,,1111,,,PACIFIC,20200657,
WEST SOUTH CENTRAL,2020,6,,-,13,,6,,48,,,-,85,,120,,397,,,WEST SOUTH CENTRAL,20200643,
NEBRASKA,2020,6,,-,0,,,-,,-,1,,7,,8,,14,,NEBRASKA,,20200625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,6,,-,3,,,-,5,,,-,60,,62,,221,,,EAST SOUTH CENTRAL,20200638,
NORTH DAKOTA,2020,6,,-,0,,,-,,-,,-,3,,1,,2,,NORTH DAKOTA,,20200626,POINT (-100.46931 47.446305)
NEVADA,2020,6,,-,3,,,-,2,,,-,25,,,-,82,,NEVADA,,20200653,POINT (-114.916992 39.283294)
ILLINOIS,2020,6,,-,3,,,-,1,,1,,36,,8,,157,,ILLINOIS,,20200615,POINT (-89.148632 40.124144)
IOWA,2020,6,,-,1,,,-,,-,,-,6,,4,,8,,IOWA,,20200621,POINT (-93.500061 42.074659)
TEXAS,2020,6,,-,12,,5,,39,,,-,56,,85,,206,,TEXAS,,20200647,POINT (-99.317341 31.447238)
ALASKA,2020,6,,-,0,,,-,,-,,-,7,,,-,5,,ALASKA,,20200658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,6,,-,1,,1,,1,,,-,11,,15,,36,,DISTRICT OF COLUMBIA,,20200630,POINT (-77.016275 38.904785)
WASHINGTON,2020,6,,-,3,,,-,2,,10,,26,,50,,108,,WASHINGTON,,20200662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,6,,-,1,,,-,,-,,-,26,,42,,105,,,NEW ENGLAND,20200602,
RHODE ISLAND,2020,6,,-,0,,,-,,-,,-,8,,,-,12,,RHODE ISLAND,,20200607,POINT (-71.534637 41.572574)
OREGON,2020,6,,-,2,,,-,1,,,-,14,,39,,42,,OREGON,,20200661,POINT (-120.605279 43.940449)
DELAWARE,2020,6,,-,1,,,-,1,,,-,6,,4,,13,,DELAWARE,,20200629,POINT (-75.452394 38.994926)
ALABAMA,2020,6,,-,2,,,-,1,,,-,27,,14,,61,,ALABAMA,,20200639,POINT (-86.844516 32.756889)
KANSAS,2020,6,,-,2,,,-,,-,,-,11,,,-,20,,KANSAS,,20200622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,6,,-,3,,,-,6,,,-,34,,,-,120,,NORTH CAROLINA,,20200634,POINT (-79.130883 35.52603)
GUAM,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200666,POINT (144.653198 13.3532)
NEW JERSEY,2020,6,,-,2,,,-,,-,,-,20,,12,,66,,NEW JERSEY,,20200610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,6,,-,2,,,-,,-,,-,20,,26,,65,,NEW MEXICO,,20200654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,6,,-,3,,,-,4,,3,,78,,84,,370,,,EAST NORTH CENTRAL,20200614,
TENNESSEE,2020,6,,-,3,,,-,,-,,-,20,,7,,77,,TENNESSEE,,20200642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,6,,-,1,,,-,,-,,-,7,,,-,6,,CONNECTICUT,,20200603,POINT (-72.738288 41.575155)
MARYLAND,2020,6,,-,2,,,-,4,,,-,29,,37,,127,,MARYLAND,,20200633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,6,,-,0,,,-,,-,,-,27,,,-,58,,SOUTH CAROLINA,,20200635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,6,,-,4,,,-,1,,,-,19,,1,,68,,OKLAHOMA,,20200646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200665,POINT (145.725693 15.1834)
OHIO,2020,6,,-,3,,,-,,-,,-,25,,18,,85,,OHIO,,20200618,POINT (-82.70936 40.415534)
MINNESOTA,2020,6,,-,4,,1,,,-,,-,15,,36,,49,,MINNESOTA,,20200623,POINT (-94.198308 46.349153)
LOUISIANA,2020,6,,-,2,,,-,5,,,-,21,,15,,84,,LOUISIANA,,20200645,POINT (-91.840238 30.921314)
HAWAII,2020,6,,-,0,,,-,,-,,-,5,,,-,8,,HAWAII,,20200660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,6,,-,9,,4,,28,,3,,199,,420,,1033,,,SOUTH ATLANTIC,20200628,
PENNSYLVANIA,2020,6,,-,2,,,-,3,,2,,28,,69,,123,,PENNSYLVANIA,,20200613,POINT (-77.838886 40.896694)
UTAH,2020,6,,-,1,,,-,,-,,-,5,,1,,7,,UTAH,,20200655,POINT (-111.678222 39.323779)
COLORADO,2020,6,,-,1,,,-,,-,1,,19,,34,,54,,COLORADO,,20200650,POINT (-105.547832 38.998552)
VERMONT,2020,6,,-,0,,,-,,-,,-,2,,,-,,-,VERMONT,,20200608,POINT (-72.662695 44.075252)
KENTUCKY,2020,6,,-,2,,,-,3,,,-,15,,,-,36,,KENTUCKY,,20200640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,6,,-,1,,,-,3,,,-,13,,,-,46,,PUERTO RICO,,20200667,POINT (-66.414655 18.215692)
MAINE,2020,6,,-,0,,,-,,-,,-,3,,1,,12,,MAINE,,20200604,POINT (-69.06137 45.117911)
VIRGINIA,2020,6,,-,1,,,-,1,,,-,31,,69,,100,,VIRGINIA,,20200636,POINT (-78.666382 37.510861)
ARIZONA,2020,6,,-,5,,1,,14,,2,,33,,49,,133,,ARIZONA,,20200649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200664,
WISCONSIN,2020,6,,-,0,,,-,,-,,-,10,,15,,12,,WISCONSIN,,20200619,POINT (-89.732969 44.639954)
IDAHO,2020,6,,-,1,,,-,,-,,-,4,,,-,5,,IDAHO,,20200651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200668,POINT (-64.840836 18.060868)
MICHIGAN,2020,6,,-,2,,,-,3,,,-,19,,8,,85,,MICHIGAN,,20200617,POINT (-85.730977 44.874798)
GEORGIA,2020,6,,-,3,,,-,3,,1,,48,,83,,256,,GEORGIA,,20200632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,6,,-,0,,,-,,-,5,,52,,111,,226,,,NEW YORK CITY,20200612,
ARKANSAS,2020,6,,-,2,,1,,3,,,-,14,,19,,39,,ARKANSAS,,20200644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,6,,-,0,,,-,1,,,-,24,,41,,47,,MISSISSIPPI,,20200641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,6,,-,0,,,-,1,,,-,3,,,-,3,,SOUTH DAKOTA,,20200627,POINT (-100.230491 44.43614)
WYOMING,2020,6,,-,0,,,-,,-,,-,1,,,-,3,,WYOMING,,20200656,POINT (-107.55145 42.999627)
MISSOURI,2020,6,,-,1,,,-,,-,4,,24,,48,,115,,MISSOURI,,20200624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,6,,-,4,,,-,7,,30,,109,,251,,475,,,MIDDLE ATLANTIC,20200609,
CALIFORNIA,2020,6,,-,14,,21,,57,,,-,186,,470,,948,,CALIFORNIA,,20200659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,6,,-,0,,,-,,-,,-,4,,1,,10,,WEST VIRGINIA,,20200637,POINT (-80.613729 38.642579)
TOTAL,2020,4,,-,39,,8,,104,,58,,782,,824,,2820,,,TOTAL,20200470,
PACIFIC,2020,4,,-,14,,6,,38,,15,,214,,307,,699,,,PACIFIC,20200457,
NEW ENGLAND,2020,2,,-,1,,,-,,-,,-,27,,1,,26,,,NEW ENGLAND,20200202,
CONNECTICUT,2020,2,,-,1,,,-,,-,,-,7,,,-,2,,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
MAINE,2020,2,,-,0,,,-,,-,,-,3,,,-,4,,MAINE,,20200204,POINT (-69.06137 45.117911)
MASSACHUSETTS,2020,2,,-,0,,,-,,-,,-,23,,1,,17,,MASSACHUSETTS,,20200205,POINT (-71.481104 42.151077)
NEW HAMPSHIRE,2020,2,,-,1,,,-,,-,,-,3,,,-,3,,NEW HAMPSHIRE,,20200206,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,2,,-,0,,,-,,-,,-,6,,,-,,-,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
VERMONT,2020,2,,-,0,,,-,,-,,-,2,,,-,,-,VERMONT,,20200208,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2020,2,,-,3,,,-,1,,11,,107,,29,,166,,,MIDDLE ATLANTIC,20200209,
NEW JERSEY,2020,2,,-,2,,,-,,-,,-,20,,1,,28,,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW YORK,2020,2,,-,2,,,-,1,,6,,36,,6,,14,,NEW YORK,,20200211,POINT (-75.59655 42.921241)
NEW YORK CITY,2020,2,,-,0,,,-,,-,3,,52,,16,,85,,,NEW YORK CITY,20200212,
PENNSYLVANIA,2020,2,,-,2,,,-,,-,2,,28,,6,,39,,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,2,,-,3,,,-,1,,4,,85,,11,,108,,,EAST NORTH CENTRAL,20200214,
ILLINOIS,2020,2,,-,3,,,-,1,,,-,37,,,-,47,,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
INDIANA,2020,2,,-,0,,,-,,-,4,,12,,9,,11,,INDIANA,,20200216,POINT (-86.2818 39.919991)
MICHIGAN,2020,2,,-,2,,,-,,-,,-,20,,,-,25,,MICHIGAN,,20200217,POINT (-85.730977 44.874798)
