Reporting Area,MMWR Year,MMWR Week,"Syphilis, Congenital, Current week","Syphilis, Congenital, Current week, flag","Syphilis, Congenital, Previous 52 weeks Max†","Syphilis, Congenital, Previous 52 weeks Max†, flag","Syphilis, Congenital, Cum 2020†","Syphilis, Congenital, Cum 2020†, flag","Syphilis, Congenital, Cum 2019†","Syphilis, Congenital, Cum 2019†, flag","Syphilis, Primary and secondary, Current week","Syphilis, Primary and secondary, Current week, flag","Syphilis, Primary and secondary, Previous 52 weeks Max†","Syphilis, Primary and secondary, Previous 52 weeks Max†, flag","Syphilis, Primary and secondary, Cum 2020†","Syphilis, Primary and secondary, Cum 2020†, flag","Syphilis, Primary and secondary, Cum 2019†","Syphilis, Primary and secondary, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
ARKANSAS,2020,5,,-,2,,1,,2,,,-,14,,14,,35,,ARKANSAS,,20200544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,5,,-,0,,,-,1,,,-,24,,28,,41,,MISSISSIPPI,,20200541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,5,,-,0,,,-,1,,,-,3,,,-,2,,SOUTH DAKOTA,,20200527,POINT (-100.230491 44.43614)
WYOMING,2020,5,,-,0,,,-,,-,,-,2,,,-,3,,WYOMING,,20200556,POINT (-107.55145 42.999627)
MISSOURI,2020,5,,-,1,,,-,,-,,-,24,,30,,91,,MISSOURI,,20200524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,5,,-,4,,,-,5,,25,,107,,150,,394,,,MIDDLE ATLANTIC,20200509,
CALIFORNIA,2020,5,,-,14,,12,,43,,5,,186,,366,,762,,CALIFORNIA,,20200559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,5,,-,0,,,-,,-,,-,4,,1,,8,,WEST VIRGINIA,,20200537,POINT (-80.613729 38.642579)
FLORIDA,2020,5,,-,6,,1,,9,,9,,86,,158,,255,,FLORIDA,,20200531,POINT (-82.420978 28.260731)
MONTANA,2020,5,,-,1,,,-,,-,,-,5,,3,,2,,MONTANA,,20200552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,5,,-,6,,1,,1,,3,,42,,71,,170,,,WEST NORTH CENTRAL,20200520,
MASSACHUSETTS,2020,5,,-,0,,,-,,-,,-,23,,38,,63,,MASSACHUSETTS,,20200505,POINT (-71.481104 42.151077)
MOUNTAIN,2020,5,,-,6,,1,,13,,,-,77,,61,,300,,,MOUNTAIN,20200548,
INDIANA,2020,5,,-,0,,,-,,-,5,,12,,23,,26,,INDIANA,,20200516,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200569,
US TERRITORIES,2020,5,,-,1,,,-,2,,,-,14,,,-,37,,,US TERRITORIES,20200563,
FLORIDA,2020,6,,-,6,,3,,12,,2,,86,,211,,313,,FLORIDA,,20200631,POINT (-82.420978 28.260731)
MONTANA,2020,6,,-,1,,,-,,-,,-,5,,3,,3,,MONTANA,,20200652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,6,,-,6,,1,,1,,5,,42,,97,,211,,,WEST NORTH CENTRAL,20200620,
MASSACHUSETTS,2020,6,,-,0,,,-,,-,,-,23,,38,,70,,MASSACHUSETTS,,20200605,POINT (-71.481104 42.151077)
MOUNTAIN,2020,6,,-,6,,1,,16,,3,,77,,113,,352,,,MOUNTAIN,20200648,
INDIANA,2020,6,,-,0,,,-,,-,2,,12,,35,,31,,INDIANA,,20200616,POINT (-86.2818 39.919991)
US TERRITORIES,2020,6,,-,1,,,-,3,,,-,13,,,-,46,,,US TERRITORIES,20200663,
TOTAL,2020,8,,-,40,,67,,222,,78,,794,,2844,,5853,,,TOTAL,20200870,
US RESIDENTS,2020,8,,-,40,,67,,218,,78,,792,,2844,,5795,,,US RESIDENTS,20200801,
NEW HAMPSHIRE,2020,8,,-,1,,,-,,-,,-,3,,3,,6,,NEW HAMPSHIRE,,20200806,POINT (-71.57139 43.680429)
NEW YORK,2020,8,,-,2,,,-,7,,14,,69,,84,,91,,NEW YORK,,20200811,POINT (-75.59655 42.921241)
PACIFIC,2020,8,,-,15,,41,,74,,24,,214,,894,,1488,,,PACIFIC,20200857,
WEST SOUTH CENTRAL,2020,8,,-,12,,7,,59,,5,,85,,266,,555,,,WEST SOUTH CENTRAL,20200843,
NEBRASKA,2020,8,,-,0,,,-,,-,,-,7,,11,,17,,NEBRASKA,,20200825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,8,,-,3,,,-,7,,1,,60,,81,,313,,,EAST SOUTH CENTRAL,20200838,
NORTH DAKOTA,2020,8,,-,0,,,-,,-,,-,3,,3,,2,,NORTH DAKOTA,,20200826,POINT (-100.46931 47.446305)
NEVADA,2020,8,,-,3,,1,,4,,,-,43,,54,,195,,NEVADA,,20200853,POINT (-114.916992 39.283294)
ILLINOIS,2020,8,,-,3,,1,,2,,,-,36,,28,,210,,ILLINOIS,,20200815,POINT (-89.148632 40.124144)
IOWA,2020,8,,-,1,,,-,,-,,-,6,,10,,9,,IOWA,,20200821,POINT (-93.500061 42.074659)
TEXAS,2020,8,,-,11,,5,,47,,5,,56,,214,,299,,TEXAS,,20200847,POINT (-99.317341 31.447238)
ALASKA,2020,8,,-,0,,,-,,-,,-,7,,,-,8,,ALASKA,,20200858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,8,,-,1,,1,,1,,,-,11,,23,,51,,DISTRICT OF COLUMBIA,,20200830,POINT (-77.016275 38.904785)
WASHINGTON,2020,8,,-,3,,,-,2,,7,,26,,66,,139,,WASHINGTON,,20200862,POINT (-120.592492 47.411715)
RHODE ISLAND,2020,8,,-,0,,,-,,-,,-,10,,,-,13,,RHODE ISLAND,,20200807,POINT (-71.534637 41.572574)
TOTAL,2020,7,,-,40,,47,,195,,66,,793,,2244,,5128,,,TOTAL,20200770,
US RESIDENTS,2020,7,,-,40,,47,,192,,66,,791,,2244,,5077,,,US RESIDENTS,20200701,
NEW HAMPSHIRE,2020,7,,-,1,,,-,,-,,-,3,,3,,6,,NEW HAMPSHIRE,,20200706,POINT (-71.57139 43.680429)
NEW YORK,2020,7,,-,2,,,-,5,,11,,65,,70,,75,,NEW YORK,,20200711,POINT (-75.59655 42.921241)
PACIFIC,2020,7,,-,15,,27,,64,,22,,214,,717,,1303,,,PACIFIC,20200757,
WEST SOUTH CENTRAL,2020,7,,-,12,,7,,55,,1,,85,,133,,471,,,WEST SOUTH CENTRAL,20200743,
NEBRASKA,2020,7,,-,0,,,-,,-,,-,7,,10,,14,,NEBRASKA,,20200725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,7,,-,3,,,-,6,,,-,60,,79,,274,,,EAST SOUTH CENTRAL,20200738,
NORTH DAKOTA,2020,7,,-,0,,,-,,-,,-,3,,2,,2,,NORTH DAKOTA,,20200726,POINT (-100.46931 47.446305)
NEVADA,2020,7,,-,3,,,-,2,,,-,43,,44,,181,,NEVADA,,20200753,POINT (-114.916992 39.283294)
ILLINOIS,2020,7,,-,3,,1,,2,,,-,36,,9,,183,,ILLINOIS,,20200715,POINT (-89.148632 40.124144)
IOWA,2020,7,,-,1,,,-,,-,1,,6,,9,,9,,IOWA,,20200721,POINT (-93.500061 42.074659)
TEXAS,2020,7,,-,11,,5,,44,,,-,56,,85,,247,,TEXAS,,20200747,POINT (-99.317341 31.447238)
ALASKA,2020,7,,-,0,,,-,,-,,-,7,,,-,7,,ALASKA,,20200758,POINT (-151.631889 63.631126)
WASHINGTON,2020,7,,-,3,,,-,2,,9,,26,,59,,119,,WASHINGTON,,20200762,POINT (-120.592492 47.411715)
DISTRICT OF COLUMBIA,2020,7,,-,1,,1,,1,,1,,11,,23,,45,,DISTRICT OF COLUMBIA,,20200730,POINT (-77.016275 38.904785)
RHODE ISLAND,2020,7,,-,0,,,-,,-,,-,10,,,-,12,,RHODE ISLAND,,20200707,POINT (-71.534637 41.572574)
OREGON,2020,7,,-,2,,,-,1,,6,,14,,61,,50,,OREGON,,20200761,POINT (-120.605279 43.940449)
DELAWARE,2020,7,,-,1,,,-,1,,,-,6,,5,,14,,DELAWARE,,20200729,POINT (-75.452394 38.994926)
ALABAMA,2020,7,,-,2,,,-,1,,,-,27,,14,,77,,ALABAMA,,20200739,POINT (-86.844516 32.756889)
KANSAS,2020,7,,-,2,,,-,,-,,-,11,,,-,26,,KANSAS,,20200722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,7,,-,3,,,-,6,,,-,34,,,-,140,,NORTH CAROLINA,,20200734,POINT (-79.130883 35.52603)
GUAM,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200766,POINT (144.653198 13.3532)
NEW JERSEY,2020,7,,-,2,,,-,,-,1,,20,,13,,73,,NEW JERSEY,,20200710,POINT (-74.655514 40.110253)
NEW MEXICO,2020,7,,-,2,,,-,1,,,-,20,,34,,75,,NEW MEXICO,,20200754,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,7,,-,3,,1,,6,,2,,78,,138,,433,,,EAST NORTH CENTRAL,20200714,
TENNESSEE,2020,7,,-,3,,,-,,-,,-,20,,16,,88,,TENNESSEE,,20200742,POINT (-86.343226 35.842998)
CONNECTICUT,2020,7,,-,1,,,-,,-,,-,7,,,-,7,,CONNECTICUT,,20200703,POINT (-72.738288 41.575155)
MARYLAND,2020,7,,-,2,,,-,4,,,-,29,,37,,155,,MARYLAND,,20200733,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,7,,-,0,,,-,,-,,-,27,,,-,68,,SOUTH CAROLINA,,20200735,POINT (-80.864614 33.878572)
OKLAHOMA,2020,7,,-,4,,1,,1,,,-,19,,1,,82,,OKLAHOMA,,20200746,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200765,POINT (145.725693 15.1834)
OHIO,2020,7,,-,3,,,-,,-,,-,28,,46,,93,,OHIO,,20200718,POINT (-82.70936 40.415534)
MINNESOTA,2020,7,,-,4,,1,,,-,,-,15,,45,,60,,MINNESOTA,,20200723,POINT (-94.198308 46.349153)
LOUISIANA,2020,7,,-,2,,,-,6,,1,,21,,21,,96,,LOUISIANA,,20200745,POINT (-91.840238 30.921314)
HAWAII,2020,7,,-,0,,,-,,-,,-,5,,,-,9,,HAWAII,,20200760,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,7,,-,9,,7,,32,,22,,199,,526,,1203,,,SOUTH ATLANTIC,20200728,
PENNSYLVANIA,2020,7,,-,2,,,-,3,,1,,28,,77,,132,,PENNSYLVANIA,,20200713,POINT (-77.838886 40.896694)
UTAH,2020,7,,-,1,,,-,,-,,-,5,,4,,8,,UTAH,,20200755,POINT (-111.678222 39.323779)
COLORADO,2020,7,,-,1,,,-,,-,,-,19,,34,,69,,COLORADO,,20200750,POINT (-105.547832 38.998552)
VERMONT,2020,7,,-,0,,,-,,-,,-,2,,,-,,-,VERMONT,,20200708,POINT (-72.662695 44.075252)
KENTUCKY,2020,7,,-,2,,,-,4,,,-,15,,,-,48,,KENTUCKY,,20200740,POINT (-85.290484 37.526683)
PUERTO RICO,2020,7,,-,1,,,-,3,,,-,13,,,-,51,,PUERTO RICO,,20200767,POINT (-66.414655 18.215692)
MAINE,2020,7,,-,0,,,-,,-,,-,3,,1,,13,,MAINE,,20200704,POINT (-69.06137 45.117911)
VIRGINIA,2020,7,,-,0,,,-,1,,14,,31,,94,,108,,VIRGINIA,,20200736,POINT (-78.666382 37.510861)
ARIZONA,2020,7,,-,5,,4,,16,,,-,33,,59,,148,,ARIZONA,,20200749,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200764,
WISCONSIN,2020,7,,-,0,,,-,,-,,-,10,,19,,13,,WISCONSIN,,20200719,POINT (-89.732969 44.639954)
IDAHO,2020,7,,-,1,,,-,,-,,-,4,,,-,5,,IDAHO,,20200751,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200768,POINT (-64.840836 18.060868)
MICHIGAN,2020,7,,-,2,,,-,4,,,-,19,,20,,104,,MICHIGAN,,20200717,POINT (-85.730977 44.874798)
GEORGIA,2020,7,,-,3,,,-,3,,,-,48,,83,,292,,GEORGIA,,20200732,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,7,,-,0,,,-,,-,4,,52,,156,,257,,,NEW YORK CITY,20200712,
ARKANSAS,2020,7,,-,2,,1,,4,,,-,14,,26,,46,,ARKANSAS,,20200744,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,7,,-,0,,,-,1,,,-,24,,49,,61,,MISSISSIPPI,,20200741,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,7,,-,0,,,-,1,,,-,3,,,-,3,,SOUTH DAKOTA,,20200727,POINT (-100.230491 44.43614)
WYOMING,2020,7,,-,0,,,-,,-,,-,1,,,-,3,,WYOMING,,20200756,POINT (-107.55145 42.999627)
MISSOURI,2020,7,,-,1,,,-,1,,,-,24,,48,,130,,MISSOURI,,20200724,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,7,,-,4,,,-,8,,17,,108,,316,,537,,,MIDDLE ATLANTIC,20200709,
CALIFORNIA,2020,7,,-,14,,27,,61,,7,,186,,597,,1118,,CALIFORNIA,,20200759,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,7,,-,0,,,-,,-,,-,4,,1,,12,,WEST VIRGINIA,,20200737,POINT (-80.613729 38.642579)
FLORIDA,2020,7,,-,6,,6,,16,,7,,86,,283,,369,,FLORIDA,,20200731,POINT (-82.420978 28.260731)
MONTANA,2020,7,,-,1,,,-,,-,1,,5,,4,,4,,MONTANA,,20200752,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,7,,-,6,,1,,2,,1,,42,,114,,244,,,WEST NORTH CENTRAL,20200720,
MASSACHUSETTS,2020,7,,-,0,,,-,,-,,-,23,,38,,81,,MASSACHUSETTS,,20200705,POINT (-71.481104 42.151077)
MOUNTAIN,2020,7,,-,6,,4,,19,,1,,91,,179,,493,,,MOUNTAIN,20200748,
INDIANA,2020,7,,-,0,,,-,,-,2,,12,,44,,40,,INDIANA,,20200716,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200769,
US TERRITORIES,2020,7,,-,1,,,-,3,,,-,13,,,-,51,,,US TERRITORIES,20200763,
OREGON,2020,8,,-,2,,1,,1,,14,,14,,78,,61,,OREGON,,20200861,POINT (-120.605279 43.940449)
DELAWARE,2020,8,,-,1,,,-,1,,,-,6,,5,,15,,DELAWARE,,20200829,POINT (-75.452394 38.994926)
ALABAMA,2020,8,,-,2,,,-,1,,,-,27,,14,,95,,ALABAMA,,20200839,POINT (-86.844516 32.756889)
KANSAS,2020,8,,-,2,,1,,,-,,-,11,,,-,28,,KANSAS,,20200822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,8,,-,3,,,-,6,,,-,34,,,-,158,,NORTH CAROLINA,,20200834,POINT (-79.130883 35.52603)
GUAM,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200866,POINT (144.653198 13.3532)
NEW JERSEY,2020,8,,-,2,,,-,,-,,-,20,,28,,90,,NEW JERSEY,,20200810,POINT (-74.655514 40.110253)
NEW MEXICO,2020,8,,-,3,,,-,1,,,-,20,,41,,80,,NEW MEXICO,,20200854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,8,,-,3,,1,,6,,3,,78,,191,,494,,,EAST NORTH CENTRAL,20200814,
TENNESSEE,2020,8,,-,3,,,-,,-,1,,18,,18,,100,,TENNESSEE,,20200842,POINT (-86.343226 35.842998)
CONNECTICUT,2020,8,,-,1,,,-,,-,,-,7,,,-,10,,CONNECTICUT,,20200803,POINT (-72.738288 41.575155)
MARYLAND,2020,8,,-,2,,,-,4,,,-,28,,57,,161,,MARYLAND,,20200833,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,8,,-,0,,,-,,-,,-,27,,,-,78,,SOUTH CAROLINA,,20200835,POINT (-80.864614 33.878572)
OKLAHOMA,2020,8,,-,4,,1,,1,,,-,19,,1,,91,,OKLAHOMA,,20200846,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200865,POINT (145.725693 15.1834)
OHIO,2020,8,,-,3,,,-,,-,,-,28,,59,,102,,OHIO,,20200818,POINT (-82.70936 40.415534)
MINNESOTA,2020,8,,-,4,,1,,1,,,-,15,,45,,66,,MINNESOTA,,20200823,POINT (-94.198308 46.349153)
LOUISIANA,2020,8,,-,2,,,-,7,,,-,21,,21,,117,,LOUISIANA,,20200845,POINT (-91.840238 30.921314)
HAWAII,2020,8,,-,0,,,-,,-,,-,5,,,-,9,,HAWAII,,20200860,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,8,,-,9,,10,,35,,16,,199,,620,,1371,,,SOUTH ATLANTIC,20200828,
PENNSYLVANIA,2020,8,,-,1,,,-,3,,2,,28,,89,,143,,PENNSYLVANIA,,20200813,POINT (-77.838886 40.896694)
UTAH,2020,8,,-,1,,,-,,-,,-,5,,4,,9,,UTAH,,20200855,POINT (-111.678222 39.323779)
COLORADO,2020,8,,-,1,,,-,1,,1,,19,,52,,80,,COLORADO,,20200850,POINT (-105.547832 38.998552)
VERMONT,2020,8,,-,0,,,-,,-,,-,2,,1,,,-,VERMONT,,20200808,POINT (-72.662695 44.075252)
KENTUCKY,2020,8,,-,2,,,-,5,,,-,15,,,-,53,,KENTUCKY,,20200840,POINT (-85.290484 37.526683)
PUERTO RICO,2020,8,,-,1,,,-,4,,,-,13,,,-,58,,PUERTO RICO,,20200867,POINT (-66.414655 18.215692)
MAINE,2020,8,,-,0,,,-,,-,,-,3,,1,,13,,MAINE,,20200804,POINT (-69.06137 45.117911)
VIRGINIA,2020,8,,-,0,,,-,1,,13,,30,,107,,133,,VIRGINIA,,20200836,POINT (-78.666382 37.510861)
ARIZONA,2020,8,,-,5,,4,,18,,1,,33,,67,,174,,ARIZONA,,20200849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200864,
WISCONSIN,2020,8,,-,0,,,-,,-,1,,10,,24,,22,,WISCONSIN,,20200819,POINT (-89.732969 44.639954)
IDAHO,2020,8,,-,1,,,-,,-,,-,4,,2,,5,,IDAHO,,20200851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200868,POINT (-64.840836 18.060868)
MICHIGAN,2020,8,,-,2,,,-,4,,,-,19,,26,,117,,MICHIGAN,,20200817,POINT (-85.730977 44.874798)
GEORGIA,2020,8,,-,3,,,-,3,,,-,48,,83,,328,,GEORGIA,,20200832,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,8,,-,0,,,-,,-,4,,53,,187,,290,,,NEW YORK CITY,20200812,
ARKANSAS,2020,8,,-,2,,1,,4,,,-,14,,30,,48,,ARKANSAS,,20200844,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,8,,-,0,,,-,1,,,-,24,,49,,65,,MISSISSIPPI,,20200841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,8,,-,0,,,-,1,,,-,3,,,-,3,,SOUTH DAKOTA,,20200827,POINT (-100.230491 44.43614)
WYOMING,2020,8,,-,0,,,-,,-,,-,1,,,-,3,,WYOMING,,20200856,POINT (-107.55145 42.999627)
MISSOURI,2020,8,,-,1,,1,,1,,5,,21,,65,,150,,MISSOURI,,20200824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,8,,-,4,,,-,10,,20,,108,,388,,614,,,MIDDLE ATLANTIC,20200809,
CALIFORNIA,2020,8,,-,14,,40,,71,,3,,184,,750,,1271,,CALIFORNIA,,20200859,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,8,,-,0,,,-,,-,,-,4,,2,,12,,WEST VIRGINIA,,20200837,POINT (-80.613729 38.642579)
FLORIDA,2020,8,,-,7,,9,,19,,3,,86,,343,,435,,FLORIDA,,20200831,POINT (-82.420978 28.260731)
MONTANA,2020,8,,-,1,,,-,,-,2,,5,,7,,5,,MONTANA,,20200852,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,8,,-,6,,3,,3,,5,,42,,134,,275,,,WEST NORTH CENTRAL,20200820,
MASSACHUSETTS,2020,8,,-,0,,,-,,-,,-,23,,38,,92,,MASSACHUSETTS,,20200805,POINT (-71.481104 42.151077)
MOUNTAIN,2020,8,,-,6,,5,,24,,4,,92,,227,,551,,,MOUNTAIN,20200848,
INDIANA,2020,8,,-,0,,,-,,-,2,,12,,54,,43,,INDIANA,,20200816,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200869,
US TERRITORIES,2020,8,,-,1,,,-,4,,,-,13,,,-,58,,,US TERRITORIES,20200863,
TOTAL,2020,14,,-,43,,200,,393,,68,,796,,6310,,10148,,,TOTAL,20201470,
US RESIDENTS,2020,14,,-,43,,199,,387,,68,,791,,6304,,10046,,,US RESIDENTS,20201401,
NEW HAMPSHIRE,2020,14,,-,1,,,-,,-,,-,3,,10,,12,,NEW HAMPSHIRE,,20201406,POINT (-71.57139 43.680429)
NEW YORK,2020,14,,-,2,,2,,10,,6,,113,,126,,171,,NEW YORK,,20201411,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,14,,-,15,,43,,116,,3,,94,,593,,973,,,WEST SOUTH CENTRAL,20201443,
NEBRASKA,2020,14,,-,0,,,-,,-,1,,8,,25,,35,,NEBRASKA,,20201425,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,14,,-,3,,,-,10,,,-,63,,272,,548,,,EAST SOUTH CENTRAL,20201438,
NORTH DAKOTA,2020,14,,-,0,,,-,,-,,-,3,,7,,5,,NORTH DAKOTA,,20201426,POINT (-100.46931 47.446305)
NEVADA,2020,14,,-,1,,4,,,-,,-,25,,90,,196,,NEVADA,,20201453,POINT (-114.916992 39.283294)
ILLINOIS,2020,14,,-,3,,3,,5,,,-,40,,61,,366,,ILLINOIS,,20201415,POINT (-89.148632 40.124144)
IOWA,2020,14,,-,1,,,-,,-,,-,6,,26,,15,,IOWA,,20201421,POINT (-93.500061 42.074659)
TEXAS,2020,14,,-,14,,38,,95,,3,,57,,453,,533,,TEXAS,,20201447,POINT (-99.317341 31.447238)
ALASKA,2020,14,,-,0,,,-,,-,,-,7,,3,,20,,ALASKA,,20201458,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,14,,-,1,,,-,1,,,-,11,,40,,91,,DISTRICT OF COLUMBIA,,20201430,POINT (-77.016275 38.904785)
WASHINGTON,2020,14,,-,3,,,-,3,,5,,26,,99,,236,,WASHINGTON,,20201462,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,14,,-,2,,,-,2,,,-,36,,237,,261,,,NEW ENGLAND,20201402,
RHODE ISLAND,2020,14,,-,0,,,-,,-,,-,13,,5,,20,,RHODE ISLAND,,20201407,POINT (-71.534637 41.572574)
OREGON,2020,14,,-,2,,1,,2,,8,,19,,153,,117,,OREGON,,20201461,POINT (-120.605279 43.940449)
DELAWARE,2020,14,,-,1,,,-,1,,,-,6,,8,,31,,DELAWARE,,20201429,POINT (-75.452394 38.994926)
ALABAMA,2020,14,,-,2,,,-,3,,,-,28,,43,,148,,ALABAMA,,20201439,POINT (-86.844516 32.756889)
KANSAS,2020,14,,-,2,,1,,,-,,-,11,,,-,53,,KANSAS,,20201422,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,14,,-,3,,,-,5,,1,,39,,249,,289,,NORTH CAROLINA,,20201434,POINT (-79.130883 35.52603)
GUAM,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201466,POINT (144.653198 13.3532)
NEW JERSEY,2020,14,,-,3,,4,,1,,,-,19,,108,,171,,NEW JERSEY,,20201410,POINT (-74.655514 40.110253)
NEW MEXICO,2020,14,,-,3,,1,,2,,,-,20,,94,,119,,NEW MEXICO,,20201454,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,14,,-,3,,6,,17,,3,,86,,448,,849,,,EAST NORTH CENTRAL,20201414,
TENNESSEE,2020,14,,-,3,,,-,1,,,-,20,,51,,172,,TENNESSEE,,20201442,POINT (-86.343226 35.842998)
CONNECTICUT,2020,14,,-,1,,,-,,-,,-,8,,47,,35,,CONNECTICUT,,20201403,POINT (-72.738288 41.575155)
MARYLAND,2020,14,,-,3,,3,,6,,,-,27,,138,,265,,MARYLAND,,20201433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,14,,-,0,,,-,,-,,-,27,,,-,139,,SOUTH CAROLINA,,20201435,POINT (-80.864614 33.878572)
OKLAHOMA,2020,14,,-,4,,1,,3,,,-,16,,3,,157,,OKLAHOMA,,20201446,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201465,POINT (145.725693 15.1834)
OHIO,2020,14,,-,3,,3,,4,,,-,28,,149,,177,,OHIO,,20201418,POINT (-82.70936 40.415534)
MINNESOTA,2020,14,,-,4,,2,,2,,,-,15,,108,,108,,MINNESOTA,,20201423,POINT (-94.198308 46.349153)
LOUISIANA,2020,14,,-,3,,,-,12,,,-,20,,66,,186,,LOUISIANA,,20201445,POINT (-91.840238 30.921314)
HAWAII,2020,14,,-,0,,,-,,-,,-,5,,,-,21,,HAWAII,,20201460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,14,,-,11,,31,,54,,25,,200,,1674,,2380,,,SOUTH ATLANTIC,20201428,
PENNSYLVANIA,2020,14,,-,1,,1,,4,,1,,28,,211,,265,,PENNSYLVANIA,,20201413,POINT (-77.838886 40.896694)
UTAH,2020,14,,-,1,,,-,1,,,-,5,,9,,29,,UTAH,,20201455,POINT (-111.678222 39.323779)
COLORADO,2020,14,,-,1,,2,,2,,2,,19,,125,,139,,COLORADO,,20201450,POINT (-105.547832 38.998552)
VERMONT,2020,14,,-,0,,,-,,-,,-,2,,1,,,-,VERMONT,,20201408,POINT (-72.662695 44.075252)
KENTUCKY,2020,14,,-,2,,,-,5,,,-,18,,49,,101,,KENTUCKY,,20201440,POINT (-85.290484 37.526683)
PUERTO RICO,2020,14,,-,1,,1,,6,,,-,15,,6,,102,,PUERTO RICO,,20201467,POINT (-66.414655 18.215692)
MAINE,2020,14,,-,0,,,-,,-,,-,3,,6,,24,,MAINE,,20201404,POINT (-69.06137 45.117911)
VIRGINIA,2020,14,,-,3,,4,,2,,16,,30,,207,,216,,VIRGINIA,,20201436,POINT (-78.666382 37.510861)
ARIZONA,2020,14,,-,6,,10,,33,,,-,37,,164,,316,,ARIZONA,,20201449,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201464,
WISCONSIN,2020,14,,-,0,,,-,,-,1,,10,,49,,41,,WISCONSIN,,20201419,POINT (-89.732969 44.639954)
IDAHO,2020,14,,-,1,,1,,,-,,-,5,,12,,9,,IDAHO,,20201451,POINT (-114.659366 44.389073)
