Business Name,Zip Code,License Number,License Type,City
FUSED WINES LP,945581100,201193,22S,NAPA
G.K. SKAGGS INC.,926187450,190594,22S,IRVINE
G.S.W.C. INC.,914061711,238640,LS,VAN NUYS
"GAMBRINUS COMPANY, THE",782323735,178896,22S,SAN ANTONIO
GANDONA INC.,945740000,229270,22S,ST. HELENA
GARAGISTE MEADERY LLC,336022614,264577,22S,TAMPA
GARGOYLE ENTERPRISES INC.,802233223,250498,LS,DENVER
"GELOSO BEVERAGE GROUP, LLC",146261033,259556,22S,ROCHESTER
"GEORGETOWN TRADING CO., LLC",200061631,267684,LS,WASHINGTON
"GERMAN WINE COLLECTION, LLC",920106706,269927,LS,CARLSBAD
GF WINES LLC,954488355,201090,22S,HEALDSBURG
GIULIANA IMPORTS LLC,803042750,262634,22S,BOULDER
"GJS SALES, INC",532041549,268920,22S,MILWAUKEE
GLASS REVOLUTION IMPORTS USA LLC,891238042,266213,LS,LAS VEGAS
GLJR WINE LLC,945749651,248290,22S,ST. HELENA
GLOBAL SPIRITS USA LLC,100054401,242732,LS,NEW YORK
GLOBAL UNIVERSAL SRL,535662036,227574,LS,MONROE
"GLOBAL VINEYARD, THE",947101459,131800,22S,BERKELEY
GO AMERICA GO LLC,057700000,236916,LS,SHOREHAM
GOLDEN GLASS WINE LLC,853084739,242069,LS,GLENDALE
GOLDEN GLOBAL GOODS INC.,802160000,269819,22S,DENVER
GOLDEN ROCK WINERY LLC,650202649,196453,22MS,CAMDENTON
GOLDRIDGEPINOT.COM LLC,954726470,214892,22S,SEBASTOPOL
GOLDSCHMIDT VINEYARDS LLC,954483820,152096,22S,HEALDSBURG
GOOD NEWS BREWING COMPANY LLC,63366,245665,MICB,O'FALLON
GOOD NEWS DEFIANCE LLC,63341,260762,MICB,DEFIANCE
GOOD OMEN BOTTLING LLC,863264180,260728,22S,COTTONWOOD
GOOD SPIRITS DISTILLING LLC,660625404,263456,LS,OLATHE
GOOSE RIDGE LLC,993208568,177705,22S,BENTON CITY
"GORDON BROTHERS CELLARS, INC.",993019711,186887,22S,PASCO
GRAINS & TAPS LLC,640632325,256755,MICB,LEE'S SUMMIT
GRAND PRIX BEVERAGE LLC,631113653,208805,LS,ST. LOUIS
GRAND TETON VODKA INC.,834224862,243513,LS,DRIGGS
GRANITE CITY RESTAURANT OPERATIONS INC.,641531842,180432,MICB,KANSAS CITY
GRANITE CITY RESTAURANT OPERATIONS INC.,631417108,182688,MICB,CREVE COEUR
"GRAPE EXPECTATIONS, INC.",948012112,260247,22S,RICHMOND
GRAPES & BARLEY LLC,207051273,251828,22S,BELTSVILLE
"GRAPES OF HELD WINERY & VINEYARD, LLC",639390239,193585,DOMW,FAIRDEALING
GRAPES OF SPAIN INC.,220791522,179928,22S,LORTON
GRATON SPIRITS COMPANY LLC,954449373,249115,LS,GRATON
"GRAZIANO, GREGORY",954709695,224078,22S,REDWOOD VALLEY
GREAT DIVIDE BREWING COMPANY,802052512,163809,22S,DENVER
GREAT ESCAPE BEER WORKS LLC,65804,258637,MICB,SPRINGFIELD
GREEN ROOM BURGERS & BEER LLC,641113010,210058,MICB,KANSAS CITY
GRGICH HILLS CELLAR,945730450,49258,22S,RUTHERFORD
GRIESEDIECK BROTHERS BREWERY CORP.,631471840,230438,LS,ST. LOUIS
GRIESEDIECK BROTHERS BREWERY CORPORATION,631471840,256278,22MS,ST. LOUIS
GRIMM'S TREE BREWING LLC,63055,269533,22MS,LABADIE
GRINDSTONE VALLEY WINERY LLC,644740000,229051,22MS,OSBORN
GROS VENTRE CELLARS LLC,954927861,268353,22S,WINDSOR
"GROSS, ROBERT J.",970077871,206648,22S,BEAVERTON
GROTH VINEYARDS & WINERY LLC,945620390,115472,22S,OAKVILLE
GT'S LIVING FOODS LLC,900582116,252546,5S,VERNON
GUARACHI WINE PARTNERS INC.,913641224,100554,22S,WOODLAND HILLS
HAAS BROTHERS INC.,94111,240301,LS,SAN FRANCISCO
HAHN ESTATE,939600000,239576,22S,SOLEDAD
HALBY MARKETING INC.,954420000,264058,LS,GLEN ELLEN
HALCYON SYNDICATE LTD. LLC,941335810,246400,LS,SAN FRANCISCO
HALL WINES LLC,945742200,145075,22S,ST. HELENA
HALTER WINERY LLC,934468798,267184,22S,PASO ROBLES
HAMMLER WINE CORP.,939249372,238006,22S,CARMEL VALLEY
HANATORO WINERY LLC,974013238,244360,22S,EUGENE
