District,Facility Number,Address,Hours Requiring Payment,Payment Options ,Floors,Clearance Height (Feet),Clearance Height (Inches),Facility Name,Total Capacity,ADA Spaces,ADA Van Spaces,Bike Spaces ,Car Spaces ,Motorcycle Spaces ,Motorcycle Area,Other Information,Latitude,Longitude,5 Minute Limit,30 Minute Limit,1 Hour Limit,2 Hour Limit,3 Hour Limit,4 Hour Limit,9 Hour Limit,12 Hour Limit,15 Hour Limit,Parking Convenience Stickers,Carpool,Restricted,Inactive,Additional Information,Last Update,Location
Bethesda,LOT 10,4600 Leland Street (Walsh Street),7:00AM-10:00PM Monday through Friday,Coins,0,0,0,Leland Street Lot,101,4,1,0,94,2,0,,38.97987,-77.09108,0,0,0,19,24,0,0,0,51,0,0,94,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.97987 -77.09108)
Silver Spring,GAR 21,1000 Spring Street,7:00AM-7:00PM Monday through Friday,"Bills, Credit Cards, Coins",1,7,0,Spring-Colesville Garage,2,1,0,0,1,0,0,,38.99903,-77.02701,0,0,0,0,0,0,0,0,0,0,0,0,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.99903 -77.02701)
Montgomery Hills,LOT 48,9401 Georgia Avenue,9:00AM-6:00PM Monday through Friday,Coins,0,0,0,Georgia Avenue Lot,38,0,2,0,34,2,0,,39.00896,-77.03988,0,0,5,16,0,0,13,0,0,0,0,34,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (39.00896 -77.03988)
Silver Spring,GAR 07,8530 Cameron Street (Fenwick Lane),7:00AM-7:00PM Monday through Friday,"Bills, Credit Cards",6,7,0,Cameron-Second Garage,1407,23,11,6,1358,0,9,,38.99671,-77.03095,0,0,0,111,0,2,0,1224,0,0,14,1337,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.99671 -77.03095)
Silver Spring,LOT 03,8203 Fenton Street (907 Silver Spring Avenue),7:00AM-7:00PM Monday through Friday,Coins,0,0,0,Fenton Street Village Lot,6,1,1,0,3,1,0,,38.99212,-77.02473,0,0,0,0,0,0,0,0,0,0,0,0,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.99212 -77.02473)
Silver Spring,LOT 20,8212 Colonial Lane,7:00AM-7:00PM Monday through Friday,Coins,0,0,0,Colonial Lane Lot,3,0,1,0,2,0,0,,38.99173,-77.02775,0,0,0,0,0,0,0,0,0,0,0,0,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.99173 -77.02775)
Silver Spring,LOT 38,920 Bonifant Street,7:00AM-7:00PM Monday through Friday,Coins,0,0,0,Bonifant Street Lot,26,0,1,0,25,0,0,,38.99393,-77.02481,0,0,0,0,21,0,0,0,0,0,0,21,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.99393 -77.02481)
Bethesda,GAR 57,4841 Bethesda Avenue (Elm Street),7:00AM-10:00PM Monday through Friday,"Credit Cards, Coins",6,7,6,Bethesda-Elm Garage,912,14,10,5,873,10,0,,38.98159,-77.09685,0,0,0,227,0,255,0,2,387,0,2,871,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.98159 -77.09685)
Bethesda,GAR 40,4935 St. Elmo Avenue (Cordell Avenue),7:00AM-10:00PM Monday through Friday,"Credit Cards, Coins",5,7,0,St. Elmo-Cordell Garage,334,6,1,0,319,8,0,,38.98792,-77.098501,0,0,0,96,39,2,0,16,156,0,16,309,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.98792 -77.098501)
Bethesda,LOT 43,8009 Woodmont Avenue,7:00AM-10:00PM Monday through Friday,Coins,0,0,0,Woodmont Avenue,39,0,2,0,37,0,0,,38.99034,-77.09631,0,0,11,26,0,0,0,0,0,0,0,37,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.99034 -77.09631)
Bethesda,GAR 35,8216 Woodmont Avenue (Rugby Avenue),7:00AM-10:00PM Monday through Friday,Coins,3,6,8,Woodmont-Rugby Garage,394,10,0,13,366,0,5,,38.99189,-77.09733,0,0,0,91,11,2,0,0,259,0,0,363,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.99189 -77.09733)
Bethesda,GAR 49,7601 Woodmont Avenue,7:00AM-10:00PM Monday through Friday,"Bills, Credit Cards, Coins",5,6,8,Metropolitan Garage,999,24,0,4,961,0,10,,38.98815,-77.09862,0,0,0,0,106,0,0,4,830,0,4,940,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.98815 -77.09862)
Bethesda,GAR 49,7601 Woodmont Avenue,7:00AM-10:00PM Monday through Friday,"Bills, Credit Cards, Coins",5,6,8,Metropolitan Garage,999,24,0,4,961,0,10,,38.98521,-77.09681,0,0,0,0,106,0,0,4,830,0,4,940,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.98521 -77.09681)
Silver Spring,GAR 55,1100 Bonifant Street,7:00AM-7:00PM Monday through Friday,Coins,7,6,7,Garage 55,1130,0,23,0,1097,10,0,,38.99322,-77.02801,0,0,0,107,0,0,0,625,0,359,0,732,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.99322 -77.02801)
Silver Spring,GAR 09,8040 Kennett Street (Eastern Avenue),7:00AM-7:00PM Monday through Friday,"Bills, Credit Cards",4,8,2,Kennett Street Garage,620,8,4,9,586,4,9,,38.98809,-77.02901,0,0,0,4,0,2,0,548,0,23,0,554,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.98809 -77.02901)
Bethesda,LOT 08,4835 Cordell Avenue,7:00AM-10:00PM Monday through Friday,Coins,0,0,0,Lot 8,11,0,1,0,10,0,0,,38.98934,-77.09724,0,0,0,10,0,0,0,0,0,0,0,10,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.98934 -77.09724)
