the_geom,OBJECTID,Zoning Classification,Zoning Description,Last Update Date,Last Editor,SHAPE_Length,SHAPE_Area,Zoning Number,Zoning Year,Rec Number,Ordinance Number,Zoning Number 1,Zoning Number 2,Ordinance Number 2,Zoning Number 3,Zoning Number 4,Zoning Year 4,Rec Number 4,Ordinance Number 4,HYPERLINK,ZONENUM1,ZONEYEAR1,ORDNUM1,ZONENUM2,ZONEYEAR2,ZONENUM3,ZONEYEAR3,ORDNUM3
"MULTIPOLYGON (((-90.02448079834 29.964444803186, -90.024551797586 29.964231716288, -90.024780837441 29.96428525402, -90.024708327228 29.964503953484, -90.02448079834 29.964444803186)))",694,RPC,,12/20/2013 12:00:00 AM +0000,BRN,110.5889312340416,762.80085293393654,46,1992,,15354,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.078351989784 29.995836871682, -90.078685773201 29.995816888062, -90.07916964983 29.996658167281, -90.078423328594 29.996703788607, -90.077260408255 29.996774864942, -90.077188958952 29.995906497675, -90.078351989784 29.995836871682)))",846,CU,,12/20/2013 12:00:00 AM +0000,BRN,612.7937938131497,21240.081905361534,117,2011,,24753,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.096283816329 29.939979254975, -90.096100033598 29.939976032259, -90.095587605814 29.939967046795, -90.095087239709 29.940229559318, -90.094620284645 29.940487831041, -90.093628264297 29.941048603405, -90.093525690166 29.941106585974, -90.093269501427 29.940775586604, -90.092742403256 29.940072668562, -90.092183489452 29.939338923268, -90.091634060062 29.938554115139, -90.090932347366 29.937625416458, -90.090892417251 29.937573752117, -90.092245692396 29.936812675393, -90.093040422046 29.936361049202, -90.093769266559 29.935999427136, -90.093836613256 29.936056884071, -90.094316763673 29.93700579836, -90.094650006304 29.936701693584, -90.094865152815 29.936573998883, -90.095291182432 29.936413981508, -90.095361578011 29.936385582437, -90.095469329132 29.936615584239, -90.095599321642 29.936893059009, -90.095777766583 29.937273953934, -90.096268287153 29.938274371935, -90.096492175169 29.938814846421, -90.096485217717 29.939483521313, -90.096283816329 29.939979254975), (-90.094643873506 29.937691691535, -90.094347124035 29.937077410171, -90.094322195786 29.937095997378, -90.09426427062 29.937136709867, -90.094199423934 29.937180448197, -90.094144847687 29.9372168519, -90.094084066777 29.937256286894, -90.094023318206 29.937293221475, -90.093959698619 29.937330131132, -90.09389032173 29.937368234924, -90.093757355796 29.937440747145, -90.093103235844 29.937807781213, -90.09412603966 29.939193943576, -90.094778714223 29.938828139892, -90.094915230299 29.938758786049, -90.094998612822 29.938719820274, -90.095107988996 29.938668707641, -90.094643873506 29.937691691535)))",961,RPC,,12/20/2013 12:00:00 AM +0000,BRN,2774.3808956829766,208581.57315812679,48,2008,,23204,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.069268169935 29.949997172045, -90.070326952177 29.950226132071, -90.070213123054 29.950598865526, -90.070211687546 29.950598851516, -90.069155819439 29.950366166374, -90.069268169935 29.949997172045)))",255,CBPCD,,12/20/2013 12:00:00 AM +0000,BRN,341.48365120318618,5987.5582548836137,33,1980,,9438,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.034862347804 29.934263364779, -90.034925465232 29.934266488035, -90.035276847544 29.934289959942, -90.035273073721 29.93435931145, -90.035267890442 29.934426774324, -90.035262697282 29.934494862269, -90.035257490646 29.934564199622, -90.035253741078 29.934631677148, -90.035248549714 29.934699764174, -90.035248532646 29.934701014406, -90.035243340384 29.934769102163, -90.035243332299 29.934769727278, -90.035238197529 29.934833439964, -90.035234432689 29.934902166757, -90.035229241325 29.934970254377, -90.034877139463 29.934946775624, -90.034882332624 29.93487868721, -90.034886815217 29.934809968185, -90.034822929729 29.934810588629, -90.034472974841 29.934787754416, -90.034477440366 29.934720285559, -90.034482649696 29.934650946758, -90.034487841958 29.934582858919, -90.034491599611 29.934514757022, -90.034496799959 29.934446043973, -90.034501992221 29.934377956773, -90.034507184483 29.934309869527, -90.034511667975 29.93424114933, -90.034862347804 29.934263364779)))",366,CU,,12/20/2013 12:00:00 AM +0000,BRN,346.40916271052555,6689.2324777952908,140,2000,,20050,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.096978178111 29.940602926516, -90.09718012837 29.940524182936, -90.097321361499 29.940827444667, -90.097118691689 29.94090618178, -90.096975168755 29.940961719395, -90.09689056632 29.940780263398, -90.096873798367 29.940743223467, -90.096858412921 29.9407105723, -90.096834646193 29.940659089379, -90.096978178111 29.940602926516)))",94,CU,,12/20/2013 12:00:00 AM +0000,BRN,168.32316145954204,1770.6055511458803,43,1995,,17258,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.03545231996 29.975213729094, -90.035488260656 29.975100311709, -90.03578820274 29.9751701569, -90.035768739841 29.975231227533, -90.035753691263 29.975284214629, -90.0357434873 29.975317934523, -90.035719177091 29.975398272226, -90.035419243991 29.975327801557, -90.03545231996 29.975213729094)))",569,CU,,12/20/2013 12:00:00 AM +0000,BRN,129.70504292477949,1048.4109636552114,132,2010,,24365,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.018449224756 29.921472717465, -90.018574450805 29.919583412866, -90.019195547789 29.919614650811, -90.020310463058 29.919670716516, -90.020310373226 29.919672059589, -90.020224259825 29.920957212929, -90.02021083091 29.921105234636, -90.020184569561 29.921301263382, -90.020160021299 29.92142166838, -90.020124536947 29.921555091838, -90.020101282259 29.921631750606, -90.019958094396 29.921605940759, -90.019824894901 29.92158460695, -90.019692379922 29.921565780157, -90.01955840518 29.921548814163, -90.019423696515 29.921533089998, -90.019288229672 29.921520484815, -90.019152737676 29.921509754448, -90.01896416423 29.921497242691, -90.018777010122 29.921485995345, -90.018449224756 29.921472717465)))",993,CU,,,BRN,875.32654269113823,47268.690384748727,90,2014,572461,26179,,,,,,,,,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,,,,,,,,
"MULTIPOLYGON (((-90.095779256888 29.925979362334, -90.096092132915 29.925923543865, -90.096145656337 29.926121586554, -90.095831313361 29.926179892353, -90.095794994474 29.926041397437, -90.095779256888 29.925979362334)))",42,CU,,12/20/2013 12:00:00 AM +0000,BRN,123.87155422306553,937.22177760150828,32,1996,,17716,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.075797264659 29.956974001305, -90.076167776595 29.956568395952, -90.076171334822 29.95657093011, -90.076818302387 29.957014696317, -90.076821452779 29.957017501312, -90.076822562199 29.957018488198, -90.076821110521 29.957019724139, -90.076179664001 29.957733114997, -90.075513368283 29.95728478572, -90.075514482194 29.957283565348, -90.075559856099 29.957233894325, -90.075672789602 29.957110266916, -90.075797264659 29.956974001305)))",216,CBPCD,,12/20/2013 12:00:00 AM +0000,BRN,420.76604660150116,10929.359326407663,93,1984,,11589,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,10591,0,0,0,0,0
