ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Type,Installation,Fuel Type,Width (in.),Depth (in.),Shortening Capacity (lbs),Cooking Energy Efficiency (%),Energy Use (Idle Energy Rate) (Btu/hr),Energy Use (Idle Energy Rate) (Watts),Date Available on Market,Date Qualified,Markets,CB Model Identifier
2292088,"Frymaster,(A division of Welbilt)",Frymaster,#1814E,#1814E,",#1814E,1814 Electric, 17kW, 11814E, 21814E, 31814E, 41814E; ,#1814EF,17kW, 11814EF, 21814EF, 31814EF, 41814EF; ,YFPRE#1817,17kW, YFPRE11817",Large Vat,Floor,Electric,18,14,60,89,,968,06/01/2012,11/28/2013,"United States, Canada","ES_1016647_YFPRE11817, X1814E followed by X,X,X,X,X,X,XX_01102014142057_3790399"
2292171,"Frymaster,(A division of Welbilt)",Frymaster,RE#17,RE#17,",FMRE#17,17kW, FMRE117, FMRE217, FMRE317, FMRE417, FMRE517, FMRE617; ,FPRE#17,17 kW, FPRE117, FPRE217, FPRE317, FPRE417, FPRE517, FPRE617; ,RE#17,17kW, RE117, RE217, RE317, RE417, RE517, RE617",Standard Vat,Floor,Electric,14,14,50,83,,792,01/12/2010,02/08/2011,United States,"ES_1016647_RE#17, FMRE#17, FPRE#17_03022017150212_2823297"
2292391,"Frymaster,(A division of Welbilt)",Frymaster,RE#14,RE#14,",FMRE#14,14kW and 50lb, RE114, RE214, RE314, RE414, RE514, RE614, FMRE114, FMRE214, FMRE314, FMRE414, FMRE514, FMRE614, FPRE114, FPRE214, FPRE314, FPRE414, FPRE514, FPRE614; ,FPRE#14,14kW and 50lb, RE114, RE214, RE314, RE414, RE514, RE614, FMRE114, FMRE214, FMRE314, FMRE414, FMRE514, FMRE614, FPRE114, FPRE214, FPRE314, FPRE414, FPRE514, FPRE614; ,RE#14,14kW and 50lb, RE114, RE214, RE314, RE414, RE514, RE614, FMRE114, FMRE214, FMRE314, FMRE414, FMRE514, FMRE614, FPRE114, FPRE214, FPRE314, FPRE414, FPRE514, FPRE614",Standard Vat,Floor,Electric,13,14,50,87,,620,01/01/2017,03/13/2017,"United States, Canada",ES_1016647_RE#14_02242017153040_2041131
2294048,"Royal Range Of California, Inc.",Royal Range,REEF-35,REEF-35,,Standard Vat,Floor,Gas,14,14,35,54,8764,,03/22/2017,03/22/2017,United States,ES_1091953_REEF-35_03282017181749_2357446
2294049,"Royal Range Of California, Inc.",Royal Range,RHEF-45,RHEF-45,,Standard Vat,Floor,Gas,14,14,45,63,4569,,03/22/2017,03/22/2017,United States,ES_1091953_RHEF-45_03282017175518_7414361
2294654,Vulcan (A division of ITW Food Equipment Group),Vulcan,1VEG35M-1,1VEG35M-1,",1VEG35M-2,",Standard Vat,Floor,Gas,14,14,35,50,7296,,04/17/2017,03/03/2017,"United States, Canada",ES_1VEG35M-1_Yes_04182017100736_1000686
2296293,Vulcan (A division of ITW Food Equipment Group),Vulcan,1ER85D-1,1ER85D-1,",1ER85A-1,; ,1ER85A-2,; ,1ER85C-1,; ,1ER85C-2,; ,1ER85D-2,",Large Vat,Floor,Electric,20,18,85,88,,1080,09/23/2016,05/17/2016,"United States, Canada",ES_1ER85D-1_Yes_05182017095344_1000724
2296294,Vulcan (A division of ITW Food Equipment Group),Vulcan,CEF40,CEF40,,Standard Vat,Countertop,Electric,13,16,45,85,,700,03/28/2017,05/18/2017,"United States, Canada",ES_CEF40_Yes_05182017151545_1000763
2297462,"Frymaster,(A division of Welbilt)",Frymaster,BIGL#30,BIGL#30,",BIGL#30,BIGL130,BIGL230,BIGL330,BIGL430,BIGL530; ,BIGLA#30,BIGLA230,BIGLA330,BIGLA430,BIGLA530",Standard Vat,Floor,Gas,13,14,30,54,4010,,12/01/2010,08/07/2012,United States,ES_1016647_BIGL#30_06082017155520_2712823
2338743,Henny Penny Corporation,Henny Penny,OFE-51X,OFE-51X,,Standard Vat,Floor,Electric,12,17,30,89,,659,01/01/2019,05/23/2019,United States,ES_1021426_OFE-51X_05232019172203_2123465
2358065,"Royal Range Of California, Inc.","Royal Range of California, Inc.",RHEF-75DM,RHEF-75DM,,Large Vat,Floor,Gas,19,38,75,72,5045,,01/01/2019,04/15/2020,"United States, Canada",ES_1091953_RHEF-75DM_04032020153823_4587060
2358845,American Range Corporation,American Range,AF50-HE,AF50-HE,,Standard Vat,Floor,Gas,16,31,50,50,7966,,04/15/2020,04/28/2020,United States,ES_1099057_AF50-HE_04272020111122_5238305
