MAKE,MODEL,VEHICLE_COUNT,MAINT_DOLLARS,FUEL_QTY,AVG_MILES_PER_VEHICLE,TOTAL_MILES
FIATALLIS,FG65C,1,3343.684089,317.6,219.615468819118524,219.615468819118524
JOHN DEERE,544J,5,32230.162002,1981.9,2758.489080292187802,13792.445401460939011
JOHN DEERE,120,1,2143.036277,39,277.062031307364267,277.062031307364267
ADVANCE,ES4000,3,157.118572,No-DATA,111.875809627821325,335.627428883463976
SAKAI,SV201TB-1,1,939.459828,No-DATA,22.641017897858541,22.641017897858541
MAGNUM,3400,1,154.013425,No-DATA,0,0
WELLS CARG,EW1625V,3,1771.896699,No-DATA,0,0
POLAR KRAF,S-1451,1,0,No-DATA,553.841260538700636,553.841260538700636
VERMEER,BC900XL,1,479.48475,39.6,20.104405718331513,20.104405718331513
SCAG,27KA,1,1537.81714,30.3,1390.964377973199736,1390.964377973199736
CHEVROLET,2500HD,32,83181.372756,20322.6,9127.412303020830578,292077.193696666578487
TEAM FENEX,F151KP,3,2216.156228,662.3,7.471974214178947,22.41592264253684
HOBBS,HE2IWT,1,421.20425,No-DATA,0,0
INGERSOLL,P250WJD,4,1328.138902,No-DATA,18.189798119824874,72.759192479299497
SOUTHWEST,BU2083207E,3,2665.458822,No-DATA,0,0
BOBCAT,SGX 60,1,,No-DATA,0,0
JOHN DEERE,PRO GATOR,6,,No-DATA,0,0
BIG TEX,14',1,69.555475,No-DATA,0,0
WELLS CARG,EW2026W,1,315.261245,No-DATA,0,0
CHEVROLET,CG31803,1,4344.194978,77.1,2847.243225917472466,2847.243225917472466
PALADIN,MM 60 E,2,261.623039,No-DATA,0,0
MAGNUM PRO,4060MMH,1,933.94015,19.9,658.581387285738798,658.581387285738798
TAILWIND,TXTW812TA2,1,80.961556,No-DATA,0,0
CRANE CARR,LET2-44,29,843660.338651,155078.1,18519.77372227694423,537073.437946031382665
HINO,195-19,1,344.604983,37.9,974.344214651961152,974.344214651961152
JACOBSEN,LF-4677,3,,No-DATA,0,0
JOHN DEERE,313,1,2322.371228,No-DATA,112.677733168784134,112.677733168784134
HAMM/WIRTG,HD12VV,5,43953.859284,291.7,2288.887460832309402,11444.437304161547012
VERMEER,BC1000XL,3,2557.053194,No-DATA,1564.072444198874624,4692.217332596623871
DODGE,CV TRADESMAN,1,5648.803622,920,8564.347149200902299,8564.347149200902299
BOATMASTER,LE24-120,1,1771.276044,No-DATA,0,0
IHC,4400SBA,19,165644.267761,35984.2,6536.559110557968731,124194.623100601405886
MAGNUM,60 SP-18,2,2079.713854,No-DATA,0,0
WOODS,SLRT-10,2,1693.244311,No-DATA,0,0
ALLTRAFFIC,ATS-3,10,2735.749859,No-DATA,0,0
NABORS TRL,PN202,1,1015.859475,No-DATA,0,0
LENCO,F550,2,29706.411766,916.9,2581.229756901118724,5162.459513802237448
GORMAN-RUP,4X8 LD,1,0,No-DATA,8.226427543057272,8.226427543057272
KALMAR,46777600,2,2739.54982,64,1087.43854240020845,2174.877084800416899
ALLMAND,NL-PRO,1,472.368,No-DATA,575.817983403556573,575.817983403556573
IRVINE,GT 623,1,,No-DATA,0,0
WELLS CARG,EW1622,2,1460.4258,No-DATA,0,0
FARBER,MT55,1,4024.976753,728.1,2696.378012652594765,2696.378012652594765
SOUTHWEST,BU1005135E,2,2052.405023,No-DATA,0,0
DITCH WITC,1230H,1,923.265734,No-DATA,1.87257664789131,1.87257664789131
BRODERSON,IC-35-2F,1,1955.42,4.4,14.76173413552893,14.76173413552893
MAGNUM,MISC,40,30306.571756,No-DATA,2.025257590347987,81.010303613919488
4-STAR,HORSE,3,1870.778136,No-DATA,0,0
VORTEQ,TL3,2,213.061912,No-DATA,0,0
MAGNUM,25X102,2,435.591544,No-DATA,0,0
JOHN DEERE,PROGAT 2030A,8,9054.983023,36.6,34.414744055511057,275.317952444088458
BROOKS BRO,PTB 112-10KE,3,936.2757,No-DATA,0,0
ROADMASTER,CA24FB,1,184.194622,No-DATA,0,0
JOHN DEERE,310SJ,1,6538.52174,406.9,302.438462717652237,302.438462717652237
PARKER,HP7716,1,795.095398,No-DATA,0,0
ALL TRAFFIC SOLUTIONS,ATS,2,750.989625,No-DATA,0,0
JOHN DEERE,260,3,12466.056309,159.2,1743.83400744756947,5231.502022342708409
BOBCAT,15C AUGER,1,51.253075,No-DATA,0,0
GLAVAL UNIVERSAL,US80227C,2,2066.938347,344.4,1602.746246553969629,3205.492493107939257
DRAGON,150BBL,1,1763.473772,144.9,0,0
PETERBILT,220,2,23621.455613,3852.8,4697.477191916931046,9394.954383833862091
CARGO,TXTW710SA,1,518.172684,No-DATA,0,0
TEAM FENEX,F151HP,5,11939.58489,734.2,657.401462339342113,3287.007311696710566
ONAN,2500,2,0,No-DATA,0.059098941024336,0.118197882048672
TORO,74978,5,15815.1409,1157,1873.054184723098611,9365.270923615493056
KIA,NIRO PHEV,25,13833.887441,938,4496.443481130187348,112411.087028254683704
MULTIQUIP,WBH-16,2,37.442667,5.4,613.794693983624186,1227.589387967248371
