School_Year,OPT_Code,Name,Affiliation,Site_Type,Street_Address,City,State,Zip,Longitude,Latitude,Door_To_Door_Service,Stop_To_School_Service,Common_Carrier_Svc_Metrocards,Site_Reimbursement,Mid_Day_Service,D2D_Late_Day_Programs,S2S_Late_Day_Programs
2018-2019,08487,GIRLS PREP BRONX-MS,Charter,School,890 CAULDWELL AVENUE,Bronx,NY,10456,-73.9071030000,40.8224430000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,08489,THE EQUALITY CHARTER HS,Charter,School,715 CASTLE HILL AVENUE,Bronx,NY,10473,-73.8487060000,40.8214380000,Yes,No,Yes,No,No,No,No
2018-2019,08495,P721X @ MECHLAR HALL SR.CTR,Public,School,2158 WATSON AVENUE,Bronx,NY,10472,-73.8518630000,40.8295090000,No,No,No,No,No,No,No
2018-2019,08497,HUNT'S POINT MS 424,Public,School,730 BRYANT AVENUE,Bronx,NY,10474,-73.8856670000,40.8154820000,Yes,Yes,Yes,No,No,No,No
2018-2019,08498,P186X@ PS 140,Public,School,916 EAGLE AVENUE,Bronx,NY,10456,-73.9078710000,40.8232180000,Yes,No,No,No,Yes,No,No
2018-2019,08517,MILLENNIUM ART ACADEMY,Public,School,1980 LAFAYETTE AVENUE,Bronx,NY,10473,-73.8561510000,40.8222120000,Yes,No,Yes,No,Yes,No,No
2018-2019,08518,Gotham Collaborative HS,Public,School,1980 LAFAYETTE AVENUE,Bronx,NY,10473,-73.8561510000,40.8222120000,Yes,No,Yes,No,Yes,No,No
2018-2019,08537,BRONX ARENA HS TRANSFER,Public,School,1440 STORY AVENUE,Bronx,NY,10473,-73.8814680000,40.8210680000,No,No,Yes,No,Yes,No,No
2018-2019,08547,SOUTH BX CLASSICAL CHARTER SCH,Charter,School,977 FOX STREET,Bronx,NY,10459,-73.8940010000,40.8224370000,No,Yes,Yes,No,No,No,No
2018-2019,08551,Y.A.B.C. @ BX COMM HS,Public,School,1980 LAFAYETTE AVENUE,Bronx,NY,10473,-73.8561510000,40.8222120000,No,No,Yes,No,No,No,No
2018-2019,08555,Y.A.B.C. @ LEHMAN HS,Public,School,3000 EAST TREMONT AVENUE,Bronx,NY,10461,-73.8385720000,40.8406280000,No,No,Yes,No,No,No,No
2018-2019,08558,WESTCHESTER SQUARE ACADEMY,Public,School,3000 EAST TREMONT AVENUE,Bronx,NY,10461,-73.8385720000,40.8406280000,Yes,No,Yes,No,Yes,No,No
2018-2019,08561,BRONX COMPASS HS,Public,School,1980 LAFAYETTE AVENUE,Bronx,NY,10461,-73.8561510000,40.8222120000,Yes,No,Yes,No,Yes,No,No
2018-2019,08562,BLUEPRINT MIDDLE SCHOOL,Public,School,1111 PUGSLEY AVENUE,Bronx,NY,10472,-73.8568320000,40.8292180000,Yes,Yes,Yes,No,No,No,No
2018-2019,08564,RENAISSANCE HS OF MUSICAL THEA,Public,School,3000 EAST TREMONT AVENUE,Bronx,NY,10461,-73.8385720000,40.8406280000,Yes,No,Yes,No,Yes,No,No
2018-2019,08579,YOUTH DEVELOP.ACAD.@ PAL,Public,School,991 LONGWOOD AVENUE,Bronx,NY,10459,-73.8976060000,40.8172470000,No,No,No,No,No,No,No
2018-2019,08587,RESTART @ ADOL SKILLS CTR,Public,School,975 KELLY STREET,Bronx,NY,10459,-73.8959810000,40.8220410000,No,No,Yes,No,No,No,No
2018-2019,08590,SCH FOR TOURISM & HOSPITALITY,Public,School,900 TINTON AVENUE,Bronx,NY,10456,-73.9033860000,40.8218130000,Yes,No,Yes,No,No,No,No
2018-2019,08647,CSE 2,Public,Office,3450 EAST TREMONT AVENUE 2ND FLOOR,Bronx,NY,10465,-73.8275740000,40.8320770000,No,No,Yes,No,No,No,No
2018-2019,08667,P2G @ LEHMAN HS PM,Public,School,3000 EAST TREMONT AVENUE,Bronx,NY,10461,-73.8385720000,40.8406280000,No,No,Yes,No,No,No,No
2018-2019,08688,GIRLS PREP CHARTER SCHOOL,Charter,School,681 KELLY STREET,Bronx,NY,10455,-73.9021790000,40.8155010000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,08704,MSGR SCANLAN HS,Parochial,School,915 HUTCHINSON RIVER PARKWAY,Bronx,NY,10465,-73.8368080000,40.8257330000,No,No,Yes,No,No,No,No
2018-2019,08705,PRESTON HS,Parochial,School,2780 SCHURZ AVENUE,Bronx,NY,10465,-73.8193530000,40.8141810000,Yes,No,Yes,No,No,No,No
2018-2019,08706,GREEK AMERICAN INSTITUTE,Christian,School,3573 BRUCKNER BLVD,Bronx,NY,10461,-73.8281010000,40.8489640000,No,Yes,Yes,No,Yes,No,No
2018-2019,08711,VILLA MARIA ACADEMY,Parochial,School,3335 COUNTRY CLUB ROAD,Bronx,NY,10465,-73.8171610000,40.8412410000,No,Yes,Yes,No,Yes,No,No
2018-2019,08712,ST ATHANASIUS SCHOOL,Parochial,School,830 SOUTHERN BLVD,Bronx,NY,10459,-73.8954970000,40.8168820000,No,Yes,Yes,No,Yes,No,No
2018-2019,08713,HOLY FAMILY SCHOOL,Parochial,School,2169 BLACKROCK AVENUE,Bronx,NY,10472,-73.8515200000,40.8289840000,No,Yes,Yes,No,Yes,No,No
2018-2019,08715,OUR LADY OF ASSUMPTION SCH00L,Parochial,School,1617 PARKVIEW AVENUE,Bronx,NY,10461,-73.8271020000,40.8454330000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,08716,ST THERESA SCHOOL,Parochial,School,2872 ST THERESA AVENUE,Bronx,NY,10461,-73.8332520000,40.8494080000,No,Yes,Yes,No,Yes,No,No
2018-2019,08717,HOLY CROSS SCHOOL,Parochial,School,1846 RANDALL AVENUE,Bronx,NY,10473,-73.8606770000,40.8172280000,No,Yes,Yes,No,Yes,No,No
2018-2019,08718,ST BENEDICT SCHOOL,Parochial,School,1016 EDISON AVENUE,Bronx,NY,10465,-73.8254600000,40.8322070000,No,Yes,Yes,No,Yes,No,No
2018-2019,08719,ST FRANCES DECHANTAL SCH,Parochial,School,2962 HARDING AVENUE,Bronx,NY,10465,-73.8134530000,40.8163680000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,08721,P721X @ PROVIDENCE NURSING HM,Public,School,3302 WATERBURY AVE,Bronx,NY,10465,-73.8185540000,40.8370920000,Yes,No,Yes,No,No,No,No
2018-2019,08730,BX CHARTER SCH FOR THE ARTS MS,Charter,School,1440 Story Avenue,Bronx,NY,10473,-73.8814680000,40.8210680000,Yes,Yes,Yes,No,No,No,No
2018-2019,08750,ST IGNATIUS ACADEMY,Parochial,School,740 MANIDA STREET,Bronx,NY,10474,-73.8884780000,40.8152390000,No,No,Yes,No,No,No,No
2018-2019,08754,P754X@ Adolescent Skills Cente,Public,School,975 Kelly Street,Bronx,NY,10459,-73.8959810000,40.8220410000,No,No,No,No,No,No,No
2018-2019,08800,P754X @ P 10,Public,School,2750 LAFAYETTE AVENUE,Bronx,NY,10465,-73.8297010000,40.8274040000,Yes,No,Yes,No,No,No,No
2018-2019,08861,SUCCESS ACAD CHARTER SCH BX-4,Charter,School,885 BOLTON AVENUE,Bronx,NY,10473,-73.8597630000,40.8235110000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,08866,ALC- PAL LONGWOOD,Public,School,991 LONGWOOD AVENUE,Bronx,NY,10459,-73.8976060000,40.8172470000,Yes,No,No,No,No,No,No
2018-2019,08889,ALC @ STEVENSON HS,Public,School,1980 LAFAYETTE AVENUE,Bronx,NY,10473,-73.8561510000,40.8222120000,No,No,No,No,No,No,No
2018-2019,08901,ST JOSEPH SCH FOR THE DEAF,Nonsectarian,School,1000 HUTCHINSON RIVER PARKWAY,Bronx,NY,10465,-73.8360360000,40.8270680000,Yes,No,No,No,Yes,No,No
2018-2019,08966,ALC @ BX EDUC CTR,Public,School,1201 LAFAYETTE AVENUE LEVEL C,Bronx,NY,10474,-73.8910540000,40.8165010000,Yes,No,No,No,No,No,No
2018-2019,08994,ALC-JANE ADDAMS HS,Public,School,900 TINTON AVENUE,Bronx,NY,10456,-73.9033860000,40.8218130000,No,No,No,No,No,No,No
2018-2019,09000,CSD # 9 PROGRAMS,Public,Office,ONE FORDHAM PLAZA  8TH FLOOR,Bronx,NY,10452,-73.8900040000,40.8610710000,No,No,No,No,No,No,No
2018-2019,09001,METROPOLITAN LIGHTHOUSE CHARTE,Charter,School,180 WEST 165TH STREET,Bronx,NY,10452,-73.9297750000,40.8345170000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,09003,South Bronx Classical III,Charter,School,3458 Third Avenue,Bronx,NY,10456,-73.9064030000,40.8297930000,Yes,Yes,Yes,No,No,No,No
2018-2019,09004,CS 4,Public,School,1701 FULTON AVENUE,Bronx,NY,10456,-73.8979770000,40.8414200000,Yes,Yes,Yes,No,No,No,No
2018-2019,09006,P2G @ ARGUS DAVIDSON CENTER,Public,School,2038  DAVIDSON AVENUE,Bronx,NY,10453,-73.9086600000,40.8534940000,No,No,Yes,No,No,No,No
2018-2019,09007,COMM EDUC COUNCIL #9,Public,Office,1245 WASHINGTON AVENUE ROOM 136,Bronx,NY,10456,-73.9065150000,40.8321890000,No,No,Yes,No,No,No,No
2018-2019,09009,P017X @ P404,Public,School,1100 BOSTON ROAD,Bronx,NY,10456,-73.9045510000,40.8274600000,No,No,No,No,No,No,No
2018-2019,09010,ACACIA HUNTS POINT ANNEX,Public,Office,300 EAST 175TH STREET,Bronx,NY,10457,-73.9045580000,40.8466300000,No,No,No,No,No,No,No
2018-2019,09011,CES 11,Public,School,1257 OGDEN AVENUE,Bronx,NY,10452,-73.9258060000,40.8394070000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,09012,P754X @ REBEKAH REHAB,Public,School,1070 HAVEMEYER AVENUE,Bronx,NY,10462,-73.8473880000,40.8298700000,Yes,No,Yes,No,No,No,No
2018-2019,09013,P2G @ THE BRONX EOC,Public,School,1666 BATHGATE AVENUE,Bronx,NY,10457,-73.9003340000,40.8409480000,No,No,Yes,No,No,No,No
2018-2019,09014,P469X @ P 339,Public,School,1600 WEBSTER AVENUE,Bronx,NY,10457,-73.9046610000,40.8408460000,Yes,No,No,No,No,No,No
2018-2019,09015,P723X@P909X,Public,School,516 East Tremont Avenue,Bronx,NY,10457,-73.8965950000,40.8466530000,Yes,Yes,No,No,No,No,No
2018-2019,09017,FAMILY LIFE ACADEMY CHARTER 2,Charter,School,14 WEST 170TH STREET,Bronx,NY,10452,-73.9185480000,40.8404170000,No,Yes,Yes,No,No,No,No
2018-2019,09018,P176X@P908X,Public,School,1732 Davidson Avenue,Bronx,NY,10453,-73.9133370000,40.8477560000,Yes,No,Yes,No,No,No,No
2018-2019,09019,P2G @ YOUTH BUILD BRONX,Public,School,1614 WALTON AVENUE,Bronx,NY,10452,-73.9127520000,40.8440180000,No,No,Yes,No,No,No,No
2018-2019,09020,South Bronx Classical CS IV,Charter,School,3458 Third Avenue,Bronx,NY,10456,-73.9064030000,40.8297930000,No,Yes,No,No,No,No,No
