the_geom,OBJECTID,School Name,Site Address,Open or Closed,CMO,Enrollment,PublicVsPrivate
POINT (-90.099079770038 29.923235788359),7,Audubon Charter School: Uptown,1111 Milan St,OPEN,Non-Network,,PUBLIC
POINT (-90.11465693575 29.933335645287),80,New Orleans Charter Science and Math High School (Sci High),5625 Loyola Ave,OPEN,Non-Network,473,PUBLIC
POINT (-89.978213302749 30.051312111272),106,Auntie B Preschool & Kindergarten,8001 Lafourche St,OPEN,,,PRIVATE
POINT (-90.082495294393 29.998164270824),73,McDonogh #35 College Preparatory High School,4000 Cadillac St,OPEN,OPSB Direct Run,860,PUBLIC
POINT (-90.076410238484 29.974369423802),11,Bricolage Academy,2426 Esplanade Ave,OPEN,Non-Network,443,PUBLIC
POINT (-90.088216635802 29.981331844333),109,Cabrini High School,1400 Moss St,OPEN,,,PRIVATE
POINT (-90.028701799677 29.938141966691),16,Crescent Leadership Academy Accelerated High School,2701 Lawrence St,OPEN,Non-Network,70,PUBLIC
POINT (-90.033715519199 29.929623893984),110,Calvary Baptist School,2401 General Degaulle Dr,OPEN,,,PRIVATE
POINT (-90.117270871923 29.95829561771),60,Lafayette Academy Charter School,2727 S Carrollton Ave,OPEN,Choice Foundation,107,PUBLIC
POINT (-90.092402856036 29.920081623642),86,Accelerated High School,3649 Laurel St,OPEN,ReNEW Schools,319,PUBLIC
POINT (-90.047194496792 29.939719092523),28,Elan Academy,709 Park Blvd,OPEN,Non-Network,58,PUBLIC
POINT (-90.048733520711 29.94838686796),69,Martin Behrman Charter School Academy of Creative Arts and Sciences,715 Opelousas Ave,OPEN,Algiers Charter School Association,749,PUBLIC
POINT (-90.037118055615 30.011066685816),70,Mary D. Coghill Elementary School,4617 Mirabeau Ave,OPEN,Non-Network,600,PUBLIC
POINT (-90.034505663793 29.950747147773),81,New Orleans Military and Maritime Academy (NOMMA),425 O'Bannon St,OPEN,,763,PUBLIC
POINT (-90.069329869014 29.982160021089),123,Life Of Christ Christian Academy,1851 N Dorgenois St,OPEN,,,PRIVATE
POINT (-90.065159853164 29.96060441511),111,Cathedral Academy,820 Dauphine St,OPEN,,,PRIVATE
POINT (-90.069058005124 29.965073386155),48,Joseph A. Craig Charter School,1423 St Philip St,OPEN,Friends of King,300,PUBLIC
POINT (-90.016997027112 30.020588880421),55,KIPP East Community,6519 Virgilian St,OPEN,KIPP,330,PUBLIC
POINT (-90.129247837557 29.94677772813),140,St. Andrew's Episcopal School,8012 Oak St,OPEN,,,PRIVATE
POINT (-90.079831673543 29.94003933659),95,The NET Charter High School,1614 Oretha Castle Haley Blvd,OPEN,Educators for Quality Alternatives,154,PUBLIC
POINT (-90.062956576851 29.960925956682),40,Homer A. Plessy Community School,721 St Philip St,OPEN,Non-Network,286,PUBLIC
POINT (-90.113960718487 29.941319148713),156,Ursuline Academy Elementary School,2635 State St,OPEN,,,PRIVATE
POINT (-90.073146728764 30.020411387085),8,Benjamin Franklin Elementary Mathematics and Science School (Lower),6101 Chatham Dr,OPEN,OPSB Direct Run,518,PUBLIC
POINT (-90.105717597559 29.933595397683),37,Samuel J Green Charter School,2319 Valence St,OPEN,FirstLine Schools,513,PUBLIC
POINT (-90.080629527858 29.987903889179),34,Langston Hughes Academy,3519 Trafalgar St,OPEN,FirstLine Schools,806,PUBLIC
POINT (-90.085125607992 29.9233077197),35,Live Oak Academy,3128 Constance St,OPEN,FirstLine Schools,637,PUBLIC
POINT (-90.010560230298 29.959987814466),124,Light City Christian Academy,6117 St. Claude Ave,OPEN,,,PRIVATE
POINT (-90.094716916863 29.960304822756),97,Travis Hill School: Orleans Justice Center,2800 Perdido St,OPEN,,,PUBLIC
POINT (-90.102604755236 29.946262703349),3,Andrew Wilson,3617 General Pershing St,OPEN,Inspire NOLA,643,PUBLIC
POINT (-90.069913527792 29.969877854462),49,Joseph S. Clark High School,1301 N Derbigny St,OPEN,FirstLine Schools,97,PUBLIC
POINT (-90.068288806426 29.983649810625),142,St. Augustine Senior High School,2600 Ap Tureaud Ave,OPEN,,,PRIVATE
POINT (-90.003100435401 30.023245312316),14,Livingston Collegiate Academy,7301 Dwyer Rd,OPEN,Collegiate Academies,308,PUBLIC
POINT (-89.954338394593 30.024920480257),26,Einstein Charter School at Sherwood Forest,4801 Maid Marion Dr,OPEN,Einstein Charter Schools,480,PUBLIC
POINT (-90.090382197854 29.939780627254),54,KIPP Central City,2514 Third St,OPEN,KIPP,446,PUBLIC
POINT (-90.125882975857 29.94996948566),90,SciTech Academy,1607 S Carrollton Ave,OPEN,ReNEW Schools,202,PUBLIC
POINT (-89.999537304407 29.918452476524),2,Alice Harte,5300 Berkley Dr,OPEN,Inspire NOLA,788,PUBLIC
POINT (-89.995909311673 30.039337481898),91,Robert Russa Moton Charter School,8550 Curran Blvd,OPEN,Non-Network,349,PUBLIC
POINT (-90.036904357259 30.012897978124),143,St. Benedict The Moor Elementary School,5010 Piety Dr,OPEN,,,PRIVATE
POINT (-89.998864557845 30.04164833605),122,Lake Castle Private School,8400 Hayne Blvd,OPEN,,,PRIVATE
POINT (-90.052110568086 29.940788316427),46,JCFA Algiers,1415 Teche St,OPEN,,,PUBLIC
POINT (-90.121444198123 29.920409655088),67,LFNO (Lower),5951 Patton St,OPEN,,423,PUBLIC
POINT (-90.091961234749 29.942956597218),21,E. P. Harney Spirit of Excellence Academy,2503 Willow St,OPEN,Non-Network,298,PUBLIC
POINT (-89.950495255857 30.054400871007),107,Bishop McManus Academy,13123 I-10 Service Rd,OPEN,,,PRIVATE
POINT (-90.110556521536 29.919866268101),147,St. Katharine Drexel,5116 Magazine St,OPEN,,,PRIVATE
POINT (-90.11057948029 30.018607362571),125,Mount Carmel Academy High School,7027 Milne Blvd,OPEN,,,PRIVATE
POINT (-90.093629823633 29.967648082017),77,Morris Jeff Community School,211 S Lopez St,OPEN,Non-Network,891,PUBLIC
POINT (-90.049747826031 29.950464213619),43,International School of Louisiana,502 Olivier St,OPEN,,,PUBLIC
POINT (-90.106392452156 29.978061523617),141,St. Anthony Of Padua School,4601 Cleveland Ave,OPEN,,,PRIVATE
POINT (-90.075966615925 29.977361834967),78,New Harmony High,2539 Columbus St,OPEN,,,PUBLIC
POINT (-89.978985311386 30.046974203905),87,Dolores T. Aaron Academy,10200 Curran Blvd,OPEN,ReNEW Schools,857,PUBLIC
POINT (-90.106392452156 29.978061523617),158,Christian Brothers School,4600 Canal St,OPEN,,,PRIVATE
POINT (-90.103324888234 29.97243059009),121,Jesuit High School,4133 Banks St,OPEN,,,PRIVATE
POINT (-89.972736791327 30.023793790628),128,Resurrection Of Our Lord Elementary School,4861 Rosalia Dr,OPEN,,,PRIVATE
