Supplier,Item Code,Item Description,Type,Tag,Order Number,Order Status,PO Status,Ordered Qty,Fulfilled Qty,Ordered Date,Received Date,Fulfillment Date,Days to Fill
BUCK DISTRIBUTING COMPANY INC,69593,STONE SOARING DRAGON IPA 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,2,2,04/15/2020,04/22/2020,04/24/2020,9
ALLAGASH BREWING COMPANY,25092,ALLAGASH BLACK 6/4 NR - 12OZ,BEER,SB,178#####,BOOKED,OPEN,1,1,04/26/2020,04/28/2020,05/01/2020,5
LEGENDS LTD,63744,LAGUNITAS HOP REFRESHER NA 6/4 NR,NON-ALCOHOL,SB,177#####,CLOSED,OPEN,1,1,04/16/2020,04/21/2020,04/24/2020,8
"THE COUNTRY VINTNER, LLC DBA WINEBOW",330952,MARIETTA CELLARS ARME LOT 1 BORD - 750ML,WINE,S,178#####,BOOKED,,1,,04/30/2020,,,
GRAPES OF SPAIN INC,236286,CASA LA RAD SOLARCE RED RIOJA - 750ML,WINE,LS,177#####,CLOSED,CLOSED,2,2,04/13/2020,04/17/2020,04/23/2020,10
PWSWN INC,345941,PICO & VINE P/NOIR - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/07/2020,04/13/2020,04/15/2020,8
JOS VICTORI WINES,355100,JOHN UMBACH PS CABERNET SAUVIGNON - 750ML,WINE,S,177#####,BOOKED,OPEN,2,2,04/15/2020,04/27/2020,04/30/2020,15
"THE COUNTRY VINTNER, LLC DBA WINEBOW",47279,GRAHAMS 10YR TAWNY PORT - 750ML,WINE,SC,178#####,BOOKED,,1,,04/27/2020,,,
"THE COUNTRY VINTNER, LLC DBA WINEBOW",326206,BELLAFINA PROSECCO - 750ML,WINE,LS,178#####,BOOKED,,4,,04/30/2020,,,
VINTAGE WINE ESTATES INC,47111,MIDDLE SISTER CAB - 750ML,WINE,SC,177#####,BOOKED,OPEN,1,,04/07/2020,,,
BANVILLE & JONES WINE MERCHANTS,237248,DONNA LAURA ALTEO CHN RIS - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/05/2020,04/06/2020,04/09/2020,4
